Date,Open,Close,High,Low
2020-03-30,2350,2366,2438,2318
2020-03-31,2430,2545,2545,2404
2020-04-01,2547,2624,2642,2530
2020-04-02,2644,2779,2779,2607
2020-04-03,2790,2875,2875,2732
2020-04-07,2920,3019,3063,2913
2020-04-08,2986,2939,3014,2891
2020-04-09,2980,3018,3044,2964
2020-04-10,2930,3021,3022,2913
2020-04-13,3075,3139,3178,3075
2020-04-14,3146,3159,3166,3087
2020-04-15,3116,3243,3336,3108
2020-04-16,3250,3265,3312,3178
2020-04-17,3296,3188,3330,3128
2020-04-20,3088,3221,3226,3080
2020-04-21,3200,3240,3266,3132
2020-04-22,3182,3129,3220,3065
2020-04-23,3169,3350,3350,3147
2020-04-24,3350,3400,3423,3315
2020-04-27,3380,3576,3594,3369
2020-04-28,3553,3357,3659,3297
2020-04-29,3357,3319,3469,3269
2020-04-30,3360,3394,3397,3315
2020-05-06,3500,3440,3524,3377
2020-05-07,3415,3413,3469,3389
2020-05-08,3448,3454,3463,3355
2020-05-11,3455,3348,3507,3326
2020-05-12,3350,3342,3356,3272
2020-05-13,3353,3224,3355,3209
2020-05-14,3235,3257,3273,3205
2020-05-15,3257,3275,3295,3226
2020-05-18,3274,3230,3279,3168
2020-05-19,3250,3360,3375,3243
2020-05-20,3360,3388,3426,3342
2020-05-21,3399,3383,3414,3365
2020-05-22,3385,3339,3433,3292
2020-05-25,3365,3431,3485,3356
2020-05-26,3421,3406,3439,3372
2020-05-27,3415,3397,3433,3368
2020-05-28,3391,3434,3445,3374
2020-05-29,3445,3438,3448,3398
2020-06-01,3437,3525,3537,3414
2020-06-02,3518,3606,3619,3517
2020-06-03,3600,3592,3610,3560
2020-06-04,3583,3516,3584,3508
2020-06-05,3514,3592,3605,3513
2020-06-08,3635,3549,3677,3534
2020-06-09,3532,3584,3598,3531
2020-06-10,3573,3549,3588,3535
2020-06-11,3549,3406,3558,3376
2020-06-12,3380,3347,3395,3268
2020-06-15,3370,3373,3425,3313
2020-06-16,3354,3461,3488,3342
2020-06-17,3485,3481,3516,3440
2020-06-18,3479,3477,3505,3453
2020-06-19,3482,3559,3573,3462
2020-06-22,3570,3517,3588,3493
2020-06-23,3525,3546,3567,3501
2020-06-24,3551,3523,3556,3461
2020-06-29,3487,3483,3506,3437
2020-06-30,3500,3560,3577,3497
2020-07-01,3551,3542,3574,3510
2020-07-02,3535,3604,3621,3531
2020-07-03,3604,3624,3630,3577
2020-07-06,3615,3573,3625,3532
2020-07-07,3569,3589,3625,3540
2020-07-08,3598,3586,3646,3567
2020-07-09,3589,3667,3673,3580
2020-07-10,3680,3624,3687,3591
2020-07-13,3630,3829,3897,3621
2020-07-14,3824,3843,3856,3773
2020-07-15,3830,3886,3918,3807
2020-07-16,3894,3874,3908,3836
2020-07-17,3875,3865,3984,3845
2020-07-20,3856,3874,3895,3774
2020-07-21,3872,3992,4025,3865
2020-07-22,4007,4015,4059,3939
2020-07-23,4001,4004,4024,3953
2020-07-24,3988,3946,3996,3910
2020-07-27,3965,3919,4033,3854
2020-07-28,3928,3888,3962,3839
2020-07-29,3884,3934,3950,3856
2020-07-30,3910,3838,3926,3797
2020-07-31,3815,3826,3884,3780
2020-08-03,3826,3841,3861,3760
2020-08-04,3848,3856,3910,3834
2020-08-05,3859,3977,4022,3817
2020-08-06,4000,3978,4018,3926
2020-08-07,3998,3948,4036,3910
2020-08-10,3948,3924,4038,3898
2020-08-11,3930,3873,3965,3861
2020-08-12,3890,3894,3905,3810
2020-08-13,3900,3841,3930,3829
2020-08-14,3854,3867,3873,3814
2020-08-17,3875,3862,3956,3841
2020-08-18,3860,3865,3899,3846
2020-08-19,3868,3856,3875,3790
2020-08-20,3838,3584,3871,3476
2020-08-21,3580,3602,3636,3551
2020-08-24,3585,3605,3617,3565
2020-08-25,3600,3611,3636,3525
2020-08-26,3623,3600,3629,3563
2020-08-27,3619,3631,3664,3579
2020-08-28,3632,3685,3700,3620
2020-08-31,3687,3673,3764,3639
2020-09-01,3666,3682,3700,3622
2020-09-02,3689,3583,3695,3548
2020-09-03,3583,3557,3609,3533
2020-09-04,3538,3558,3610,3514
2020-09-07,3560,3533,3569,3434
2020-09-08,3520,3521,3563,3502
2020-09-09,3488,3519,3549,3401
2020-09-10,3525,3422,3583,3379
2020-09-11,3418,3391,3460,3359
2020-09-14,3391,3425,3448,3374
2020-09-15,3425,3402,3445,3377
2020-09-16,3415,3449,3477,3395
2020-09-17,3454,3447,3470,3405
2020-09-18,3455,3566,3579,3410
2020-09-21,3555,3480,3596,3467
2020-09-22,3477,3418,3492,3333
2020-09-23,3421,3434,3468,3372
2020-09-24,3445,3417,3498,3411
2020-09-25,3418,3508,3533,3390
2020-09-28,3521,3446,3558,3431
2020-09-29,3450,3430,3474,3421
2020-09-30,3426,3415,3435,3347
2020-10-09,3495,3560,3585,3476
2020-10-12,3570,3698,3725,3554
2020-10-13,3696,3685,3725,3661
2020-10-14,3699,3737,3761,3668
2020-10-15,3746,3806,3853,3716
2020-10-16,3784,3751,3847,3735
2020-10-19,3710,3680,3759,3633
2020-10-20,3680,3693,3728,3660
2020-10-21,3693,3685,3719,3661
2020-10-22,3692,3723,3762,3646
2020-10-23,3730,3724,3787,3690
2020-10-26,3799,3753,3833,3726
2020-10-27,3829,3766,3829,3743
2020-10-28,3745,3723,3797,3681
2020-10-29,3700,3761,3780,3672
2020-10-30,3719,3885,3939,3655
2020-11-02,3895,3889,3956,3836
2020-11-03,3900,3811,3900,3780
2020-11-04,3820,3785,3833,3712
2020-11-05,3838,3754,3838,3716
2020-11-06,3754,3754,3781,3701
2020-11-09,3746,3580,3767,3569
2020-11-10,3610,3561,3666,3551
2020-11-11,3563,3571,3600,3550
2020-11-12,3560,3662,3676,3560
2020-11-13,3650,3522,3676,3510
2020-11-16,3522,3567,3571,3502
2020-11-17,3567,3592,3620,3523
2020-11-18,3595,3621,3636,3530
2020-11-19,3649,3573,3652,3553
2020-11-20,3560,3467,3569,3444
2020-11-23,3477,3544,3555,3456
2020-11-24,3565,3560,3580,3525
2020-11-25,3560,3670,3693,3552
2020-11-26,3668,3665,3727,3642
2020-11-27,3678,3700,3730,3648
2020-11-30,3704,3695,3771,3667
2020-12-01,3698,3723,3803,3697
2020-12-02,3720,3725,3735,3644
2020-12-03,3725,3668,3745,3660
2020-12-04,3668,3689,3733,3632
2020-12-07,3689,3879,3902,3686
2020-12-08,3879,3865,3919,3851
2020-12-09,3874,3711,3908,3695
2020-12-10,3711,3725,3759,3690
2020-12-11,3736,3818,3833,3720
2020-12-14,3830,3896,3986,3798
2020-12-15,3900,3891,3935,3866
2020-12-16,3889,3860,3922,3836
2020-12-17,3869,3839,3884,3783
2020-12-18,3822,3951,3997,3822
2020-12-21,3993,4062,4150,3990
2020-12-22,4040,3950,4062,3909
2020-12-23,3970,3901,4006,3778
2020-12-24,3915,3961,3966,3868
2020-12-25,3950,3960,3974,3881
2020-12-28,3961,3869,4000,3827
2020-12-29,3870,3730,3901,3723
2020-12-30,3735,3768,3793,3696
2020-12-31,3768,3776,3814,3720
2021-01-04,3866,3895,3929,3827
2021-01-05,3895,3945,3954,3886
2021-01-06,3960,3948,4009,3922
2021-01-07,3945,3953,4029,3933
2021-01-08,3960,3942,3973,3830
2021-01-11,3952,3857,3965,3844
2021-01-12,3850,3904,3914,3786
2021-01-13,3920,3966,3988,3882
2021-01-14,3966,3988,4069,3911
2021-01-15,3973,3896,4021,3891
2021-01-18,3903,3774,3907,3748
2021-01-19,3780,3798,3815,3750
2021-01-20,3820,3661,3821,3661
2021-01-21,3650,3672,3759,3632
