Date,Open,Close,High,Low
2006-12-19,9288,9630,9782,9288
2006-12-20,9610,9656,9708,9556
2006-12-21,9694,9708,9720,9656
2006-12-22,9690,9662,9698,9634
2006-12-25,9654,9674,9678,9574
2006-12-26,9668,9848,9890,9662
2006-12-27,9870,9908,9916,9812
2006-12-28,9832,9766,9876,9758
2006-12-29,9750,9606,9756,9600
2007-01-01,9600,9648,9684,9530
2007-01-05,9440,9484,9522,9280
2007-01-08,9410,9532,9554,9362
2007-01-09,9556,9496,9588,9488
2007-01-10,9476,9526,9570,9464
2007-01-11,9540,9494,9564,9490
2007-01-12,9440,9480,9532,9440
2007-01-15,9470,9420,9502,9396
2007-01-16,9470,9446,9520,9430
2007-01-17,9450,9376,9490,9366
2007-01-18,9334,9240,9386,9222
2007-01-19,9280,9126,9280,9106
2007-01-22,9094,9090,9132,9004
2007-01-23,9120,8880,9136,8852
2007-01-24,8810,8912,8936,8806
2007-01-25,8970,9004,9062,8930
2007-01-26,9008,9010,9042,8964
2007-01-29,9002,9032,9040,8982
2007-01-30,9056,8964,9086,8950
2007-01-31,8920,8934,8966,8862
2007-02-01,9030,9022,9064,8988
2007-02-02,9030,9050,9068,9016
2007-02-05,9030,8952,9100,8948
2007-02-06,9000,8938,9018,8906
2007-02-07,8930,8980,8998,8930
2007-02-08,8998,9034,9048,8974
2007-02-09,8996,9012,9044,8968
2007-02-12,9050,9068,9130,9042
2007-02-13,9032,9098,9104,9030
2007-02-14,9052,9144,9160,9052
2007-02-15,9170,9196,9210,9132
2007-02-16,9170,9172,9196,9148
2007-02-19,9170,9188,9190,9152
2007-02-27,9250,9182,9300,9170
2007-02-28,9164,9166,9194,9134
2007-03-01,9122,9172,9182,9092
2007-03-02,9202,9230,9234,9166
2007-03-05,9220,9286,9290,9212
2007-03-06,9250,9228,9280,9204
2007-03-07,9216,9248,9248,9190
2007-03-08,9250,9254,9280,9234
2007-03-09,9280,9248,9280,9230
2007-03-12,9240,9200,9250,9176
2007-03-13,9180,9136,9200,9114
2007-03-14,9150,9144,9174,9132
2007-03-15,9134,9130,9148,9098
2007-03-16,9140,9130,9160,9130
2007-03-19,9106,9134,9136,9080
2007-03-20,9138,9130,9164,9116
2007-03-21,9138,9116,9138,9100
2007-03-22,9120,9114,9138,9110
2007-03-23,9124,9134,9152,9122
2007-03-26,9160,9168,9188,9158
2007-03-27,9178,9138,9178,9134
2007-03-28,9158,9072,9158,9062
2007-03-29,9094,9116,9132,9054
2007-03-30,9118,9086,9122,9082
2007-04-02,9120,9126,9162,9118
2007-04-03,9050,9248,9252,9050
2007-04-04,9246,9320,9348,9244
2007-04-05,9310,9296,9360,9288
2007-04-06,9300,9300,9324,9266
2007-04-09,9290,9264,9326,9236
2007-04-10,9288,9266,9318,9250
2007-04-11,9236,9246,9254,9202
2007-04-12,9262,9270,9286,9234
2007-04-13,9264,9356,9368,9264
2007-04-16,9340,9374,9416,9314
2007-04-17,9386,9502,9514,9386
2007-04-18,9476,9484,9520,9472
2007-04-19,9472,9408,9540,9250
2007-04-20,9418,9344,9418,9246
2007-04-23,9322,9350,9408,9322
2007-04-24,9390,9394,9422,9380
2007-04-25,9448,9430,9484,9422
2007-04-26,9392,9394,9422,9384
2007-04-27,9438,9472,9496,9422
2007-04-30,9466,9460,9522,9450
2007-05-01,9492,9486,9500,9470
2007-05-09,9450,9394,9450,9322
2007-05-10,9400,9374,9426,9350
2007-05-11,9312,9336,9370,9312
2007-05-14,9318,9212,9338,9176
2007-05-15,9218,9382,9396,9186
2007-05-16,9392,9426,9460,9354
2007-05-17,9458,9396,9458,9360
2007-05-18,9368,9340,9396,9306
2007-05-21,9442,9390,9442,9366
2007-05-22,9390,9368,9410,9356
2007-05-23,9396,9378,9426,9350
2007-05-24,9344,9364,9366,9280
2007-05-25,9386,9416,9430,9354
2007-05-28,9352,9440,9442,9352
2007-05-29,9460,9432,9520,9408
2007-05-30,9444,9360,9444,9350
2007-05-31,9328,9334,9360,9310
2007-06-01,9360,9322,9360,9300
2007-06-04,9330,9198,9358,9138
2007-06-05,9200,9110,9230,9100
2007-06-06,9150,9144,9160,9090
2007-06-07,9150,9140,9160,9104
2007-06-08,9138,9016,9138,9004
2007-06-11,9036,8914,9036,8820
2007-06-12,8878,8942,9000,8878
2007-06-13,8940,8918,8968,8908
2007-06-14,8954,9006,9010,8934
2007-06-15,8996,8996,9038,8950
2007-06-18,9012,9056,9066,8980
2007-06-19,9088,9094,9142,9088
2007-06-20,9136,9094,9144,9082
2007-06-21,9080,9002,9092,9002
2007-06-22,8982,9010,9038,8970
2007-06-25,8996,8948,8996,8930
2007-06-26,8930,8892,8968,8886
2007-06-27,8856,8906,8938,8856
