Date,Open,Close,High,Low
2013-09-06,94.220,94.170,94.540,94.140
2013-09-09,94.160,93.910,94.160,93.860
2013-09-10,93.870,93.840,93.920,93.810
2013-09-11,93.720,93.600,93.780,93.490
2013-09-12,93.590,93.730,93.830,93.590
2013-09-13,93.700,93.760,93.850,93.680
2013-09-16,93.760,93.850,93.940,93.740
2013-09-17,93.870,94.230,94.560,93.840
2013-09-18,94.250,94.210,94.380,94.100
2013-09-23,94.550,94.350,94.590,94.270
2013-09-24,94.310,94.340,94.400,94.240
2013-09-25,94.350,94.420,94.550,94.350
2013-09-26,94.450,94.570,94.610,94.450
2013-09-27,94.550,94.350,94.550,94.300
2013-09-30,94.350,94.460,94.500,94.200
2013-10-08,94.520,94.410,94.550,94.400
2013-10-09,94.330,94.360,94.400,94.280
2013-10-10,94.360,94.350,94.450,94.280
2013-10-11,94.350,94.290,94.350,94.220
2013-10-14,94.280,94.120,94.280,93.980
2013-10-15,94.090,93.950,94.120,93.850
2013-10-16,93.860,94.010,94.100,93.840
2013-10-17,94.000,93.930,94.040,93.900
2013-10-18,93.920,93.890,93.950,93.810
2013-10-21,93.890,93.860,93.950,93.810
2013-10-22,93.850,93.770,93.870,93.720
2013-10-23,93.760,93.810,93.850,93.690
2013-10-24,93.800,93.600,93.820,93.560
2013-10-25,93.600,93.690,93.690,93.510
2013-10-28,93.670,93.670,93.760,93.640
2013-10-29,93.660,93.500,93.770,93.500
2013-10-30,93.530,93.540,93.570,93.450
2013-10-31,93.540,93.740,93.760,93.520
2013-11-01,93.770,93.840,93.920,93.770
2013-11-04,93.850,93.630,93.860,93.540
2013-11-05,93.640,93.470,93.640,93.390
2013-11-06,93.480,93.360,93.510,93.340
2013-11-07,93.310,92.830,93.440,92.820
2013-11-08,92.800,92.290,92.800,91.720
2013-11-11,92.390,91.730,92.390,91.620
2013-11-12,91.770,92.100,92.370,91.770
2013-11-13,92.100,91.820,92.100,91.570
2013-11-14,91.800,91.630,91.910,91.410
2013-11-15,91.600,91.320,91.600,91.260
2013-11-18,91.340,91.340,91.480,90.970
2013-11-19,91.370,90.940,91.640,90.930
2013-11-20,90.890,91.090,91.190,90.800
2013-11-21,91.120,91.400,91.400,91.120
2013-11-22,91.400,91.600,91.790,91.300
2013-11-25,91.600,91.310,91.860,91.220
2013-11-26,91.340,91.370,91.400,91.110
2013-11-27,91.380,91.770,91.880,91.380
2013-11-28,91.850,91.890,91.970,91.560
2013-11-29,92.600,92.560,92.800,92.490
2013-12-02,92.510,92.070,92.590,92.030
2013-12-03,92.100,92.290,92.330,91.850
2013-12-04,92.300,92.100,92.630,92.040
2013-12-05,92.040,91.820,92.250,91.810
2013-12-06,91.840,91.920,91.970,91.760
2013-12-09,91.860,91.690,92.090,91.670
2013-12-10,91.660,91.310,91.670,91.300
2013-12-11,91.300,91.460,91.500,91.180
2013-12-12,91.550,91.780,91.890,91.500
2013-12-13,91.850,91.910,92.050,91.790
2013-12-16,91.880,91.450,91.880,91.450
2013-12-17,91.430,91.590,91.590,91.350
2013-12-18,91.550,91.440,91.590,91.260
2013-12-19,91.400,91.370,91.420,91.190
2013-12-20,91.500,91.390,91.500,91.270
2013-12-23,91.380,91.700,91.800,91.290
2013-12-24,91.750,91.650,92.000,91.590
2013-12-25,91.650,91.790,91.820,91.610
2013-12-26,91.790,91.670,91.840,91.620
2013-12-27,91.670,91.560,91.670,91.430
2013-12-30,91.560,91.800,91.890,91.560
2013-12-31,91.750,91.800,91.850,91.510
2014-01-02,91.800,91.350,91.800,91.340
2014-01-03,91.300,91.310,91.380,91.130
2014-01-06,91.300,91.220,91.400,91.150
2014-01-07,91.200,91.440,91.500,91.200
2014-01-08,91.490,91.700,91.740,91.400
2014-01-09,91.750,91.500,91.840,91.410
2014-01-10,91.460,91.540,91.750,91.460
2014-01-13,91.540,91.470,91.600,91.430
2014-01-14,91.460,91.480,91.540,91.440
2014-01-15,91.540,91.820,91.860,91.500
2014-01-16,91.840,91.640,91.850,91.620
2014-01-17,91.610,91.630,91.670,91.550
2014-01-20,91.610,91.780,91.780,91.560
2014-01-21,91.900,92.090,92.280,91.900
2014-01-22,92.150,92.220,92.380,92.120
2014-01-23,92.240,92.080,92.320,92.060
2014-01-24,92.060,92.200,92.200,91.990
2014-01-27,92.350,92.510,92.530,92.250
2014-01-28,92.530,92.330,92.530,92.250
2014-01-29,92.290,92.400,92.560,92.270
2014-01-30,92.400,92.250,92.400,92.200
2014-02-07,92.250,92.510,92.540,92.250
2014-02-10,92.520,92.330,92.700,92.320
2014-02-11,92.370,92.530,92.560,92.270
2014-02-12,92.580,92.450,92.620,92.420
2014-02-13,92.500,92.580,92.590,92.420
2014-02-14,92.620,92.540,92.690,92.450
2014-02-17,92.500,92.260,92.500,92.220
2014-02-18,92.200,91.920,92.200,91.910
2014-02-19,91.990,91.830,92.040,91.800
2014-02-20,91.820,91.890,91.930,91.760
2014-02-21,91.950,91.950,91.980,91.780
2014-02-24,91.970,92.080,92.190,91.970
2014-02-25,92.680,93.080,93.140,92.650
2014-02-26,93.100,92.890,93.130,92.840
2014-02-27,93.120,93.180,93.620,93.110
2014-02-28,93.180,93.240,93.250,93.000
2014-03-03,93.200,92.960,93.380,92.900
2014-03-04,92.910,92.610,93.080,92.570
2014-03-05,92.890,92.510,93.080,92.480
2014-03-06,92.460,92.690,92.720,92.380
2014-03-07,92.780,92.580,92.780,92.530
2014-03-10,92.650,92.720,92.850,92.600
2014-03-11,92.730,92.690,92.800,92.630
2014-03-12,92.750,92.740,92.790,92.500
2014-03-13,92.700,92.900,92.980,92.680
2014-03-14,92.900,92.970,93.040,92.870
2014-03-17,92.910,92.830,92.980,92.710
2014-03-18,92.800,92.600,92.870,92.550
2014-03-19,92.590,92.620,92.660,92.460
2014-03-20,92.560,92.630,92.740,92.510
2014-03-21,92.660,92.650,92.750,92.610
2014-03-24,92.680,92.620,92.710,92.600
2014-03-25,92.630,92.650,92.670,92.480
2014-03-26,92.640,92.570,92.640,92.510
2014-03-27,92.570,92.540,92.570,92.450
2014-03-28,92.510,92.530,92.580,92.500
2014-03-31,92.510,92.550,92.570,92.490
2014-04-01,92.550,92.410,92.550,92.370
2014-04-02,92.360,92.160,92.430,92.160
2014-04-03,92.100,91.980,92.100,91.950
2014-04-04,92.030,92.020,92.160,92.010
2014-04-08,92.080,92.030,92.100,91.920
2014-04-09,92.100,92.100,92.110,91.990
2014-04-10,92.100,92.260,92.270,92.070
2014-04-11,92.230,92.380,92.420,92.220
2014-04-14,92.380,92.570,92.610,92.330
2014-04-15,92.560,92.520,92.570,92.460
2014-04-16,92.520,92.470,92.580,92.450
2014-04-17,92.700,92.650,93.010,92.640
2014-04-18,92.680,92.750,92.860,92.670
2014-04-21,92.750,92.700,92.820,92.680
2014-04-22,92.700,92.520,92.700,92.200
2014-04-23,92.650,92.570,92.670,92.490
2014-04-24,92.560,92.510,92.570,92.490
2014-04-25,92.540,92.550,92.560,92.480
2014-04-28,92.580,92.560,92.600,92.500
2014-04-29,92.560,92.720,92.730,92.540
2014-04-30,92.720,92.820,92.830,92.720
2014-05-05,92.800,92.810,92.830,92.740
2014-05-06,92.800,92.960,93.000,92.770
2014-05-07,92.970,92.990,93.040,92.960
2014-05-08,92.970,93.050,93.070,92.950
2014-05-09,93.150,93.330,93.420,93.130
2014-05-12,93.150,93.280,93.350,93.080
2014-05-13,93.260,93.150,93.390,93.100
2014-05-14,93.050,93.010,93.160,92.980
2014-05-15,93.000,92.900,93.140,92.810
2014-05-16,93.500,93.520,93.550,93.430
2014-05-19,93.600,93.480,93.670,93.450
2014-05-20,93.480,93.570,93.580,93.470
2014-05-21,93.570,93.660,93.670,93.560
2014-05-22,93.690,93.640,93.810,93.600
2014-05-23,93.680,93.640,93.680,93.520
2014-05-26,93.680,93.660,93.730,93.600
2014-05-27,93.680,93.890,93.900,93.670
2014-05-28,93.900,94.270,94.300,93.900
2014-05-29,94.210,94.230,94.420,94.080
2014-05-30,94.250,94.610,94.670,94.230
2014-06-03,94.800,94.650,94.820,94.480
2014-06-04,94.690,94.970,94.990,94.670
2014-06-05,94.950,94.380,94.950,94.360
2014-06-06,94.510,94.400,94.540,94.270
2014-06-09,94.330,94.520,94.550,94.330
2014-06-10,94.610,94.420,94.750,94.410
2014-06-11,94.400,94.490,94.550,94.360
2014-06-12,94.500,94.380,94.520,94.380
2014-06-13,94.370,94.430,94.470,94.210
2014-06-16,94.400,94.690,94.740,94.400
2014-06-17,94.750,94.520,94.820,94.410
2014-06-18,94.510,94.520,94.560,94.370
2014-06-19,94.530,94.500,94.600,94.400
2014-06-20,94.500,94.540,95.800,94.460
2014-06-23,94.580,94.520,94.590,94.420
2014-06-24,94.530,94.520,94.600,94.480
2014-06-25,94.500,94.470,94.550,94.440
2014-06-26,94.480,94.490,94.580,94.440
2014-06-27,94.500,94.510,94.540,94.470
2014-06-30,94.510,94.430,94.510,94.360
2014-07-01,94.450,93.980,94.480,93.930
2014-07-02,93.990,93.820,94.090,93.810
2014-07-03,93.800,93.560,93.840,93.540
2014-07-04,93.530,93.770,93.800,93.300
2014-07-07,93.750,93.670,93.860,93.660
2014-07-08,93.690,93.690,93.760,93.610
2014-07-09,93.690,93.650,93.750,93.630
2014-07-10,93.670,93.710,93.730,93.420
2014-07-11,93.690,93.790,93.820,93.690
2014-07-14,93.790,93.600,93.790,93.560
2014-07-15,93.570,93.400,93.650,93.370
2014-07-16,93.370,93.180,93.400,93.150
2014-07-17,93.180,92.900,93.180,92.880
2014-07-18,92.900,93.000,93.030,92.680
2014-07-21,92.960,93.060,93.080,92.880
2014-07-22,93.060,93.040,93.200,93.040
2014-07-23,93.040,92.940,93.040,92.910
2014-07-24,92.940,92.980,93.040,92.860
2014-07-25,93.020,93.270,93.290,92.980
2014-07-28,93.210,93.070,93.280,93.050
2014-07-29,93.090,93.040,93.090,92.900
2014-07-30,93.010,93.030,93.080,92.960
2014-07-31,92.970,93.160,93.220,92.900
2014-08-01,93.120,93.310,93.330,93.120
2014-08-04,93.270,93.270,93.370,93.190
2014-08-05,93.280,93.200,93.280,93.130
2014-08-06,93.280,93.060,93.370,92.950
2014-08-07,93.060,93.040,93.130,93.010
2014-08-08,93.050,92.990,93.070,92.970
2014-08-11,93.000,92.970,93.060,92.940
2014-08-12,92.960,92.700,92.980,92.650
2014-08-13,92.790,93.010,93.010,92.640
2014-08-14,93.010,93.170,93.270,93.000
2014-08-15,93.800,93.840,93.880,93.750
2014-08-18,93.840,93.700,93.850,93.660
2014-08-19,93.700,93.450,93.710,93.370
2014-08-20,93.400,93.520,93.550,93.250
2014-08-21,93.520,93.570,93.680,93.520
2014-08-22,93.560,93.660,93.700,93.540
2014-08-25,93.650,93.610,93.650,93.550
2014-08-26,93.600,93.760,93.790,93.520
2014-08-27,93.760,93.870,93.950,93.710
2014-08-28,93.950,93.780,93.950,93.750
2014-08-29,93.750,93.700,93.840,93.670
2014-09-01,93.700,93.740,93.780,93.600
2014-09-02,93.800,93.610,93.810,93.500
2014-09-03,93.590,93.460,93.700,93.400
2014-09-04,93.400,93.360,93.440,93.350
2014-09-05,93.380,93.380,93.470,93.360
