Date,Open,Close,High,Low
2018-08-17,99.400,99.160,99.400,99.070
2018-08-20,99.100,99.210,99.260,99.100
2018-08-21,99.180,99.180,99.240,99.120
2018-08-22,99.240,99.200,99.290,99.190
2018-08-23,99.280,99.280,99.280,99.220
2018-08-24,99.310,99.310,99.380,99.290
2018-08-27,99.270,99.270,99.300,99.210
2018-08-28,99.210,99.280,99.320,99.180
2018-08-29,99.270,99.310,99.320,99.220
2018-08-30,99.330,99.360,99.430,99.300
2018-08-31,99.360,99.380,99.400,99.320
2018-09-03,99.350,99.330,99.360,99.310
2018-09-04,99.320,99.280,99.320,99.260
2018-09-05,99.290,99.280,99.320,99.280
2018-09-06,99.290,99.270,99.310,99.260
2018-09-07,99.260,99.250,99.280,99.250
2018-09-10,99.250,99.250,99.280,99.220
2018-09-11,99.260,99.240,99.260,99.210
2018-09-12,99.250,99.240,99.250,99.220
2018-09-13,99.220,99.270,99.310,99.220
2018-09-14,99.290,99.300,99.310,99.280
2018-09-17,99.400,99.350,99.400,99.320
2018-09-18,99.390,99.340,99.390,99.330
2018-09-19,99.350,99.310,99.380,99.310
2018-09-20,99.270,99.280,99.300,99.250
2018-09-21,99.270,99.320,99.320,99.270
2018-09-25,99.310,99.290,99.330,99.280
2018-09-26,99.280,99.340,99.350,99.280
2018-09-27,99.380,99.390,99.400,99.350
2018-09-28,99.450,99.390,99.450,99.360
2018-10-08,99.380,99.390,99.400,99.320
2018-10-09,99.390,99.450,99.500,99.390
2018-10-10,99.480,99.450,99.480,99.430
2018-10-11,99.540,99.510,99.550,99.490
2018-10-12,99.500,99.530,99.530,99.500
2018-10-15,99.520,99.510,99.530,99.500
2018-10-16,99.500,99.540,99.540,99.470
2018-10-17,99.520,99.520,99.540,99.510
2018-10-18,99.540,99.540,99.560,99.530
2018-10-19,99.530,99.490,99.560,99.470
2018-10-22,99.450,99.440,99.460,99.430
2018-10-23,99.410,99.490,99.490,99.410
2018-10-24,99.470,99.500,99.510,99.470
2018-10-25,99.550,99.530,99.600,99.520
2018-10-26,99.510,99.530,99.540,99.500
2018-10-29,99.550,99.610,99.620,99.530
2018-10-30,99.650,99.610,99.650,99.570
2018-10-31,99.600,99.640,99.640,99.570
2018-11-01,99.630,99.640,99.650,99.600
2018-11-02,99.600,99.610,99.640,99.560
2018-11-05,99.570,99.650,99.670,99.570
2018-11-06,99.650,99.780,99.780,99.640
