Date,Open,Close,High,Low
2019-09-25,15090,15200,15435,14980
2019-09-26,15180,15380,15500,15175
2019-09-27,15400,15425,15440,15260
2019-09-30,15430,15395,15470,15335
2019-10-08,15495,15390,15505,15235
2019-10-09,15365,15395,15465,15365
2019-10-10,15435,15485,15495,15345
2019-10-11,15485,15450,15525,15445
2019-10-14,15400,15515,15565,15400
2019-10-15,15470,15225,15530,14960
2019-10-16,15250,15275,15340,15220
2019-10-17,15270,15035,15285,14975
2019-10-18,15035,14900,15085,14665
2019-10-21,15050,14720,15050,14600
2019-10-22,14750,14745,14820,14650
2019-10-23,14740,14840,15000,14730
2019-10-24,14865,14930,14995,14845
2019-10-25,14850,14810,14885,14700
2019-10-28,14735,14860,14900,14730
2019-10-29,14900,14810,15040,14810
2019-10-30,14860,14875,14920,14810
2019-10-31,14805,14805,14805,14805
2019-11-04,14790,14815,14835,14785
2019-11-05,14775,14750,14805,14735
2019-11-06,14790,14785,14795,14740
2019-11-07,14750,14795,14820,14705
2019-11-08,14730,14700,14750,14670
2019-11-11,14630,14120,14660,14055
2019-11-12,14055,14130,14220,14055
2019-11-13,14220,14090,14300,14090
2019-11-14,14150,14180,14245,14125
2019-11-15,14285,14195,14285,14060
2019-11-18,14175,14145,14200,14005
2019-11-19,14200,14280,14310,14200
2019-11-20,14275,14280,14360,14275
2019-11-21,14230,14270,14280,14185
2019-11-22,14305,14395,14425,14200
2019-11-25,14390,14365,14440,14325
2019-11-26,14340,14260,14390,14235
2019-11-27,14200,14135,14215,14090
2019-11-28,14155,14020,14155,14000
2019-11-29,13990,13930,14015,13925
2019-12-02,13900,13850,13980,13825
2019-12-03,13880,13940,13980,13880
2019-12-04,13965,13780,13970,13775
2019-12-05,13780,13825,13895,13730
2019-12-06,13780,13910,13945,13780
2019-12-09,13885,13935,14055,13595
2019-12-10,13920,13965,14025,13880
2019-12-11,13970,14195,14270,13970
2019-12-12,14205,14240,14350,14200
2019-12-13,14120,14225,14250,14020
2019-12-16,14245,14235,14310,14135
2019-12-17,14235,14235,14285,14185
2019-12-18,14215,14235,14295,14160
2019-12-19,14245,14300,14330,14175
2019-12-20,14300,14270,14380,14250
2019-12-23,14300,14335,14385,14300
2019-12-24,14375,14165,14570,14155
2019-12-25,14175,14115,14190,14110
2019-12-26,14130,14150,14200,14110
2019-12-27,14080,14110,14175,14080
2019-12-30,14080,14160,14185,14080
2019-12-31,14315,14590,14590,14315
2020-01-02,14410,14155,14490,13820
2020-01-03,14115,13955,14290,13925
2020-01-06,13955,14080,14110,13905
2020-01-07,14090,14110,14215,14065
2020-01-08,14125,14135,14285,14100
2020-01-09,14140,14180,14270,14120
2020-01-10,14030,14135,14135,14030
2020-01-13,14120,14070,14120,13785
2020-01-14,14190,14110,14225,14100
