Date,Open,Close,High,Low
2018-12-10,5600,5674,5781,5550
2018-12-11,5618,5541,5680,5497
2018-12-12,5580,5544,5598,5513
2018-12-13,5519,5591,5646,5475
2018-12-14,5647,5606,5666,5583
2018-12-17,5592,5618,5637,5566
2018-12-18,5588,5627,5628,5570
2018-12-19,5579,5620,5635,5551
2018-12-20,5628,5576,5635,5564
2018-12-21,5561,5418,5576,5320
2018-12-24,5380,5332,5385,5306
2018-12-25,5200,5174,5231,5128
2018-12-26,5200,5152,5229,5128
2018-12-27,5301,5135,5377,5135
2018-12-28,5141,5134,5166,5088
2019-01-02,5105,5051,5134,5046
2019-01-03,5093,5127,5152,5068
2019-01-04,5150,5152,5181,5094
2019-01-07,5167,5133,5200,5125
2019-01-08,5140,5080,5168,5066
2019-01-09,5136,5122,5187,5111
2019-01-10,5162,5092,5168,5087
2019-01-11,5080,5117,5135,5067
2019-01-14,5125,5143,5177,5096
2019-01-15,5141,5221,5236,5129
2019-01-16,5225,5226,5243,5193
2019-01-17,5210,5159,5225,5155
2019-01-18,5139,5156,5176,5117
2019-01-21,5219,5273,5323,5188
2019-01-22,5273,5277,5457,5260
2019-01-23,5240,5254,5280,5222
2019-01-24,5239,5245,5273,5206
2019-01-25,5275,5234,5323,5232
2019-01-28,5254,5180,5264,5175
2019-01-29,5150,5157,5198,5136
2019-01-30,5181,5207,5239,5171
2019-01-31,5230,5279,5289,5229
2019-02-01,5290,5322,5330,5265
2019-02-11,5295,5223,5299,5216
2019-02-12,5245,5234,5274,5228
2019-02-13,5200,5162,5225,5151
2019-02-14,5173,5170,5195,5135
2019-02-15,5159,5131,5180,5092
2019-02-18,5170,5039,5184,5032
2019-02-19,5046,5064,5074,5007
2019-02-20,5069,5054,5082,5044
2019-02-21,5104,5123,5148,5084
2019-02-22,5123,5142,5169,5116
2019-02-25,5157,5135,5187,5120
2019-02-26,5098,5158,5168,5084
2019-02-27,5170,5153,5183,5145
2019-02-28,5170,5175,5216,5154
2019-03-01,5195,5290,5298,5186
2019-03-04,5285,5351,5421,5265
2019-03-05,5320,5333,5350,5304
2019-03-06,5325,5432,5438,5312
2019-03-07,5412,5336,5428,5303
2019-03-08,5281,5298,5320,5254
2019-03-11,5330,5267,5330,5242
2019-03-12,5276,5270,5301,5253
2019-03-13,5266,5241,5287,5226
2019-03-14,5257,5221,5270,5216
2019-03-15,5189,5137,5202,5112
2019-03-18,5120,5127,5156,5115
2019-03-19,5143,5107,5145,5093
2019-03-20,5110,5147,5148,5089
2019-03-21,5164,5157,5176,5147
2019-03-22,5153,5126,5163,5111
2019-03-25,5100,5113,5125,5057
2019-03-26,5125,5063,5130,5061
2019-03-27,5050,4983,5076,4976
2019-03-28,4954,4814,4980,4810
2019-03-29,4812,4842,4909,4812
2019-04-01,4863,4875,4889,4813
2019-04-02,4875,4843,4900,4828
2019-04-03,4830,4853,4876,4829
2019-04-04,4841,4898,4916,4761
2019-04-08,4950,4857,4968,4841
2019-04-09,4856,4873,4910,4852
2019-04-10,4870,4871,4905,4855
2019-04-11,4871,4827,4879,4805
2019-04-12,4816,4828,4836,4763
2019-04-15,4850,4772,4855,4742
2019-04-16,4765,4707,4774,4677
2019-04-17,4707,4704,4738,4695
2019-04-18,4700,4707,4737,4658
2019-04-19,4715,4730,4745,4710
2019-04-22,4733,4736,4797,4718
2019-04-23,4736,4733,4752,4714
2019-04-24,4723,4679,4728,4665
2019-04-25,4682,4627,4693,4622
2019-04-26,4664,4549,4664,4520
2019-04-29,4542,4644,4653,4539
2019-04-30,4646,4617,4654,4612
2019-05-06,4568,4587,4621,4506
2019-05-07,4593,4578,4600,4551
2019-05-08,4697,4734,4737,4697
2019-05-09,4734,4702,4739,4691
2019-05-10,4706,4718,4761,4698
2019-05-13,4713,4582,4718,4580
2019-05-14,4571,4437,4612,4408
2019-05-15,4450,4455,4492,4438
2019-05-16,4450,4483,4517,4430
2019-05-17,4492,4404,4500,4394
2019-05-20,4406,4420,4472,4394
2019-05-21,4416,4447,4465,4406
2019-05-22,4445,4407,4466,4356
2019-05-23,4410,4403,4427,4373
2019-05-24,4397,4524,4527,4395
2019-05-27,4529,4503,4563,4491
2019-05-28,4517,4458,4524,4427
2019-05-29,4459,4489,4519,4458
2019-05-30,4473,4485,4503,4455
2019-05-31,4485,4492,4529,4466
2019-06-03,4492,4415,4500,4380
2019-06-04,4428,4445,4487,4405
2019-06-05,4450,4343,4460,4330
2019-06-06,4329,4369,4382,4314
2019-06-10,4413,4387,4420,4367
2019-06-11,4388,4408,4423,4370
2019-06-12,4408,4384,4432,4362
2019-06-13,4374,4403,4415,4361
2019-06-14,4410,4370,4423,4331
2019-06-17,4360,4370,4391,4352
2019-06-18,4379,4417,4442,4366
2019-06-19,4429,4459,4505,4417
2019-06-20,4460,4487,4492,4451
2019-06-21,4500,4437,4515,4423
2019-06-24,4448,4567,4578,4447
2019-06-25,4566,4531,4594,4513
2019-06-26,4537,4542,4555,4474
2019-06-27,4535,4491,4578,4477
2019-06-28,4494,4408,4518,4384
2019-07-01,4413,4442,4465,4380
2019-07-02,4450,4502,4525,4404
2019-07-03,4490,4437,4498,4389
2019-07-04,4435,4477,4485,4397
2019-07-05,4480,4488,4516,4455
2019-07-08,4486,4435,4507,4420
2019-07-09,4435,4242,4448,4242
2019-07-10,4230,4265,4278,4150
2019-07-11,4265,4281,4309,4213
2019-07-12,4290,4274,4293,4241
2019-07-15,4272,4296,4322,4263
2019-07-16,4308,4278,4316,4245
2019-07-17,4289,4360,4376,4280
2019-07-18,4369,4370,4393,4319
2019-07-19,4370,4497,4544,4350
2019-07-22,4488,4486,4573,4422
2019-07-23,4495,4393,4544,4393
2019-07-24,4389,4429,4449,4370
2019-07-25,4433,4445,4483,4427
2019-07-26,4455,4464,4488,4405
2019-07-29,4471,4561,4584,4471
2019-07-30,4567,4523,4711,4502
2019-07-31,4529,4495,4566,4485
2019-08-01,4501,4445,4516,4430
2019-08-02,4445,4409,4461,4340
2019-08-05,4415,4287,4455,4243
2019-08-06,4279,4331,4362,4275
2019-08-07,4332,4343,4357,4311
2019-08-08,4330,4396,4398,4328
2019-08-09,4375,4440,4440,4312
2019-08-12,4442,4466,4498,4425
2019-08-13,4470,4457,4486,4444
2019-08-14,4455,4455,4545,4431
2019-08-15,4450,4513,4513,4429
2019-08-16,4508,4558,4582,4494
2019-08-19,4560,4553,4594,4528
2019-08-20,4556,4564,4576,4532
2019-08-21,4562,4568,4579,4489
2019-08-22,4577,4551,4600,4526
2019-08-23,4548,4545,4575,4505
2019-08-26,4535,4622,4633,4520
2019-08-27,4626,4574,4639,4560
2019-08-28,4576,4615,4625,4530
2019-08-29,4618,4583,4658,4577
2019-08-30,4594,4576,4630,4564
2019-09-02,4576,4620,4624,4569
2019-09-03,4623,4582,4629,4567
2019-09-04,4580,4587,4594,4544
2019-09-05,4598,4637,4700,4582
2019-09-06,4637,4677,4735,4636
2019-09-09,4677,4767,4769,4671
2019-09-10,4776,4746,4810,4721
2019-09-11,4748,4780,4785,4698
2019-09-12,4775,4754,4790,4724
2019-09-16,4992,4993,4993,4860
2019-09-17,5150,5322,5365,5122
2019-09-18,5330,5083,5335,5022
2019-09-19,5020,5062,5117,5000
2019-09-20,5115,5009,5128,4995
2019-09-23,5004,5072,5090,4980
2019-09-24,5072,5080,5118,5029
2019-09-25,5080,5173,5180,5065
2019-09-26,5170,4982,5189,4918
2019-09-27,4981,4970,4998,4915
2019-09-30,4940,4983,5016,4940
2019-10-08,4930,4979,4988,4923
2019-10-09,4974,4975,4990,4949
2019-10-10,4980,4814,5006,4799
2019-10-11,4810,4773,4836,4717
2019-10-14,4765,4686,4781,4665
2019-10-15,4668,4656,4710,4623
2019-10-16,4670,4584,4680,4580
2019-10-17,4584,4553,4604,4515
2019-10-18,4560,4567,4596,4552
2019-10-21,4572,4515,4585,4462
2019-10-22,4513,4529,4546,4497
2019-10-23,4542,4530,4564,4503
2019-10-24,4535,4588,4596,4522
2019-10-25,4598,4579,4640,4570
2019-10-28,4591,4621,4675,4581
2019-10-29,4631,4556,4650,4533
2019-10-30,4551,4588,4615,4526
2019-10-31,4588,4575,4594,4551
2019-11-01,4565,4566,4575,4505
2019-11-04,4573,4543,4595,4538
2019-11-05,4558,4554,4584,4532
2019-11-06,4570,4472,4576,4470
2019-11-07,4470,4456,4489,4406
2019-11-08,4468,4438,4484,4431
2019-11-11,4433,4451,4477,4410
2019-11-12,4455,4516,4523,4427
2019-11-13,4520,4537,4609,4505
2019-11-14,4545,4599,4600,4515
2019-11-15,4605,4571,4643,4562
2019-11-18,4566,4581,4626,4519
2019-11-19,4583,4593,4601,4553
2019-11-20,4586,4602,4615,4525
2019-11-21,4602,4550,4646,4548
2019-11-22,4550,4503,4596,4467
2019-11-25,4504,4520,4528,4482
2019-11-26,4522,4490,4561,4481
2019-11-27,4490,4544,4586,4480
2019-11-28,4556,4639,4641,4546
2019-11-29,4646,4600,4668,4587
2019-12-02,4600,4649,4659,4575
2019-12-03,4651,4752,4800,4651
2019-12-04,4740,4720,4783,4711
2019-12-05,4730,4634,4741,4625
2019-12-06,4640,4686,4692,4640
2019-12-09,4698,4787,4843,4698
2019-12-10,4790,4849,4882,4755
2019-12-11,4685,4636,4685,4620
2019-12-12,4642,4708,4709,4598
2019-12-13,4708,4589,4708,4568
2019-12-16,4586,4619,4640,4586
2019-12-17,4620,4684,4708,4608
2019-12-18,4686,4644,4723,4634
2019-12-19,4644,4644,4661,4598
2019-12-20,4646,4612,4653,4595
2019-12-23,4603,4572,4629,4558
2019-12-24,4579,4618,4625,4565
2019-12-25,4623,4556,4623,4555
2019-12-26,4558,4566,4574,4526
2019-12-27,4564,4586,4618,4552
2019-12-30,4584,4641,4650,4577
2019-12-31,4641,4591,4650,4571
2020-01-02,4594,4631,4634,4584
2020-01-03,4630,4655,4683,4612
2020-01-06,4661,4753,4783,4632
2020-01-07,4738,4712,4739,4679
2020-01-08,4712,4793,4940,4705
