Date,Open,Close,High,Low
2018-12-10,5600,5598,5701,5520
2018-12-11,5556,5478,5589,5438
2018-12-12,5515,5486,5533,5449
2018-12-13,5468,5527,5575,5424
2018-12-14,5580,5561,5600,5528
2018-12-17,5581,5569,5581,5527
2018-12-18,5516,5567,5572,5516
2018-12-19,5540,5565,5570,5500
2018-12-20,5573,5518,5573,5515
2018-12-21,5505,5363,5515,5270
2018-12-24,5327,5276,5327,5251
2018-12-25,5230,5109,5230,5070
2018-12-26,5130,5044,5148,5020
2018-12-27,5210,5046,5233,5046
2018-12-28,5035,5044,5081,5000
2019-01-02,5044,4984,5046,4984
2019-01-03,5026,5068,5092,5006
2019-01-04,5089,5101,5124,5045
2019-01-07,5140,5101,5147,5088
2019-01-08,5123,5048,5123,5040
2019-01-09,5088,5115,5182,5080
2019-01-10,5155,5090,5180,5086
2019-01-11,5088,5075,5105,5054
2019-01-14,5085,5103,5124,5072
2019-01-15,5096,5193,5202,5088
2019-01-16,5200,5184,5230,5157
2019-01-17,5180,5134,5186,5133
2019-01-18,5130,5172,5179,5116
2019-01-21,5228,5309,5341,5196
2019-01-22,5320,5303,5470,5268
2019-01-23,5275,5282,5300,5248
2019-01-24,5260,5293,5315,5250
2019-01-25,5318,5288,5380,5288
2019-01-28,5300,5226,5311,5221
2019-01-29,5179,5204,5248,5172
2019-01-30,5216,5238,5271,5210
2019-01-31,5280,5308,5320,5254
2019-02-01,5320,5345,5357,5301
2019-02-11,5320,5272,5324,5260
2019-02-12,5295,5284,5318,5275
2019-02-13,5275,5235,5275,5202
2019-02-14,5216,5233,5266,5209
2019-02-15,5190,5193,5233,5158
2019-02-18,5220,5101,5240,5100
2019-02-19,5104,5132,5134,5083
2019-02-20,5135,5125,5148,5113
2019-02-21,5168,5195,5208,5156
2019-02-22,5200,5220,5235,5185
2019-02-25,5270,5202,5270,5200
2019-02-26,5190,5237,5243,5167
2019-02-27,5242,5233,5261,5229
2019-02-28,5250,5262,5287,5233
2019-03-01,5271,5356,5368,5266
2019-03-04,5342,5422,5479,5336
2019-03-05,5410,5391,5417,5372
2019-03-06,5380,5480,5483,5373
2019-03-07,5456,5390,5469,5360
2019-03-08,5300,5361,5379,5296
2019-03-11,5370,5340,5385,5320
2019-03-12,5360,5351,5376,5322
2019-03-13,5346,5329,5363,5308
2019-03-14,5347,5308,5350,5302
2019-03-15,5292,5223,5292,5201
2019-03-18,5200,5212,5248,5187
2019-03-19,5230,5200,5236,5181
2019-03-20,5202,5231,5234,5186
2019-03-21,5240,5253,5274,5237
2019-03-22,5251,5226,5260,5210
2019-03-25,5199,5192,5204,5127
2019-03-26,5201,5154,5213,5151
2019-03-27,5140,5073,5160,5068
2019-03-28,5050,4918,5059,4916
2019-03-29,4918,4931,4987,4916
2019-04-01,4946,4959,4972,4904
2019-04-02,4962,4941,4994,4931
2019-04-03,4928,4952,4968,4924
2019-04-04,4960,4988,4998,4862
2019-04-08,5050,4978,5085,4968
2019-04-09,4981,5000,5032,4974
2019-04-10,4990,4994,5020,4987
2019-04-11,4991,4959,5002,4948
2019-04-12,4935,4958,4965,4900
2019-04-15,4974,4908,4978,4892
2019-04-16,4901,4853,4918,4830
2019-04-17,4867,4847,4877,4836
2019-04-18,4844,4829,4873,4795
2019-04-19,4839,4835,4850,4819
2019-04-22,4838,4846,4898,4833
2019-04-23,4853,4844,4867,4832
2019-04-24,4836,4794,4840,4778
2019-04-25,4802,4743,4816,4740
2019-04-26,4740,4665,4756,4655
2019-04-29,4650,4739,4748,4650
2019-04-30,4749,4721,4758,4716
2019-05-06,4691,4696,4726,4666
2019-05-07,4692,4712,4725,4692
2019-05-08,4570,4605,4609,4566
2019-05-09,4601,4570,4606,4565
2019-05-10,4566,4582,4614,4566
2019-05-13,4578,4434,4578,4431
2019-05-14,4434,4283,4466,4275
2019-05-15,4326,4303,4340,4287
2019-05-16,4307,4332,4358,4280
2019-05-17,4325,4248,4345,4245
2019-05-20,4251,4267,4318,4241
2019-05-21,4259,4297,4308,4258
2019-05-22,4290,4255,4310,4213
2019-05-23,4240,4257,4279,4228
2019-05-24,4259,4370,4380,4250
2019-05-27,4389,4361,4409,4328
2019-05-28,4354,4307,4379,4278
2019-05-29,4316,4341,4369,4316
2019-05-30,4338,4339,4355,4293
2019-05-31,4348,4328,4370,4320
2019-06-03,4338,4292,4338,4130
2019-06-04,4540,4565,4600,4520
2019-06-05,4575,4467,4580,4456
2019-06-06,4456,4488,4501,4439
2019-06-10,4503,4512,4540,4479
2019-06-11,4501,4529,4542,4496
2019-06-12,4547,4496,4552,4486
2019-06-13,4477,4515,4532,4477
2019-06-14,4528,4491,4532,4453
2019-06-17,4493,4493,4510,4475
2019-06-18,4504,4530,4553,4490
2019-06-19,4534,4570,4606,4528
2019-06-20,4583,4592,4595,4563
2019-06-21,4600,4542,4619,4526
2019-06-24,4506,4650,4663,4506
2019-06-25,4648,4610,4670,4592
2019-06-26,4624,4624,4632,4552
2019-06-27,4625,4579,4655,4563
2019-06-28,4590,4500,4602,4476
2019-07-01,4500,4539,4558,4479
2019-07-02,4540,4592,4610,4501
2019-07-03,4582,4530,4592,4490
2019-07-04,4520,4567,4573,4500
2019-07-05,4593,4577,4600,4544
2019-07-08,4576,4534,4593,4521
2019-07-09,4521,4334,4554,4332
2019-07-10,4340,4378,4387,4285
2019-07-11,4372,4376,4403,4326
2019-07-12,4380,4366,4385,4340
2019-07-15,4360,4373,4400,4355
2019-07-16,4370,4326,4389,4312
2019-07-17,4335,4372,4385,4320
2019-07-18,4375,4386,4395,4348
2019-07-19,4380,4465,4500,4351
2019-07-22,4464,4435,4505,4390
2019-07-23,4443,4380,4454,4380
2019-07-24,4370,4407,4419,4360
2019-07-25,4420,4425,4436,4402
2019-07-26,4430,4424,4442,4400
2019-07-29,4430,4461,4490,4428
2019-07-30,4470,4401,4532,4374
2019-07-31,4401,4423,4434,4401
2019-08-01,4421,4410,4439,4401
2019-08-02,4410,4387,4418,4338
2019-08-05,4389,4303,4405,4275
2019-08-06,4303,4359,4366,4290
2019-08-07,4352,4353,4364,4325
2019-08-08,4348,4373,4377,4318
2019-08-09,4390,4449,4449,4365
2019-08-12,4456,4445,4494,4419
2019-08-13,4446,4449,4458,4421
2019-08-14,4449,4441,4510,4420
2019-08-15,4432,4482,4485,4415
2019-08-16,4485,4535,4548,4466
2019-08-19,4545,4522,4556,4506
2019-08-20,4519,4536,4550,4507
2019-08-21,4545,4540,4550,4463
2019-08-22,4564,4527,4567,4510
2019-08-23,4530,4525,4544,4489
2019-08-26,4502,4590,4600,4502
2019-08-27,4590,4554,4602,4536
2019-08-28,4554,4554,4568,4487
2019-08-29,4565,4523,4577,4504
2019-08-30,4535,4519,4549,4507
2019-09-02,4530,4550,4553,4510
2019-09-03,4548,4530,4553,4522
2019-09-04,4530,4518,4531,4485
2019-09-05,4522,4535,4585,4510
2019-09-06,4541,4546,4585,4528
2019-09-09,4550,4593,4593,4540
2019-09-10,4601,4575,4620,4564
2019-09-11,4584,4620,4622,4550
2019-09-12,4632,4607,4632,4578
2019-09-16,4813,4833,4833,4706
2019-09-17,4900,4925,4998,4810
2019-09-18,4910,4792,4945,4736
2019-09-19,4764,4753,4788,4733
2019-09-20,4781,4737,4800,4713
2019-09-23,4710,4775,4785,4710
2019-09-24,4758,4793,4809,4744
2019-09-25,4787,4850,4850,4770
2019-09-26,4845,4693,4850,4634
2019-09-27,4673,4691,4703,4650
2019-09-30,4673,4713,4735,4663
2019-10-08,4642,4701,4710,4642
2019-10-09,4691,4691,4700,4671
2019-10-10,4702,4608,4719,4601
2019-10-11,4610,4609,4619,4567
2019-10-14,4600,4548,4615,4530
2019-10-15,4540,4545,4570,4526
2019-10-16,4546,4505,4560,4503
2019-10-17,4500,4486,4515,4457
2019-10-18,4490,4491,4499,4480
2019-10-21,4494,4452,4500,4419
2019-10-22,4454,4476,4490,4438
2019-10-23,4478,4466,4498,4458
2019-10-24,4470,4495,4505,4460
2019-10-25,4502,4477,4520,4468
2019-10-28,4485,4492,4533,4480
2019-10-29,4500,4473,4518,4456
2019-10-30,4472,4488,4500,4454
2019-10-31,4488,4479,4490,4468
2019-11-01,4472,4471,4480,4443
2019-11-04,4475,4462,4493,4458
2019-11-05,4470,4478,4497,4456
2019-11-06,4476,4428,4494,4428
2019-11-07,4435,4416,4436,4398
2019-11-08,4425,4412,4439,4405
2019-11-11,4404,4408,4426,4396
2019-11-12,4410,4445,4450,4399
2019-11-13,4450,4439,4499,4426
2019-11-14,4432,4470,4490,4416
2019-11-15,4482,4465,4495,4450
2019-11-18,4462,4467,4490,4436
2019-11-19,4468,4466,4475,4445
2019-11-20,4470,4463,4472,4426
2019-11-21,4461,4435,4486,4433
2019-11-22,4430,4413,4468,4388
2019-11-25,4408,4437,4438,4404
2019-11-26,4432,4410,4450,4402
2019-11-27,4415,4439,4469,4404
2019-11-28,4442,4486,4488,4441
2019-11-29,4489,4468,4499,4458
2019-12-02,4468,4469,4483,4446
2019-12-03,4475,4514,4528,4471
2019-12-04,4513,4518,4545,4495
2019-12-05,4520,4511,4567,4497
2019-12-06,4518,4552,4553,4515
2019-12-09,4554,4619,4639,4553
2019-12-10,4622,4645,4693,4606
2019-12-11,4905,4848,4915,4840
2019-12-12,4850,4988,4992,4809
2019-12-13,4982,4839,4990,4806
2019-12-16,4839,4871,4890,4798
2019-12-17,4880,5071,5082,4870
2019-12-18,5066,5033,5144,4989
2019-12-19,5058,4984,5079,4914
2019-12-20,4990,4850,4990,4841
2019-12-23,4822,4790,4866,4784
2019-12-24,4820,4786,4820,4733
2019-12-25,4788,4712,4807,4695
2019-12-26,4720,4702,4728,4685
2019-12-27,4700,4738,4766,4700
2019-12-30,4740,4805,4830,4740
2019-12-31,4802,4773,4814,4756
2020-01-02,4800,4830,4838,4754
2020-01-03,4636,4660,4691,4620
2020-01-06,4680,4722,4782,4637
2020-01-07,4717,4672,4717,4649
2020-01-08,4680,4705,4859,4660
2020-01-09,4680,4702,4745,4671
2020-01-10,4705,4775,4785,4689
2020-01-13,4769,4759,4786,4735
2020-01-14,4798,4746,4798,4710
2020-01-15,4750,4725,4750,4698
2020-01-16,4730,4693,4735,4667
2020-01-17,4680,4687,4699,4677
2020-01-20,4700,4664,4710,4653
2020-01-21,4669,4624,4670,4587
2020-01-22,4624,4609,4628,4557
2020-01-23,4604,4607,4618,4561
2020-02-03,4476,4322,4476,4319
2020-02-04,4326,4421,4444,4315
2020-02-05,4420,4457,4509,4415
2020-02-06,4462,4498,4503,4456
2020-02-07,4492,4512,4521,4444
2020-02-10,4500,4492,4515,4489
2020-02-11,4492,4502,4527,4488
2020-02-12,4505,4503,4536,4482
2020-02-13,4389,4407,4425,4384
2020-02-14,4538,4510,4538,4496
2020-02-17,4394,4455,4457,4387
2020-02-18,4450,4406,4455,4393
2020-02-19,4534,4545,4558,4534
2020-02-20,4453,4455,4471,4408
2020-02-21,4583,4599,4615,4569
2020-02-24,4574,4554,4587,4520
2020-02-25,4524,4574,4577,4512
2020-02-26,4552,4512,4588,4512
2020-02-27,4518,4493,4520,4477
2020-02-28,4480,4434,4482,4392
2020-03-02,4426,4470,4487,4423
2020-03-03,4484,4472,4518,4454
2020-03-04,4478,4469,4509,4456
2020-03-05,4470,4467,4489,4456
2020-03-06,4460,4425,4460,4404
2020-03-09,4091,4091,4091,4091
2020-03-10,4200,4263,4294,3972
2020-03-11,4280,4201,4286,4191
2020-03-12,4195,4140,4195,4060
2020-03-13,4100,4158,4170,4073
2020-03-16,4100,4050,4138,4050
2020-03-17,4030,3984,4063,3931
2020-03-18,3912,3840,3984,3831
2020-03-19,3763,3739,3822,3721
2020-03-20,3851,3822,3868,3760
2020-03-23,3700,3641,3709,3612
2020-03-24,3678,3541,3708,3395
2020-03-25,3531,3502,3580,3471
2020-03-26,3514,3477,3560,3438
2020-03-27,3480,3362,3488,3326
2020-03-30,3300,3142,3300,3131
2020-03-31,3160,3311,3374,3151
2020-04-01,3290,3308,3319,3238
2020-04-02,3310,3539,3548,3303
2020-04-03,3529,3524,3544,3412
2020-04-07,3628,3560,3638,3520
2020-04-08,3500,3541,3594,3459
2020-04-09,3577,3605,3627,3556
2020-04-10,3517,3637,3654,3485
2020-04-13,3670,3504,3751,3498
2020-04-14,3350,3401,3416,3325
2020-04-15,3325,3380,3442,3325
2020-04-16,3365,3375,3412,3335
2020-04-17,3400,3455,3510,3399
2020-04-20,3420,3520,3531,3418
2020-04-21,3455,3328,3520,3264
2020-04-22,3146,3123,3262,3098
2020-04-23,3198,3345,3396,3198
2020-04-24,3350,3237,3384,3214
2020-04-27,3200,3289,3320,3200
2020-04-28,3202,3339,3341,3202
2020-04-29,3396,3435,3450,3373
2020-04-30,3440,3476,3518,3414
2020-05-06,3620,3486,3622,3486
2020-05-07,3811,3835,3882,3806
2020-05-08,3884,3811,3884,3779
2020-05-11,3811,3754,3828,3736
2020-05-12,3757,3739,3777,3718
2020-05-13,3747,3760,3788,3689
2020-05-14,3800,3822,3825,3734
2020-05-15,3795,3880,3892,3784
2020-05-18,3898,3839,3899,3756
2020-05-19,3606,3649,3670,3579
2020-05-20,3660,3687,3695,3618
2020-05-21,3657,3802,3802,3645
2020-05-22,3946,3855,3968,3834
2020-05-25,3642,3646,3669,3604
2020-05-26,3877,3885,3910,3863
2020-05-27,3887,3889,3932,3856
2020-05-28,3883,3893,3898,3819
2020-05-29,3899,3865,3911,3849
2020-06-01,3855,3937,3940,3855
2020-06-02,3818,3819,3851,3797
2020-06-03,3831,3884,3891,3804
2020-06-04,3839,3819,3857,3801
2020-06-05,3824,3758,3834,3758
2020-06-08,3808,3825,3847,3774
2020-06-09,3806,3755,3812,3740
2020-06-10,3755,3768,3798,3749
2020-06-11,3654,3633,3689,3616
2020-06-12,3616,3580,3627,3511
2020-06-15,3853,3800,3871,3782
2020-06-16,3800,3835,3862,3729
2020-06-17,3855,3827,3861,3800
2020-06-18,3825,3861,3862,3810
2020-06-19,3865,3905,3923,3842
2020-06-22,3921,3882,3921,3865
2020-06-23,3886,3883,3902,3864
2020-06-24,3893,3863,3898,3850
2020-06-29,3810,3781,3849,3771
2020-06-30,3577,3558,3582,3527
2020-07-01,3563,3585,3585,3520
