Date,Open,Close,High,Low
2007-08-01,12780,12580,12900,12435
2007-08-02,12650,12450,12650,12390
2007-08-03,12410,12460,12490,12300
2007-08-06,12440,12495,12560,12410
2007-08-07,12420,12550,12670,12420
2007-08-08,12455,12515,12570,12440
2007-08-09,12540,12580,12640,12540
2007-08-10,12575,12770,12795,12560
2007-08-13,12710,12700,12850,12620
2007-08-14,12745,12685,12780,12660
2007-08-15,12665,12530,12680,12525
2007-08-16,12530,12565,12600,12520
2007-08-17,12595,12515,12620,12510
2007-08-20,12480,12495,12555,12320
2007-08-21,12520,12555,12580,12505
2007-08-22,12530,12530,12550,12500
2007-08-23,12495,12545,12550,12485
2007-08-24,12600,12545,12600,12535
2007-08-27,12520,12515,12560,12510
2007-08-28,12525,12455,12525,12450
2007-08-29,12455,12445,12475,12415
2007-08-30,12440,12390,12440,12370
2007-08-31,12480,12360,12480,12345
2007-09-03,12390,12300,12390,12250
2007-09-04,12315,12360,12380,12290
2007-09-05,12425,12420,12495,12390
2007-09-06,12450,12405,12450,12390
2007-09-07,12430,12475,12500,12420
2007-09-10,12490,12550,12670,12465
2007-09-11,12545,12475,12605,12400
2007-09-12,12510,12470,12545,12450
2007-09-13,12515,12495,12515,12455
2007-09-14,12510,12500,12590,12480
2007-09-17,12485,12485,12505,12455
2007-09-18,12440,12495,12495,12440
2007-09-19,12550,12550,12590,12505
2007-09-20,12590,12600,12620,12570
2007-09-21,12595,12590,12600,12510
2007-09-24,12610,12580,12615,12560
2007-09-25,12595,12530,12600,12515
2007-09-26,12500,12500,12525,12465
2007-09-27,12495,12490,12515,12460
2007-09-28,12520,12480,12520,12470
2007-10-01,12500,12520,12520,12485
2007-10-09,12520,12550,12600,12500
2007-10-10,12500,12515,12545,12485
2007-10-11,12530,12555,12580,12505
2007-10-12,12595,12585,12595,12555
2007-10-15,12600,12625,12740,12595
2007-10-16,12650,12670,12685,12620
2007-10-17,12700,12720,12760,12680
2007-10-18,12725,12675,12780,12670
2007-10-19,12635,12660,12675,12630
2007-10-22,12700,12680,12700,12665
2007-10-23,12625,12735,12740,12625
2007-10-24,12730,12800,12850,12730
2007-10-25,12780,12800,12815,12755
2007-10-26,12830,12820,12835,12750
2007-10-29,12850,12910,12920,12825
2007-10-30,12960,13090,13105,12900
2007-10-31,13090,13015,13090,12930
2007-11-01,12930,13095,13155,12930
2007-11-02,13185,13160,13230,13050
2007-11-05,13100,13365,13375,13100
2007-11-06,13400,13445,13480,13355
2007-11-07,13475,13630,13640,13405
2007-11-08,13685,13935,13985,13680
2007-11-09,13860,13725,13930,13700
2007-11-12,13750,13630,13820,13600
2007-11-13,13590,13480,13640,13455
2007-11-14,13455,13505,13610,13320
2007-11-15,13400,13390,13430,13150
2007-11-16,13455,13380,13545,13330
2007-11-19,13380,13365,13480,13300
2007-11-20,13455,13640,13665,13380
2007-11-21,13565,13310,13590,13300
2007-11-22,13455,13380,13550,13300
2007-11-23,13330,13430,13465,13255
2007-11-26,13415,13640,13715,13350
2007-11-27,13700,13890,13955,13615
2007-11-28,13800,13750,13860,13700
2007-11-29,13650,13565,13695,13530
2007-11-30,13465,13855,13875,13465
2007-12-03,13780,13900,14235,13725
2007-12-04,13840,13875,13995,13780
2007-12-05,13955,13855,13955,13820
2007-12-06,13840,13830,13905,13810
2007-12-07,13800,13660,13870,13560
2007-12-10,13700,13620,13705,13600
