Date,Open,Close,High,Low
2018-10-08,9230,9335,9335,9210
2018-10-09,9360,9540,9550,9360
2018-10-10,9565,9420,9565,9395
2018-10-11,9365,9275,9365,9250
2018-10-12,9260,9305,9315,9225
2018-10-15,9305,9265,9325,9265
2018-10-16,9260,9170,9280,9135
2018-10-17,9175,9165,9190,9120
2018-10-18,9135,9170,9180,9100
2018-10-19,9170,9140,9195,9135
2018-10-22,9155,9175,9200,9145
2018-10-23,9180,9170,9190,9160
2018-10-24,9150,9155,9160,9110
2018-10-25,9150,9045,9155,9005
2018-10-26,9050,9035,9085,9010
2018-10-29,9045,8950,9065,8910
2018-10-30,8960,8870,8970,8850
2018-10-31,8860,8835,8905,8795
2018-11-01,8820,8710,8830,8685
2018-11-02,8735,8765,8785,8630
2018-11-05,8760,8780,8815,8740
2018-11-06,8785,8750,8805,8700
2018-11-07,8715,8715,8740,8675
2018-11-08,8720,8715,8750,8700
2018-11-09,8710,8610,8730,8600
2018-11-12,8600,8510,8635,8505
2018-11-13,8520,8595,8650,8485
2018-11-14,8425,8550,8550,8425
2018-11-15,8560,8635,8650,8555
2018-11-16,9075,9025,9120,8975
2018-11-19,9015,9030,9090,8980
2018-11-20,9015,8920,9065,8895
2018-11-21,8795,8895,8945,8655
2018-11-22,8900,8740,8905,8735
2018-11-23,8735,8515,8760,8505
2018-11-26,8430,8540,8595,8400
2018-11-27,8595,8550,8645,8525
2018-11-28,8615,8700,8730,8580
2018-11-29,8710,8685,8725,8655
2018-11-30,8695,8815,8820,8695
2018-12-03,8900,8920,9000,8860
2018-12-04,8900,8935,9000,8885
2018-12-05,8885,8960,8975,8835
2018-12-06,8950,8965,9040,8860
2018-12-07,8970,8970,9025,8935
2018-12-10,8955,8975,9070,8945
2018-12-11,8975,8925,8975,8820
2018-12-12,8930,8945,8985,8910
2018-12-13,8930,9030,9035,8905
2018-12-14,8340,8310,8365,8290
2018-12-17,8325,8350,8360,8270
2018-12-18,8350,8395,8405,8300
2018-12-19,8395,8450,8460,8300
2018-12-20,8460,8400,8485,8350
2018-12-21,8400,8375,8410,8325
2018-12-24,8355,8285,8370,8280
