Date,Open,Close,High,Low
2019-08-09,1745,1702,1788,1702
2019-08-12,1690,1716,1726,1679
2019-08-13,1705,1767,1767,1702
2019-08-14,1770,1732,1783,1716
2019-08-15,1738,1738,1753,1724
2019-08-16,1737,1739,1754,1732
2019-08-19,1743,1741,1750,1730
2019-08-20,1741,1741,1749,1736
2019-08-21,1738,1718,1738,1706
2019-08-22,1722,1723,1730,1718
2019-08-23,1725,1720,1727,1714
2019-08-26,1715,1736,1748,1712
2019-08-27,1734,1738,1758,1731
2019-08-28,1744,1750,1758,1738
2019-08-29,1749,1786,1815,1749
2019-08-30,1795,1789,1804,1781
2019-09-02,1793,1796,1826,1781
2019-09-03,1798,1791,1806,1785
2019-09-04,1796,1813,1843,1793
2019-09-05,1814,1812,1830,1807
2019-09-06,1815,1820,1827,1810
2019-09-09,1832,1823,1840,1817
2019-09-10,1826,1811,1835,1803
2019-09-11,1811,1817,1820,1808
2019-09-12,1818,1815,1822,1811
2019-09-16,1819,1790,1825,1775
2019-09-17,1791,1781,1796,1778
2019-09-18,1782,1785,1786,1764
2019-09-19,1784,1778,1794,1774
2019-09-20,1780,1760,1780,1752
2019-09-23,1764,1763,1769,1756
2019-09-24,1764,1772,1776,1759
2019-09-25,1774,1756,1775,1754
2019-09-26,1757,1758,1765,1744
2019-09-27,1751,1749,1757,1747
2019-09-30,1754,1755,1764,1749
2019-10-08,1750,1753,1764,1728
2019-10-09,1754,1769,1773,1752
2019-10-10,1769,1758,1779,1756
2019-10-11,1760,1752,1763,1748
2019-10-14,1750,1739,1753,1734
2019-10-15,1730,1737,1738,1730
2019-10-16,1737,1730,1742,1730
2019-10-17,1728,1715,1728,1711
2019-10-18,1715,1714,1725,1711
2019-10-21,1715,1700,1715,1699
2019-10-22,1701,1683,1704,1673
2019-10-23,1685,1679,1686,1675
2019-10-24,1683,1683,1692,1678
2019-10-25,1681,1680,1687,1678
2019-10-28,1682,1685,1692,1679
2019-10-29,1686,1686,1695,1680
2019-10-30,1685,1690,1695,1682
2019-10-31,1690,1686,1697,1686
2019-11-01,1686,1687,1690,1681
2019-11-04,1687,1682,1689,1680
2019-11-05,1684,1702,1706,1682
2019-11-06,1701,1683,1706,1682
2019-11-07,1686,1668,1689,1667
2019-11-08,1670,1643,1672,1638
2019-11-11,1646,1636,1648,1634
2019-11-12,1640,1646,1655,1634
2019-11-13,1643,1649,1660,1642
2019-11-14,1649,1635,1655,1630
2019-11-15,1636,1647,1649,1632
2019-11-18,1642,1605,1645,1600
2019-11-19,1598,1604,1611,1582
2019-11-20,1605,1601,1620,1593
2019-11-21,1606,1600,1606,1594
2019-11-22,1604,1624,1635,1602
2019-11-25,1635,1660,1670,1633
2019-11-26,1659,1655,1664,1646
2019-11-27,1656,1673,1675,1656
2019-11-28,1675,1672,1679,1660
2019-11-29,1670,1675,1677,1662
2019-12-02,1670,1661,1673,1658
2019-12-03,1663,1661,1671,1658
2019-12-04,1665,1682,1698,1664
2019-12-05,1684,1720,1724,1679
2019-12-06,1717,1726,1734,1712
2019-12-09,1732,1742,1748,1726
2019-12-10,1739,1741,1753,1734
2019-12-11,1732,1732,1738,1720
2019-12-12,1731,1717,1732,1714
2019-12-13,1720,1710,1727,1701
2019-12-16,1735,1729,1742,1720
2019-12-17,1728,1729,1736,1722
2019-12-18,1726,1708,1727,1707
2019-12-19,1710,1727,1727,1707
2019-12-20,1730,1715,1730,1715
2019-12-23,1720,1716,1724,1713
2019-12-24,1711,1700,1718,1696
2019-12-25,1703,1705,1708,1700
2019-12-26,1704,1714,1715,1702
2019-12-27,1711,1711,1722,1709
2019-12-30,1711,1715,1720,1701
2019-12-31,1712,1723,1729,1711
2020-01-02,1722,1716,1731,1716
2020-01-03,1716,1714,1719,1705
2020-01-06,1716,1728,1735,1716
2020-01-07,1727,1742,1747,1727
2020-01-08,1750,1745,1776,1730
2020-01-09,1740,1731,1742,1730
2020-01-10,1733,1738,1746,1732
2020-01-13,1738,1762,1770,1737
2020-01-14,1758,1755,1773,1751
2020-01-15,1758,1758,1761,1752
2020-01-16,1762,1757,1767,1753
2020-01-17,1756,1746,1760,1745
2020-01-20,1748,1749,1754,1741
2020-01-21,1750,1720,1758,1717
2020-01-22,1720,1716,1720,1705
2020-01-23,1713,1710,1716,1705
2020-02-03,1615,1650,1670,1610
2020-02-04,1655,1692,1699,1654
2020-02-05,1684,1702,1717,1683
2020-02-06,1703,1708,1713,1696
2020-02-07,1702,1713,1715,1702
2020-02-10,1715,1719,1729,1712
2020-02-11,1715,1736,1738,1715
2020-02-12,1736,1735,1748,1728
2020-02-13,1737,1732,1741,1723
2020-02-14,1732,1737,1738,1720
2020-02-17,1741,1753,1755,1738
2020-02-18,1759,1753,1760,1750
2020-02-19,1753,1756,1758,1746
2020-02-20,1756,1747,1760,1736
2020-02-21,1750,1793,1804,1746
2020-02-24,1801,1807,1818,1790
2020-02-25,1799,1809,1820,1787
2020-02-26,1805,1789,1817,1781
2020-02-27,1781,1754,1786,1750
2020-02-28,1743,1749,1773,1733
2020-03-02,1762,1767,1783,1760
2020-03-03,1780,1777,1784,1766
2020-03-04,1780,1816,1831,1780
2020-03-05,1820,1810,1825,1804
2020-03-06,1814,1827,1834,1807
2020-03-09,1780,1761,1816,1755
2020-03-10,1771,1767,1785,1756
2020-03-11,1768,1752,1783,1751
2020-03-12,1758,1724,1763,1721
2020-03-13,1716,1727,1733,1706
2020-03-16,1720,1697,1730,1690
2020-03-17,1699,1699,1705,1685
2020-03-18,1696,1681,1702,1675
2020-03-19,1670,1646,1679,1625
2020-03-20,1656,1654,1680,1646
2020-03-23,1635,1647,1657,1630
2020-03-24,1649,1655,1671,1644
2020-03-25,1665,1651,1665,1635
2020-03-26,1650,1651,1664,1640
2020-03-27,1651,1649,1657,1645
2020-03-30,1641,1621,1660,1612
2020-03-31,1616,1607,1634,1598
2020-04-01,1610,1625,1629,1607
