Date,Open,Close,High,Low
2003-03-31,2931,2922,2931,2914
2003-04-01,2920,2974,2982,2920
2003-04-02,2977,3004,3023,2975
2003-04-03,2982,3013,3014,2977
2003-04-04,3024,3007,3029,3005
2003-04-07,2992,3008,3014,2984
2003-04-08,3011,3000,3012,2993
2003-04-09,3000,2951,3004,2949
2003-04-10,2951,2983,3017,2932
2003-04-11,2980,2985,3003,2978
2003-04-14,2982,2984,2990,2973
2003-04-15,2982,2965,2986,2954
2003-04-16,2963,2977,2988,2962
2003-04-17,2977,2976,2984,2967
2003-04-18,2977,3001,3013,2971
2003-04-21,3001,2990,3017,2988
2003-04-22,2990,2982,2999,2946
2003-04-23,2982,2974,2989,2963
2003-04-24,2975,2960,2975,2958
2003-04-25,2960,2968,2976,2959
2003-04-28,2973,2981,2987,2970
2003-04-29,2984,2978,2990,2972
2003-04-30,2978,2958,2978,2950
2003-05-01,2959,2965,2968,2955
2003-05-13,2984,2964,2992,2962
2003-05-14,2962,2954,2967,2950
2003-05-15,2954,2961,2967,2951
2003-05-16,2962,2910,2962,2907
2003-05-19,2902,2884,2917,2878
2003-05-20,2883,2879,2884,2872
2003-05-21,2875,2861,2885,2856
2003-05-22,2864,2872,2877,2854
2003-05-23,2870,2864,2874,2863
2003-05-26,2861,2843,2862,2843
2003-05-27,2841,2853,2854,2833
2003-05-28,2852,2843,2855,2837
2003-05-29,2842,2840,2846,2835
2003-05-30,2838,2815,2839,2793
2003-06-02,2815,2820,2869,2808
2003-06-03,2812,2819,2820,2809
2003-06-04,2816,2819,2828,2812
2003-06-05,2812,2810,2817,2799
2003-06-06,2805,2806,2812,2801
2003-06-09,2807,2809,2813,2804
2003-06-10,2813,2811,2827,2810
2003-06-11,2813,2817,2818,2810
2003-06-12,2818,2816,2822,2813
2003-06-13,2816,2841,2842,2816
2003-06-16,2840,2831,2840,2828
2003-06-17,2822,2826,2831,2818
2003-06-18,2826,2834,2839,2825
2003-06-19,2833,2835,2848,2833
2003-06-20,2834,2828,2839,2827
2003-06-23,2828,2821,2831,2820
2003-06-24,2821,2818,2825,2814
2003-06-25,2818,2798,2819,2796
2003-06-26,2798,2794,2800,2758
2003-06-27,2794,2787,2804,2780
2003-06-30,2784,2772,2784,2742
2003-07-01,2772,2772,2779,2766
2003-07-02,2775,2777,2780,2772
2003-07-03,2776,2775,2786,2771
2003-07-04,2775,2780,2781,2775
2003-07-07,2780,2782,2789,2777
2003-07-08,2785,2789,2791,2781
2003-07-09,2790,2787,2792,2785
2003-07-10,2787,2784,2789,2781
2003-07-11,2785,2803,2803,2785
2003-07-14,2814,2808,2817,2795
2003-07-15,2805,2807,2815,2801
2003-07-16,2806,2817,2819,2800
2003-07-17,2816,2815,2823,2813
2003-07-18,2816,2819,2819,2813
2003-07-21,2822,2827,2833,2820
2003-07-22,2824,2827,2830,2821
2003-07-23,2806,2825,2827,2806
2003-07-24,2841,2833,2841,2832
2003-07-25,2822,2816,2823,2812
2003-07-28,2834,2830,2847,2826
2003-07-29,2815,2831,2834,2812
2003-07-30,2847,2843,2850,2839
2003-07-31,2842,2837,2848,2836
2003-08-01,2856,2871,2874,2852
2003-08-04,2872,2869,2880,2867
2003-08-05,2869,2879,2885,2866
2003-08-06,2852,2859,2872,2848
2003-08-07,2854,2852,2856,2840
2003-08-08,2854,2870,2876,2852
2003-08-11,2873,2870,2880,2865
2003-08-12,2874,2870,2878,2842
2003-08-13,2868,2870,2880,2868
2003-08-14,2870,2861,2873,2860
2003-08-15,2859,2853,2859,2847
2003-08-18,2849,2855,2858,2849
2003-08-19,2855,2874,2879,2855
2003-08-20,2875,2914,2922,2874
2003-08-21,2914,2923,2935,2907
2003-08-22,2922,2893,2931,2893
2003-08-25,2892,2902,2909,2888
2003-08-26,2892,2847,2902,2847
2003-08-27,2837,2809,2852,2799
2003-08-28,2815,2828,2835,2806
2003-08-29,2829,2809,2829,2792
2003-09-01,2812,2817,2828,2809
2003-09-02,2817,2811,2818,2802
2003-09-03,2809,2821,2827,2809
2003-09-04,2821,2821,2829,2819
2003-09-05,2820,2825,2828,2819
2003-09-08,2825,2808,2825,2803
2003-09-09,2804,2809,2811,2795
2003-09-10,2808,2819,2821,2808
2003-09-11,2819,2809,2819,2807
2003-09-12,2808,2816,2819,2807
2003-09-15,2815,2817,2819,2811
2003-09-16,2816,2853,2854,2816
2003-09-17,2854,2866,2869,2848
2003-09-18,2863,2860,2865,2853
2003-09-19,2860,2869,2871,2858
2003-09-22,2870,2838,2871,2838
2003-09-23,2838,2821,2840,2812
2003-09-24,2817,2814,2834,2813
2003-09-25,2812,2799,2820,2798
2003-09-26,2797,2786,2807,2772
2003-09-29,2788,2778,2798,2775
2003-09-30,2777,2775,2779,2764
2003-10-01,2778,2777,2783,2772
2003-10-09,2771,2822,2826,2767
2003-10-10,2820,2823,2837,2813
2003-10-13,2823,2829,2834,2814
2003-10-14,2833,2876,2876,2833
2003-10-15,2916,2924,2944,2889
2003-10-16,2912,2938,2975,2899
2003-10-17,2954,2890,2977,2890
2003-10-20,2863,2860,2887,2860
2003-10-21,2814,2880,2920,2814
2003-10-22,2884,2870,2910,2867
2003-10-23,2877,2933,2938,2875
2003-10-24,2949,2885,2967,2867
2003-10-27,2892,2877,2920,2877
2003-10-28,2877,2927,2941,2877
2003-10-29,2902,2909,2917,2883
2003-10-30,2940,2939,2950,2918
2003-10-31,2942,2924,2948,2898
2003-11-03,2943,2973,2992,2943
2003-11-04,2942,2975,2989,2942
2003-11-05,2970,2943,2974,2917
2003-11-06,2921,2922,2953,2903
2003-11-07,2942,2940,2957,2930
2003-11-10,2937,2916,2937,2893
2003-11-11,2912,2951,2957,2909
2003-11-12,2960,2976,2982,2949
2003-11-13,2982,2959,2991,2942
2003-11-14,2976,2982,2990,2962
2003-11-17,2983,2971,2989,2954
2003-11-18,2970,3019,3029,2965
2003-11-19,3018,3006,3022,3000
2003-11-20,2992,2952,3006,2952
2003-11-21,2903,2903,2921,2903
2003-11-24,2893,2908,2947,2882
2003-11-25,2914,2919,2925,2908
2003-11-26,2902,2918,2936,2902
2003-11-27,2924,2954,2955,2924
2003-11-28,2957,2956,2969,2945
2003-12-01,2957,2948,2967,2947
2003-12-02,2962,2982,2989,2962
2003-12-03,2986,2946,2990,2930
2003-12-04,2960,2982,2987,2952
2003-12-05,2990,2974,2994,2963
2003-12-08,2967,2969,2984,2954
2003-12-09,2960,2960,2972,2948
2003-12-10,2972,2971,2978,2965
2003-12-11,2975,2970,2985,2964
2003-12-12,2962,2940,2968,2919
2003-12-15,2927,2938,2947,2924
2003-12-16,2942,2943,2953,2935
2003-12-17,2937,2933,2938,2927
2003-12-18,2934,2934,2947,2930
2003-12-19,2932,2918,2937,2918
2003-12-22,2930,2905,2932,2898
2003-12-23,2905,2905,2914,2901
2003-12-24,2897,2879,2910,2873
2003-12-25,2852,2839,2867,2839
2003-12-26,2827,2846,2860,2823
2003-12-29,2845,2856,2864,2845
2003-12-30,2871,2888,2892,2871
2003-12-31,2882,2846,2882,2828
2004-01-01,2847,2855,2859,2835
2004-01-05,2867,2854,2870,2850
2004-01-06,2892,2875,2892,2868
2004-01-07,2872,2876,2882,2862
2004-01-08,2894,2916,2927,2894
2004-01-09,2918,2919,2920,2897
2004-01-12,2912,2935,2941,2912
2004-01-13,2925,2908,2931,2897
2004-01-14,2925,2905,2928,2895
2004-01-15,2903,2906,2910,2898
2004-01-16,2906,2914,2915,2904
2004-01-19,2907,2918,2920,2906
2004-01-30,2902,2942,2953,2885
2004-02-02,2945,2986,2987,2942
2004-02-03,3034,3041,3056,3017
2004-02-04,3043,3052,3057,3036
2004-02-05,3051,3075,3076,3044
2004-02-06,3073,3027,3073,3022
2004-02-09,2994,3007,3027,2994
2004-02-10,3009,3010,3023,2989
2004-02-11,3022,2993,3040,2974
2004-02-12,2992,3024,3031,2987
2004-02-13,3039,3076,3076,3034
2004-02-16,3079,3068,3084,3056
2004-02-17,3064,3077,3082,3064
2004-02-18,3078,3069,3092,3066
2004-02-19,3068,3096,3102,3068
2004-02-20,3084,3079,3095,3075
2004-02-23,3092,3104,3117,3092
2004-02-24,3117,3122,3125,3108
2004-02-25,3143,3117,3148,3110
2004-02-26,3130,3125,3132,3115
2004-02-27,3113,3105,3122,3094
2004-03-01,3105,3096,3124,3094
2004-03-02,3098,3122,3122,3096
2004-03-03,3122,3152,3173,3115
2004-03-04,3144,3168,3206,3136
2004-03-05,3184,3187,3192,3170
2004-03-08,3195,3187,3209,3175
2004-03-09,3189,3178,3201,3169
2004-03-10,3164,3180,3183,3159
2004-03-11,3187,3192,3195,3179
2004-03-12,3184,3170,3187,3159
2004-03-15,3174,3166,3178,3161
2004-03-16,3167,3215,3219,3164
2004-03-17,3215,3224,3232,3213
2004-03-18,3228,3223,3236,3216
2004-03-19,3235,3214,3245,3212
2004-03-22,3224,3212,3231,3209
2004-03-23,3214,3213,3222,3202
2004-03-24,3234,3225,3243,3211
2004-03-25,3225,3206,3225,3205
2004-03-26,3189,3197,3205,3189
2004-03-29,3189,3187,3201,3178
2004-03-30,3189,3177,3196,3175
2004-03-31,3179,3219,3220,3177
