Date,Open,Close,High,Low
2018-10-09,2630,2620,2630,2611
2018-10-11,2619,2621,2623,2592
2018-10-12,2621,2622,2625,2600
2018-10-15,2621,2620,2626,2617
2018-10-16,2624,2602,2624,2602
2018-10-19,2610,2593,2610,2593
2018-10-22,2610,2610,2610,2610
2018-10-29,2610,2610,2610,2610
2018-11-01,2591,2610,2610,2590
2018-11-02,2593,2613,2613,2593
2018-11-05,2630,2619,2630,2607
2018-11-07,2611,2611,2611,2611
2018-11-09,2620,2600,2620,2600
2018-11-12,2586,2594,2600,2586
2018-11-13,2607,2608,2608,2607
2018-11-15,2600,2600,2620,2600
2018-11-16,2610,2619,2619,2610
2018-11-19,2600,2605,2605,2600
2018-11-20,2600,2620,2620,2599
2018-11-21,2622,2609,2622,2599
2018-11-23,2607,2592,2607,2592
2018-11-26,2583,2545,2590,2532
2018-11-27,2537,2540,2540,2505
2018-11-28,2541,2531,2550,2529
2018-11-29,2541,2541,2541,2541
2018-11-30,2551,2521,2551,2520
2018-12-03,2543,2521,2550,2517
2018-12-04,2534,2510,2534,2510
2018-12-05,2512,2500,2530,2500
2018-12-06,2512,2480,2512,2480
2018-12-07,2478,2484,2495,2478
2018-12-10,2506,2467,2506,2463
2018-12-11,2459,2481,2483,2453
2018-12-13,2495,2477,2499,2477
2018-12-14,2486,2484,2487,2483
2018-12-17,2465,2466,2466,2453
2018-12-18,2460,2450,2460,2450
2018-12-19,2458,2451,2469,2449
2018-12-20,2457,2447,2457,2447
2018-12-21,2444,2449,2465,2444
2018-12-24,2422,2446,2464,2408
2018-12-25,2424,2440,2447,2424
2018-12-26,2434,2395,2435,2395
2018-12-27,2414,2409,2419,2395
2018-12-28,2417,2421,2421,2389
2019-01-02,2406,2419,2420,2406
2019-01-04,2420,2420,2420,2420
2019-01-07,2423,2423,2423,2423
2019-01-08,2451,2422,2451,2412
2019-01-09,2428,2424,2428,2413
2019-01-10,2417,2415,2417,2414
2019-01-11,2411,2409,2412,2400
2019-01-14,2426,2416,2426,2414
2019-01-15,2402,2408,2409,2400
2019-01-16,2401,2402,2402,2401
2019-01-17,2404,2406,2425,2403
2019-01-18,2405,2405,2405,2405
2019-01-22,2404,2404,2404,2404
2019-01-25,2408,2415,2415,2408
2019-01-30,2398,2398,2422,2385
2019-01-31,2369,2399,2399,2369
2019-02-01,2393,2403,2409,2393
2019-02-11,2464,2419,2464,2391
2019-02-12,2418,2420,2425,2418
2019-02-13,2419,2421,2421,2415
2019-02-14,2421,2421,2428,2419
2019-02-15,2427,2418,2427,2418
2019-02-18,2430,2416,2430,2416
2019-02-19,2413,2420,2420,2413
2019-02-20,2424,2425,2435,2419
2019-02-21,2435,2415,2435,2415
2019-02-22,2424,2425,2434,2420
2019-02-25,2429,2422,2429,2422
2019-02-26,2427,2427,2427,2427
2019-02-27,2426,2420,2427,2420
2019-02-28,2420,2418,2420,2418
2019-03-01,2416,2419,2423,2416
2019-03-04,2424,2418,2424,2418
2019-03-05,2424,2418,2424,2418
2019-03-06,2418,2420,2423,2417
2019-03-07,2414,2407,2417,2402
2019-03-08,2400,2408,2409,2400
2019-03-12,2402,2401,2409,2401
2019-03-13,2415,2410,2415,2402
2019-03-15,2401,2401,2401,2401
2019-03-18,2420,2406,2420,2406
2019-03-19,2415,2413,2415,2413
2019-03-20,2406,2412,2415,2406
2019-03-21,2411,2410,2411,2410
2019-03-22,2409,2407,2409,2397
2019-03-25,2405,2400,2405,2400
2019-03-27,2415,2416,2416,2409
2019-03-28,2419,2411,2419,2409
2019-03-29,2403,2407,2411,2403
2019-04-01,2427,2416,2427,2408
2019-04-02,2425,2415,2426,2406
2019-04-03,2468,2420,2468,2405
2019-04-04,2430,2429,2430,2422
2019-04-08,2423,2420,2428,2419
2019-04-09,2407,2430,2430,2407
2019-04-10,2421,2425,2430,2421
2019-04-11,2435,2424,2435,2424
2019-04-12,2431,2424,2432,2424
2019-04-15,2429,2423,2429,2420
2019-04-16,2430,2435,2435,2424
2019-04-17,2423,2433,2433,2423
2019-04-18,2428,2430,2430,2422
2019-04-19,2432,2470,2475,2431
2019-04-22,2530,2449,2530,2446
2019-04-23,2451,2448,2456,2440
2019-04-24,2451,2437,2451,2436
2019-04-25,2687,2649,2697,2515
2019-04-26,2663,2689,2705,2663
2019-04-29,2671,2700,2740,2602
2019-04-30,2675,2738,2753,2653
2019-05-06,2680,2680,2750,2655
2019-05-07,2850,2856,2856,2850
2019-05-10,2432,2589,2589,2432
2019-05-14,2500,2499,2500,2460
2019-05-16,2500,2500,2500,2500
2019-05-17,2555,2521,2561,2521
2019-05-20,2550,2530,2550,2518
2019-05-21,2550,2550,2550,2550
2019-05-22,2520,2519,2520,2519
2019-05-23,2525,2520,2539,2520
2019-05-27,2481,2481,2481,2481
2019-05-29,2506,2509,2527,2495
2019-05-30,2500,2481,2500,2481
2019-06-03,2501,2500,2503,2500
2019-06-04,2505,2504,2515,2504
2019-06-05,2501,2490,2501,2490
2019-06-06,2500,2500,2500,2500
2019-06-10,2471,2475,2475,2471
2019-06-13,2480,2519,2519,2480
2019-06-14,2486,2486,2486,2486
2019-06-24,2495,2495,2495,2495
2019-07-01,2462,2462,2462,2462
2019-07-03,2429,2449,2486,2429
2019-07-11,2504,2480,2504,2469
2019-07-23,2443,2443,2443,2443
2019-07-30,2389,2428,2486,2389
2019-09-03,2433,2422,2479,2422
2019-09-04,2406,2420,2440,2392
2019-09-05,2389,2398,2428,2389
2019-09-06,2436,2405,2436,2403
2019-09-09,2408,2401,2408,2400
2019-09-10,2088,2088,2088,2088
2019-09-16,2210,2210,2210,2210
2019-09-20,2437,2437,2437,2437
2019-09-23,2437,2435,2437,2435
2019-09-24,2402,2402,2402,2402
2019-10-18,2399,2399,2399,2399
2019-10-22,2400,2400,2400,2400
2019-11-01,2288,2281,2288,2281
2019-11-19,2429,2429,2429,2429
2019-11-20,2335,2345,2428,2335
2019-11-21,2367,2373,2376,2364
2019-11-22,2471,2471,2471,2471
2019-11-26,2547,2554,2596,2512
2019-11-27,2572,2586,2590,2569
2019-11-28,2607,2576,2607,2576
2019-11-29,2522,2521,2522,2521
2019-12-02,2567,2564,2567,2552
2019-12-03,2539,2536,2560,2536
2019-12-04,2539,2539,2539,2539
2019-12-05,2542,2542,2542,2542
2019-12-11,2579,2575,2579,2575
2019-12-19,2586,2580,2586,2580
2019-12-24,2546,2546,2546,2546
2019-12-25,2570,2570,2570,2570
2019-12-26,2567,2567,2567,2567
2019-12-30,2572,2551,2572,2551
2020-01-02,2530,2576,2576,2530
2020-01-03,2545,2545,2545,2545
2020-01-15,2300,2300,2300,2300
2020-01-17,2593,2521,2593,2521
2020-02-03,2700,2605,2700,2600
2020-02-04,2699,2623,2699,2612
2020-02-07,2636,2646,2646,2636
2020-02-10,2657,2663,2700,2654
2020-02-11,0,0,0,0
2020-02-13,2665,2665,2665,2665
2020-02-17,2758,2688,2784,2682
2020-02-18,2604,2595,2606,2595
2020-02-19,2590,2595,2600,2590
2020-02-20,2589,2552,2589,2550
2020-02-21,2535,2513,2540,2513
2020-02-24,2487,2505,2525,2487
2020-02-25,2487,2506,2511,2487
2020-02-26,2501,2509,2509,2501
2020-02-27,2519,2506,2519,2506
2020-02-28,2484,2495,2495,2478
2020-03-02,2519,2501,2519,2488
2020-03-03,2506,2502,2511,2502
2020-03-04,2506,2479,2526,2447
2020-03-05,2482,2480,2489,2480
2020-03-06,2479,2483,2483,2479
2020-03-09,2462,2461,2472,2461
2020-03-12,2442,2460,2460,2442
2020-03-13,2412,2468,2468,2412
2020-03-16,2568,2542,2568,2542
2020-03-17,2517,2538,2540,2460
2020-03-19,2472,2499,2508,2460
2020-03-20,2503,2504,2515,2503
2020-03-23,2512,2562,2567,2512
2020-03-24,2579,2580,2580,2523
2020-03-25,2543,2550,2570,2535
2020-03-26,2532,2520,2535,2517
2020-03-27,2535,2528,2549,2511
2020-03-30,2568,2571,2591,2540
2020-03-31,2578,2545,2578,2543
2020-04-01,2537,2543,2566,2537
2020-04-02,2522,2531,2542,2502
2020-04-03,2536,2537,2544,2516
2020-04-07,2537,2557,2563,2537
2020-04-08,2572,2579,2590,2552
2020-04-09,2573,2548,2603,2541
2020-04-10,2646,2630,2660,2622
2020-04-13,2629,2637,2651,2629
2020-04-14,2626,2631,2642,2614
2020-04-15,2640,2638,2642,2615
2020-04-16,2619,2629,2636,2619
2020-04-17,2623,2616,2630,2616
2020-04-20,2621,2632,2632,2619
2020-04-21,2620,2625,2629,2620
2020-04-22,2621,2624,2631,2617
2020-04-23,2616,2630,2635,2616
2020-04-24,2621,2621,2626,2614
2020-04-27,2610,2571,2610,2560
2020-04-28,2561,2560,2590,2560
2020-04-29,2531,2524,2531,2524
2020-04-30,2502,2352,2690,2352
2020-05-06,2351,2351,2351,2351
2020-05-11,2580,2550,2580,2541
2020-05-12,2554,2554,2554,2554
2020-05-13,2532,2531,2533,2531
2020-05-14,2549,2520,2549,2518
2020-05-18,2530,2528,2530,2528
2020-05-20,2565,2564,2569,2562
2020-05-25,2555,2565,2565,2555
2020-05-26,2561,2562,2562,2561
2020-05-27,2566,2588,2595,2566
2020-05-28,2588,2595,2605,2580
2020-06-01,2590,2590,2604,2590
2020-06-02,2590,2590,2590,2590
2020-06-04,2607,2607,2607,2607
2020-06-09,2600,2598,2602,2598
2020-06-10,2582,2582,2582,2582
2020-06-11,2601,2584,2601,2584
2020-06-12,2570,2589,2589,2570
2020-06-15,2597,2596,2605,2594
2020-06-17,2651,2651,2651,2651
2020-06-18,2551,2627,2637,2551
2020-06-22,2580,2602,2612,2580
2020-06-23,2605,2605,2605,2605
2020-06-24,2600,2677,2677,2600
2020-06-29,2500,2500,2500,2500
2020-06-30,2608,2604,2608,2604
2020-07-01,2590,2585,2593,2579
2020-07-07,2600,2608,2608,2600
2020-07-08,2616,2598,2616,2594
2020-07-10,2609,2599,2609,2599
2020-07-16,2596,2595,2596,2595
2020-07-20,2605,2605,2626,2605
2020-07-21,2618,2600,2618,2600
2020-07-22,2616,2606,2616,2601
2020-07-23,2611,2611,2611,2611
2020-07-24,2650,2650,2650,2650
2020-07-27,2592,2635,2642,2592
2020-07-28,2633,2637,2642,2603
2020-07-29,2625,2636,2638,2611
2020-07-30,2625,2618,2647,2618
2020-07-31,2621,2620,2621,2620
2020-08-04,2641,2650,2667,2641
2020-08-05,2650,2650,2650,2650
2020-08-06,2646,2660,2660,2645
2020-08-07,2655,2655,2655,2655
2020-08-10,2650,2645,2650,2645
2020-08-11,2633,2639,2639,2633
2020-08-12,2660,2636,2660,2636
2020-08-13,2664,2654,2670,2654
2020-08-14,2658,2648,2658,2642
2020-08-17,2651,2653,2670,2639
2020-08-18,2664,2652,2668,2652
2020-08-19,2661,2648,2661,2644
2020-08-20,2650,2638,2650,2638
2020-08-21,2638,2621,2638,2620
2020-08-24,2629,2615,2629,2615
2020-08-25,2525,2580,2580,2490
2020-08-26,2572,2572,2572,2572
2020-08-27,2649,2638,2650,2633
2020-08-28,2621,2628,2637,2621
2020-08-31,2620,2626,2628,2620
2020-09-01,2636,2623,2636,2621
2020-09-03,2630,2630,2630,2630
2020-09-15,2501,2501,2501,2501
2020-09-21,2494,2481,2494,2480
2020-09-24,2647,2647,2647,2647
2020-10-16,2602,2602,2602,2602
2020-10-20,2728,2728,2728,2728
2020-10-22,2633,2690,2690,2633
2020-10-26,2704,2704,2704,2704
2020-10-27,2500,2500,2500,2500
2020-10-28,2701,2700,2701,2700
2020-10-29,2460,2460,2460,2460
2020-10-30,2460,2460,2460,2460
2020-11-05,2759,2712,2759,2712
2020-11-11,2727,2727,2727,2727
2020-11-12,2700,2700,2700,2694
2020-11-13,2697,2699,2699,2697
2020-11-16,2698,2696,2698,2696
2020-11-18,2701,2701,2701,2701
2020-11-26,2691,2691,2691,2691
2020-11-30,2650,2661,2661,2650
2020-12-02,2651,2655,2655,2651
2020-12-04,2684,2684,2684,2684
2020-12-07,2652,2650,2653,2650
2020-12-08,2630,2650,2650,2630
2020-12-11,2650,2650,2650,2650
2020-12-14,2650,2648,2650,2648
2020-12-16,2643,2642,2643,2642
2020-12-17,2669,2649,2669,2649
2020-12-18,2650,2650,2678,2650
2020-12-21,2650,2650,2674,2650
2020-12-22,2652,2662,2667,2640
2020-12-23,2650,2650,2651,2650
2020-12-24,2658,2650,2658,2650
2020-12-25,2651,2650,2662,2646
2020-12-28,2672,2656,2676,2651
2020-12-29,2651,2660,2661,2651
2020-12-30,2662,2671,2677,2658
2020-12-31,2670,2680,2698,2668
2021-01-04,2690,2698,2700,2680
2021-01-05,2660,2681,2690,2660
2021-01-06,2696,2692,2696,2681
2021-01-07,2717,2687,2717,2682
2021-01-12,2641,2651,2651,2641
2021-01-14,2680,2792,2792,2680
2021-01-15,2730,2730,2730,2730
2021-01-18,2859,2920,2920,2859
2021-01-19,2889,2889,2889,2889
2021-01-21,2830,2848,2848,2793
2021-01-22,2786,2784,2789,2778
2021-01-25,2771,2755,2771,2755
2021-01-26,2818,2818,2818,2818
2021-01-29,2744,2744,2744,2744
2021-02-03,2736,2729,2736,2729
2021-02-08,2691,2691,2691,2691
2021-02-19,2730,2720,2730,2720
2021-02-22,2750,2750,2750,2750
