Date,Open,Close,High,Low
2009-04-21,2117,2105,2138,2097
2009-04-22,2095,2112,2135,2078
2009-04-23,2118,2110,2125,2102
2009-04-24,2112,2116,2120,2105
2009-04-27,2115,2109,2115,2105
2009-04-28,2107,2101,2107,2087
2009-04-29,2102,2100,2103,2092
2009-04-30,2101,2100,2102,2097
2009-05-01,2102,2105,2105,2099
2009-05-05,2112,2115,2116,2107
2009-05-06,2116,2104,2117,2104
2009-05-07,2105,2102,2106,2099
2009-05-08,2104,2107,2111,2102
2009-05-11,2107,2107,2109,2099
2009-05-12,2107,2105,2107,2102
2009-05-13,2105,2108,2108,2100
2009-05-14,2108,2104,2109,2102
2009-05-15,2102,2106,2107,2102
2009-05-18,2106,2105,2108,2103
2009-05-19,2102,2105,2107,2101
2009-05-20,2107,2106,2107,2103
2009-05-21,2105,2104,2107,2103
2009-05-22,2103,2103,2105,2102
2009-05-25,2102,2103,2104,2101
2009-05-26,2103,2103,2105,2100
2009-05-27,2102,2098,2102,2097
2009-05-28,2100,2094,2100,2092
2009-06-02,2095,2096,2099,2094
2009-06-03,2099,2099,2101,2095
2009-06-04,2097,2098,2100,2095
2009-06-05,2096,2097,2098,2095
2009-06-08,2098,2097,2100,2096
2009-06-09,2096,2098,2100,2094
2009-06-10,2100,2142,2158,2098
2009-06-11,2152,2138,2165,2132
2009-06-12,2138,2126,2146,2121
2009-06-15,2133,2120,2133,2117
2009-06-16,2115,2122,2130,2115
2009-06-17,2116,2115,2122,2113
2009-06-18,2112,2119,2122,2112
2009-06-19,2122,2122,2132,2118
2009-06-22,2119,2123,2128,2119
2009-06-23,2122,2115,2123,2113
2009-06-24,2115,2112,2115,2108
2009-06-25,2114,2130,2131,2114
2009-06-26,2129,2123,2129,2122
2009-06-29,2124,2136,2137,2122
2009-06-30,2136,2129,2142,2127
2009-07-01,2131,2133,2139,2130
2009-07-02,2132,2146,2152,2131
2009-07-03,2143,2134,2152,2134
2009-07-06,2135,2134,2139,2129
2009-07-07,2140,2136,2152,2133
2009-07-08,2139,2137,2142,2135
2009-07-09,2132,2122,2134,2121
2009-07-10,2123,2120,2128,2118
2009-07-13,2122,2121,2124,2119
2009-07-14,2127,2114,2128,2114
2009-07-15,2118,2120,2122,2113
2009-07-16,2119,2118,2121,2115
2009-07-17,2119,2106,2121,2097
2009-07-20,2102,2103,2105,2097
2009-07-21,2105,2107,2107,2102
2009-07-22,2106,2101,2107,2100
2009-07-23,2101,2095,2101,2091
2009-07-24,2097,2107,2107,2093
2009-07-27,2109,2100,2111,2095
2009-07-28,2103,2095,2103,2092
2009-07-29,2097,2097,2100,2094
2009-07-30,2096,2099,2101,2092
2009-07-31,2099,2102,2103,2096
2009-08-03,2102,2104,2107,2100
2009-08-04,2107,2116,2122,2101
2009-08-05,2112,2102,2116,2099
2009-08-06,2103,2079,2105,2075
2009-08-07,2072,2070,2079,2067
2009-08-10,2072,2034,2072,2032
2009-08-11,2033,2038,2045,2032
2009-08-12,2076,2075,2084,2045
2009-08-13,2070,2075,2085,2070
2009-08-14,2078,2110,2119,2073
2009-08-17,2110,2120,2140,2100
2009-08-18,2106,2124,2154,2096
2009-08-19,2131,2115,2140,2110
2009-08-20,2117,2077,2120,2069
2009-08-21,2082,2075,2084,2056
