Date,Open,Close,High,Low
2018-10-08,2350,2350,2350,2350
2018-10-23,2792,2516,2793,2516
2018-10-26,2462,2462,2462,2462
2018-11-02,2585,2400,2585,2400
2018-11-08,2430,2430,2430,2430
2019-02-27,2210,2400,2550,2210
2019-02-28,2344,2344,2344,2344
2019-03-07,2199,2199,2199,2199
2019-03-13,2140,2250,2250,2140
2019-03-14,2201,2201,2201,2201
2019-07-31,2534,2381,2534,2381
2019-08-01,2547,2523,2547,2523
2020-02-20,2744,2732,2745,2727
2020-02-21,2730,2710,2730,2655
2020-02-24,2671,2674,2674,2671
2020-03-18,2560,2582,2645,2560
2020-03-24,2595,2596,2596,2595
2020-03-27,2625,2625,2625,2625
2020-04-03,2569,2606,2606,2569
2020-04-07,2691,2637,2692,2637
2020-04-09,2734,2677,2734,2669
2020-04-10,2659,2659,2659,2659
2020-04-13,2732,2668,2732,2668
2020-04-14,2673,2600,2673,2599
2020-04-15,2570,2585,2589,2570
2020-04-17,2510,2511,2610,2510
2020-04-21,2452,2530,2631,2452
2020-04-22,2600,2570,2600,2550
2020-04-23,2574,2619,2626,2553
2020-04-24,2601,2601,2601,2601
2020-07-15,3000,2800,3000,2713
2020-07-16,2815,2761,2815,2717
2020-07-21,2701,2701,2701,2701
2020-07-29,2600,2600,2600,2600
2020-08-04,2492,2681,2681,2492
2021-08-06,2415,2635,2635,2415
2021-11-30,2759,2747,2798,2668
