Date,Open,Close,High,Low
2014-07-09,2760,2813,2816,2760
2014-07-10,2820,2804,2824,2799
2014-07-11,2805,2804,2810,2795
2014-07-14,2805,2828,2845,2804
2014-07-15,2828,2830,2839,2818
2014-07-16,2833,2831,2837,2826
2014-07-17,2833,2828,2833,2816
2014-07-18,2823,2815,2828,2806
2014-07-21,2811,2816,2824,2806
2014-07-22,2808,2819,2822,2808
2014-07-23,2817,2823,2829,2815
2014-07-24,2823,2820,2825,2815
2014-07-25,2822,2839,2845,2820
2014-07-28,2836,2872,2874,2835
2014-07-29,2865,2878,2878,2857
2014-07-30,2880,2887,2904,2875
2014-07-31,2886,2881,2890,2876
2014-08-01,2880,2872,2885,2867
2014-08-04,2875,2864,2875,2861
2014-08-05,2868,2855,2878,2851
2014-08-06,2857,2846,2859,2845
2014-08-07,2848,2850,2855,2843
2014-08-08,2852,2840,2858,2835
2014-08-11,2841,2846,2851,2836
2014-08-12,2850,2855,2875,2843
2014-08-13,2856,2857,2867,2851
2014-08-14,2858,2863,2875,2857
2014-08-15,2859,2851,2863,2842
2014-08-18,2852,2857,2861,2843
2014-08-19,2879,2848,2881,2848
2014-08-20,2842,2836,2850,2826
2014-08-21,2840,2845,2860,2837
2014-08-22,2851,2842,2851,2840
2014-08-25,2840,2832,2842,2831
2014-08-26,2832,2842,2847,2832
2014-08-27,2845,2841,2847,2839
2014-08-28,2859,2849,2859,2841
2014-08-29,2849,2837,2853,2832
2014-09-01,2835,2831,2837,2831
2014-09-02,2821,2830,2839,2812
2014-09-03,2847,2828,2847,2827
2014-09-04,2827,2829,2835,2825
2014-09-05,2836,2821,2836,2821
2014-09-08,2821,2825,2830,2821
2014-09-10,2839,2807,2839,2804
2014-09-11,2812,2820,2821,2801
2014-09-12,2820,2825,2831,2820
2014-09-15,2827,2830,2835,2814
2014-09-16,2846,2839,2849,2827
2014-09-17,2834,2833,2835,2832
2014-09-18,2839,2838,2840,2833
2014-09-19,2835,2835,2838,2831
2014-09-22,2832,2834,2838,2825
2014-09-23,2833,2831,2838,2830
2014-09-24,2837,2836,2840,2831
2014-09-25,2826,2833,2840,2826
2014-09-26,2838,2834,2838,2829
2014-09-29,2829,2835,2840,2823
2014-09-30,2838,2834,2838,2806
2014-10-01,2821,2834,2834,2821
2014-10-02,2821,2834,2834,2821
2014-10-03,2821,2834,2834,2821
2014-10-06,2821,2834,2834,2821
2014-10-09,2832,2838,2839,2832
2014-10-10,2837,2838,2838,2832
2014-10-13,2850,2836,2850,2810
2014-10-14,2831,2827,2836,2823
2014-10-15,2831,2835,2838,2826
2014-10-16,2837,2836,2837,2833
2014-10-17,2833,2842,2842,2833
2014-10-20,2844,2841,2847,2837
2014-10-21,2835,2845,2847,2835
2014-10-22,2838,2835,2845,2835
2014-10-23,2842,2842,2847,2835
2014-10-24,2836,2839,2842,2831
2014-10-27,2837,2836,2840,2833
2014-10-28,2824,2840,2840,2823
2014-10-29,2836,2840,2845,2834
2014-10-30,2841,2837,2842,2836
2014-10-31,2837,2837,2841,2836
2014-11-03,2840,2839,2844,2837
2014-11-04,2825,2835,2841,2825
2014-11-05,2835,2839,2839,2835
2014-11-06,2831,2825,2837,2814
2014-11-07,2828,2833,2833,2823
2014-11-10,2836,2830,2837,2824
2014-11-11,2832,2829,2832,2829
2014-11-12,2826,2820,2829,2816
2014-11-13,2825,2829,2829,2820
2014-11-14,2836,2828,2838,2828
2014-11-17,2832,2832,2836,2828
2014-11-18,2834,2834,2834,2832
2014-11-19,2839,2836,2839,2832
2014-11-20,2837,2838,2838,2827
2014-11-21,2830,2833,2839,2828
2014-11-24,2847,2834,2847,2828
2014-11-25,2837,2834,2837,2831
2014-11-26,2832,2835,2836,2830
2014-11-27,2834,2832,2837,2832
2014-11-28,2832,2830,2834,2826
2014-12-01,2829,2828,2832,2827
2014-12-02,2825,2835,2835,2822
2014-12-03,2835,2835,2835,2835
2014-12-04,2838,2829,2838,2820
2014-12-05,2834,2830,2835,2825
2014-12-08,2835,2836,2836,2830
