Date,Open,Close,High,Low
2018-10-17,2624,2625,2626,2624
2018-10-18,2616,2652,2652,2616
2018-10-19,2617,2626,2626,2617
2018-10-22,2671,2692,2692,2638
2018-10-25,2608,2604,2608,2604
2018-10-29,2668,2630,2669,2630
2018-10-31,2632,2661,2661,2632
2018-11-02,2625,2653,2658,2625
2018-11-05,2675,2640,2675,2638
2018-11-12,2622,2623,2623,2622
2018-11-19,2634,2634,2634,2634
2018-11-20,2626,2630,2630,2626
2018-11-21,2624,2624,2624,2624
2018-11-29,2636,2636,2636,2636
2018-12-06,2634,2631,2634,2625
2018-12-27,2716,2634,2723,2634
2019-01-03,2650,2630,2650,2630
2019-01-07,2672,2643,2672,2643
2019-01-18,2620,2620,2620,2620
2019-02-14,2730,2655,2730,2651
2019-02-15,2662,2624,2681,2612
2019-02-18,2608,2601,2610,2582
2019-02-19,2576,2611,2613,2576
2019-02-20,2528,2628,2628,2528
2019-02-21,2591,2591,2591,2591
2019-02-22,2608,2608,2640,2608
2019-02-25,2598,2592,2608,2587
2019-02-26,2602,2589,2606,2589
2019-02-27,2591,2564,2593,2556
2019-02-28,2595,2587,2595,2581
2019-03-01,2607,2586,2607,2579
2019-03-04,2577,2577,2577,2577
2019-03-07,2567,2560,2575,2556
2019-03-08,2554,2573,2598,2554
2019-03-13,2586,2552,2591,2552
2019-03-14,2558,2562,2563,2555
2019-03-15,2540,2540,2540,2540
2019-03-21,2592,2592,2592,2592
2019-03-22,2566,2566,2566,2566
2019-03-28,2500,2500,2500,2500
2019-04-02,2519,2594,2594,2519
2019-04-03,2600,2511,2601,2502
2019-04-04,2501,2554,2560,2501
2019-04-08,2580,2586,2586,2531
2019-04-09,2571,2556,2571,2546
2019-04-10,2506,2556,2556,2506
2019-04-16,2473,2490,2499,2473
2019-04-17,2489,2469,2489,2458
2019-04-22,2498,2475,2498,2469
2019-05-10,2486,2441,2498,2441
2019-05-16,2481,2450,2481,2450
2019-05-17,2439,2448,2477,2439
2019-05-20,2405,2427,2427,2405
2019-05-21,2474,2459,2474,2459
2019-05-22,2444,2444,2444,2444
2019-05-23,2438,2438,2438,2438
2019-05-24,2492,2381,2492,2376
2019-05-27,2381,2415,2436,2371
2019-05-28,2434,2360,2434,2332
2019-05-29,2404,2419,2446,2371
2019-05-30,2438,2404,2438,2402
2019-05-31,2428,2385,2428,2385
2019-06-04,2386,2410,2464,2369
2019-06-10,2429,2477,2482,2390
2019-06-11,2482,2417,2482,2407
2019-06-12,2362,2390,2411,2362
2019-06-13,2355,2355,2355,2355
2019-06-18,2322,2320,2322,2320
2019-06-19,2301,2301,2301,2301
2019-06-20,2281,2285,2348,2281
2019-06-24,2256,2264,2264,2256
2019-06-25,2259,2286,2312,2259
2019-06-26,2248,2251,2251,2248
2019-06-28,2220,2200,2249,2200
2019-07-01,2200,2200,2200,2200
2019-07-04,2392,2497,2525,2392
2019-07-05,2405,2406,2406,2405
2019-07-12,2697,2697,2697,2697
2019-08-01,2697,2697,2697,2696
2019-08-06,2621,2707,2711,2621
2019-08-07,2637,2666,2666,2637
2019-08-09,2652,2744,2744,2652
2019-08-12,2790,2659,2790,2613
2019-09-25,2771,2743,2771,2737
2019-09-27,2749,2750,2750,2749
2019-10-09,2750,2750,2750,2750
2019-10-31,2640,2640,2640,2640
2020-04-15,2600,2615,2716,2600
2020-04-16,2553,2715,2715,2553
2020-04-30,2821,2821,2821,2821
2022-03-18,3435,3100,3435,3100
2022-03-22,3259,3030,3259,3030
2022-05-05,2974,3000,3000,2974
