Date,Open,Close,High,Low
2018-10-31,2389,2388,2389,2388
2018-11-21,2305,2305,2305,2219
2018-11-27,2302,2302,2302,2302
2018-12-24,2293,2251,2293,2251
2018-12-26,2286,2286,2286,2286
2018-12-27,2285,2285,2285,2285
2018-12-28,2284,2284,2284,2284
2019-05-13,2389,2294,2389,2293
2019-07-01,2131,2131,2131,2131
2019-08-02,2055,2100,2100,2055
2020-03-26,2235,2235,2235,2235
2020-05-07,2131,2131,2131,2131
2020-05-08,2205,2205,2205,2205
2020-05-11,2221,2235,2235,2221
2020-05-22,2253,2253,2253,2253
2020-05-25,2160,2236,2356,2160
2020-05-28,2174,2195,2244,2174
2020-06-02,2250,2277,2277,2250
2020-06-04,2272,2280,2280,2206
2020-06-05,2245,2245,2245,2245
2020-06-17,2291,2291,2291,2291
2020-06-29,2261,2261,2261,2261
2020-06-30,2349,2357,2357,2349
2020-07-01,2343,2343,2343,2339
2020-07-15,2369,2342,2369,2342
2020-07-16,2292,2292,2292,2292
2020-07-17,2359,2359,2359,2359
2020-07-20,2359,2359,2359,2359
2020-08-11,2393,2380,2394,2380
2020-08-12,2370,2370,2370,2370
2020-09-10,2448,2450,2450,2448
2020-09-14,2350,2452,2454,2350
2020-09-18,2475,2475,2475,2475
2020-09-21,2409,2409,2409,2409
2020-10-21,2626,2441,2648,2441
2020-10-26,2404,2404,2404,2404
2020-10-29,2368,2368,2368,2368
2020-10-30,2341,2341,2341,2341
2020-11-09,2461,2361,2461,2361
2020-11-12,2552,2540,2622,2393
2020-11-13,2520,2521,2521,2520
2020-11-23,2368,2448,2448,2368
2020-11-24,2373,2373,2373,2373
2020-11-27,2459,2459,2459,2459
2020-12-09,2361,2361,2361,2361
2020-12-18,2344,2344,2344,2344
2021-01-07,2458,2275,2483,2275
2021-01-11,2430,2441,2441,2430
2021-01-15,2483,2467,2483,2438
2021-01-18,2559,2570,2570,2559
2021-01-19,2649,2581,2649,2581
2021-01-21,2630,2630,2630,2630
2021-01-22,2576,2570,2639,2570
2021-02-18,2371,2472,2599,2371
2021-02-23,2498,2498,2498,2498
2021-02-25,2504,2504,2504,2504
2021-02-26,2412,2418,2418,2412
2021-03-01,2535,2535,2535,2535
2021-04-06,2411,2411,2411,2411
2021-04-13,2527,2525,2527,2524
2021-04-21,2563,2394,2563,2394
2021-04-23,2400,2400,2400,2400
2021-04-30,2435,2435,2436,2435
2021-05-17,2480,2480,2480,2480
2021-05-26,2605,2536,2608,2507
2021-05-28,2510,2510,2510,2510
2021-06-03,2442,2442,2442,2442
2021-06-04,2446,2547,2547,2446
2021-06-07,2451,2475,2475,2451
2021-06-08,2500,2497,2516,2459
2021-06-09,2517,2479,2520,2479
2021-06-15,2504,2460,2504,2460
2021-06-16,2498,2498,2498,2498
2021-06-17,2482,2482,2482,2482
2021-06-23,2508,2509,2509,2508
2021-06-25,2509,2509,2509,2509
2021-06-28,2519,2519,2519,2519
2021-07-01,2548,2525,2645,2515
2021-08-23,2602,2602,2602,2602
2021-09-02,2432,2500,2598,2432
2022-04-27,2500,2859,2859,2500
2022-04-28,2853,2853,2853,2853
2022-05-27,3200,3200,3200,3200
2022-06-13,3098,3098,3098,3098
