Date,Open,Close,High,Low
2017-08-21,23005,22985,23080,22910
2017-08-22,23005,23080,23095,22985
2017-08-23,23080,23070,23155,23045
2017-08-24,23070,23050,23120,23010
2017-08-25,23040,23050,23095,23030
2017-08-28,23055,23075,23100,23000
2017-08-29,23100,23050,23135,23035
2017-08-30,23025,23020,23085,23005
2017-08-31,23030,23025,23080,23020
2017-09-01,23020,23030,23095,23020
2017-09-04,23055,23400,23650,23040
2017-09-05,23425,23495,23575,23300
2017-09-06,23535,23345,23585,23330
2017-09-07,23365,23295,23410,23175
2017-09-08,23325,23080,23340,23020
2017-09-11,23105,23210,24075,22530
2017-09-12,23165,23225,23290,23130
2017-09-13,23190,23155,23285,23050
2017-09-14,23125,23085,23210,23080
2017-09-15,23075,23050,23120,23020
2017-09-18,23030,23080,23095,22880
2017-09-19,23160,23095,23200,23035
2017-09-20,23085,23385,23390,23070
2017-09-21,23390,23210,23390,23210
2017-09-22,23235,23155,23280,23125
2017-09-25,23145,23235,23245,23135
2017-09-26,23255,23320,23370,23205
2017-09-27,23300,23105,23310,23085
2017-09-28,23080,22900,23145,22860
2017-09-29,22845,22920,23010,22845
2017-10-09,23055,22960,23055,22860
2017-10-10,22980,22935,22995,22920
2017-10-11,22995,22910,23000,22900
2017-10-12,22900,22925,22965,22860
2017-10-13,22940,22940,23010,22910
2017-10-16,23000,23060,23110,22925
2017-10-17,23005,23000,23070,22990
2017-10-18,22990,23015,23080,22990
2017-10-19,23035,22945,23035,22840
2017-10-20,22905,22865,22930,22805
2017-10-23,22845,22870,22920,22775
2017-10-24,22895,22895,22975,22895
2017-10-25,22920,22950,22950,22900
2017-10-26,22930,22930,22990,22900
2017-10-27,22940,22855,22940,22840
2017-10-30,22885,22885,22980,22825
2017-10-31,22915,22950,22950,22860
2017-11-01,22995,22975,23045,22880
2017-11-02,22900,23015,23030,22890
2017-11-03,23040,23060,23080,22970
2017-11-06,23070,23095,23100,23025
2017-11-07,23060,23120,23160,23045
2017-11-08,23165,23060,23165,23040
2017-11-09,23075,23055,23080,23005
2017-11-10,23080,23055,23095,23035
2017-11-13,23015,23140,23270,22905
2017-11-14,23160,23100,23160,23075
2017-11-15,23050,23000,23080,22970
2017-11-16,23040,23040,23060,22965
2017-11-17,23030,23005,23050,23005
2017-11-20,23005,22965,23035,22925
2017-11-21,22905,22905,22965,22905
2017-11-22,22890,22880,22980,22880
2017-11-23,22900,22915,23000,22880
2017-11-24,22915,22930,22985,22840
2017-11-27,22910,22980,23015,22910
2017-11-28,23025,23175,23185,22920
2017-11-29,23210,23100,23240,23085
2017-11-30,23100,23215,23255,23100
2017-12-01,23005,23575,24660,23005
2017-12-04,23130,23220,23550,23130
2017-12-05,23200,23150,23210,23105
2017-12-06,23110,23180,23195,23110
2017-12-07,23130,23095,23180,23095
2017-12-08,23090,23080,23200,23075
2017-12-11,23035,23105,23180,23035
2017-12-12,23090,23160,23180,23090
2017-12-13,23750,23340,23750,23125
2017-12-14,23445,23345,23735,23345
2017-12-15,23540,23215,23540,23170
2017-12-18,23195,23220,23395,23130
2017-12-19,23235,23135,23235,23135
2017-12-20,23105,23180,23210,23030
2017-12-21,23030,23100,23175,23030
2017-12-22,23175,23015,23300,23015
2017-12-25,23165,23090,23165,23055
2017-12-26,23055,23110,23110,23055
2017-12-27,23185,23035,23205,22900
2017-12-28,23150,23155,23155,23065
2017-12-29,23100,23100,23100,23100
2018-01-02,22800,23070,23215,22800
2018-01-03,23180,23000,23200,23000
2018-01-04,23025,23010,23055,23010
2018-01-05,22950,23155,23155,22950
2018-01-08,23205,23150,23205,23015
2018-01-09,23075,23190,23190,23070
2018-01-10,23080,23140,23230,23075
2018-01-12,23220,23100,23240,23065
2018-01-15,23030,23095,23145,23030
2018-01-16,23030,23095,23105,23030
2018-01-17,23070,23090,23090,23065
2018-01-18,23040,23230,23350,23040
2018-01-19,23385,23335,23410,23220
2018-01-22,23220,23300,23365,23220
2018-01-23,23415,23435,23555,23245
2018-01-24,23420,23500,23635,23400
2018-01-25,23550,23440,23550,23345
2018-01-26,23425,23410,23430,23410
2018-01-29,23410,23335,23445,23320
2018-01-30,23260,23385,23415,23260
2018-01-31,23330,23330,23330,23330
2018-02-01,23305,23305,23305,23305
2018-02-02,23230,23375,23375,23230
2018-02-05,23225,23235,23250,23225
2018-02-06,23325,23325,23325,23325
2018-02-07,23260,23250,23260,23245
2018-02-08,23160,23280,23280,23090
2018-02-09,23265,23175,23265,23060
2018-02-12,23345,23350,23750,22575
2018-02-13,22695,23080,23325,22690
2018-02-14,22915,23350,23350,22915
2018-02-26,23215,23200,23220,23200
2018-03-05,23070,23070,23070,23070
2018-03-07,23125,23125,23300,23125
2018-03-08,23100,23350,23370,23045
2018-03-12,23130,23130,23130,23130
2018-03-14,23185,23185,23185,23185
2018-03-19,22480,23150,23230,22480
2018-03-22,22980,23055,23055,22980
2018-03-23,23210,23245,23245,23210
2018-03-26,22300,23035,23710,22300
2018-03-27,23550,23120,23615,22830
2018-04-02,23005,23430,23430,23005
2018-04-03,23020,23430,23430,23020
2018-04-04,23300,23300,23300,23300
2018-04-10,23005,23005,23005,23005
2018-04-11,23400,23065,23400,23065
2018-04-18,23375,23345,23375,23345
2018-04-19,23115,23115,23115,23115
2018-04-23,23770,23770,23770,23770
2018-05-09,23600,23485,23740,22815
2018-05-10,23780,23780,23780,23780
2018-05-11,23900,23640,24000,23535
2018-05-14,23640,23640,23640,23640
2018-05-15,23420,23400,23770,22770
2018-05-16,23795,24255,24255,23365
2018-05-17,24895,24710,24900,24070
2018-05-18,24615,25560,25580,24615
2018-05-21,25600,26405,26405,25600
2018-05-22,26760,27320,27985,26750
2018-05-23,27380,27230,28475,26610
2018-05-24,27460,26440,27645,26405
2018-05-25,26430,26275,26605,25760
2018-05-28,26215,26180,26435,26000
2018-05-29,26255,27275,27275,26075
2018-05-30,27475,26760,27765,26660
2018-05-31,26600,26520,27065,26400
2018-06-01,26535,26910,27060,26500
2018-06-04,26950,26650,27375,26595
2018-06-05,26680,25860,26715,25860
2018-06-06,25800,25875,26125,25665
2018-06-07,25945,25970,26120,25780
2018-06-08,25960,25820,26050,25675
2018-06-11,25750,26015,26190,25570
2018-06-12,26005,25945,26080,25755
2018-06-13,25995,26665,26865,25915
2018-06-14,26530,25870,26720,25860
2018-06-15,25900,25820,26130,25710
2018-06-19,25880,24845,26255,24845
2018-06-20,24740,24985,25140,24720
2018-06-21,24995,24970,25275,24770
2018-06-22,24995,25015,25155,24920
2018-06-25,25075,25065,25315,25000
2018-06-26,25060,24975,25115,24825
2018-06-27,25015,24945,25065,24805
2018-06-28,24960,24875,25375,24685
2018-06-29,24850,24880,25045,24795
2018-07-02,24880,24850,25095,24830
2018-07-03,24855,24825,24915,24635
2018-07-04,24855,24610,24895,24575
2018-07-05,24605,24375,24635,24230
2018-07-06,24380,24455,24605,24240
2018-07-09,24445,24705,24765,24395
2018-07-10,24760,24685,24940,24655
2018-07-11,24690,24680,24835,24500
2018-07-12,24685,25010,25055,24680
2018-07-13,25005,24995,25300,24910
2018-07-16,25000,25075,25185,24930
2018-07-17,25050,24880,25145,24695
2018-07-18,24875,24885,24965,24835
2018-07-19,24890,25040,25090,24835
