Date,Open,Close,High,Low
2018-10-08,23530,24200,24200,22760
2018-10-09,24290,24360,24425,23555
2018-10-10,24655,24615,24850,24615
2018-10-11,24560,24520,24560,24520
2018-10-12,24585,24585,24585,24585
2018-10-15,24940,24940,24940,24940
2018-10-23,25630,25595,25630,25595
2018-10-24,25140,25450,25525,25140
2018-10-25,25065,24940,25065,24940
2018-10-26,25000,25000,25000,25000
2018-10-29,24365,24890,24890,24365
2018-10-30,24580,24580,24580,24580
2018-11-01,24375,24380,24380,24375
2018-11-02,24400,24605,25010,24390
2018-11-07,24280,24280,24280,24280
2018-11-08,24450,24625,24625,24450
2018-11-13,23960,24525,24525,23555
2018-11-14,23865,23670,23915,23670
2018-11-15,23670,23810,23970,23670
2018-11-16,23705,24040,24040,23680
2018-11-19,23700,23800,24005,23700
2018-11-20,23820,23615,23820,23615
2018-11-21,23560,23955,23955,23330
2018-11-26,23835,23820,23835,23820
2018-11-27,23880,23560,24100,23555
2018-11-28,23810,23570,23810,23455
2018-11-29,23605,23685,23790,23605
2018-11-30,23700,23700,23700,23700
2018-12-03,23855,23900,24500,23340
2018-12-04,23845,23830,23845,23670
2018-12-05,23610,23720,23860,23610
2018-12-07,23360,23550,23550,23360
2018-12-10,23785,24040,24060,23785
2018-12-11,24140,24140,24140,24140
2018-12-14,24465,24240,24465,23895
2018-12-17,23975,24115,24115,23945
2018-12-18,24605,24050,24610,23950
2018-12-19,23980,24015,24050,23860
2018-12-20,24095,24030,24220,24030
2018-12-21,24035,24030,24035,24030
2018-12-24,24020,23840,24020,23675
2018-12-25,23860,23460,23880,23450
2018-12-26,23480,23610,23700,23480
2018-12-27,23610,23825,24020,23610
2018-12-28,23915,23780,23950,23755
2019-01-02,23600,23600,23600,23600
2019-01-03,22660,22655,22660,22655
2019-01-07,22750,22750,22750,22750
2019-01-11,21840,21840,21840,21840
2019-01-31,25490,24995,25490,24340
2019-02-12,25350,24900,25350,24900
2019-02-13,25280,24895,25295,24865
2019-02-14,25025,25025,25025,25025
2019-02-19,26030,25130,26030,24600
2019-02-22,25350,25350,25350,25350
2019-03-04,25515,25515,25515,25515
2019-03-05,24440,24360,24665,24315
2019-03-06,23755,24000,24300,23755
2019-03-07,24300,24350,24350,24105
2019-03-08,24320,24320,24320,24320
2019-03-12,24310,24310,24310,24310
2019-03-13,24275,24255,24385,24255
2019-03-14,24285,24360,24360,24285
2019-03-15,24350,24350,24350,24005
2019-03-20,25225,25225,25225,25225
2019-03-29,25480,25000,25480,25000
2019-04-01,25010,25010,25010,25010
2019-04-03,25095,25125,25125,25095
2019-04-04,25115,25115,25115,25115
2019-04-08,25010,25075,25105,25010
2019-04-09,25110,25110,25110,25110
2019-04-10,25230,25090,25230,25090
2019-04-11,25080,25060,25135,25060
2019-04-12,25025,25025,25025,25025
2019-04-15,25205,25070,25205,25070
2019-04-16,25020,24875,25020,24840
2019-04-17,24080,24080,24315,24080
2019-04-18,23885,23880,23915,23880
2019-04-19,24850,24860,25080,24650
2019-04-22,24880,24905,25060,24770
2019-04-23,24885,24905,25020,24885
2019-04-24,24665,24730,24875,24610
2019-04-25,22315,23210,23210,22315
2019-04-26,23190,22355,23190,22300
2019-04-29,24745,24745,24745,24745
2019-04-30,24860,24905,24930,24860
2019-05-08,24985,24535,24985,24535
2019-05-09,24710,24455,24710,24455
2019-05-10,24465,24465,24465,24465
2019-05-13,24410,23510,24490,23510
2019-05-14,22980,22300,23345,22295
2019-05-15,22570,22730,22785,22400
2019-05-16,22685,23100,23125,22685
2019-05-17,23025,22895,23025,22820
2019-05-20,22850,22060,22850,21955
2019-05-21,22175,22390,22470,22045
