Date,Open,Close,High,Low
2004-06-02,21915,20585,21915,20265
2004-06-03,20615,20140,20615,20140
2004-06-04,19443,19545,19920,19375
2004-06-07,19415,19680,19795,19415
2004-06-08,19715,19785,19865,19635
2004-06-09,19725,19590,19765,19445
2004-06-10,19615,19565,19690,19515
2004-06-11,19605,19605,19685,19570
2004-06-14,19635,19590,19685,19590
2004-06-15,19610,19575,19615,19555
2004-06-16,19570,19180,19570,19085
2004-06-17,18965,19015,19065,18915
2004-06-18,18915,19100,19145,18825
2004-06-21,19095,19015,19125,18970
2004-06-22,19045,18875,19045,18865
2004-06-23,18715,18595,18815,18585
2004-06-24,18425,18795,18875,18425
2004-06-25,18865,19115,19155,18865
2004-06-28,19175,19080,19290,18975
2004-06-29,19125,18945,19135,18895
2004-06-30,18875,19250,19290,18795
2004-07-01,19210,19260,19365,19135
2004-07-02,19210,19255,19315,19110
2004-07-05,19230,19185,19295,19170
2004-07-06,19145,18700,19175,18700
2004-07-07,18585,18745,18820,18555
2004-07-08,18765,18745,18890,18670
2004-07-09,18815,18720,18815,18565
2004-07-12,18675,18880,18895,18665
2004-07-13,18915,19355,19355,18895
2004-07-14,19290,19115,19375,18995
2004-07-15,19105,19040,19105,18915
2004-07-16,19065,19200,19230,19065
2004-07-19,19240,19125,19245,19115
2004-07-20,19185,19270,19300,19125
2004-07-21,19285,19310,19355,19255
2004-07-22,19365,19295,19835,19215
2004-07-23,19195,19300,19395,19195
2004-07-26,19235,19110,19310,19065
2004-07-27,19110,19000,19110,18970
2004-07-28,18895,18935,18995,18875
2004-07-29,18915,18950,18995,18885
2004-07-30,18975,19105,19110,18955
2004-08-02,19045,19020,19095,18965
2004-08-03,19045,18950,19055,18930
2004-08-04,18975,18760,18975,18715
2004-08-05,18835,18715,18855,18625
2004-08-06,18700,18835,18915,18650
2004-08-09,18855,18770,18910,18755
2004-08-10,18745,18615,18790,18580
2004-08-11,18595,18515,18625,18445
2004-08-12,18525,18530,18645,18510
2004-08-13,18495,18335,18510,18315
2004-08-16,18315,18330,18365,18195
2004-08-17,18370,18370,18495,18345
2004-08-18,18385,18380,18455,18345
2004-08-19,18605,18480,18605,18470
2004-08-20,18525,18445,18565,18435
2004-08-23,18465,18460,18485,18440
2004-08-24,18525,18540,18570,18485
2004-08-25,18590,18525,18590,18515
