Date,Open,Close,High,Low
2018-10-08,16100,16350,16400,15975
2018-10-09,16365,16355,16495,16330
2018-10-10,16350,16235,16425,16200
2018-10-11,16220,16045,16325,16020
2018-10-12,16065,16380,16390,16035
2018-10-15,16400,16345,16480,16310
2018-10-16,16335,16210,16335,16140
2018-10-17,16210,16270,16310,16185
2018-10-18,16270,16060,16320,16025
2018-10-19,16045,15980,16115,15925
2018-10-22,15990,16085,16125,15970
2018-10-23,16130,16135,16195,16100
2018-10-24,16070,16165,16170,16045
2018-10-25,16185,15925,16190,15805
2018-10-26,15920,15840,15935,15800
2018-10-29,15835,15570,15895,15540
2018-10-30,15590,15685,15725,15585
2018-10-31,15695,15660,15730,15625
2018-11-01,15640,15585,15690,15560
2018-11-02,15570,15860,15970,15565
2018-11-05,15850,15815,15885,15770
2018-11-06,15785,15720,15900,15660
2018-11-07,15745,15635,15750,15590
2018-11-08,15700,15740,15795,15655
2018-11-09,15745,15785,15840,15670
2018-11-12,15780,15590,15780,15420
2018-11-13,15585,15515,15605,15450
2018-11-14,15520,15510,15570,15430
2018-11-15,15520,15590,15640,15520
2018-11-16,15595,15655,15735,15575
2018-11-19,15660,15560,15690,15515
2018-11-20,15560,15465,15580,15455
2018-11-21,14785,14760,14870,14335
2018-11-22,14780,14620,14785,14600
2018-11-23,14625,14600,14680,14525
2018-11-26,14600,14440,14640,14350
2018-11-27,14480,14465,14590,14420
2018-11-28,14495,14490,14520,14405
2018-11-29,14500,14480,14600,14470
2018-11-30,14475,14540,14555,14450
2018-12-03,14540,14720,14885,14505
2018-12-04,14750,14650,14765,14555
2018-12-05,14655,14635,14685,14575
2018-12-06,14620,14605,14635,14590
2018-12-07,14600,14545,14605,14510
2018-12-10,14580,14665,14710,14550
2018-12-11,14725,14695,14730,14625
2018-12-12,14700,14720,14745,14685
2018-12-13,14725,14610,14725,14575
2018-12-14,14650,14645,14650,14525
2018-12-17,14635,14620,14660,14565
2018-12-18,14650,14540,14650,14530
2018-12-19,14575,14500,14575,14475
2018-12-20,14500,14550,14635,14470
2018-12-21,14570,14465,14605,14455
2018-12-24,14450,14335,14480,14290
2018-12-25,14350,14020,14370,13995
2018-12-26,14020,14075,14120,14020
2018-12-27,15240,15300,15400,15210
2018-12-28,15290,15335,15340,15240
2019-01-02,15305,15330,15415,15295
2019-01-03,15310,15295,15350,15175
2019-01-04,15305,15375,15410,15275
2019-01-07,15425,15475,15515,15365
2019-01-08,15520,15480,15520,15385
2019-01-09,15515,15555,15560,15420
2019-01-10,15570,15545,15590,15505
2019-01-11,15515,15525,15595,15495
2019-01-14,15390,15555,15570,15390
2019-01-15,15565,15520,15600,15475
2019-01-16,15510,15380,15530,15310
2019-01-17,15390,15635,15640,15360
2019-01-18,15630,15625,15665,15555
2019-01-21,15620,15755,15860,15585
2019-01-22,15765,15550,15825,15500
2019-01-23,15530,15510,15595,15500
2019-01-24,15525,15555,15560,15490
2019-01-25,15525,15620,15620,15510
2019-01-28,15620,15620,15710,15575
2019-01-29,15610,15615,15640,15550
2019-01-30,15630,15665,15695,15605
2019-01-31,15670,15655,15685,15590
2019-02-01,15635,15595,15680,15515
2019-02-11,15560,15545,15580,15470
2019-02-12,15545,15565,15770,15470
2019-02-13,15580,15375,15600,15375
2019-02-14,15385,15415,15465,15315
2019-02-15,15420,15395,15470,15335
2019-02-18,15395,15445,15515,15375
2019-02-19,15460,15735,15735,15445
2019-02-20,15725,15795,15805,15655
2019-02-21,15780,15740,15890,15675
2019-02-22,15775,16095,16125,15755
2019-02-25,16090,15845,16155,15745
2019-02-26,15860,15685,15890,15680
2019-02-27,15690,15625,15765,15625
2019-02-28,15640,15645,15735,15630
2019-03-01,15655,15790,15795,15655
2019-03-04,15800,15775,15865,15745
2019-03-05,15780,15680,15845,15630
2019-03-06,15680,15710,15800,15665
2019-03-07,15725,15870,15890,15710
2019-03-08,15850,15685,15860,15640
2019-03-11,15705,15585,15735,15555
2019-03-12,15570,15615,15675,15570
2019-03-13,15640,15750,15800,15590
2019-03-14,15780,15695,15825,15655
2019-03-15,15685,15655,15695,15590
2019-03-18,15660,15715,15790,15640
2019-03-19,15690,15710,15775,15660
2019-03-20,15750,15820,15835,15720
2019-03-21,15820,15790,15880,15760
2019-03-22,15785,15820,15860,15725
2019-03-25,15830,15695,15850,15660
2019-03-26,15690,15695,15755,15670
2019-03-27,15715,15625,15735,15600
2019-03-28,15630,15490,15650,15470
2019-03-29,15500,15495,15555,15440
2019-04-01,15535,15560,15615,15495
2019-04-02,15560,15600,15645,15550
2019-04-03,15580,15650,15665,15575
2019-04-04,15200,15160,15210,15125
2019-04-08,15210,15255,15285,15205
2019-04-09,15250,15295,15300,15175
2019-04-10,15300,15355,15500,15230
2019-04-11,15360,15395,15460,15320
2019-04-12,15390,15395,15410,15245
2019-04-15,15355,15590,15690,15330
2019-04-16,15590,15410,15600,15365
2019-04-17,15400,15390,15500,15355
2019-04-18,15375,15315,15480,15280
2019-04-19,15300,15365,15375,15285
2019-04-22,15385,15395,15475,15340
2019-04-23,15425,15380,15440,15365
2019-04-24,16385,16405,16500,16310
2019-04-25,16400,16320,16435,16280
2019-04-26,16330,16200,16345,16155
2019-04-29,16200,16095,16215,16090
2019-04-30,16125,16195,16205,16030
2019-05-06,16055,15860,16055,15725
2019-05-07,15830,16120,16155,15810
2019-05-08,16080,15980,16135,15960
2019-05-09,15915,15685,15930,15665
2019-05-10,15645,15755,15860,15590
2019-05-13,15730,15095,15785,15095
2019-05-14,14770,14325,14770,14325
2019-05-15,14305,14535,14610,14290
2019-05-16,14510,14825,14900,14495
2019-05-17,14830,14630,14920,14520
2019-05-20,14560,14430,14770,14225
2019-05-21,14435,14470,14640,14330
2019-05-22,14465,13965,14510,13900
2019-05-23,13965,13870,14025,13725
2019-05-24,13940,13985,14055,13870
2019-05-27,14030,14025,14150,13890
2019-05-28,14015,14140,14150,13990
2019-05-29,14185,14165,14300,14100
2019-05-30,14175,13950,14205,13915
2019-05-31,13995,13995,14075,13915
2019-06-03,13935,13480,13995,13450
2019-06-04,13500,13705,13755,13460
2019-06-05,13705,13660,13790,13615
2019-06-06,13680,13455,13730,13315
2019-06-10,13255,13535,13595,13240
2019-06-11,13560,13760,13795,13405
2019-06-12,13735,13995,14085,13635
2019-06-13,13915,13990,14200,13860
2019-06-14,13985,13985,14130,13925
