Date,Open,Close,High,Low
2018-10-08,4930,4940,4952,4916
2018-10-09,4930,5008,5010,4926
2018-10-10,5008,5008,5020,4982
2018-10-11,5000,4924,5002,4876
2018-10-12,4930,4994,4996,4924
2018-10-15,4994,5014,5038,4992
2018-10-16,5008,5010,5044,4970
2018-10-17,5008,5036,5046,5006
2018-10-18,5046,4962,5048,4950
2018-10-19,4964,4958,4974,4934
2018-10-22,4964,4990,4996,4952
2018-10-23,4990,4988,5020,4982
2018-10-24,4970,4926,4986,4918
2018-10-25,4928,4892,4950,4874
2018-10-26,4910,4882,4924,4882
2018-10-29,4872,4896,4908,4852
2018-10-30,4900,4872,4924,4844
2018-10-31,4870,4884,4886,4850
2018-11-01,4870,4858,4890,4846
2018-11-02,4858,4766,4888,4728
2018-11-05,4796,4802,4830,4790
2018-11-06,4798,4792,4808,4784
2018-11-07,4798,4778,4806,4752
2018-11-08,4782,4742,4798,4714
2018-11-09,4736,4672,4742,4646
2018-11-12,4660,4678,4698,4592
2018-11-13,4678,4658,4684,4626
2018-11-14,4640,4562,4658,4538
2018-11-15,4576,4562,4588,4530
2018-11-16,4572,4582,4600,4548
2018-11-19,4520,4522,4538,4502
2018-11-20,4516,4476,4526,4464
2018-11-21,4480,4458,4496,4416
2018-11-22,4482,4478,4492,4454
2018-11-23,4510,4508,4528,4496
2018-11-26,4506,4510,4534,4478
2018-11-27,4448,4444,4476,4424
2018-11-28,4450,4484,4490,4448
2018-11-29,4502,4502,4550,4492
2018-11-30,4518,4522,4536,4506
2018-12-03,4240,4210,4290,4206
2018-12-04,4210,4224,4248,4188
2018-12-05,4228,4222,4236,4206
2018-12-06,4226,4220,4242,4192
2018-12-07,4220,4152,4224,4144
2018-12-10,4164,4144,4172,4118
2018-12-11,4160,4080,4172,4068
2018-12-12,4090,4064,4108,4054
2018-12-13,4076,4090,4096,4050
2018-12-14,4072,4114,4122,4068
2018-12-17,4114,4098,4122,4082
2018-12-18,4106,4110,4116,4090
2018-12-19,4130,4170,4176,4122
2018-12-20,4182,4218,4282,4182
2018-12-21,4230,4182,4246,4172
2018-12-24,4172,4150,4190,4128
2018-12-25,4128,4072,4144,4064
2018-12-26,4070,4054,4092,4042
2018-12-27,4566,4580,4600,4564
2018-12-28,4580,4572,4596,4556
2019-01-02,4572,4670,4674,4572
2019-01-03,4680,4700,4708,4658
2019-01-04,4700,4696,4700,4668
2019-01-07,4732,4690,4732,4668
2019-01-08,4686,4716,4730,4662
2019-01-09,4704,4706,4724,4684
2019-01-10,4704,4670,4722,4664
2019-01-11,4670,4668,4684,4652
2019-01-14,4672,4678,4706,4636
2019-01-15,4656,4648,4666,4634
2019-01-16,4644,4644,4656,4630
2019-01-17,4644,4614,4644,4604
2019-01-18,4650,4714,4718,4630
2019-01-21,4718,4796,4818,4712
2019-01-22,4790,4778,4808,4760
2019-01-23,4782,4794,4830,4766
2019-01-24,4808,4816,4830,4798
2019-01-25,4832,4818,4832,4798
2019-01-28,4814,4882,4894,4812
2019-01-29,4886,4868,4890,4852
2019-01-30,4858,4850,4864,4818
2019-01-31,4860,4824,4860,4814
2019-02-01,4826,4826,4834,4806
2019-02-11,4850,4818,4872,4812
2019-02-12,4800,4810,4828,4772
2019-02-13,4818,4822,4826,4806
2019-02-14,4810,4818,4822,4802
2019-02-15,4820,4802,4822,4790
2019-02-18,4806,4800,4844,4794
2019-02-19,4806,4870,4878,4798
2019-02-20,4840,4796,4840,4790
2019-02-21,4788,4794,4804,4756
2019-02-22,4804,4798,4824,4780
2019-02-25,4796,4772,4808,4764
2019-02-26,4758,4708,4770,4700
2019-02-27,4710,4686,4722,4686
2019-02-28,4656,4682,4698,4654
2019-03-01,4670,4754,4764,4660
2019-03-04,4780,4796,4828,4732
2019-03-05,4772,4788,4800,4762
2019-03-06,4798,4800,4848,4784
2019-03-07,4808,4772,4812,4760
2019-03-08,4760,4770,4796,4758
2019-03-11,4760,4748,4794,4746
2019-03-12,4750,4756,4780,4736
2019-03-13,4766,4714,4784,4712
2019-03-14,4716,4704,4748,4696
2019-03-15,4708,4694,4718,4680
2019-03-18,4710,4722,4732,4698
2019-03-19,4730,4718,4732,4708
2019-03-20,4734,4758,4758,4726
2019-03-21,4770,4762,4774,4744
2019-03-22,4766,4752,4766,4740
2019-03-25,4748,4690,4760,4684
2019-03-26,4692,4670,4704,4668
2019-03-27,4680,4662,4692,4638
2019-03-28,4672,4620,4674,4602
2019-03-29,4626,4594,4634,4562
2019-04-01,4610,4620,4622,4594
2019-04-02,4622,4654,4656,4606
2019-04-03,4658,4694,4718,4654
2019-04-04,4700,4714,4716,4672
2019-04-08,4730,4710,4746,4706
2019-04-09,4696,4754,4760,4692
2019-04-10,4740,4692,4750,4686
2019-04-11,4456,4462,4474,4440
2019-04-12,4458,4468,4484,4442
2019-04-15,4466,4454,4486,4450
2019-04-16,4450,4424,4452,4406
2019-04-17,4436,4456,4466,4424
2019-04-18,4460,4392,4468,4390
2019-04-19,4398,4416,4454,4398
2019-04-22,4380,4382,4428,4380
2019-04-23,4380,4358,4396,4338
2019-04-24,4372,4322,4372,4308
2019-04-25,4328,4314,4338,4310
2019-04-26,4324,4224,4324,4214
2019-04-29,4650,4656,4666,4644
2019-04-30,4642,4662,4672,4640
2019-05-06,4598,4570,4626,4502
2019-05-07,4562,4622,4628,4560
2019-05-08,4634,4600,4638,4594
2019-05-09,4600,4620,4628,4588
2019-05-10,4604,4598,4616,4584
2019-05-13,4590,4568,4600,4560
2019-05-14,4572,4578,4616,4560
2019-05-15,4590,4626,4630,4590
2019-05-16,4630,4650,4652,4622
2019-05-17,4660,4654,4680,4644
2019-05-20,4654,4646,4666,4642
2019-05-21,4654,4660,4670,4640
2019-05-22,4646,4602,4656,4596
2019-05-23,4610,4558,4624,4556
2019-05-24,4550,4554,4568,4540
2019-05-27,4566,4572,4584,4548
2019-05-28,4560,4550,4570,4544
2019-05-29,4566,4634,4670,4562
2019-05-30,4640,4598,4654,4598
2019-05-31,4610,4622,4630,4610
2019-06-03,4618,4546,4618,4546
2019-06-04,4538,4574,4584,4538
2019-06-05,4570,4578,4590,4564
2019-06-06,4576,4550,4588,4534
2019-06-10,4552,4556,4572,4530
2019-06-11,4510,4560,4578,4510
2019-06-12,4556,4520,4564,4514
2019-06-13,4510,4550,4558,4510
2019-06-14,4566,4574,4590,4554
2019-06-17,4580,4578,4580,4560
2019-06-18,4580,4568,4586,4558
2019-06-19,4564,4550,4570,4536
2019-06-20,4562,4542,4572,4534
2019-06-21,4550,4526,4552,4522
2019-06-24,4518,4500,4532,4494
2019-06-25,4506,4496,4506,4482
2019-06-26,4486,4470,4498,4464
2019-06-27,4476,4486,4516,4472
2019-06-28,4484,4486,4488,4470
2019-07-01,4482,4510,4530,4446
2019-07-02,4500,4488,4508,4476
2019-07-03,4488,4470,4508,4460
2019-07-04,4480,4484,4484,4458
2019-07-05,4476,4452,4512,4444
2019-07-08,4450,4456,4478,4444
2019-07-09,4450,4400,4464,4398
2019-07-10,4408,4404,4434,4398
2019-07-11,4412,4414,4424,4404
2019-07-12,4414,4402,4420,4384
2019-07-15,4420,4446,4458,4400
2019-07-16,4442,4430,4448,4422
2019-07-17,4424,4418,4430,4408
2019-07-18,4430,4416,4440,4402
2019-07-19,4412,4396,4418,4396
2019-07-22,4388,4400,4406,4382
2019-07-23,4406,4414,4424,4396
2019-07-24,4418,4480,4492,4406
2019-07-25,4488,4496,4522,4482
2019-07-26,4520,4502,4544,4492
2019-07-29,4514,4538,4560,4506
2019-07-30,4544,4544,4568,4530
2019-07-31,4538,4534,4554,4516
2019-08-01,4530,4502,4540,4492
2019-08-02,4510,4528,4550,4496
2019-08-05,4534,4612,4616,4528
2019-08-06,4618,4628,4650,4606
2019-08-07,4630,4630,4636,4598
2019-08-08,4632,4662,4668,4614
2019-08-09,4486,4612,4646,4482
2019-08-12,4610,4664,4698,4590
2019-08-13,4660,4722,4724,4652
2019-08-14,4750,4676,4750,4606
2019-08-15,4660,4646,4710,4642
2019-08-16,4632,4648,4710,4618
2019-08-19,4638,4608,4672,4592
2019-08-20,4598,4678,4682,4596
2019-08-21,4672,4648,4702,4630
2019-08-22,4686,4746,4758,4678
2019-08-23,4766,4814,4816,4742
2019-08-26,5000,5124,5162,4992
2019-08-27,5108,5016,5118,5010
2019-08-28,5020,5046,5058,4994
2019-08-29,5046,5012,5066,4982
2019-08-30,4980,4950,5016,4940
2019-09-02,4960,5034,5060,4960
2019-09-03,5050,5006,5050,4980
2019-09-04,4976,5034,5046,4952
2019-09-05,5024,4978,5036,4962
2019-09-06,4992,4992,5010,4912
2019-09-09,4998,5014,5056,4996
2019-09-10,5010,5000,5074,4968
2019-09-11,5028,5044,5072,5006
2019-09-12,5040,4990,5044,4978
2019-09-16,5050,5104,5142,5030
2019-09-17,5102,5228,5280,5102
2019-09-18,5190,5120,5210,5116
2019-09-19,5112,5080,5162,5078
2019-09-20,5088,5048,5098,5030
2019-09-23,5060,5070,5092,5042
2019-09-24,5070,4998,5070,4976
2019-09-25,4992,5006,5026,4978
2019-09-26,4992,5006,5014,4978
2019-09-27,5036,4968,5036,4920
2019-09-30,4960,4936,4984,4904
2019-10-08,4980,4994,5002,4946
2019-10-09,4992,5072,5082,4988
2019-10-10,5060,5070,5098,5036
2019-10-11,5072,5118,5144,5056
2019-10-14,5096,4980,5096,4976
2019-10-15,4970,4980,5004,4962
2019-10-16,4998,5076,5080,4998
2019-10-17,5078,5078,5114,5060
2019-10-18,5094,5086,5108,5056
2019-10-21,5106,5138,5156,5096
2019-10-22,5104,5120,5126,5084
2019-10-23,5152,5198,5250,5152
2019-10-24,5164,5256,5260,5154
2019-10-25,5290,5318,5402,5280
2019-10-28,5304,5392,5402,5304
2019-10-29,5406,5382,5416,5344
2019-10-30,5370,5472,5494,5358
2019-10-31,5500,5438,5528,5426
2019-11-01,5430,5448,5506,5412
2019-11-04,5420,5516,5548,5420
2019-11-05,5546,5608,5676,5534
2019-11-06,5580,5550,5606,5528
2019-11-07,5590,5500,5650,5472
2019-11-08,5500,5528,5566,5456
2019-11-11,5596,5732,5732,5548
2019-11-12,5708,5690,5748,5652
2019-11-13,5650,5648,5716,5630
2019-11-14,5618,5632,5642,5550
2019-11-15,5632,5572,5656,5544
2019-11-18,5562,5632,5646,5556
2019-11-19,5606,5674,5696,5602
2019-11-20,5688,5826,5852,5674
