Date,Open,Close,High,Low
2013-10-09,4598,4476,4658,4470
2013-10-10,4460,4502,4522,4452
2013-10-11,4510,4466,4524,4456
2013-10-14,4476,4444,4524,4434
2013-10-15,4448,4442,4494,4436
2013-10-16,4428,4432,4484,4428
2013-10-17,4448,4410,4460,4408
2013-10-18,4412,4404,4430,4402
2013-10-21,4410,4452,4466,4404
2013-10-22,4444,4440,4454,4428
2013-10-23,4432,4436,4444,4408
2013-10-24,4434,4458,4482,4426
2013-10-25,4460,4406,4464,4406
2013-10-28,4410,4268,4464,4250
2013-10-29,4266,4270,4288,4248
2013-10-30,4270,4316,4328,4228
2013-10-31,4308,4292,4324,4288
2013-11-01,4288,4310,4340,4256
2013-11-04,4280,4314,4340,4276
2013-11-05,4310,4308,4332,4264
2013-11-06,4300,4308,4316,4300
2013-11-07,4312,4274,4324,4268
2013-11-08,4272,4260,4284,4252
2013-11-11,4262,4278,4286,4254
2013-11-12,4272,4304,4308,4268
2013-11-13,4280,4286,4290,4262
2013-11-14,4298,4266,4302,4264
2013-11-15,4266,4270,4284,4246
2013-11-18,4278,4292,4314,4270
2013-11-19,4280,4296,4306,4264
2013-11-20,4296,4310,4326,4296
2013-11-21,4306,4298,4312,4288
2013-11-22,4312,4338,4350,4308
2013-11-25,4336,4356,4368,4316
2013-11-26,4360,4370,4444,4350
2013-11-27,4366,4336,4384,4332
2013-11-28,4330,4346,4358,4318
2013-11-29,4352,4352,4366,4332
2013-12-02,4362,4354,4372,4340
2013-12-03,4360,4382,4410,4352
2013-12-04,4408,4388,4412,4378
2013-12-05,4398,4376,4406,4372
2013-12-06,4382,4424,4430,4360
2013-12-09,4426,4396,4442,4376
2013-12-10,4398,4388,4408,4380
2013-12-11,4390,4390,4404,4380
2013-12-12,4398,4388,4420,4372
2013-12-13,4388,4370,4388,4302
2013-12-16,4378,4360,4388,4334
2013-12-17,4360,4330,4364,4328
2013-12-18,4330,4334,4340,4314
2013-12-19,4334,4326,4350,4326
2013-12-20,4326,4316,4350,4314
2013-12-23,4314,4330,4350,4306
2013-12-24,4328,4326,4334,4316
2013-12-25,4326,4338,4356,4324
2013-12-26,4342,4282,4344,4268
2013-12-27,4276,4316,4328,4262
2013-12-30,4320,4334,4340,4312
2013-12-31,4320,4304,4324,4292
2014-01-01,4320,4304,4324,4304
2014-01-02,4302,4290,4314,4282
2014-01-03,4282,4278,4292,4254
2014-01-06,4270,4284,4306,4262
2014-01-07,4272,4248,4288,4248
2014-01-08,4246,4272,4276,4206
2014-01-09,4266,4282,4312,4264
2014-01-10,4280,4282,4306,4256
2014-01-13,4280,4308,4318,4276
2014-01-14,4310,4342,4346,4302
2014-01-15,4320,4370,4378,4318
2014-01-16,4380,4364,4498,4354
2014-01-17,4374,4354,4384,4346
2014-01-20,4358,4354,4384,4330
2014-01-21,4360,4348,4366,4336
2014-01-22,4370,4350,4374,4344
2014-01-23,4360,4356,4360,4350
2014-01-24,4356,4360,4374,4352
2014-01-27,4350,4372,4386,4350
2014-01-28,4372,4372,4390,4366
2014-01-29,4368,4372,4374,4328
2014-01-30,4370,4390,4438,4352
2014-01-31,4370,4390,4438,4352
2014-02-04,4390,4390,4390,4390
2014-02-07,4392,4428,4428,4392
2014-02-10,4428,4426,4444,4386
2014-02-11,4402,4424,4426,4402
2014-02-12,4420,4292,4420,4290
2014-02-13,4312,4246,4346,4206
2014-02-14,4436,4394,4440,4394
2014-02-17,4394,4404,4440,4364
2014-02-18,4402,4400,4412,4382
2014-02-19,4408,4388,4420,4380
2014-02-20,4384,4370,4392,4328
2014-02-21,4368,4366,4372,4336
2014-02-24,4362,4350,4372,4346
2014-02-25,4356,4350,4368,4346
2014-02-26,4354,4272,4356,4230
2014-02-27,4268,4276,4296,4254
2014-02-28,4274,4274,4280,4258
2014-03-03,4286,4264,4288,4256
2014-03-04,4264,4250,4276,4246
2014-03-05,4256,4270,4294,4254
2014-03-06,4266,4262,4268,4228
2014-03-07,4268,4244,4278,4238
2014-03-10,4232,4192,4278,4154
2014-03-11,4188,4220,4238,4182
2014-03-12,4208,4190,4210,4160
2014-03-13,4188,4190,4198,4178
2014-03-14,4184,4188,4192,4160
2014-03-17,4190,4188,4206,4160
2014-03-18,4186,4194,4198,4182
2014-03-19,4196,4214,4230,4194
2014-03-20,4226,4218,4236,4216
2014-03-21,4216,4220,4226,4196
2014-03-24,4218,4228,4236,4196
2014-03-25,4228,4238,4254,4220
2014-03-26,4236,4218,4248,4212
2014-03-27,4220,4214,4222,4206
2014-03-28,4212,4170,4218,4046
2014-03-31,4290,4170,4290,4046
2014-04-01,4166,4178,4184,4160
2014-04-02,4174,4142,4180,4138
2014-04-03,4138,4114,4146,4090
2014-04-04,4114,4126,4132,4112
2014-04-07,4114,4126,4132,4112
2014-04-08,4128,4148,4182,4124
2014-04-09,4152,4152,4166,4146
2014-04-10,4154,4146,4154,4136
2014-04-11,4142,4158,4160,4138
2014-04-14,4160,4210,4230,4138
2014-04-15,4230,4212,4232,4206
2014-04-16,4210,4192,4226,4184
2014-04-17,4194,4178,4196,4168
2014-04-18,4178,4174,4184,4160
2014-04-21,4182,4156,4198,4130
2014-04-22,4154,4160,4160,4132
2014-04-23,4162,4158,4162,4142
2014-04-24,4156,4186,4190,4152
2014-04-25,4184,4176,4196,4168
2014-04-28,4170,4188,4196,4166
2014-04-29,4188,4180,4190,4172
2014-04-30,4186,4206,4210,4174
2014-05-01,4186,4206,4210,4174
2014-05-02,4186,4206,4210,4174
2014-05-05,4208,4196,4210,4174
2014-05-06,4190,4180,4194,4174
2014-05-07,4180,4136,4186,4132
2014-05-08,4134,4150,4166,4134
2014-05-09,4150,4150,4158,4146
2014-05-12,4150,4158,4168,4150
2014-05-13,4156,4160,4164,4156
2014-05-14,4160,4164,4166,4158
2014-05-15,4162,4154,4162,4150
2014-05-16,4152,4152,4156,4134
2014-05-19,4156,4138,4156,4134
2014-05-20,4132,4140,4144,4132
2014-05-21,4302,4298,4306,4290
2014-05-22,4296,4298,4312,4292
2014-05-23,4298,4290,4302,4290
2014-05-26,4290,4278,4302,4268
2014-05-27,4278,4244,4282,4240
2014-05-28,4242,4228,4242,4200
2014-05-29,4226,4228,4232,4212
2014-05-30,4228,4232,4240,4224
2014-06-02,4228,4232,4240,4224
2014-06-03,4234,4214,4236,4212
2014-06-04,4212,4222,4226,4212
2014-06-05,4224,4222,4226,4220
2014-06-06,4224,4222,4226,4222
2014-06-09,4220,4222,4228,4216
2014-06-10,4224,4228,4234,4222
2014-06-11,4226,4230,4230,4210
2014-06-12,4228,4224,4228,4220
2014-06-13,4224,4264,4280,4224
2014-06-16,4262,4258,4280,4250
2014-06-17,4252,4254,4260,4248
2014-06-18,4254,4252,4256,4252
2014-06-19,4250,4238,4252,4236
2014-06-20,4238,4238,4244,4234
2014-06-23,4242,4254,4272,4234
2014-06-24,4256,4246,4264,4232
2014-06-25,4242,4246,4252,4240
2014-06-26,4248,4240,4252,4238
2014-06-27,4238,4246,4250,4236
2014-06-30,4252,4256,4260,4246
2014-07-01,4252,4244,4256,4220
2014-07-02,4242,4264,4266,4236
2014-07-03,4270,4278,4280,4260
2014-07-04,4284,4286,4306,4276
2014-07-07,4292,4272,4306,4268
2014-07-08,4270,4256,4278,4252
2014-07-09,4266,4252,4266,4250
2014-07-10,4258,4258,4266,4252
2014-07-11,4268,4262,4268,4258
2014-07-14,4264,4260,4268,4254
2014-07-15,4264,4274,4276,4264
2014-07-16,4270,4266,4278,4266
2014-07-17,4270,4270,4272,4264
2014-07-18,4272,4270,4272,4266
2014-07-21,4272,4258,4276,4250
2014-07-22,4262,4250,4262,4244
2014-07-23,4252,4242,4252,4240
2014-07-24,4244,4246,4250,4230
2014-07-25,4248,4254,4256,4238
2014-07-28,4254,4270,4270,4248
2014-07-29,4274,4268,4284,4266
2014-07-30,4268,4252,4268,4250
2014-07-31,4252,4250,4262,4242
2014-08-01,4232,4254,4256,4232
2014-08-04,4258,4266,4270,4246
2014-08-05,4268,4284,4286,4258
2014-08-06,4288,4260,4288,4248
2014-08-07,4264,4254,4266,4248
2014-08-08,4256,4260,4266,4248
2014-08-11,4252,4250,4266,4250
2014-08-12,4250,4226,4250,4202
2014-08-13,4220,4216,4224,4192
2014-08-14,4202,4212,4216,4194
2014-08-15,4198,4190,4214,4176
2014-08-18,4186,4198,4214,4184
2014-08-19,4184,4202,4226,4172
2014-08-20,4208,4220,4222,4202
2014-08-21,4226,4240,4244,4226
2014-08-22,4246,4234,4246,4232
2014-08-25,4246,4250,4258,4232
2014-08-26,4256,4268,4276,4252
2014-08-27,4274,4276,4278,4266
2014-08-28,4276,4288,4290,4274
2014-08-29,4288,4272,4288,4258
2014-09-01,4274,4278,4288,4270
2014-09-02,4274,4288,4290,4270
2014-09-03,4282,4284,4310,4282
2014-09-04,4284,4296,4296,4284
2014-09-05,4292,4340,4340,4284
2014-09-09,4338,4314,4340,4292
2014-09-10,4308,4340,4340,4306
2014-09-11,4324,4494,4494,4324
2014-09-12,4488,4576,4576,4346
2014-09-15,4552,4552,4576,4552
2014-09-16,4278,4180,4278,4180
2014-09-17,4182,4194,4194,4180
2014-09-18,4192,4168,4192,4158
