Date,Open,Close,High,Low
2018-09-20,3580,3620,3620,3562
2018-09-21,3618,3626,3630,3596
2018-09-25,3652,3664,3696,3644
2018-09-26,3670,3638,3684,3616
2018-09-27,3638,3670,3674,3596
2018-09-28,3668,3680,3692,3642
2018-10-08,3708,3720,3762,3686
2018-10-09,3714,3800,3806,3702
2018-10-10,3808,3786,3810,3762
2018-10-11,3780,3686,3784,3680
2018-10-12,3690,3696,3710,3672
2018-10-15,3702,3670,3708,3644
2018-10-16,3672,3608,3682,3600
2018-10-17,3608,3620,3636,3594
2018-10-18,3616,3568,3624,3554
2018-10-19,3546,3564,3582,3538
2018-10-22,3576,3590,3612,3562
2018-10-23,3578,3550,3590,3546
2018-10-24,3532,3482,3536,3470
2018-10-25,3488,3440,3502,3418
2018-10-26,3450,3444,3462,3434
2018-10-29,3454,3442,3478,3404
2018-10-30,3440,3422,3468,3414
2018-10-31,3406,3448,3454,3356
2018-11-01,3450,3402,3462,3392
2018-11-02,3402,3352,3416,3310
2018-11-05,3348,3360,3366,3318
2018-11-06,3360,3350,3380,3344
2018-11-07,3350,3338,3386,3332
2018-11-08,3370,3386,3410,3340
2018-11-09,3378,3328,3400,3318
2018-11-12,3306,3262,3310,3170
2018-11-13,3276,3220,3288,3198
2018-11-14,3230,3074,3246,3042
2018-11-15,3086,3122,3122,3076
2018-11-16,3132,3142,3150,3108
2018-11-19,3160,3110,3162,3082
2018-11-20,3090,3082,3112,3064
2018-11-21,3082,2946,3086,2906
2018-11-22,3066,3042,3072,2996
2018-11-23,3040,3002,3066,2944
2018-11-26,2956,2930,2988,2878
2018-11-27,2944,3020,3076,2934
2018-11-28,3032,3060,3082,3012
2018-11-29,3016,2952,3038,2932
2018-11-30,2956,2922,2986,2904
2018-12-03,2914,2908,3038,2852
2018-12-04,2876,2904,2918,2872
2018-12-05,2926,2860,2926,2816
2018-12-06,2880,2800,2908,2800
2018-12-07,2748,2794,2826,2746
2018-12-10,2820,2816,2870,2802
2018-12-11,2804,2742,2824,2718
2018-12-12,2760,2790,2800,2754
2018-12-13,2792,2784,2810,2660
2018-12-14,2776,2820,2824,2768
2018-12-17,2812,2820,2820,2754
2018-12-18,2830,2772,2830,2760
2018-12-19,2764,2722,2786,2700
2018-12-20,2726,2758,2768,2720
2018-12-21,2744,2760,2782,2732
2018-12-24,2730,2736,2758,2706
2018-12-25,2708,2586,2734,2568
2018-12-26,2592,2588,2618,2572
2018-12-27,2606,2642,2714,2552
2018-12-28,2642,2628,2658,2608
2019-01-02,2630,2582,2642,2570
2019-01-03,2582,2600,2620,2560
2019-01-04,2624,2688,2712,2612
2019-01-07,2710,2746,2764,2682
2019-01-08,2750,2732,2768,2712
2019-01-09,2742,2790,2800,2734
