Date,Open,Close,High,Low
2008-07-16,212.88,213.93,213.93,212.75
2008-07-17,211.00,211.60,212.49,211.00
2008-07-18,211.50,211.01,211.88,210.80
2008-07-21,209.99,211.36,211.50,209.52
2008-07-22,211.00,211.94,212.00,210.81
2008-07-23,212.61,214.15,214.20,212.50
2008-07-24,209.98,206.61,209.98,206.50
2008-07-25,202.29,203.38,204.38,200.45
2008-07-28,203.88,205.23,205.78,203.88
2008-07-29,205.00,204.35,205.20,203.93
2008-07-30,205.41,204.65,205.70,204.59
2008-07-31,202.00,202.10,202.40,201.30
2008-08-01,201.27,202.87,202.90,201.02
2008-08-04,201.50,201.58,201.97,201.31
2008-08-05,201.66,203.40,203.44,201.66
2008-08-06,197.80,196.55,199.46,195.80
2008-08-07,195.77,196.95,196.95,195.10
2008-08-08,196.02,197.41,197.49,196.02
2008-08-11,194.50,194.11,194.87,193.52
2008-08-12,192.31,191.49,193.38,191.00
2008-08-13,182.82,182.82,182.82,182.82
2008-08-14,180.10,184.45,184.62,179.10
2008-08-15,186.60,186.00,186.87,184.04
2008-08-18,176.28,176.15,177.87,176.10
2008-08-19,179.33,181.45,181.52,178.81
2008-08-20,178.28,176.45,178.72,176.18
2008-08-21,183.03,182.30,183.29,181.86
2008-08-22,183.30,184.37,184.55,182.73
2008-08-25,187.00,186.55,187.30,186.12
2008-08-26,182.51,182.80,183.18,181.10
2008-08-27,182.05,182.25,183.35,181.56
2008-08-28,184.49,184.83,185.34,184.15
2008-08-29,185.11,185.56,186.12,184.72
2008-09-01,184.38,185.44,185.75,184.35
2008-09-02,185.00,184.90,185.18,184.50
2008-09-03,180.50,179.50,181.40,179.37
2008-09-04,180.00,178.76,180.24,178.10
2008-09-05,179.80,180.30,180.50,179.35
2008-09-08,176.50,177.99,178.33,176.30
2008-09-09,181.40,181.25,182.09,180.80
2008-09-10,179.00,178.57,179.27,177.50
2008-09-11,170.81,173.26,173.85,170.71
2008-09-12,169.20,168.82,169.90,168.50
2008-09-15,168.90,170.00,170.00,168.40
2008-09-17,174.02,172.90,174.38,171.00
2008-09-18,174.66,174.58,174.88,173.42
2008-09-19,182.86,182.86,182.86,182.86
2008-09-22,189.00,187.20,189.70,185.80
2008-09-23,191.00,191.79,191.86,189.50
2008-09-24,199.39,195.87,199.50,195.72
2008-09-25,195.00,196.34,196.67,193.38
2008-09-26,195.00,197.19,197.48,194.47
2008-09-29,195.00,193.70,195.46,192.88
2008-10-07,184.35,184.35,184.68,184.35
