Date,Open,Close,High,Low
2018-09-20,272.60,272.25,272.65,271.95
2018-09-21,272.60,273.00,273.20,272.15
2018-09-25,272.85,271.95,272.85,271.35
2018-09-26,272.35,272.35,272.65,272.10
2018-09-27,271.95,271.60,272.45,271.30
2018-09-28,270.80,268.90,270.80,268.85
2018-10-08,273.35,272.80,273.65,272.15
2018-10-09,271.85,272.25,272.60,271.50
2018-10-10,271.95,272.15,272.55,271.65
2018-10-11,272.00,273.80,273.85,271.85
2018-10-12,275.60,277.20,278.05,274.90
2018-10-15,277.85,279.75,279.75,277.50
2018-10-16,280.20,279.60,280.45,279.15
2018-10-17,280.10,278.80,280.40,278.50
2018-10-18,279.45,279.25,280.10,278.00
2018-10-19,279.65,280.35,281.50,279.50
2018-10-22,280.35,280.20,280.55,279.90
2018-10-23,280.00,281.40,281.40,279.30
2018-10-24,282.55,281.50,283.65,281.40
2018-10-25,281.30,282.85,283.60,281.20
2018-10-26,282.75,282.65,282.95,281.55
2018-10-29,282.85,282.15,284.80,281.95
2018-10-30,282.25,281.45,282.45,280.60
2018-10-31,280.55,279.40,281.45,279.40
2018-11-01,279.25,280.10,280.25,278.20
2018-11-02,281.00,280.25,281.40,280.05
2018-11-05,279.80,280.20,280.55,279.40
2018-11-06,280.15,280.15,280.90,279.75
2018-11-07,280.85,280.40,281.10,279.35
2018-11-08,276.20,274.90,276.20,274.80
2018-11-09,275.00,274.35,275.45,274.10
2018-11-12,274.35,272.20,274.45,272.05
2018-11-13,272.20,271.25,272.35,271.10
2018-11-14,271.00,271.25,271.50,270.80
2018-11-15,271.20,272.80,272.90,270.65
2018-11-16,272.50,273.35,273.45,271.90
2018-11-19,273.40,274.20,274.85,273.40
2018-11-20,274.30,275.30,275.30,274.30
2018-11-21,275.35,275.05,276.00,274.75
2018-11-22,275.20,275.65,276.00,274.75
2018-11-23,275.90,275.55,275.95,275.40
2018-11-26,275.55,275.45,275.55,274.90
2018-11-27,275.35,274.90,275.60,274.80
2018-11-28,278.05,276.35,278.35,275.95
2018-11-29,276.40,278.20,278.35,275.90
2018-11-30,278.40,278.10,278.75,277.85
2018-12-03,277.55,277.00,278.00,276.85
2018-12-04,277.30,277.00,278.05,276.95
2018-12-05,277.00,277.60,277.85,276.80
2018-12-06,277.75,278.65,279.05,277.35
2018-12-07,278.65,278.95,279.90,278.45
2018-12-10,279.30,281.60,281.65,279.05
2018-12-11,281.25,281.15,281.60,280.80
2018-12-12,280.80,279.70,281.00,279.70
2018-12-13,279.95,279.40,280.45,279.20
2018-12-14,279.10,279.05,279.60,278.80
2018-12-17,278.95,278.75,279.40,277.20
2018-12-18,279.25,280.45,281.00,279.20
2018-12-19,280.40,281.25,281.45,280.35
2018-12-20,281.00,280.80,282.95,280.40
2018-12-21,281.95,283.40,284.25,281.80
2018-12-24,283.70,284.20,284.65,282.90
2018-12-25,284.25,285.70,286.30,284.05
2018-12-26,285.90,286.05,286.20,284.70
2018-12-27,285.70,285.10,286.55,284.60
2018-12-28,285.50,286.60,286.60,285.05
2019-01-02,286.55,287.05,287.35,285.90
2019-01-03,287.35,289.40,289.45,286.60
2019-01-04,288.70,289.35,290.35,288.05
2019-01-07,288.60,287.45,288.85,285.70
2019-01-08,287.45,285.75,288.55,285.75
2019-01-09,285.05,285.20,286.65,284.90
2019-01-10,284.70,285.85,286.80,284.55
2019-01-11,285.35,284.00,285.35,283.60
2019-01-14,283.95,283.90,284.35,283.10
2019-01-15,284.50,283.40,284.85,283.25
2019-01-16,283.60,283.75,284.40,283.35
2019-01-17,283.35,284.25,284.35,283.35
2019-01-18,286.35,285.75,286.35,285.20
2019-01-21,284.85,283.90,284.85,283.35
2019-01-22,281.85,282.55,282.80,281.65
2019-01-23,282.95,283.05,283.95,282.75
2019-01-24,283.35,282.85,283.55,282.45
2019-01-25,283.65,283.55,284.55,283.35
2019-01-28,282.55,285.35,285.80,282.35
2019-01-29,286.05,287.35,288.10,285.60
2019-01-30,288.00,288.25,288.50,287.10
2019-01-31,287.60,288.65,288.75,285.70
2019-02-01,289.25,289.75,289.90,288.30
2019-02-11,289.75,289.45,290.15,289.05
2019-02-12,288.90,289.70,289.90,288.45
2019-02-13,289.90,289.55,290.35,289.15
2019-02-14,289.00,288.80,290.85,288.70
2019-02-15,288.30,290.75,301.10,288.30
2019-02-18,291.30,292.15,292.25,290.35
2019-02-19,292.50,292.45,293.25,292.45
2019-02-20,293.95,294.55,295.40,293.75
2019-02-21,294.55,292.75,295.05,292.65
2019-02-22,292.75,290.80,293.10,290.55
2019-02-25,290.40,290.35,291.85,289.90
2019-02-26,290.15,290.25,290.70,289.20
2019-02-27,289.85,289.90,290.35,289.35
2019-02-28,289.35,288.00,290.00,287.10
2019-03-01,288.60,286.95,289.05,286.70
