Date,Open,Close,High,Low
2011-03-25,19315,19020,19655,18915
2011-03-28,19020,19035,19220,18945
2011-03-29,18985,18690,19120,18585
2011-03-30,18615,18760,18820,18570
2011-03-31,18885,18845,18935,18780
2011-04-01,18785,18750,18805,18665
2011-04-04,18865,18725,18865,18655
2011-04-07,18760,19305,19445,18760
2011-04-08,19285,19160,19385,19120
2011-04-11,19175,19260,19335,19090
2011-04-12,19335,19295,19525,19230
2011-04-13,19085,18885,19210,18875
2011-04-14,18695,18800,18830,18625
2011-04-15,18640,18665,18775,18625
2011-04-18,18690,18665,18865,18590
2011-04-19,18660,18665,18735,18610
2011-04-20,18385,18065,18435,18035
2011-04-21,18150,18250,18265,18150
2011-04-22,18385,18265,18385,18225
2011-04-25,18320,18060,18320,17965
2011-04-26,18065,17845,18135,17845
2011-04-27,17780,17730,17780,17505
2011-04-28,17705,17635,17875,17505
2011-04-29,17640,17840,17935,17640
2011-05-02,17750,17635,17810,17615
2011-05-04,17635,17615,17735,17545
2011-05-05,17675,17565,17680,17525
2011-05-06,17395,16800,17395,16535
2011-05-09,16305,16340,16525,16275
2011-05-10,16415,16705,16725,16415
2011-05-11,16590,16730,16795,16550
2011-05-12,16775,16760,17285,16680
2011-05-13,16535,16305,16585,16305
2011-05-16,16560,16790,16825,16425
2011-05-17,16660,16640,16740,16545
2011-05-18,16590,16655,16695,16315
2011-05-19,16820,16795,16940,16705
2011-05-20,17265,17030,17265,17010
2011-05-23,17080,17020,17080,16935
2011-05-24,17085,16695,17160,16650
2011-05-25,16690,16845,16885,16610
2011-05-26,16955,17175,17180,16875
2011-05-27,17135,17290,17315,17135
2011-05-30,17185,17400,17425,17125
2011-05-31,17315,17125,17455,17115
2011-06-01,17200,17180,17265,16980
2011-06-02,17170,17040,17170,16995
2011-06-03,16925,16965,16985,16865
2011-06-06,16795,16975,17065,16760
2011-06-08,16975,17115,17250,16930
2011-06-09,17185,17105,17265,16950
2011-06-10,17190,17070,17215,17070
2011-06-13,17165,17155,17235,17075
2011-06-14,17055,17025,17110,16920
2011-06-15,17050,17025,17060,16905
2011-06-16,17115,17065,17155,17040
2011-06-17,16920,16780,16955,16765
2011-06-20,16805,16705,16865,16685
2011-06-21,16635,16555,16715,16540
2011-06-22,16620,16935,16975,16615
2011-06-23,16885,16805,16935,16770
2011-06-24,16990,16940,16995,16800
2011-06-27,16960,17115,17130,16945
2011-06-28,16995,16855,17050,16835
2011-06-29,16935,16950,17040,16905
2011-06-30,17025,17060,17065,16965
2011-07-01,17185,17285,17295,17135
2011-07-04,17285,17245,17320,17210
2011-07-05,17290,17435,17495,17290
2011-07-06,17420,17305,17515,17300
2011-07-07,17365,17400,17440,17335
2011-07-08,17370,17405,17470,17310
2011-07-11,17500,17390,17550,17385
2011-07-12,17305,17255,17390,17155
2011-07-13,17165,17270,17270,17155
2011-07-14,17435,17780,17785,17395
2011-07-15,17635,17640,17680,17565
2011-07-18,17550,17520,17615,17500
2011-07-19,17570,17605,17665,17540
2011-07-20,17670,17820,17825,17650
2011-07-21,17825,17770,17900,17695
2011-07-22,17685,17530,17735,17515
2011-07-25,17570,17665,17665,17570
2011-07-26,17615,17495,17620,17485
2011-07-27,17495,17720,17780,17495
2011-07-28,17755,17855,17920,17730
2011-07-29,17785,17785,17810,17665
2011-08-01,17720,17625,17865,17515
2011-08-02,17655,17685,17745,17615
2011-08-03,17535,17275,17620,17160
2011-08-04,17170,17175,17365,17140
2011-08-05,17165,17005,17180,16955
2011-08-08,16645,16355,16705,16045
2011-08-09,16090,16265,16285,15595
2011-08-10,15510,16040,16170,15215
2011-08-11,16315,16495,16620,16015
2011-08-12,16575,16540,16605,16415
2011-08-15,16755,16675,16770,16625
2011-08-16,16675,16745,16850,16675
2011-08-17,16850,16465,16850,16425
2011-08-18,16470,16670,16710,16470
2011-08-19,16665,16685,16780,16640
2011-08-22,16435,16615,16615,16425
2011-08-23,16695,16585,16745,16585
2011-08-24,16565,16665,16680,16545
2011-08-25,16805,16705,16805,16665
2011-08-26,16740,16795,16830,16700
2011-08-29,16870,16775,16895,16735
2011-08-30,16910,16875,16950,16835
2011-08-31,16925,16920,17010,16840
2011-09-01,16955,16970,17000,16900
2011-09-02,16960,16800,17005,16795
2011-09-05,16800,16650,16830,16575
2011-09-06,16575,16570,16735,16520
2011-09-07,16530,16460,16545,16375
2011-09-08,16535,16675,16680,16495
2011-09-09,16700,16625,16720,16600
2011-09-12,16635,16615,16705,16570
2011-09-14,16615,16435,16615,16415
2011-09-15,16440,16365,16580,16295
2011-09-16,16360,16290,16385,16260
2011-09-19,16355,16365,16375,16300
2011-09-20,16235,15820,16235,15775
2011-09-21,15635,15780,15815,15635
2011-09-22,15745,15860,15860,15635
2011-09-23,15575,15130,15575,14905
2011-09-26,14695,14355,14695,14355
2011-09-27,13920,13515,14160,13480
2011-09-28,14090,14270,14430,14090
2011-09-29,14515,14390,14570,14135
2011-09-30,13780,14245,14245,13475
2011-10-03,14200,14765,14765,14200
2011-10-11,14500,14625,14780,14500
2011-10-12,14835,14655,14870,14610
2011-10-13,14615,14785,14820,14485
2011-10-14,14835,14795,14930,14740
2011-10-17,14785,14970,14985,14785
2011-10-18,14975,14925,15040,14850
2011-10-19,14620,14305,14675,14290
2011-10-20,14435,14430,14575,14320
2011-10-21,13885,13745,13955,13735
2011-10-24,13585,14235,14265,13585
2011-10-25,14640,15025,15025,14550
2011-10-26,15250,15095,15650,14860
2011-10-27,14875,15015,15195,14760
2011-10-28,15080,15105,15150,14950
2011-10-31,15580,15435,15725,15360
2011-11-01,15565,15345,15565,15185
2011-11-02,15450,15315,15450,15275
2011-11-03,15015,15285,15340,15015
2011-11-04,15230,15115,15260,15080
2011-11-07,15215,15480,15535,15215
2011-11-08,15480,15405,15480,15350
2011-11-09,15415,15335,15450,15300
2011-11-10,15450,15425,15510,15385
2011-11-11,15200,14670,15250,14605
2011-11-14,15005,14910,15025,14610
2011-11-15,15200,15520,15620,15200
2011-11-16,15455,15325,15490,15315
2011-11-17,15405,15265,15435,15240
2011-11-18,15305,15285,15390,15125
2011-11-21,14955,15170,15170,14945
2011-11-22,15315,15250,15320,15230
2011-11-23,15030,15265,15270,15030
2011-11-24,15285,15240,15340,15220
2011-11-25,15240,15190,15305,14935
2011-11-28,15180,15150,15195,15000
2011-11-29,15270,15420,15500,15270
2011-11-30,15450,15420,15490,15355
2011-12-01,15395,15315,15445,15270
2011-12-02,16185,15760,16185,15730
2011-12-05,15715,15695,15715,15650
2011-12-06,15710,15640,15710,15600
2011-12-07,15600,15595,15615,15510
2011-12-08,15750,15795,15795,15650
2011-12-09,15715,15730,15765,15660
2011-12-12,15540,15640,15680,15535
2011-12-13,15715,15660,15715,15590
2011-12-14,15515,15520,15575,15500
2011-12-15,15490,15320,15490,15255
2011-12-16,15140,15055,15150,14915
2011-12-19,15140,15300,15300,15140
2011-12-20,15200,15080,15200,15080
2011-12-21,15105,15120,15170,15060
2011-12-22,15250,15210,15280,15185
2011-12-23,15190,15170,15210,15140
2011-12-26,15210,15315,15320,15210
2011-12-27,15200,15100,15210,15080
2011-12-28,15100,15180,15180,15100
2011-12-29,15155,15150,15180,15100
2011-12-30,15050,15065,15065,15000
2012-01-02,15150,15250,15250,15145
2012-01-05,15280,15255,15320,15250
2012-01-06,15265,15300,15300,15205
2012-01-09,15210,15165,15220,15165
2012-01-10,14935,15155,15160,14935
2012-01-11,15100,15285,15315,15010
2012-01-12,15320,15230,15320,15230
2012-01-13,15300,15300,15300,15300
2012-01-16,15475,15490,15490,15335
2012-01-17,15350,15420,15495,15265
2012-01-18,15480,15630,15700,15435
2012-01-19,15665,15750,15825,15665
2012-01-20,15885,16000,16000,15860
2012-01-23,16010,16120,16225,15890
2012-01-31,16440,16120,16440,16100
2012-02-01,16110,16160,16200,16060
2012-02-02,16100,15995,16130,15960
2012-02-03,16130,16125,16140,16025
2012-02-06,15990,16145,16170,15940
2012-02-07,16265,16245,16300,16225
2012-02-08,16190,16050,16200,16040
2012-02-09,16060,16240,16250,16060
2012-02-10,16110,16080,16205,16080
2012-02-13,16225,16070,16225,16045
2012-02-14,16040,16015,16100,15920
2012-02-15,15955,15820,16175,15820
2012-02-16,15845,15860,15920,15830
2012-02-17,15815,15595,15815,15530
2012-02-20,15755,15600,15755,15585
2012-02-21,15600,15685,15795,15600
2012-02-22,15715,15820,15830,15695
2012-02-23,15895,15820,15930,15775
2012-02-24,15835,15900,15930,15830
2012-02-27,15950,15990,16025,15940
2012-02-28,16150,16130,16195,16105
2012-02-29,16195,16310,16360,16180
2012-03-01,16255,16315,16385,16220
2012-03-02,16150,16050,16195,16050
2012-03-05,16095,16210,16210,16095
2012-03-06,16160,16130,16205,16120
2012-03-07,16060,15900,16100,15900
2012-03-08,15660,15630,15700,15620
2012-03-09,15710,15810,15970,15710
2012-03-12,15880,15970,15970,15860
2012-03-13,15920,15930,15950,15805
2012-03-14,15980,16045,16050,15975
2012-03-15,16200,15900,16200,15890
2012-03-16,15755,15800,15860,15755
2012-03-19,15940,15910,15940,15880
2012-03-20,15815,15850,15850,15800
2012-03-21,15870,15860,15880,15820
2012-03-22,15760,15730,15760,15655
2012-03-23,15705,15615,15745,15585
2012-03-26,15585,15620,15620,15500
2012-03-27,15550,15595,15695,15545
2012-03-28,15690,15620,15690,15610
2012-03-29,15580,15470,15645,15365
2012-03-30,15385,15385,15430,15385
2012-04-02,15450,15570,15570,15450
2012-04-06,15350,15530,15550,15350
2012-04-09,15660,15680,15680,15360
2012-04-10,15645,15580,15720,15580
2012-04-11,15525,15600,15670,15525
2012-04-12,15420,15460,15520,15420
2012-04-13,15580,15665,15845,15530
2012-04-16,15745,15720,15785,15695
2012-04-17,15525,15570,15590,15525
2012-04-18,15660,15600,15670,15600
2012-04-19,15645,15735,15750,15625
2012-04-20,15655,15660,15695,15625
2012-04-23,15660,15740,15760,15660
2012-04-24,15740,15760,15820,15740
2012-04-25,15715,15740,15770,15700
2012-04-26,15735,15740,15760,15725
2012-04-27,15770,15800,15800,15745
2012-04-30,15845,15810,15890,15810
2012-05-03,15815,15945,15950,15815
2012-05-04,15825,15830,15925,15825
2012-05-07,15795,15800,15800,15770
2012-05-08,15700,15710,15720,15680
2012-05-09,15715,15705,15800,15705
2012-05-10,15700,15665,15730,15615
2012-05-11,15610,15650,15695,15580
2012-05-14,15650,15600,15680,15555
2012-05-15,15700,15530,15700,15400
2012-05-16,15410,15520,15520,15410
2012-05-17,15535,15255,15540,15255
2012-05-18,15335,15300,15365,15255
2012-05-21,15240,15075,15240,14990
2012-05-22,15195,15250,15285,15190
2012-05-23,15255,15210,15265,15200
2012-05-24,15100,15075,15190,15055
2012-05-25,15190,15130,15190,15010
2012-05-28,15140,15155,15155,15115
2012-05-29,15200,15300,15300,15165
2012-05-30,15230,15250,15280,15200
2012-05-31,15200,15130,15200,15065
2012-06-01,15000,15045,15100,14900
2012-06-04,15030,15080,15085,15020
2012-06-05,15000,14885,15000,14880
2012-06-06,15040,15050,15100,14955
2012-06-07,15070,15045,15110,15020
2012-06-08,15110,15050,15120,15050
2012-06-11,15010,14965,15020,14965
2012-06-12,15115,15090,15150,15065
2012-06-13,14955,14940,15015,14915
2012-06-14,14980,14980,14995,14960
2012-06-15,14955,14970,14990,14955
2012-06-18,15055,15100,15125,15050
2012-06-19,15235,15135,15235,15130
2012-06-20,15015,14995,15065,14995
2012-06-21,15060,15060,15075,15040
2012-06-22,14950,14850,14950,14850
2012-06-26,14760,14760,14810,14760
2012-06-27,14760,14480,14760,14480
2012-06-28,14455,14385,14455,14345
2012-06-29,14310,14495,14510,14310
2012-07-02,14490,14675,14695,14455
