Date,Open,Close,High,Low
2018-09-20,18755,18830,18995,18730
2018-09-21,18795,18710,18860,18570
2018-09-25,18720,18595,18815,18540
2018-09-26,18650,18370,18660,18355
2018-09-27,17795,17610,17845,17555
2018-09-28,17520,17810,17885,17520
2018-10-08,17730,17855,17925,17660
2018-10-09,17855,18090,18095,17805
2018-10-10,17995,17910,17995,17660
2018-10-11,17805,17755,18030,17665
2018-10-12,18005,18350,18525,17900
2018-10-15,18500,18480,18640,18440
2018-10-16,18630,18450,18685,18415
2018-10-17,18560,18400,18580,18340
2018-10-18,18350,18290,18495,18230
2018-10-19,18200,18105,18235,18085
2018-10-22,18180,18470,18505,18130
2018-10-23,18475,18305,18490,18240
2018-10-24,18255,18340,18460,18205
2018-10-25,18280,18560,18590,18280
2018-10-26,18550,18665,18665,18480
2018-10-29,18630,18700,18760,18590
2018-10-30,18200,18075,18255,18065
2018-10-31,18020,18070,18115,17900
2018-11-01,17925,18260,18320,17815
2018-11-02,18300,18280,18310,18115
2018-11-05,18350,18090,18390,18090
2018-11-06,18105,17965,18170,17925
2018-11-07,17965,17960,17985,17785
2018-11-08,17930,18015,18080,17895
2018-11-09,18100,18115,18305,18080
2018-11-12,18070,18155,18200,17865
2018-11-13,18015,17985,18100,17930
2018-11-14,17950,18080,18120,17835
2018-11-15,18505,18575,18640,18425
2018-11-16,18515,18390,18575,18290
2018-11-19,18440,18475,18645,18400
2018-11-20,18550,18545,18605,18475
2018-11-21,18550,18565,18600,18410
2018-11-22,18565,18625,18680,18525
2018-11-23,18655,18825,18880,18555
2018-11-26,18755,18605,18785,18570
2018-11-27,18575,18510,18680,18465
2018-11-28,18540,18660,18680,18480
2018-11-29,18710,18595,18735,18580
2018-11-30,17780,17850,17880,17735
2018-12-03,17960,18130,18355,17885
2018-12-04,18095,18095,18140,17985
2018-12-05,18115,18135,18210,18110
2018-12-06,18100,18075,18200,18020
2018-12-07,18030,18210,18220,17990
2018-12-10,18150,18070,18200,18045
2018-12-11,18105,17965,18145,17930
2018-12-12,18005,18145,18175,18005
2018-12-13,18100,18110,18145,18030
2018-12-14,18050,18025,18100,17990
2018-12-17,17995,18090,18100,17940
2018-12-18,17965,17930,18035,17880
2018-12-19,18245,18420,18490,18205
2018-12-20,18410,18405,18505,18355
2018-12-21,18480,18390,18510,18380
2018-12-24,18355,18335,18460,18310
2018-12-25,18365,18310,18465,18305
2018-12-26,18310,18325,18370,18170
2018-12-27,18360,18465,18470,18300
2018-12-28,18450,18620,18645,18440
2019-01-02,17770,17705,17885,17680
2019-01-03,17630,17520,17640,17480
2019-01-04,17500,17505,17560,17280
2019-01-07,17480,17475,17590,17375
2019-01-08,17460,17240,17470,17215
2019-01-09,17310,17425,17460,17260
2019-01-10,17405,17310,17450,17230
2019-01-11,17295,17340,17420,17070
2019-01-14,17310,17315,17360,17225
2019-01-15,17275,17415,17450,17215
2019-01-16,17380,17500,17500,17320
2019-01-17,17450,17500,17530,17415
2019-01-18,17500,17575,17610,17465
2019-01-21,17590,17580,17710,17565
2019-01-22,17700,17640,17790,17620
2019-01-23,17685,17675,17705,17630
2019-01-24,17680,17725,17805,17660
2019-01-25,17780,17680,17875,17680
2019-01-28,17700,17730,17875,17695
2019-01-29,17750,17600,17810,17590
2019-01-30,17610,17475,17665,17470
2019-01-31,17475,17430,17640,17415
2019-02-01,17430,17390,17560,17200
2019-02-11,17260,16825,17350,16735
2019-02-12,16800,16835,16985,16800
2019-02-13,16825,16690,16875,16555
2019-02-14,16665,16845,16855,16635
2019-02-15,16895,16850,16895,16775
2019-02-18,17040,16955,17090,16900
2019-02-19,16925,16840,16955,16755
2019-02-20,16835,16785,16880,16740
2019-02-21,16900,16765,16900,16720
2019-02-22,16850,17040,17045,16745
2019-02-25,17060,17165,17190,16960
2019-02-26,17225,17050,17225,16990
2019-02-27,17025,17115,17130,16970
2019-02-28,17195,17285,17315,17165
2019-03-01,17350,17675,17750,17350
2019-03-04,17680,17620,17705,17555
2019-03-05,17550,17430,17560,17225
2019-03-06,17450,17385,18380,17300
2019-03-07,17400,17440,17500,17365
2019-03-08,17485,17340,17485,17275
2019-03-11,17325,17345,17380,17255
2019-03-12,17295,17300,17360,17200
2019-03-13,17300,17310,17405,17280
2019-03-14,17400,17270,17465,17255
2019-03-15,17270,17230,17315,17210
2019-03-18,17165,16885,17165,16880
2019-03-19,16845,16840,16945,16800
2019-03-20,16840,16875,16900,16780
2019-03-21,16810,17000,17020,16810
2019-03-22,16980,16985,17070,16850
2019-03-25,16905,16840,16950,16800
2019-03-26,16840,16840,16895,16770
2019-03-27,16790,16810,16860,16785
2019-03-28,16810,16765,16860,16740
2019-03-29,16765,16735,16785,16710
2019-04-01,16850,16945,16955,16775
2019-04-02,16960,16835,16960,16785
2019-04-03,16785,16885,16915,16755
2019-04-04,16880,16945,16970,16820
2019-04-08,16860,16890,16950,16815
2019-04-09,16900,16915,16950,16845
2019-04-10,16915,16725,16950,16700
2019-04-11,16690,16455,16720,16435
2019-04-12,16455,16345,16520,16275
2019-04-15,16365,16420,16440,16235
2019-04-16,16355,16555,16565,16355
2019-04-17,16595,16470,16615,16375
2019-04-18,16540,16425,16540,16400
2019-04-19,16450,16540,16560,16420
2019-04-22,16540,16605,16605,16490
2019-04-23,16605,16560,16715,16515
2019-04-24,16575,16375,16580,16375
2019-04-25,16395,16560,16570,16390
2019-04-26,16520,16635,16640,16465
2019-04-29,16585,16650,16695,16540
2019-04-30,16690,16615,16695,16580
2019-05-06,16410,16365,16560,16200
2019-05-07,16345,16325,16385,16300
2019-05-08,16310,16330,16370,16280
2019-05-09,16330,16155,16350,16135
2019-05-10,16150,16130,16225,16065
2019-05-13,16095,15940,16110,15940
2019-05-14,15895,15870,15980,15790
2019-05-15,15845,16060,16100,15805
2019-05-16,15980,16250,16250,15960
2019-05-17,16320,16100,16350,16080
2019-05-20,16080,16065,16175,16020
2019-05-21,16010,16135,16155,15870
2019-05-22,16115,16100,16170,16030
2019-05-23,16090,16150,16275,16040
2019-05-24,16145,16295,16330,16060
2019-05-27,16320,16080,16405,16035
2019-05-28,16115,16060,16195,16050
2019-05-29,15890,15910,16000,15830
2019-05-30,15910,16070,16100,15880
2019-05-31,16020,15855,16070,15835
2019-06-03,15855,15885,16025,15845
2019-06-04,15895,15805,15985,15800
2019-06-05,15940,15960,16035,15855
2019-06-06,16030,16005,16065,15900
2019-06-10,15950,16165,16210,15850
2019-06-11,16225,16160,16245,16145
2019-06-12,16210,16020,16240,16015
2019-06-13,16045,16065,16130,16005
2019-06-14,16025,16100,16130,15970
2019-06-17,16085,16090,16150,15980
2019-06-18,16050,16130,16200,16030
2019-06-19,16145,16235,16325,16130
2019-06-20,16190,16095,16210,16060
2019-06-21,16145,15965,16155,15945
2019-06-24,15960,16165,16185,15930
2019-06-25,16165,16255,16300,16165
2019-06-26,16215,16180,16300,16140
2019-06-27,16170,16025,16200,16010
2019-06-28,16095,16010,16095,16000
2019-07-01,16015,16245,16245,16000
2019-07-02,16255,16130,16295,16075
2019-07-03,16070,16025,16150,16020
2019-07-04,16020,16130,16200,15940
2019-07-05,16105,16005,16170,15980
2019-07-08,15955,15960,16080,15925
2019-07-09,16000,15665,16015,15665
2019-07-10,15755,16000,16185,15675
2019-07-11,16050,16110,16150,16010
2019-07-12,16025,16110,16135,16000
2019-07-15,16050,16040,16170,15980
2019-07-16,16070,16275,16290,16050
2019-07-17,16295,16290,16380,16225
2019-07-18,16290,16460,16595,16240
2019-07-19,16500,16650,16690,16485
2019-07-22,16755,16410,16880,16345
2019-07-23,16350,16420,16490,16350
2019-07-24,16450,16620,16635,16400
2019-07-25,16675,16690,16735,16575
2019-07-26,16755,16755,16885,16720
2019-07-29,16715,16640,16730,16605
