Date,Open,Close,High,Low
1996-04-03,22930,22840,23000,22840
1996-04-04,22700,22750,22820,22650
1996-04-05,22520,22780,22820,22500
1996-04-08,22660,22650,22680,22600
1996-04-09,22830,22810,22860,22810
1996-04-10,22790,22820,22850,22770
1996-04-11,22800,23040,23090,22800
1996-04-12,23100,23200,23210,23080
1996-04-15,23580,23550,23680,23400
1996-04-16,23460,23250,23490,23220
1996-04-17,23100,23120,23200,23100
1996-04-18,23150,23220,23260,23150
1996-04-19,23350,23220,23380,23200
1996-04-22,23250,23240,23280,23200
1996-04-23,23520,23600,23620,23410
1996-04-24,23550,23640,23650,23530
1996-04-25,23520,23410,23550,23400
1996-04-26,23550,23410,23560,23400
1996-04-29,23320,23350,23440,23320
1996-04-30,23250,23200,23250,23180
1996-05-01,23200,23260,23270,23140
1996-05-07,23460,23570,23580,23440
1996-05-08,23520,23510,23520,23490
1996-05-09,23750,23650,23760,23630
1996-05-10,23680,23530,23710,23520
1996-05-13,23500,23530,23540,23400
1996-05-14,23520,23450,23520,23420
1996-05-15,23130,23000,23130,23000
1996-05-16,23250,23470,23470,23250
1996-05-17,23350,23470,23490,23350
1996-05-20,23480,23480,23480,23450
1996-05-21,22900,22740,22950,22700
1996-05-22,22450,22610,22690,22400
1996-05-23,22650,22650,22750,22460
1996-05-24,22840,22880,22900,22800
1996-05-27,22830,22740,22830,22710
1996-05-28,22700,22730,22730,22700
1996-05-29,22720,22730,22740,22720
1996-05-30,22550,22580,22650,22550
1996-05-31,22780,22710,22800,22710
1996-06-03,22600,22390,22600,22380
1996-06-05,21930,22020,22040,21920
1996-06-06,21750,21570,21810,21560
1996-06-07,20840,20840,20840,20840
1996-06-10,20140,20690,20730,20140
1996-06-11,20750,21080,21090,20700
1996-06-12,20900,20560,20900,20550
1996-06-13,19870,19870,20050,19870
1996-06-14,20110,19800,20180,19700
1996-06-17,19130,19130,19250,19130
1996-06-18,18480,18480,18700,18480
1996-06-19,18250,19110,19110,18200
1996-06-20,19330,19150,19500,19000
1996-06-21,19490,19560,19700,19300
1996-06-24,19100,19080,19180,19000
1996-06-25,18400,18400,18480,18400
1996-06-26,18250,18650,18700,18100
1996-06-27,18010,18010,18010,18010
1996-06-28,18290,17750,18380,17720
1996-07-01,18350,18220,18360,18100
1996-07-02,18250,18100,18290,18020
1996-07-03,17720,17810,17870,17700
1996-07-04,17850,17800,17930,17800
1996-07-05,17780,17780,17830,17720
1996-07-08,17800,17930,17940,17800
1996-07-09,18400,18090,18400,18050
1996-07-10,18160,18150,18190,18060
1996-07-11,18130,18120,18150,18060
1996-07-12,17950,17780,18000,17770
1996-07-15,17210,17170,17310,17170
1996-07-16,17390,17290,17400,17170
1996-07-17,16820,16730,17020,16720
1996-07-18,16990,16840,17000,16830
1996-07-19,16990,17000,17050,16900
1996-07-22,16990,17310,17340,16980
1996-07-23,17300,17160,17300,17150
1996-07-24,17330,17360,17380,17300
1996-07-25,17770,17960,17960,17750
1996-07-26,18000,17890,18100,17830
1996-07-29,18500,18520,18530,18360
1996-07-30,18200,18100,18260,18050
1996-07-31,17710,17960,17980,17700
1996-08-01,17900,17930,17980,17850
1996-08-02,18040,18280,18300,18020
1996-08-05,18050,18040,18100,18020
1996-08-06,18000,18100,18110,17930
1996-08-07,17810,17850,17920,17800
1996-08-08,18080,18120,18190,18080
1996-08-09,18220,18070,18250,18060
1996-08-12,17930,18100,18110,17930
1996-08-13,18100,18220,18240,18100
1996-08-14,18050,18020,18090,18000
1996-08-15,18100,18100,18120,18070
1996-08-16,18300,18200,18300,18170
1996-08-19,18150,18120,18170,18110
1996-08-20,17960,17940,18000,17910
1996-08-21,18100,18040,18110,18030
1996-08-22,17920,17890,17950,17850
1996-08-23,17920,17720,17920,17720
1996-08-26,17690,17500,17690,17500
1996-08-27,17600,17680,17690,17570
1996-08-28,17630,17660,17680,17620
1996-08-29,17650,17870,17900,17650
1996-08-30,17800,17830,17840,17770
1996-09-02,17990,17970,18030,17940
1996-09-03,18580,18590,18590,18580
1996-09-04,18590,18460,18590,18180
1996-09-05,18850,18580,18850,18550
1996-09-06,18460,18600,18650,18400
1996-09-09,17860,17900,17970,17860
1996-09-10,17800,17820,17960,17800
1996-09-11,17750,17700,17760,17660
1996-09-12,17650,17770,17820,17650
1996-09-13,17770,17440,17770,17300
1996-09-16,17200,17530,17530,17200
1996-09-17,17600,17540,17610,17510
1996-09-18,17500,17530,17560,17480
1996-09-19,17700,17700,17770,17680
1996-09-20,17950,17750,17950,17720
1996-09-23,17800,17610,17800,17510
1996-09-24,17400,17240,17400,17200
1996-09-25,17250,17320,17350,17250
1996-09-26,17550,17510,17600,17480
1996-09-27,17510,17340,17510,17300
1996-09-30,17450,17560,17560,17410
1996-10-04,17490,17550,17570,17490
1996-10-07,17450,17440,17460,17360
1996-10-08,17450,17350,17450,17350
1996-10-09,17200,17000,17200,16990
1996-10-10,17200,17100,17250,17080
1996-10-11,17050,17040,17060,16950
1996-10-14,17250,17060,17250,17060
1996-10-15,17000,16820,17000,16750
1996-10-16,16650,16850,16900,16650
1996-10-17,16780,16850,16860,16750
1996-10-18,16700,16330,16770,16300
1996-10-21,16500,16150,16540,16020
1996-10-22,16250,16310,16340,16130
1996-10-23,16400,16580,16590,16350
1996-10-24,16420,16190,16420,16190
1996-10-25,16350,16400,16470,16350
1996-10-28,16600,16650,16750,16600
1996-10-29,16950,17020,17050,16850
1996-10-30,16800,16980,16980,16790
1996-10-31,16290,16390,16390,16290
1996-11-01,16550,16540,16650,16520
1996-11-04,16400,16480,16480,16350
1996-11-05,16540,16650,16720,16540
1996-11-06,16700,16650,16700,16640
1996-11-07,16500,16380,16550,16380
1996-11-08,16500,16510,16530,16450
1996-11-11,16900,16770,16900,16750
1996-11-12,16590,16760,16780,16560
1996-11-13,16880,16830,16890,16830
1996-11-14,17090,16940,17100,16930
1996-11-15,16900,16900,16920,16750
1996-11-18,16750,16950,16960,16710
1996-11-19,17450,17450,17450,17350
1996-11-20,17900,17960,18000,17480
1996-11-21,18050,17740,18100,17710
1996-11-22,17800,17830,17980,17800
1996-11-25,17890,18060,18080,17870
1996-11-26,17920,18020,18050,17900
1996-11-27,18060,18320,18350,18060
1996-11-28,18600,18680,18790,17750
1996-11-29,18770,18780,19000,18550
1996-12-02,18780,18380,18780,18300
1996-12-03,18400,18480,18580,18350
1996-12-04,18000,17840,18050,17840
1996-12-05,17930,17900,17950,17770
1996-12-06,18050,18060,18120,18000
1996-12-09,17800,17650,17850,17650
1996-12-10,17400,17590,17620,17400
1996-12-11,17420,17130,17420,17110
1996-12-12,17300,17470,17500,17300
1996-12-13,17730,17560,17750,17510
1996-12-16,17400,17300,17400,17270
1996-12-17,17200,17370,17370,17150
1996-12-18,16800,16940,16950,16800
1996-12-19,17000,17020,17090,16990
1996-12-20,17200,17470,17480,17200
1996-12-23,17750,17600,17800,17560
1996-12-24,17490,17770,17770,17460
1996-12-25,17620,17840,17850,17620
1996-12-26,17920,18200,18220,17900
1996-12-27,18280,18140,18280,18000
1996-12-30,18160,18210,18210,18080
1996-12-31,18000,17970,18000,17900
1997-01-01,17920,18040,18050,17900
1997-01-03,18150,18180,18220,18150
1997-01-06,18180,18660,18690,18180
1997-01-07,18650,18650,18660,18520
1997-01-08,18450,18300,18560,18290
1997-01-09,18850,18880,18970,18850
1997-01-10,18850,18890,18960,18800
1997-01-13,19190,18930,19200,18930
1997-01-14,18850,19160,19170,18850
1997-01-15,19160,18940,19160,18900
1997-01-16,18790,18650,18790,18550
1997-01-17,18890,18930,19040,18890
1997-01-20,18700,18880,18890,18650
1997-01-21,18800,18990,18990,18760
1997-01-22,18430,19280,19300,18430
1997-01-23,19050,19160,19220,19050
1997-01-24,19250,19200,19280,19090
1997-01-27,19220,19280,19300,19190
1997-01-28,19100,19210,19230,19100
1997-01-29,19130,19140,19190,19110
1997-01-30,19150,19160,19170,19120
1997-01-31,18760,18890,18900,18700
1997-02-03,18800,18980,18980,18770
1997-02-18,19020,19490,19510,19020
1997-02-19,19850,19980,20100,19850
1997-02-20,20200,20110,20200,19960
1997-02-21,20300,20530,20640,20300
1997-02-24,20480,20710,20730,20400
1997-02-25,20900,20780,21000,20780
1997-02-26,20860,20800,20860,20730
1997-02-27,20600,20650,20690,20580
1997-02-28,21200,21190,21260,21160
1997-03-03,21050,21170,21180,21030
1997-03-04,21050,20990,21110,20950
1997-03-05,21250,21000,21260,21000
1997-03-06,21050,20950,21050,20860
1997-03-07,20700,20750,20800,20660
1997-03-10,21050,20820,21050,20800
1997-03-11,20650,20770,20800,20600
1997-03-12,20600,21000,21000,20600
1997-03-13,20950,21000,21060,20900
1997-03-14,20820,20990,21020,20800
1997-03-17,21010,21070,21070,21000
1997-03-18,21200,21670,21720,21200
1997-03-19,21600,21390,21600,21340
1997-03-20,21300,21300,21320,21230
1997-03-21,21350,21380,21460,21350
1997-03-24,21600,21400,21700,21400
1997-03-25,21550,21360,21600,21360
1997-03-26,21330,21290,21340,21250
1997-03-27,21350,21370,21460,21300
