Date,Open,Close,High,Low
2018-09-20,14515,14575,14595,14500
2018-09-21,14620,14680,14715,14595
2018-09-25,14655,14620,14680,14595
2018-09-26,14670,14585,14670,14560
2018-09-27,14620,14390,14620,14390
2018-09-28,14405,14355,14415,14295
2018-10-08,14440,14480,14480,14360
2018-10-09,14500,14585,14600,14480
2018-10-10,14550,14425,14600,14425
2018-10-11,14395,14185,14410,14130
2018-10-12,14210,14310,14320,14150
2018-10-15,14325,14165,14360,14140
2018-10-16,14200,14250,14290,14060
2018-10-17,14245,14305,14355,14230
2018-10-18,14305,14155,14305,14040
2018-10-19,14125,14140,14180,14050
2018-10-22,14150,14160,14200,14000
2018-10-23,14160,14175,14185,14105
2018-10-24,14145,14210,14245,14115
2018-10-25,14170,14240,14250,14145
2018-10-26,14240,14155,14290,14115
2018-10-29,14145,14170,14235,14080
2018-10-30,14170,14055,14190,14030
2018-10-31,14015,13955,14095,13905
2018-11-01,13965,13860,14040,13835
2018-11-02,13920,13960,14020,13855
2018-11-05,13945,13920,13980,13890
2018-11-06,13920,13945,13980,13820
2018-11-07,13945,13935,13980,13870
2018-11-08,13955,13975,14040,13925
2018-11-09,13990,13930,13990,13915
2018-11-12,13920,13860,13950,13845
2018-11-13,13830,13840,13860,13725
2018-11-14,13815,13710,13850,13710
2018-11-15,13735,13745,13770,13675
2018-11-16,13745,13730,13755,13645
2018-11-19,13730,13795,13815,13705
2018-11-20,13790,13730,13805,13730
2018-11-21,13760,13765,13770,13660
2018-11-22,13770,13815,13825,13755
2018-11-23,13815,13795,13905,13785
2018-11-26,13790,13815,13855,13755
2018-11-27,13795,13770,13815,13745
2018-11-28,13750,13715,13760,13640
2018-11-29,13715,13695,13750,13660
2018-11-30,13670,13610,13720,13590
2018-12-03,13650,13840,14030,13615
2018-12-04,13845,13830,13870,13785
2018-12-05,13840,13755,13865,13750
2018-12-06,13750,13655,13790,13645
2018-12-07,13580,13630,13645,13465
2018-12-10,13660,13635,13680,13605
2018-12-11,13665,13625,13690,13580
2018-12-12,13660,13575,13690,13570
2018-12-13,13600,13620,13660,13550
2018-12-14,13600,13585,13620,13570
2018-12-17,13580,13590,13635,13555
2018-12-18,13555,13670,13715,13555
2018-12-19,13690,13615,13710,13575
2018-12-20,13625,13635,13680,13560
2018-12-21,13750,13795,13820,13690
2018-12-24,13780,13780,13815,13730
2018-12-25,13750,13820,13850,13745
2018-12-26,13825,13835,13915,13820
2018-12-27,13845,13700,13855,13700
2018-12-28,13680,13645,13730,13630
2019-01-02,13635,13450,13635,13450
2019-01-03,13420,13350,13475,13340
2019-01-04,13325,13400,13405,13245
2019-01-07,13430,13425,13480,13400
2019-01-08,13435,13350,13450,13340
2019-01-09,13350,13425,13435,13340
2019-01-10,13400,13375,13420,13360
2019-01-11,13375,13340,13390,13305
2019-01-14,13330,13270,13340,13245
2019-01-15,13255,13275,13285,13200
2019-01-16,13300,13375,13375,13240
2019-01-17,13400,13350,13415,13315
2019-01-18,13350,13425,13430,13280
2019-01-21,13485,13485,13555,13405
2019-01-22,13520,13415,13520,13405
2019-01-23,13460,13540,13545,13435
2019-01-24,13525,13565,13640,13520
2019-01-25,13530,13530,13570,13465
2019-01-28,13545,13520,13635,13505
2019-01-29,13500,13450,13515,13420
2019-01-30,13475,13495,13545,13460
2019-01-31,13495,13555,13580,13485
2019-02-01,13550,13565,13595,13430
2019-02-11,13540,13370,13550,13360
2019-02-12,13365,13405,13440,13365
2019-02-13,13380,13405,13440,13375
2019-02-14,13405,13440,13470,13390
2019-02-15,13430,13440,13445,13385
2019-02-18,13450,13500,13545,13445
2019-02-19,13480,13465,13505,13435
2019-02-20,13490,13520,13530,13460
2019-02-21,13450,13505,13520,13430
2019-02-22,13545,13675,13685,13520
2019-02-25,13715,13755,13785,13660
2019-02-26,13745,13690,13795,13680
2019-02-27,13700,13695,13735,13675
2019-02-28,13700,13680,13740,13660
2019-03-01,13665,13685,13690,13620
