Date,Open,Close,High,Low
2012-05-11,6190,6140,6196,6082
2012-05-14,6110,6002,6115,6000
2012-05-15,6040,5976,6045,5960
2012-05-16,5895,5842,5910,5711
2012-05-17,5750,5647,5786,5643
2012-05-18,5705,5763,5787,5691
2012-05-21,5808,5863,5881,5768
2012-05-22,5957,5940,5964,5903
2012-05-23,5920,5890,5930,5882
2012-05-24,5800,5791,5818,5759
2012-05-25,5785,5832,5838,5766
2012-05-28,5858,5904,5912,5804
2012-05-29,5940,5986,5992,5916
2012-05-30,5933,5962,5982,5922
2012-05-31,5817,5801,5855,5798
2012-06-01,5836,5851,5878,5826
2012-06-04,5800,5832,5840,5771
2012-06-05,5923,5949,5998,5901
2012-06-06,5954,5931,5985,5921
2012-06-07,6001,6088,6092,5991
2012-06-08,6145,6134,6154,6110
2012-06-11,6005,5935,6023,5905
2012-06-12,6054,6062,6099,6031
2012-06-13,5992,5989,6038,5978
2012-06-14,6050,6083,6083,6040
2012-06-15,6068,6080,6128,6061
2012-06-18,6050,6070,6085,6032
2012-06-19,6087,6010,6095,6003
2012-06-20,6058,6061,6080,6045
2012-06-21,5996,6010,6029,5990
2012-06-22,5900,5911,5925,5893
2012-06-26,5700,5716,5742,5691
2012-06-27,5830,5791,5830,5783
2012-06-28,5767,5745,5771,5725
2012-06-29,5778,5736,5782,5733
2012-07-02,5651,5751,5764,5632
2012-07-03,5831,5796,5835,5785
2012-07-04,5820,5908,5915,5810
2012-07-05,5952,5948,5979,5932
2012-07-06,5960,5994,5995,5944
2012-07-09,5929,5872,5932,5864
2012-07-10,5790,5808,5832,5782
2012-07-11,5813,5798,5834,5795
2012-07-12,5755,5775,5780,5750
2012-07-13,5774,5743,5779,5728
2012-07-16,5770,5828,5830,5764
2012-07-17,5810,5828,5834,5787
2012-07-18,5845,5830,5877,5812
2012-07-19,5835,5811,5838,5780
2012-07-20,5815,5822,5828,5797
2012-07-23,5809,5799,5811,5787
2012-07-24,5806,5761,5808,5755
2012-07-25,5769,5771,5791,5761
2012-07-26,5767,5740,5792,5737
2012-07-27,5840,5872,5886,5820
2012-07-30,5862,5927,5932,5862
2012-07-31,5923,5893,5925,5887
2012-08-01,5978,6024,6044,5972
2012-08-02,5965,5990,5992,5949
2012-08-03,5880,5896,5910,5880
2012-08-06,5866,5862,5868,5842
2012-08-07,5970,5952,5972,5941
2012-08-08,5966,5966,5974,5956
2012-08-09,5999,5955,5999,5953
2012-08-10,5988,6020,6022,5980
2012-08-13,6005,5976,6006,5961
2012-08-14,6004,5995,6024,5986
2012-08-15,5974,5976,5980,5944
2012-08-16,5961,5953,5969,5950
2012-08-17,5969,5952,5978,5945
2012-08-20,6016,6031,6037,6003
2012-08-21,6000,6019,6034,5996
2012-08-22,6100,6148,6158,6094
2012-08-23,6208,6260,6266,6202
2012-08-24,6337,6526,6565,6333
2012-08-27,6518,6487,6548,6459
2012-08-28,6588,6631,6708,6585
2012-08-29,6551,6566,6575,6516
2012-08-30,6569,6620,6624,6560
2012-08-31,6580,6573,6587,6525
2012-09-03,6500,6494,6504,6463
2012-09-04,6731,6820,6849,6730
2012-09-05,6900,6876,6932,6837
2012-09-06,6869,6879,6904,6855
2012-09-07,6900,7043,7072,6889
2012-09-10,6986,6874,7006,6802
2012-09-11,7182,7213,7272,7175
2012-09-12,7170,7188,7195,7115
2012-09-13,7200,7183,7221,7166
2012-09-14,7109,7056,7123,7051
2012-09-17,7450,7384,7506,7356
2012-09-18,7399,7352,7405,7342
