Date,Open,Close,High,Low
2007-03-27,28600,29220,29600,28580
2007-03-28,29550,29725,29870,29500
2007-03-29,29495,29565,29700,29420
2007-03-30,29510,29030,29560,29010
2007-04-02,29430,29390,29500,29180
2007-04-03,29390,29290,29445,29250
2007-04-04,28935,28780,28980,28660
2007-04-05,29250,28985,29260,28980
2007-04-06,29700,30245,30245,29540
2007-04-09,30245,31385,31515,30105
2007-04-10,31550,32195,32195,31550
2007-04-11,32850,32745,33865,31980
2007-04-12,32800,32395,32990,32020
2007-04-13,32535,32955,33220,32370
2007-04-16,32000,31720,32265,31600
2007-04-17,32055,32245,32360,31860
2007-04-18,32100,32160,32640,31855
2007-04-19,33590,33590,33590,33400
2007-04-20,33790,32790,34030,31560
2007-04-23,33000,32960,33100,31990
2007-04-24,33280,32840,33660,32400
2007-04-25,33980,34065,34100,33460
2007-04-26,33335,33070,33480,32860
2007-04-27,33365,33305,33500,33120
2007-04-30,32500,32270,32700,32160
2007-05-01,32310,32700,32775,32120
2007-05-09,33705,33705,33705,33705
2007-05-10,35590,34555,35590,34500
2007-05-11,34190,34710,34745,34105
2007-05-14,33800,33330,34000,33205
2007-05-15,33860,33410,33900,33330
2007-05-16,32600,32255,32630,32255
2007-05-17,32300,31830,32530,31435
2007-05-18,30525,30520,31015,30520
2007-05-21,29720,29355,30140,28900
2007-05-22,29545,30725,30725,29545
2007-05-23,31350,30895,32000,30565
2007-05-24,30110,30130,30350,29920
2007-05-25,29910,30585,30600,29910
2007-05-28,29310,29800,29880,29310
2007-05-29,30650,30650,30650,30650
2007-05-30,31200,30245,31200,30120
2007-05-31,30200,30125,30655,30005
2007-06-01,30365,30705,30780,30295
2007-06-04,31010,30590,31095,30490
2007-06-05,30900,30400,30965,30400
2007-06-06,30980,30905,31010,30730
2007-06-07,30600,30675,30850,30535
2007-06-08,30300,30140,30485,30010
2007-06-11,30100,29925,30250,29780
2007-06-12,30010,30270,30280,29730
2007-06-13,30490,29980,30530,29960
2007-06-14,29900,29965,30050,29780
2007-06-15,30010,29780,30045,29730
2007-06-18,29850,28870,29900,28820
2007-06-19,29080,29280,29360,28785
2007-06-20,28980,28750,28980,28615
2007-06-21,28610,28905,29050,28580
2007-06-22,28805,28810,28880,28680
2007-06-25,28480,28160,28490,28110
2007-06-26,28205,27090,28220,27090
2007-06-27,27270,26455,27290,26445
2007-06-28,26000,25625,26000,25625
2007-06-29,25410,26575,26620,25410
2007-07-02,26565,26695,27015,25850
2007-07-03,26415,26620,26750,26165
2007-07-04,27100,27535,27535,27000
2007-07-05,27255,26655,27440,26605
2007-07-06,26900,26670,27000,26510
2007-07-09,26555,26250,26580,26150
2007-07-10,26325,26990,27070,26320
2007-07-11,26810,26565,26885,26520
2007-07-12,26510,26360,26510,26215
2007-07-13,26880,26940,26955,26560
2007-07-16,27000,27210,27325,26830
2007-07-17,27255,27070,27420,27030
2007-07-18,26800,26980,27000,26680
2007-07-19,26910,27340,27450,26900
2007-07-20,27340,27400,27535,27250
2007-07-23,27810,28470,28470,27810
2007-07-24,28820,29230,29880,28780
2007-07-25,28950,28530,29030,28470
2007-07-26,28600,28900,28970,28600
2007-07-27,28400,29120,29195,28280
2007-07-30,28310,28275,28815,28120
2007-07-31,28300,28425,28600,28255
2007-08-01,28530,28700,28800,28530
2007-08-02,28820,28110,29000,28100
2007-08-03,28450,28395,28495,28040
2007-08-06,28250,28350,28400,28150
2007-08-07,27350,27470,27660,27350
2007-08-08,27960,27630,27960,27580
2007-08-09,27960,27820,28030,27710
2007-08-10,27860,28390,28390,27805
2007-08-13,27950,27965,28155,27780
2007-08-14,28160,28120,28215,28000
2007-08-15,28150,28005,28170,27905
2007-08-16,27710,27750,27850,27630
2007-08-17,27610,27100,27875,26700
2007-08-20,26120,26120,26280,26120
2007-08-21,26405,27020,27080,26405
2007-08-22,26790,26770,26975,26555
2007-08-23,26700,26800,26890,26485
2007-08-24,27490,27600,27650,27320
2007-08-27,27605,27240,27610,27210
2007-08-28,27550,27725,27790,27430
2007-08-29,27780,27450,27780,27400
2007-08-30,27015,27290,27300,26880
2007-08-31,27445,27535,27675,27445
2007-09-03,27500,27735,27750,27345
2007-09-04,27830,27750,27980,27730
2007-09-05,27750,27790,27920,27470
2007-09-06,27900,27450,27900,27390
2007-09-07,27020,26800,27095,26620
2007-09-10,27065,26905,27065,26865
2007-09-11,26660,26100,26660,26030
2007-09-12,25710,26295,26360,25710
2007-09-13,26295,26170,26500,26100
2007-09-14,25900,25670,25950,25630
2007-09-17,26100,26065,26100,25825
2007-09-18,26000,26435,26480,25950
2007-09-19,26100,26125,26380,26050
2007-09-20,26650,26695,26780,26420
2007-09-21,26800,26820,27080,26695
2007-09-24,26700,26715,26780,26500
2007-09-25,26630,26720,26845,26600
2007-09-26,26760,26840,26850,26635
2007-09-27,26845,26740,26900,26690
2007-09-28,26945,26980,27005,26850
2007-10-01,27080,27125,27125,26910
2007-10-09,27055,26295,27060,26160
