Date,Open,Close,High,Low
2018-09-20,22115,22415,22445,22000
2018-09-21,22415,22430,22590,22330
2018-09-25,22680,22490,22695,22355
2018-09-26,22515,22370,22710,22240
2018-09-27,21130,21120,21250,21055
2018-09-28,21090,21490,21580,20775
2018-10-08,21650,21445,21840,21380
2018-10-09,21555,22055,22240,21510
2018-10-10,22100,22405,22585,22040
2018-10-11,22400,21965,22430,21835
2018-10-12,22090,22260,22320,21800
2018-10-15,22230,21995,22360,21880
2018-10-16,22055,21735,22160,21590
2018-10-17,21780,21895,21905,21650
2018-10-18,21870,22070,22300,21870
2018-10-19,22530,22475,22580,22205
2018-10-22,22420,22455,22480,22020
2018-10-23,22465,22340,22550,22295
2018-10-24,22330,22795,22835,22265
2018-10-25,22200,21845,22230,21760
2018-10-26,21850,21655,21945,21600
2018-10-29,21705,21715,22095,21675
2018-10-30,21800,21460,21930,21355
2018-10-31,21400,21370,21440,21135
2018-11-01,21250,21095,21335,20885
2018-11-02,21565,21885,21930,21405
2018-11-05,21885,21365,21895,21355
2018-11-06,21300,21670,21760,21260
2018-11-07,21665,21315,21670,21095
2018-11-08,21285,21360,21425,21085
2018-11-09,21355,21445,21550,21210
2018-11-12,21480,21405,21640,21260
2018-11-13,21350,21450,21560,21275
2018-11-14,21465,21230,21610,21190
2018-11-15,21230,21610,21615,21105
2018-11-16,21700,21810,21875,21575
2018-11-19,21195,21420,21490,21180
2018-11-20,21395,21305,21490,21170
2018-11-21,21275,20925,21290,20650
2018-11-22,21000,20765,21010,20750
2018-11-23,20835,20635,21045,20570
2018-11-26,20555,20355,20600,20100
2018-11-27,20255,19630,20285,19565
2018-11-28,19665,19855,19970,19480
2018-11-29,19850,19900,20145,19705
2018-11-30,19885,20325,20330,19880
2018-12-03,20700,21200,21645,20575
2018-12-04,21200,21250,21380,21050
2018-12-05,21350,21285,21415,21030
2018-12-06,21245,21260,21445,21155
2018-12-07,21150,21695,21735,21080
2018-12-10,21640,21215,21665,21150
2018-12-11,21240,21260,21330,21120
2018-12-12,21355,21265,21550,21235
2018-12-13,21270,21240,21355,21140
2018-12-14,20760,20450,20895,20420
2018-12-17,20345,20930,20955,20300
2018-12-18,20795,20820,21020,20760
2018-12-19,20785,20740,20825,20555
2018-12-20,20780,20715,20920,20605
2018-12-21,20780,20860,20980,20735
2018-12-24,20785,20395,20865,20355
2018-12-25,20340,20355,20490,20080
2018-12-26,20350,20425,20465,20275
2018-12-27,20520,20445,20825,20350
2018-12-28,20375,20595,20615,20215
2019-01-02,20460,20070,20485,20065
2019-01-03,19920,20000,20215,19865
2019-01-04,20025,20200,20225,19660
2019-01-07,20485,20520,20590,20315
2019-01-08,20490,20620,20695,20470
2019-01-09,20620,20845,20915,20550
