Date,Open,Close,High,Low
2015-03-27,120000,119270,120010,115150
2015-03-30,119270,118080,119530,115600
2015-03-31,117650,118160,119800,115960
2015-04-01,118020,117910,118880,117070
2015-04-02,117970,118620,119080,117970
2015-04-03,118810,118850,119470,118560
2015-04-07,118890,118860,119090,118270
2015-04-08,118710,117870,118890,117150
2015-04-09,117570,116790,117980,116500
2015-04-10,116500,115990,116980,115320
2015-04-13,115960,115940,116290,115270
2015-04-14,115550,112300,115650,112300
2015-04-15,112400,113850,114140,112320
2015-04-16,113200,112880,113700,111010
2015-04-17,113010,110000,113010,109300
2015-04-20,112000,111440,112960,111120
2015-04-21,111840,111550,111880,111100
2015-04-22,112190,112940,113430,112190
2015-04-23,113400,113300,113760,112940
2015-04-24,113350,113940,113950,112750
2015-04-27,114400,117960,117960,114400
2015-04-28,117970,117400,118550,116500
2015-04-29,117140,115370,117720,115110
2015-04-30,116000,117640,119900,115050
2015-05-04,117360,118800,119520,117360
2015-05-05,119000,118680,119780,118000
2015-05-06,119650,123400,123670,119500
2015-05-07,123300,122030,125910,121500
2015-05-08,122700,121360,122960,120020
2015-05-11,120890,122400,122690,120710
2015-05-12,121100,119970,121930,119690
2015-05-13,120800,120700,121100,120000
2015-05-14,120700,119500,122480,117800
2015-05-15,119190,119100,119680,118610
2015-05-18,118690,119250,119940,118030
2015-05-19,119520,118140,119650,118070
2015-05-20,117690,115850,117960,114160
2015-05-21,116350,119190,120400,115220
2015-05-22,119500,117980,119730,116900
2015-05-25,117170,117590,119800,116800
2015-05-26,117600,118270,119570,117590
2015-05-27,116760,116560,117570,116200
2015-05-28,116010,116960,117510,115720
2015-05-29,116900,116160,116900,115680
2015-06-01,116090,116120,116350,115630
2015-06-02,116120,116520,117000,115780
2015-06-03,116740,115680,116800,115020
2015-06-04,115330,114800,115900,114500
2015-06-05,114640,114260,114980,114260
2015-06-08,113990,114700,114940,113910
2015-06-09,114710,115080,115600,114710
2015-06-10,115340,115440,115550,114850
2015-06-11,115490,115420,115670,115300
2015-06-12,114420,113700,115420,113520
2015-06-15,113410,113160,113700,112810
2015-06-16,111720,111780,113160,111700
2015-06-17,111990,111730,112230,111210
2015-06-18,112290,112510,112600,111730
2015-06-19,113010,113770,114450,112470
2015-06-23,113360,114100,114330,113360
2015-06-24,113540,113180,114150,112500
2015-06-25,112820,111460,113300,109470
2015-06-26,111280,110540,111920,109800
2015-06-29,109100,109720,110800,108560
2015-06-30,109000,106000,109400,105740
2015-07-01,104010,106700,107980,104010
2015-07-02,109800,109700,109990,108560
