Date,Open,Close,High,Low
2018-09-20,146700,147720,147800,146100
2018-09-21,147920,148730,148870,147380
2018-09-25,148580,148210,148840,147830
2018-09-26,148070,147330,148100,147330
2018-09-27,147570,149120,149540,147510
2018-09-28,148960,149100,150000,148600
2018-10-08,148810,148710,148810,148200
2018-10-09,148800,148540,148830,148240
2018-10-10,148530,148550,148800,147960
2018-10-11,148800,148980,149290,148440
2018-10-12,149020,149450,150500,149020
2018-10-15,149370,148930,149540,148550
2018-10-16,148500,149690,149950,148450
2018-10-17,149780,150230,150320,149350
2018-10-18,150200,149530,150290,149200
2018-10-19,149450,148750,149450,148110
2018-10-22,148640,149210,149920,148400
2018-10-23,149210,149480,150400,149190
2018-10-24,149800,149630,150030,149450
2018-10-25,148500,149470,149990,148500
2018-10-26,149730,149320,149800,148820
2018-10-29,149410,148620,149410,148460
2018-10-30,148380,148380,148880,148000
2018-10-31,148140,147660,148400,147120
2018-11-01,147500,147650,148000,147240
2018-11-02,147750,148410,148850,147650
2018-11-05,148310,147100,148600,146960
2018-11-06,147380,147670,147790,146650
2018-11-07,147870,148250,148390,147470
2018-11-08,148300,149420,149660,148170
2018-11-09,149800,151170,151180,149600
2018-11-12,151010,152730,152900,150260
2018-11-13,153080,152800,153800,152320
2018-11-14,152800,153460,153510,151930
2018-11-15,153330,155100,155290,152940
2018-11-16,155220,154290,155780,153900
2018-11-19,154330,155010,155800,153780
2018-11-20,155300,153790,155670,153730
2018-11-21,153600,152100,153940,149690
2018-11-22,152410,150680,152410,150220
2018-11-23,151020,147920,151020,147210
2018-11-26,147200,146390,154880,145300
2018-11-27,146600,146260,148600,145600
2018-11-28,145920,145540,146000,144440
2018-11-29,145480,145190,146070,145020
2018-11-30,145610,145200,146390,145120
2018-12-03,145160,146330,147780,143930
2018-12-04,146390,146700,147000,145930
2018-12-05,147310,147120,147740,146330
2018-12-06,145900,144500,146020,144080
2018-12-07,144420,145300,145450,144010
2018-12-10,145200,144720,145250,144000
2018-12-11,144800,144500,144800,143800
2018-12-12,144420,144460,145150,144210
2018-12-13,144460,144990,145100,144280
2018-12-14,145100,144760,145340,144500
2018-12-17,144760,145150,145200,144390
2018-12-18,145060,144600,145500,144490
2018-12-19,144700,144990,145000,143810
2018-12-20,144710,144300,145170,144300
2018-12-21,144500,145180,145340,144390
2018-12-24,145020,144820,145500,144690
2018-12-25,145160,143800,145160,143800
2018-12-26,143820,142850,143820,142800
2018-12-27,143240,142980,144200,142870
2018-12-28,143160,141800,143300,139500
2019-01-02,141420,142400,142400,141420
2019-01-03,141700,142500,142500,141700
2019-01-04,142360,142570,143230,141900
2019-01-07,142570,143280,143500,142070
2019-01-08,143320,143700,143750,143260
2019-01-09,145420,144870,145420,143340
2019-01-10,144850,144340,144900,144000
2019-01-11,144800,145500,145500,144340
2019-01-14,146000,145600,151980,145100
2019-01-15,149800,146840,149800,146000
2019-01-17,150050,149430,150050,149210
2019-01-18,149730,149500,149870,149030
2019-01-21,149570,149190,149900,148360
2019-01-22,149450,149150,150940,149150
2019-01-23,149370,148750,149620,148400
2019-01-24,149520,149530,149830,148800
2019-01-25,150100,150210,150410,149740
2019-01-28,149370,149000,149370,148580
2019-01-29,149120,149190,149660,148910
2019-01-30,149370,150180,150380,149160
2019-01-31,149480,149840,150040,149190
2019-02-01,150550,150250,150550,149330
2019-02-11,150660,152000,152000,150660
2019-02-12,151650,151260,151820,150840
2019-02-13,151210,149450,151400,149300
2019-02-14,148400,150330,150590,148400
2019-02-15,149960,149780,150130,149460
2019-02-18,149810,150440,151000,149750
2019-02-19,150210,151870,151930,150210
2019-02-20,151680,151550,152400,151400
2019-02-21,151780,151650,152090,151440
2019-02-22,151460,150840,152030,150460
2019-02-25,151550,153700,154500,151150
2019-02-26,153420,152720,153660,152100
2019-02-27,152900,151710,152900,151280
2019-02-28,151850,151830,152040,151540
2019-03-01,152620,152380,152680,151760
2019-03-04,152640,151800,152730,151420
2019-03-05,151250,150840,151410,150120
2019-03-06,150690,149880,151080,149660
2019-03-07,149540,149880,150060,149500
2019-03-08,149920,148650,150200,148520
2019-03-11,148640,148450,149180,148220
2019-03-12,148260,148640,148770,147910
2019-03-13,148810,148660,149600,148620
2019-03-14,148740,149200,149330,148550
2019-03-15,149300,149380,149440,148310
2019-03-18,149360,148550,149470,148470
2019-03-19,148780,148700,148920,148540
2019-03-20,148790,149900,149960,148790
2019-03-21,149900,149660,150250,149460
2019-03-22,149600,149770,150220,149550
2019-03-25,149990,148710,150070,148500
2019-03-26,148650,148740,148960,148440
2019-03-27,148610,148640,149150,148540
2019-03-28,148680,148610,148900,147600
2019-03-29,148670,150090,150810,148620
2019-04-01,150190,150500,150800,149740
2019-04-02,150800,150600,150800,149710
2019-04-03,149800,150840,151000,149800
2019-04-04,150650,150110,150750,149820
2019-04-08,149700,150410,150490,149670
2019-04-09,150030,150200,150600,149870
2019-04-10,150170,149890,150930,149730
2019-04-11,149620,148970,150000,148870
2019-04-12,148650,149030,149240,148430
2019-04-15,149090,149650,150020,148940
2019-04-16,149300,148690,149800,148580
2019-04-17,147170,147000,147580,146720
2019-04-18,146860,146640,146920,146440
2019-04-19,146430,146600,146600,145930
2019-04-22,147000,145950,147180,145890
2019-04-23,146320,146190,146450,145830
2019-04-24,145900,146070,146260,145450
2019-04-25,145860,145600,146020,145250
2019-04-26,145200,144940,145290,144800
2019-04-29,145350,146320,146500,145190
2019-04-30,146320,146700,146700,146000
2019-05-06,145130,145490,145500,145130
2019-05-07,146000,145850,146570,145780
2019-05-08,145820,145410,146150,145410
2019-05-09,145240,144510,145730,144510
2019-05-10,144500,144930,145300,144250
