Date,Open,Close,High,Low
2018-09-20,103420,103060,103880,102810
2018-09-21,103390,104520,104690,103190
2018-09-25,105040,104830,105550,104010
2018-09-26,105160,105330,106080,104800
2018-09-27,105620,103900,105700,103700
2018-09-28,103590,104190,104200,102600
2018-10-08,104330,102860,104490,102210
2018-10-09,102850,105170,105330,102650
2018-10-10,105000,106090,106850,104440
2018-10-11,106110,103360,106400,103250
2018-10-12,103670,105670,106170,103670
2018-10-15,105510,104590,106030,104430
2018-10-16,105080,102790,105710,102220
2018-10-17,102970,103510,103760,102630
2018-10-18,103110,101600,103730,101200
2018-10-19,101570,103900,104000,101470
2018-10-22,104050,104460,104880,103250
2018-10-23,104260,103100,104330,102830
2018-10-24,102550,103380,103960,102550
2018-10-25,103340,102140,103670,100620
2018-10-26,101650,99160,101750,99000
2018-10-29,98960,97950,99430,97900
2018-10-30,98220,98070,98950,97700
2018-10-31,97950,97430,98600,97170
2018-11-01,97390,96470,97520,95820
2018-11-02,96800,98320,98720,96510
2018-11-05,98580,97190,98920,96800
2018-11-06,97100,98100,98100,96630
2018-11-07,98200,96760,98300,96200
2018-11-08,96550,96830,97000,95400
2018-11-09,96500,96070,97330,95950
2018-11-12,95940,94400,95950,93850
2018-11-13,94390,94870,95100,93910
2018-11-14,94880,93700,95300,93360
2018-11-15,93790,94980,95000,93400
2018-11-16,94980,93830,95170,93610
2018-11-19,93970,93170,94790,92830
2018-11-20,93140,93340,93590,92720
2018-11-21,93330,92000,93890,91660
2018-11-22,92240,90510,92400,90310
2018-11-23,90610,88810,90840,88070
2018-11-26,88790,88980,90330,88000
2018-11-27,89110,88180,89580,87670
2018-11-28,88180,89050,89680,88010
2018-11-29,89080,89330,89560,88210
2018-11-30,89560,90770,91070,89450
2018-12-03,90890,91400,93490,89790
2018-12-04,91720,91710,91890,90810
2018-12-05,91930,90920,92000,90120
2018-12-06,90930,90600,91630,90100
2018-12-07,90200,89710,90300,88500
2018-12-10,89730,89770,90260,88860
2018-12-11,89510,89250,89900,88790
2018-12-12,89500,89140,90100,88990
2018-12-13,89180,89680,89780,88260
2018-12-14,89610,89330,89930,89210
2018-12-17,89000,90740,90850,88920
2018-12-18,90450,90520,91160,90200
2018-12-19,90300,89320,91190,88870
2018-12-20,89320,89970,90130,89130
2018-12-21,90100,89690,90470,89340
2018-12-24,89690,90260,90780,89510
2018-12-25,90230,89000,90330,88460
2018-12-26,89030,87930,89370,87670
2018-12-27,88090,88000,89070,87770
2018-12-28,87970,88020,88380,87660
2019-01-02,87590,86490,88350,86360
2019-01-03,86310,88390,88680,86300
2019-01-04,88590,89960,89990,87920
2019-01-07,90020,90830,91210,89870
2019-01-08,90770,90850,91030,90250
2019-01-09,91000,91390,92000,90740
2019-01-10,91550,91530,91820,91060
2019-01-11,91410,91660,91690,90510
2019-01-14,91740,91660,92410,91380
2019-01-15,91770,92160,92210,91160
2019-01-16,92290,93680,93750,91930
2019-01-17,93640,93210,93660,92950
2019-01-18,92990,94270,94340,92680
2019-01-21,94150,95280,95800,93980
2019-01-22,95060,94350,95980,94350
2019-01-23,94370,94010,94860,93690
2019-01-24,94090,93990,94590,93860
2019-01-25,93760,95130,95570,93760
2019-01-28,95130,95380,96300,94870
2019-01-29,95380,95510,95750,94390
2019-01-30,95890,98010,98330,95750
2019-01-31,98210,98370,99060,97920
2019-02-01,98420,99790,99960,98190
2019-02-11,99420,100240,101770,99420
2019-02-12,100240,99050,100560,98690
2019-02-13,99050,98160,99620,96990
2019-02-14,98150,98800,99120,97660
2019-02-15,98880,96630,99040,96490
2019-02-18,96970,98190,98870,96750
2019-02-19,98590,99100,99580,98320
2019-02-20,99200,100510,100540,98880
2019-02-21,100600,100750,101460,100230
2019-02-22,100560,102420,102420,100390
2019-02-25,102500,102640,103100,101910
2019-02-26,102500,101680,102500,100880
2019-02-27,101650,101080,101940,100720
2019-02-28,101240,102410,102480,101150
2019-03-01,102530,104440,104580,102040
2019-03-04,104430,104540,105250,103670
2019-03-05,104350,105380,105380,103130
2019-03-06,105220,105470,105940,104910
2019-03-07,105680,103860,106300,103850
2019-03-08,104090,101670,104160,101630
2019-03-11,101750,102000,102560,101470
2019-03-12,101870,102300,102440,100740
2019-03-13,102600,100950,103180,100430
2019-03-14,101040,101310,102300,100700
2019-03-15,100970,100530,101450,99760
2019-03-18,100510,99900,100830,99640
2019-03-19,100210,102170,102410,100000
2019-03-20,102180,102630,102920,102010
2019-03-21,102830,102160,103190,101920
2019-03-22,102160,100410,102500,100010
2019-03-25,100410,99210,100670,99160
2019-03-26,99410,99640,99860,99080
2019-03-27,99710,100760,101500,99660
2019-03-28,100940,99800,101980,99520
2019-03-29,99680,100280,100640,99110
2019-04-01,100990,102920,103030,100290
2019-04-02,102820,102120,102820,101360
