Date,Open,Close,High,Low
2014-12-19,2800,2793,2834,2784
2014-12-22,2795,2738,2834,2727
2014-12-23,2736,2740,2760,2715
2014-12-24,2747,2752,2760,2741
2014-12-25,2750,2727,2750,2665
2014-12-26,2727,2721,2738,2718
2014-12-29,2722,2731,2737,2720
2014-12-30,2727,2721,2733,2710
2014-12-31,2728,2713,2728,2708
2015-01-01,2728,2713,2728,2713
2015-01-02,2728,2713,2728,2708
2015-01-05,2718,2684,2718,2678
2015-01-06,2689,2630,2697,2624
2015-01-07,2640,2643,2651,2625
2015-01-08,2640,2652,2657,2636
2015-01-09,2652,2648,2662,2637
2015-01-12,2649,2658,2660,2648
2015-01-13,2658,2658,2661,2638
2015-01-14,2646,2647,2665,2646
2015-01-15,2645,2662,2663,2640
2015-01-16,2660,2684,2693,2655
2015-01-19,2690,2701,2714,2680
2015-01-20,2700,2702,2708,2694
2015-01-21,2704,2711,2723,2702
2015-01-22,2713,2694,2714,2672
2015-01-23,2690,2686,2703,2681
2015-01-26,2695,2694,2703,2660
2015-01-27,2695,2728,2736,2693
2015-01-28,2725,2759,2763,2704
2015-01-29,2760,2780,2828,2750
2015-01-30,2780,2778,2795,2766
2015-02-02,2781,2796,2812,2765
2015-02-03,2795,2792,2806,2782
2015-02-04,2801,2797,2817,2785
2015-02-05,2800,2814,2858,2792
2015-02-06,2821,2839,2839,2815
2015-02-09,2842,2862,2873,2833
2015-02-10,2868,2879,2880,2854
2015-02-11,2875,2862,2878,2858
2015-02-12,2862,2840,2867,2830
2015-02-13,2840,2856,2872,2837
2015-02-16,2858,2858,2860,2845
2015-02-17,2855,2825,2855,2817
2015-02-25,2824,2810,2843,2802
2015-02-26,2809,2828,2838,2806
2015-02-27,2828,2856,2865,2827
2015-03-02,2856,2861,2875,2856
2015-03-03,2859,2842,2860,2818
2015-03-04,2842,2871,2873,2835
2015-03-05,2864,2848,2869,2843
2015-03-06,2845,2838,2863,2834
2015-03-09,2836,2863,2865,2834
2015-03-10,2862,2914,2935,2861
2015-03-11,2913,2959,2975,2913
2015-03-12,2966,2957,2966,2930
2015-03-13,2958,2973,2995,2943
2015-03-16,2969,2988,3006,2943
2015-03-17,2989,2993,2998,2975
2015-03-18,2997,2960,2997,2952
2015-03-19,2969,2952,2973,2942
2015-03-20,2951,2963,2987,2946
2015-03-23,2981,2975,2990,2961
2015-03-24,2985,3036,3060,2979
2015-03-25,3040,3025,3050,3007
