Date,Open,Close,High,Low
2011-04-18,2478.0,2425.0,2478.0,2403.0
2011-04-19,2411.0,2559.0,2566.0,2411.0
2011-04-20,2553.0,2514.0,2562.0,2498.0
2011-04-21,2528.0,2521.0,2573.0,2506.0
2011-04-22,2531.0,2514.0,2541.0,2501.0
2011-04-25,2514.0,2508.0,2529.0,2475.0
2011-04-26,2518.0,2507.0,2537.0,2495.0
2011-04-27,2493.0,2500.0,2507.0,2481.0
2011-04-28,2510.0,2498.0,2517.0,2493.0
2011-04-29,2508.0,2515.0,2525.0,2504.0
2011-05-02,2515.0,2507.0,2521.0,2501.0
2011-05-04,2508.0,2522.0,2532.0,2504.0
2011-05-05,2519.0,2507.0,2524.0,2498.0
2011-05-06,2487.0,2486.0,2497.0,2471.0
2011-05-09,2433.0,2449.0,2467.0,2433.0
2011-05-10,2458.0,2458.0,2462.0,2451.0
2011-05-11,2463.0,2465.0,2466.0,2453.0
2011-05-12,2471.0,2492.0,2516.0,2464.0
2011-05-13,2468.0,2522.0,2530.0,2466.0
2011-05-16,2538.0,2597.0,2622.0,2531.0
2011-05-17,2593.0,2585.0,2601.0,2574.0
2011-05-18,2592.0,2569.0,2595.0,2549.0
2011-05-19,2578.0,2550.0,2601.0,2548.0
2011-05-20,2572.0,2545.0,2572.0,2541.0
2011-05-23,2542.0,2554.0,2570.0,2540.0
2011-05-24,2566.0,2535.0,2567.0,2528.0
2011-05-25,2534.0,2558.0,2558.0,2523.0
2011-05-26,2560.0,2553.0,2563.0,2544.0
2011-05-27,2563.0,2556.0,2576.0,2555.0
2011-05-30,2557.0,2549.0,2558.0,2529.0
2011-05-31,2548.0,2543.0,2560.0,2538.0
2011-06-01,2548.0,2542.0,2556.0,2539.0
2011-06-02,2548.0,2537.0,2553.0,2535.0
2011-06-03,2529.0,2517.0,2541.0,2515.0
2011-06-06,2518.0,2504.0,2522.0,2498.0
2011-06-08,2499.0,2509.0,2519.0,2490.0
2011-06-09,2516.0,2504.0,2516.0,2498.0
2011-06-10,2508.0,2496.0,2511.0,2496.0
2011-06-13,2502.0,2489.0,2502.0,2484.0
2011-06-14,2484.0,2498.0,2499.0,2473.0
2011-06-15,2491.0,2512.0,2531.0,2491.0
2011-06-16,2517.0,2501.0,2520.0,2499.0
2011-06-17,2493.0,2485.0,2499.0,2477.0
2011-06-20,2488.0,2485.0,2498.0,2482.0
2011-06-21,2484.0,2459.0,2488.0,2458.0
2011-06-22,2466.0,2473.0,2478.0,2448.0
2011-06-23,2468.0,2466.0,2474.0,2461.0
2011-06-24,2465.0,2496.0,2500.0,2458.0
2011-06-27,2496.0,2480.0,2501.0,2478.0
2011-06-28,2474.0,2486.0,2496.0,2469.0
2011-06-29,2494.0,2481.0,2516.0,2480.0
2011-06-30,2488.0,2474.0,2491.0,2466.0
2011-07-01,2477.0,2487.0,2490.0,2474.0
2011-07-04,2486.0,2474.0,2495.0,2473.0
2011-07-05,2477.0,2494.0,2503.0,2471.0
2011-07-06,2495.0,2493.0,2500.0,2484.0
2011-07-07,2499.0,2520.0,2523.0,2494.0
2011-07-08,2518.0,2489.0,2526.0,2485.0
2011-07-11,2494.0,2485.0,2500.0,2480.0
2011-07-12,2481.0,2482.0,2494.0,2480.0
2011-07-13,2484.0,2475.0,2493.0,2468.0
2011-07-14,2482.0,2488.0,2491.0,2478.0
2011-07-15,2494.0,2483.0,2494.0,2475.0
2011-07-18,2481.0,2481.0,2487.0,2476.0
2011-07-19,2485.0,2483.0,2492.0,2481.0
2011-07-20,2484.0,2483.0,2488.0,2480.0
2011-07-21,2486.0,2476.0,2492.0,2474.0
2011-07-22,2478.0,2464.0,2478.0,2461.0
2011-07-25,2457.0,2464.0,2471.0,2454.0
2011-07-26,2463.0,2464.0,2476.0,2460.0
2011-07-27,2468.0,2467.0,2471.0,2458.0
2011-07-28,2471.0,2462.0,2471.0,2461.0
2011-07-29,2461.0,2463.0,2472.0,2458.0
2011-08-01,2466.0,2463.0,2469.0,2462.0
2011-08-02,2465.0,2463.0,2466.0,2460.0
2011-08-03,2463.0,2463.0,2465.0,2460.0
2011-08-04,2464.0,2464.0,2466.0,2461.0
2011-08-05,2463.0,2481.0,2483.0,2460.0
2011-08-08,2473.0,2475.0,2490.0,2463.0
2011-08-09,2468.0,2448.0,2468.0,2444.0
2011-08-10,2438.0,2407.0,2438.0,2358.0
2011-08-11,2418.0,2412.0,2428.0,2409.0
2011-08-12,2392.0,2407.0,2414.0,2392.0
2011-08-15,2422.0,2403.0,2422.0,2398.0
2011-08-16,2404.0,2375.0,2407.0,2371.0
2011-08-17,2375.0,2345.0,2375.0,2340.0
2011-08-18,2337.0,2334.0,2353.0,2327.0
2011-08-19,2334.0,2317.0,2340.0,2309.0
2011-08-22,2309.0,2286.0,2309.0,2284.0
2011-08-23,2279.0,2235.0,2288.0,2233.0
2011-08-24,2225.0,2169.0,2228.0,2158.0
2011-08-25,2166.0,2187.0,2188.0,2166.0
2011-08-26,2187.0,2215.0,2217.0,2178.0
2011-08-29,2210.0,2213.0,2226.0,2206.0
2011-08-30,2219.0,2209.0,2220.0,2199.0
2011-08-31,2213.0,2213.0,2221.0,2206.0
2011-09-01,2220.0,2242.0,2252.0,2217.0
2011-09-02,2245.0,2238.0,2249.0,2235.0
2011-09-05,2238.0,2215.0,2239.0,2205.0
2011-09-06,2210.0,2218.0,2233.0,2206.0
2011-09-07,2212.0,2243.0,2248.0,2212.0
2011-09-08,2243.0,2249.0,2255.0,2238.0
2011-09-09,2250.0,2238.0,2256.0,2237.0
2011-09-12,2238.0,2243.0,2244.0,2233.0
2011-09-14,2250.0,2232.0,2251.0,2230.0
2011-09-15,2236.0,2222.0,2237.0,2213.0
2011-09-16,2225.0,2230.0,2238.0,2224.0
2011-09-19,2237.0,2243.0,2245.0,2226.0
2011-09-20,2240.0,2220.0,2245.0,2217.0
2011-09-21,2211.0,2213.0,2219.0,2195.0
2011-09-22,2211.0,2233.0,2245.0,2211.0
2011-09-23,2221.0,2190.0,2221.0,2165.0
2011-09-26,2150.0,2143.0,2187.0,2130.0
2011-09-27,2145.0,2073.0,2150.0,2072.0
2011-09-28,2088.0,2106.0,2116.0,2088.0
2011-09-29,2110.0,2087.0,2113.0,2074.0
2011-09-30,2050.0,2022.0,2050.0,2002.0
2011-10-03,2030.0,2038.0,2041.0,2026.0
2011-10-11,2056.0,2046.0,2087.0,2040.0
2011-10-12,2059.0,2054.0,2075.0,2052.0
2011-10-13,2058.0,2063.0,2066.0,2042.0
2011-10-14,2063.0,2061.0,2067.0,2053.0
2011-10-17,2056.0,2057.0,2064.0,2052.0
2011-10-18,2061.0,2016.0,2066.0,2012.0
2011-10-19,2010.0,1987.0,2010.0,1983.0
2011-10-20,2003.0,1982.0,2005.0,1973.0
2011-10-21,1951.0,1890.0,1960.0,1888.0
2011-10-24,1898.0,1919.0,1924.0,1892.0
2011-10-25,1940.0,1961.0,1986.0,1907.0
2011-10-26,1960.0,1968.0,2006.0,1953.0
2011-10-27,1950.0,1968.0,1979.0,1950.0
2011-10-28,1970.0,1972.0,1978.0,1965.0
2011-10-31,2000.0,1980.0,2016.0,1974.0
2011-11-01,1980.0,1960.0,1981.0,1951.0
2011-11-02,1955.0,1955.0,1971.0,1946.0
2011-11-03,1931.0,1947.0,1951.0,1921.0
2011-11-04,1936.0,1935.0,1947.0,1933.0
2011-11-07,1959.0,1967.0,1970.0,1947.0
2011-11-08,1961.0,1962.0,1968.0,1956.0
2011-11-09,1964.0,1978.0,1983.0,1964.0
2011-11-10,1985.0,1979.0,1990.0,1971.0
2011-11-11,1888.0,1946.0,1965.0,1888.0
2011-11-14,1950.0,2039.0,2039.0,1950.0
2011-11-15,2050.0,2029.0,2058.0,2021.0
2011-11-16,2018.0,2038.0,2083.0,2010.0
2011-11-17,2030.0,2015.0,2049.0,2011.0
2011-11-18,2025.0,2023.0,2044.0,2012.0
2011-11-21,2006.0,2009.0,2019.0,1994.0
2011-11-22,2002.0,1993.0,2023.0,1987.0
2011-11-23,1987.0,1990.0,1999.0,1983.0
2011-11-24,1986.0,1973.0,1994.0,1972.0
2011-11-25,1980.0,1972.0,1980.0,1951.0
2011-11-28,1966.0,1963.0,1978.0,1958.0
2011-11-29,1975.0,1963.0,1978.0,1953.0
2011-11-30,1964.0,1972.0,1975.0,1955.0
2011-12-01,1974.0,1984.0,2029.0,1971.0
2011-12-02,2030.0,2006.0,2050.0,1994.0
2011-12-05,2005.0,1995.0,2005.0,1991.0
