Date,Open,Close,High,Low
2013-03-25,1280.0,1267.0,1304.0,1257.0
2013-03-26,1276.0,1258.0,1286.0,1251.0
2013-03-27,1255.0,1272.0,1276.0,1249.0
2013-03-28,1279.0,1261.0,1279.0,1260.0
2013-03-29,1264.0,1259.0,1273.0,1248.0
2013-04-01,1257.0,1240.0,1268.0,1231.0
2013-04-02,1235.0,1202.0,1242.0,1202.0
2013-04-03,1197.0,1228.0,1231.0,1192.0
2013-04-04,1225.0,1216.0,1233.0,1214.0
2013-04-09,1199.0,1220.0,1223.0,1197.0
2013-04-10,1222.0,1223.0,1232.0,1213.0
2013-04-11,1225.0,1215.0,1227.0,1211.0
2013-04-12,1209.0,1206.0,1225.0,1202.0
2013-04-15,1206.0,1209.0,1220.0,1203.0
2013-04-16,1191.0,1174.0,1195.0,1164.0
2013-04-17,1160.0,1179.0,1180.0,1151.0
2013-04-18,1182.0,1165.0,1189.0,1148.0
2013-04-19,1149.0,1157.0,1169.0,1127.0
2013-04-22,1160.0,1163.0,1167.0,1148.0
2013-04-23,1161.0,1146.0,1164.0,1146.0
2013-04-24,1151.0,1134.0,1153.0,1129.0
2013-04-25,1134.0,1145.0,1158.0,1129.0
2013-04-26,1144.0,1142.0,1148.0,1137.0
2013-04-29,1147.0,1138.0,1155.0,1136.0
2013-05-03,1123.0,1119.0,1123.0,1102.0
2013-05-06,1128.0,1129.0,1138.0,1124.0
2013-05-07,1147.0,1140.0,1149.0,1135.0
2013-05-08,1135.0,1134.0,1148.0,1131.0
2013-05-09,1133.0,1148.0,1149.0,1132.0
2013-05-10,1146.0,1142.0,1150.0,1138.0
2013-05-13,1142.0,1150.0,1153.0,1137.0
2013-05-14,1150.0,1178.0,1187.0,1146.0
2013-05-15,1179.0,1180.0,1185.0,1161.0
2013-05-16,1176.0,1145.0,1180.0,1143.0
2013-05-17,1146.0,1146.0,1157.0,1125.0
2013-05-20,1150.0,1163.0,1165.0,1142.0
2013-05-21,1161.0,1162.0,1173.0,1160.0
2013-05-22,1166.0,1163.0,1171.0,1151.0
2013-05-23,1159.0,1170.0,1175.0,1158.0
2013-05-24,1159.0,1145.0,1164.0,1145.0
2013-05-27,1149.0,1144.0,1156.0,1143.0
2013-05-28,1141.0,1127.0,1141.0,1126.0
2013-05-29,1128.0,1125.0,1131.0,1119.0
2013-05-30,1125.0,1111.0,1130.0,1108.0
2013-05-31,1103.0,1108.0,1114.0,1100.0
2013-06-03,1115.0,1094.0,1115.0,1093.0
2013-06-04,1094.0,1098.0,1105.0,1084.0
2013-06-05,1101.0,1102.0,1102.0,1090.0
2013-06-06,1105.0,1100.0,1105.0,1092.0
2013-06-07,1096.0,1056.0,1096.0,1056.0
