Date,Open,Close,High,Low
2018-09-20,3100,3137,3140,3097
2018-09-21,3128,3111,3130,3098
2018-09-25,3140,3199,3221,3140
2018-09-26,3209,3253,3260,3190
2018-09-27,3232,3269,3275,3204
2018-09-28,3264,3276,3280,3230
2018-10-08,3310,3386,3392,3304
2018-10-09,3370,3526,3552,3362
2018-10-10,3525,3528,3544,3463
2018-10-11,3518,3379,3522,3343
2018-10-12,3400,3382,3400,3302
2018-10-15,3382,3380,3407,3339
2018-10-16,3379,3331,3385,3321
2018-10-17,3329,3375,3378,3306
2018-10-18,3353,3336,3357,3287
2018-10-19,3316,3341,3348,3292
2018-10-22,3363,3417,3433,3353
2018-10-23,3396,3353,3406,3347
2018-10-24,3328,3278,3328,3241
2018-10-25,3290,3263,3313,3215
2018-10-26,3283,3320,3329,3273
2018-10-29,3321,3306,3372,3299
2018-10-30,3329,3336,3349,3302
2018-10-31,3297,3295,3307,3252
2018-11-01,3288,3239,3340,3212
2018-11-02,3250,3227,3272,3150
2018-11-05,3212,3239,3242,3195
2018-11-06,3245,3261,3277,3230
2018-11-07,3277,3271,3311,3243
2018-11-08,3308,3259,3317,3226
2018-11-09,3249,3195,3257,3176
2018-11-12,3165,3244,3246,3106
2018-11-13,3234,3170,3246,3140
2018-11-14,3168,3022,3184,2992
2018-11-15,3054,3026,3069,2980
2018-11-16,3033,3059,3072,3001
2018-11-19,3232,3214,3259,3190
2018-11-20,3196,3217,3242,3165
2018-11-21,3216,3102,3217,3028
2018-11-22,3126,3125,3141,3082
2018-11-23,3130,3053,3147,3025
2018-11-26,3017,2982,3024,2935
2018-11-27,2988,2952,3045,2911
2018-11-28,2964,2997,3015,2946
2018-11-29,2958,2874,2975,2846
2018-11-30,2887,2859,2897,2832
2018-12-03,2831,2870,2925,2754
2018-12-04,2858,2901,2919,2843
2018-12-05,2918,2867,2945,2829
2018-12-06,2891,2797,2903,2793
2018-12-07,2744,2731,2791,2715
2018-12-10,2772,2776,2837,2720
2018-12-11,2767,2709,2777,2698
2018-12-12,2730,2696,2738,2680
2018-12-13,2705,2625,2711,2588
2018-12-14,2601,2629,2658,2576
2018-12-17,2624,2650,2658,2620
2018-12-18,2560,2516,2567,2510
2018-12-19,2511,2454,2526,2436
2018-12-20,2459,2446,2459,2435
2018-12-21,2443,2437,2467,2415
2018-12-24,2411,2435,2447,2404
2018-12-25,2420,2295,2444,2284
2018-12-26,2303,2255,2322,2247
2018-12-27,2267,2335,2398,2257
2018-12-28,2325,2315,2344,2304
2019-01-02,2324,2303,2332,2296
2019-01-03,2301,2336,2341,2301
2019-01-04,2356,2412,2424,2353
2019-01-07,2420,2444,2455,2408
2019-01-08,2445,2436,2463,2412
2019-01-09,2446,2466,2487,2441
2019-01-10,2470,2517,2534,2470
2019-01-11,2525,2529,2533,2497
2019-01-14,2530,2474,2530,2469
2019-01-15,2481,2503,2508,2458
2019-01-16,2506,2513,2524,2497
2019-01-17,2500,2513,2516,2482
2019-01-18,2499,2577,2585,2486
2019-01-21,2574,2611,2631,2570
2019-01-22,2611,2580,2625,2568
2019-01-23,2571,2591,2602,2561
2019-01-24,2600,2577,2610,2567
2019-01-25,2578,2587,2646,2570
2019-01-28,2575,2562,2609,2545
2019-01-29,2558,2549,2578,2545
2019-01-30,2560,2572,2591,2551
2019-01-31,2586,2620,2632,2583
2019-02-01,2611,2599,2646,2581
2019-02-11,2572,2660,2678,2569
2019-02-12,2670,2686,2704,2654
2019-02-13,2705,2740,2761,2705
2019-02-14,2740,2785,2788,2696
2019-02-15,2788,2762,2802,2719
2019-02-18,2780,2827,2828,2752
2019-02-19,2820,2815,2831,2773
2019-02-20,2816,2787,2820,2740
2019-02-21,2779,2808,2837,2762
2019-02-22,2817,2830,2832,2803
2019-02-25,2849,2770,2866,2752
2019-02-26,2748,2740,2753,2700
2019-02-27,2756,2792,2805,2748
2019-02-28,2811,2791,2821,2770
2019-03-01,2789,2863,2865,2784
2019-03-04,2853,2832,2858,2802
2019-03-05,2839,2823,2844,2819
2019-03-06,2834,2856,2863,2786
2019-03-07,2850,2837,2877,2833
2019-03-08,2860,2786,2864,2782
2019-03-11,2716,2823,2833,2716
2019-03-12,2815,2861,2880,2815
2019-03-13,2866,2885,2895,2851
2019-03-14,2890,2879,2914,2866
2019-03-15,2880,2845,2888,2800
2019-03-18,2815,2813,2834,2756
2019-03-19,2818,2789,2843,2784
2019-03-20,2797,2794,2831,2784
2019-03-21,2779,2832,2840,2772
2019-03-22,2825,2803,2831,2796
2019-03-25,2780,2734,2795,2709
2019-03-26,2734,2749,2765,2720
2019-03-27,2766,2775,2784,2756
2019-03-28,2775,2771,2799,2752
2019-03-29,2743,2801,2832,2737
2019-04-01,2830,2839,2858,2794
2019-04-02,2849,2855,2886,2830
2019-04-03,2854,2884,2886,2836
2019-04-04,2884,2861,2886,2831
2019-04-08,2890,2879,2901,2874
2019-04-09,2878,2875,2919,2857
2019-04-10,2861,2836,2874,2823
2019-04-11,2833,2847,2855,2816
2019-04-12,2840,2877,2886,2833
