Date,Open,Close,High,Low
2004-09-23,1865,1826,1870,1825
2004-09-24,1816,1811,1818,1807
2004-09-27,1800,1814,1820,1800
2004-09-28,1826,1794,1827,1794
2004-09-29,1794,1800,1806,1794
2004-09-30,1801,1790,1804,1786
2004-10-01,1783,1762,1787,1761
2004-10-11,1764,1780,1786,1751
2004-10-12,1778,1782,1792,1768
2004-10-13,1786,1786,1798,1769
2004-10-14,1778,1779,1789,1776
2004-10-15,1784,1787,1790,1778
2004-10-18,1783,1774,1787,1771
2004-10-19,1778,1772,1778,1768
2004-10-20,1769,1776,1786,1769
2004-10-21,1785,1792,1793,1780
2004-10-22,1790,1784,1790,1781
2004-10-25,1782,1773,1783,1771
2004-10-26,1773,1777,1782,1768
2004-10-27,1786,1779,1786,1777
2004-10-28,1781,1781,1783,1778
2004-10-29,1777,1783,1784,1774
2004-11-01,1777,1777,1783,1775
2004-11-02,1773,1767,1776,1760
2004-11-03,1763,1772,1773,1763
2004-11-04,1771,1773,1773,1765
2004-11-05,1774,1772,1774,1768
2004-11-08,1768,1778,1787,1767
2004-11-09,1780,1776,1782,1776
2004-11-10,1776,1776,1780,1773
2004-11-11,1777,1775,1777,1772
2004-11-12,1775,1773,1778,1772
2004-11-15,1773,1769,1775,1766
2004-11-16,1773,1780,1786,1772
2004-11-17,1784,1781,1790,1779
2004-11-18,1783,1783,1785,1778
2004-11-19,1788,1790,1793,1785
2004-11-22,1787,1788,1789,1782
2004-11-23,1781,1782,1784,1780
2004-11-24,1781,1783,1786,1781
2004-11-25,1784,1789,1789,1784
2004-11-26,1788,1804,1807,1787
2004-11-29,1805,1802,1807,1797
2004-11-30,1799,1784,1800,1782
2004-12-01,1782,1784,1787,1781
2004-12-02,1783,1791,1792,1783
2004-12-03,1789,1788,1798,1785
2004-12-06,1787,1793,1794,1786
2004-12-07,1796,1801,1808,1795
2004-12-08,1805,1797,1805,1796
2004-12-09,1791,1794,1794,1788
2004-12-10,1796,1803,1805,1796
2004-12-13,1800,1799,1802,1796
2004-12-14,1800,1806,1806,1797
2004-12-15,1810,1801,1815,1801
2004-12-16,1804,1804,1805,1801
2004-12-17,1803,1802,1804,1801
2004-12-20,1801,1798,1801,1796
2004-12-21,1802,1803,1806,1799
2004-12-22,1803,1803,1805,1800
2004-12-23,1803,1801,1803,1800
2004-12-24,1800,1800,1804,1797
2004-12-27,1803,1801,1803,1799
2004-12-28,1801,1800,1802,1799
2004-12-29,1800,1788,1801,1784
2004-12-30,1788,1790,1792,1785
2004-12-31,1788,1789,1793,1787
2005-01-03,1790,1791,1792,1787
2005-01-05,1785,1780,1789,1778
2005-01-06,1776,1786,1787,1776
2005-01-07,1786,1789,1792,1786
2005-01-10,1797,1793,1799,1791
2005-01-11,1793,1790,1793,1787
2005-01-12,1791,1790,1793,1789
2005-01-13,1788,1792,1793,1788
2005-01-14,1785,1790,1791,1784
2005-01-17,1790,1791,1792,1789
2005-01-18,1786,1791,1791,1786
2005-01-19,1793,1791,1793,1789
2005-01-20,1790,1793,1795,1789
2005-01-21,1793,1791,1794,1790
2005-01-24,1792,1791,1793,1790
2005-01-25,1790,1792,1792,1789
2005-01-26,1790,1793,1794,1790
2005-01-27,1794,1792,1795,1792
2005-01-28,1792,1790,1793,1789
2005-01-31,1788,1788,1790,1785
2005-02-01,1788,1783,1788,1782
2005-02-02,1786,1781,1786,1781
2005-02-03,1781,1780,1784,1779
2005-02-04,1779,1784,1785,1779
2005-02-07,1784,1785,1786,1783
2005-02-17,1793,1789,1795,1788
2005-02-18,1787,1788,1789,1783
2005-02-21,1791,1786,1792,1785
2005-02-22,1789,1788,1789,1783
2005-02-23,1787,1796,1797,1787
2005-02-24,1802,1792,1804,1791
2005-02-25,1793,1794,1796,1791
2005-02-28,1792,1791,1794,1791
2005-03-01,1802,1820,1833,1800
2005-03-02,1820,1807,1821,1800
2005-03-03,1802,1813,1823,1801
2005-03-04,1810,1809,1816,1806
2005-03-07,1811,1817,1817,1805
2005-03-08,1820,1821,1827,1816
2005-03-09,1809,1820,1821,1808
2005-03-10,1825,1829,1834,1821
2005-03-11,1831,1849,1856,1831
2005-03-14,1856,1844,1865,1837
2005-03-15,1861,1847,1864,1839
2005-03-16,1822,1846,1857,1816
2005-03-17,1860,1879,1890,1860
2005-03-18,1864,1851,1878,1848
2005-03-21,1856,1831,1860,1811
2005-03-22,1824,1869,1882,1821
2005-03-23,1847,1869,1874,1841
2005-03-24,1867,1860,1880,1856
2005-03-25,1866,1875,1878,1852
2005-03-28,1882,1874,1889,1869
2005-03-29,1889,1874,1892,1866
2005-03-30,1880,1874,1890,1873
2005-03-31,1875,1853,1879,1848
2005-04-01,1863,1862,1870,1855
2005-04-04,1858,1864,1865,1835
2005-04-05,1857,1872,1877,1855
2005-04-06,1873,1864,1876,1862
2005-04-07,1857,1866,1867,1857
2005-04-08,1875,1864,1875,1862
2005-04-11,1862,1863,1866,1859
2005-04-12,1859,1863,1872,1857
2005-04-13,1870,1871,1873,1865
2005-04-14,1867,1863,1869,1860
2005-04-15,1867,1861,1869,1852
2005-04-18,1864,1861,1864,1858
2005-04-19,1858,1856,1861,1851
2005-04-20,1855,1859,1861,1852
2005-04-21,1870,1877,1884,1866
2005-04-22,1875,1858,1875,1854
2005-04-25,1865,1858,1865,1855
2005-04-26,1863,1861,1864,1858
2005-04-27,1858,1856,1861,1851
2005-04-28,1856,1854,1859,1851
2005-04-29,1851,1853,1854,1849
2005-05-02,1850,1849,1852,1848
2005-05-10,1850,1838,1852,1831
2005-05-11,1836,1837,1838,1831
2005-05-12,1835,1833,1837,1832
2005-05-13,1831,1817,1831,1816
2005-05-16,1810,1806,1813,1800
2005-05-17,1804,1812,1813,1803
2005-05-18,1815,1816,1817,1806
2005-05-19,1815,1822,1823,1807
2005-05-20,1825,1826,1827,1820
2005-05-23,1824,1824,1826,1820
2005-05-24,1830,1831,1833,1826
2005-05-25,1840,1831,1841,1829
2005-05-26,1833,1815,1834,1805
2005-05-27,1823,1821,1825,1815
2005-05-30,1826,1827,1830,1823
2005-05-31,1818,1820,1824,1813
2005-06-01,1825,1818,1829,1817
2005-06-02,1815,1815,1818,1813
2005-06-03,1815,1815,1821,1815
2005-06-06,1810,1815,1815,1808
2005-06-07,1825,1833,1836,1821
2005-06-08,1827,1830,1832,1826
2005-06-09,1825,1828,1829,1825
2005-06-10,1823,1830,1833,1821
2005-06-13,1830,1834,1840,1830
2005-06-14,1836,1831,1837,1830
2005-06-15,1835,1829,1835,1828
2005-06-16,1833,1831,1834,1830
2005-06-17,1840,1830,1840,1828
2005-06-20,1830,1831,1832,1827
2005-06-21,1841,1834,1843,1832
2005-06-22,1834,1829,1834,1828
2005-06-23,1834,1832,1834,1829
2005-06-24,1831,1829,1833,1826
2005-06-27,1832,1833,1833,1828
2005-06-28,1837,1829,1837,1828
2005-06-29,1815,1824,1826,1810
2005-06-30,1824,1827,1829,1822
2005-07-01,1828,1823,1830,1820
