Date,Open,Close,High,Low
2012-12-05,1309,1311,1326,1296
2012-12-06,1313,1331,1345,1311
2012-12-07,1333,1325,1338,1320
2012-12-10,1322,1331,1340,1319
2012-12-11,1331,1336,1344,1331
2012-12-12,1335,1293,1337,1286
2012-12-13,1289,1299,1306,1283
2012-12-14,1297,1289,1312,1282
2012-12-17,1287,1304,1315,1283
2012-12-18,1307,1327,1335,1307
2012-12-19,1328,1325,1339,1316
2012-12-20,1324,1351,1353,1318
2012-12-21,1348,1350,1356,1342
2012-12-24,1345,1336,1354,1330
2012-12-25,1336,1344,1349,1334
2012-12-26,1344,1352,1363,1339
2012-12-27,1351,1352,1354,1344
2012-12-28,1358,1352,1367,1349
2012-12-31,1353,1351,1364,1343
2013-01-01,1352,1363,1365,1349
2013-01-07,1371,1425,1425,1367
2013-01-08,1440,1445,1468,1433
2013-01-09,1438,1457,1470,1427
2013-01-10,1459,1476,1476,1452
2013-01-11,1479,1463,1484,1456
2013-01-14,1462,1439,1465,1428
2013-01-15,1438,1502,1502,1438
2013-01-16,1520,1497,1527,1490
2013-01-17,1499,1500,1515,1455
2013-01-18,1503,1506,1512,1491
2013-01-21,1520,1496,1521,1488
2013-01-22,1495,1501,1518,1484
2013-01-23,1505,1490,1508,1475
2013-01-24,1492,1481,1496,1472
2013-01-25,1479,1467,1489,1458
2013-01-28,1470,1469,1472,1459
2013-01-29,1471,1491,1496,1468
2013-01-30,1487,1488,1494,1483
2013-01-31,1596,1579,1599,1579
2013-02-01,1578,1585,1601,1577
2013-02-04,1585,1594,1596,1580
2013-02-05,1599,1632,1649,1594
2013-02-06,1628,1635,1646,1624
2013-02-07,1639,1629,1652,1624
2013-02-08,1631,1623,1633,1606
2013-02-11,1620,1634,1635,1618
2013-02-19,1631,1607,1643,1606
2013-02-20,1606,1614,1616,1597
2013-02-21,1619,1610,1622,1601
2013-02-22,1591,1558,1595,1549
2013-02-25,1558,1553,1569,1539
2013-02-26,1550,1559,1574,1532
2013-02-27,1548,1536,1564,1532
2013-02-28,1548,1558,1562,1543
2013-03-01,1566,1582,1587,1565
2013-03-04,1580,1568,1581,1550
2013-03-05,1557,1518,1564,1502
2013-03-06,1524,1527,1532,1504
2013-03-07,1530,1525,1541,1518
2013-03-08,1521,1518,1521,1508
2013-03-11,1524,1504,1528,1485
2013-03-12,1503,1496,1508,1483
2013-03-13,1500,1487,1505,1481
2013-03-14,1493,1449,1493,1438
2013-03-15,1439,1436,1443,1409
2013-03-18,1442,1451,1480,1428
2013-03-19,1434,1435,1453,1420
2013-03-20,1440,1450,1458,1434
2013-03-21,1445,1476,1478,1445
2013-03-22,1482,1484,1493,1478
2013-03-25,1478,1479,1489,1473
2013-03-26,1483,1484,1492,1481
2013-03-27,1481,1458,1484,1452
2013-03-28,1463,1455,1465,1453
2013-03-29,1455,1440,1460,1437
2013-04-01,1430,1437,1443,1415
2013-04-02,1432,1404,1437,1400
2013-04-03,1403,1426,1427,1397
2013-04-04,1424,1429,1441,1421
2013-04-09,1412,1441,1444,1412
2013-04-10,1446,1449,1454,1439
2013-04-11,1452,1430,1454,1425
2013-04-12,1430,1416,1444,1414
2013-04-15,1413,1420,1427,1413
2013-04-16,1406,1393,1426,1376
2013-04-17,1380,1401,1405,1365
2013-04-18,1403,1340,1411,1331
2013-04-19,1328,1351,1362,1318
2013-04-22,1361,1374,1380,1349
2013-04-23,1371,1362,1386,1359
2013-04-24,1364,1342,1371,1330
2013-04-25,1344,1343,1358,1316
2013-04-26,1346,1352,1358,1333
2013-04-29,1363,1343,1371,1336
2013-05-03,1320,1326,1333,1310
2013-05-06,1334,1351,1357,1326
2013-05-07,1367,1356,1371,1353
2013-05-08,1353,1386,1403,1348
2013-05-09,1385,1399,1402,1385
2013-05-10,1399,1397,1406,1387
2013-05-13,1395,1419,1424,1385
2013-05-14,1419,1435,1447,1415
2013-05-15,1438,1429,1445,1422
2013-05-16,1432,1407,1432,1404
2013-05-17,1405,1437,1450,1395
2013-05-20,1441,1454,1458,1432
2013-05-21,1452,1445,1460,1443
2013-05-22,1449,1458,1460,1439
2013-05-23,1456,1457,1466,1453
2013-05-24,1450,1428,1452,1426
2013-05-27,1435,1427,1438,1421
2013-05-28,1420,1428,1439,1414
2013-05-29,1431,1437,1437,1417
2013-05-30,1435,1426,1446,1425
2013-05-31,1422,1400,1422,1386
2013-06-03,1408,1382,1411,1381
2013-06-04,1390,1393,1398,1378
2013-06-05,1397,1434,1434,1393
2013-06-06,1434,1446,1462,1429
2013-06-07,1439,1429,1446,1420
2013-06-10,1432,1430,1442,1408
2013-06-14,1417,1439,1447,1413
2013-06-17,1442,1431,1450,1427
2013-06-18,1433,1434,1443,1429
2013-06-19,1433,1412,1448,1405
2013-06-20,1411,1416,1417,1400
2013-06-21,1413,1389,1415,1384
2013-06-24,1370,1390,1398,1358
2013-06-25,1388,1368,1392,1364
2013-06-26,1372,1389,1393,1365
2013-06-27,1393,1364,1397,1355
2013-06-28,1370,1379,1385,1365
2013-07-01,1377,1380,1392,1372
2013-07-02,1378,1387,1389,1368
2013-07-05,1409,1406,1417,1402
2013-07-08,1405,1393,1409,1388
2013-07-09,1394,1386,1395,1378
2013-07-10,1386,1375,1391,1374
2013-07-11,1372,1391,1392,1366
2013-07-12,1401,1409,1432,1393
2013-07-15,1406,1401,1413,1399
2013-07-16,1400,1383,1412,1382
2013-07-18,1389,1397,1408,1379
2013-07-19,1395,1390,1396,1382
2013-07-22,1395,1388,1406,1387
2013-07-23,1391,1371,1391,1367
2013-07-24,1370,1375,1380,1361
2013-07-25,1376,1379,1385,1371
2013-07-26,1376,1376,1385,1372
2013-07-29,1377,1363,1380,1361
2013-07-30,1361,1357,1364,1350
2013-07-31,1359,1359,1365,1355
2013-08-01,1356,1365,1368,1355
2013-08-02,1368,1369,1375,1364
2013-08-05,1372,1373,1378,1370
2013-08-06,1375,1373,1378,1370
2013-08-07,1375,1369,1376,1362
2013-08-08,1367,1384,1387,1363
2013-08-09,1385,1395,1400,1385
2013-08-12,1398,1398,1406,1391
2013-08-13,1406,1425,1427,1404
2013-08-14,1425,1424,1436,1420
2013-08-15,1424,1424,1442,1422
2013-08-16,1428,1423,1432,1420
2013-08-19,1420,1416,1430,1409
2013-08-20,1420,1444,1453,1418
2013-08-21,1447,1420,1451,1417
2013-08-22,1425,1418,1429,1411
2013-08-23,1415,1415,1426,1413
2013-08-26,1415,1417,1425,1401
2013-08-27,1431,1435,1442,1426
2013-08-28,1434,1435,1439,1427
2013-08-29,1438,1404,1455,1399
2013-08-30,1405,1381,1409,1377
2013-09-02,1378,1373,1386,1370
2013-09-03,1378,1382,1386,1371
2013-09-04,1386,1374,1392,1366
2013-09-05,1377,1365,1382,1361
2013-09-06,1363,1362,1373,1360
2013-09-09,1365,1368,1376,1354
2013-09-10,1381,1376,1382,1371
2013-09-11,1372,1373,1375,1365
2013-09-12,1376,1379,1388,1372
2013-09-13,1381,1370,1382,1368
2013-09-16,1372,1369,1380,1366
2013-09-17,1370,1361,1380,1360
2013-09-18,1358,1344,1360,1335
2013-09-19,1342,1336,1347,1334
2013-09-20,1342,1336,1347,1336
2013-09-23,1342,1336,1347,1334
2013-09-24,1333,1343,1346,1322
2013-09-25,1342,1338,1349,1335
2013-09-26,1336,1334,1344,1332
2013-09-27,1336,1330,1339,1319
2013-09-30,1329,1311,1333,1310
2013-10-01,1307,1302,1318,1301
2013-10-09,1300,1310,1312,1296
2013-10-10,1310,1320,1326,1310
2013-10-11,1319,1318,1326,1316
2013-10-14,1320,1320,1328,1317
2013-10-15,1319,1317,1321,1310
2013-10-16,1317,1324,1334,1317
2013-10-17,1324,1316,1329,1312
2013-10-18,1318,1308,1324,1305
2013-10-21,1308,1304,1314,1303
2013-10-22,1304,1323,1324,1304
2013-10-23,1321,1316,1326,1315
2013-10-24,1318,1309,1322,1305
2013-10-25,1307,1305,1310,1299
2013-10-28,1305,1286,1310,1278
2013-10-29,1286,1296,1300,1285
2013-10-30,1298,1303,1306,1291
2013-10-31,1309,1312,1315,1301
2013-11-01,1312,1327,1329,1308
2013-11-04,1327,1329,1335,1322
2013-11-05,1328,1326,1330,1320
2013-11-06,1328,1329,1332,1321
2013-11-07,1327,1319,1334,1319
2013-11-08,1317,1320,1326,1315
2013-11-11,1319,1312,1324,1311
2013-11-12,1313,1305,1315,1303
2013-11-13,1307,1308,1311,1300
2013-11-14,1306,1305,1309,1303
2013-11-15,1306,1306,1311,1301
2013-11-18,1306,1304,1317,1303
2013-11-19,1303,1296,1307,1292
2013-11-20,1295,1311,1311,1294
2013-11-21,1312,1309,1314,1307
2013-11-22,1307,1303,1308,1301
2013-11-25,1306,1308,1311,1302
2013-11-26,1310,1319,1322,1308
2013-11-27,1317,1321,1326,1317
2013-11-28,1321,1319,1325,1316
2013-11-29,1319,1313,1327,1312
2013-12-02,1315,1317,1318,1312
2013-12-03,1318,1323,1324,1314
2013-12-04,1322,1324,1326,1319
2013-12-05,1326,1320,1329,1320
2013-12-06,1323,1318,1326,1316
2013-12-09,1318,1319,1320,1309
2013-12-10,1320,1319,1325,1316
2013-12-11,1320,1318,1324,1316
2013-12-12,1319,1321,1322,1316
2013-12-13,1322,1353,1363,1322
2013-12-16,1348,1335,1350,1324
2013-12-17,1337,1327,1340,1322
2013-12-18,1330,1330,1337,1325
2013-12-19,1330,1329,1332,1323
2013-12-20,1332,1328,1337,1327
2013-12-23,1328,1319,1328,1278
2013-12-24,1319,1313,1320,1308
2013-12-25,1310,1313,1316,1309
2013-12-26,1315,1323,1326,1314
2013-12-27,1322,1315,1325,1313
2013-12-30,1310,1316,1320,1308
2013-12-31,1316,1315,1325,1312
2014-01-01,1312,1290,1320,1288
2014-01-02,1312,1290,1320,1290
2014-01-03,1291,1281,1293,1278
2014-01-06,1275,1285,1286,1271
2014-01-07,1282,1255,1288,1253
2014-01-08,1254,1238,1255,1225
2014-01-09,1235,1232,1241,1224
2014-01-10,1230,1247,1265,1226
2014-01-13,1244,1251,1251,1237
2014-01-14,1254,1246,1260,1244
2014-01-15,1246,1257,1258,1239
2014-01-16,1256,1259,1263,1252
2014-01-17,1263,1248,1270,1248
2014-01-20,1245,1252,1255,1236
2014-01-21,1254,1249,1261,1245
2014-01-22,1247,1218,1247,1216
2014-01-23,1216,1235,1239,1210
2014-01-24,1230,1264,1265,1228
2014-01-27,1261,1274,1275,1253
2014-01-28,1270,1281,1283,1264
2014-01-29,1279,1276,1284,1267
2014-01-30,1270,1292,1299,1267
2014-01-31,1290,1302,1305,1284
2014-02-03,1290,1302,1305,1284
2014-02-10,1307,1281,1310,1272
