Date,Open,Close,High,Low
2021-01-08,26200,24140,27990,24095
2021-01-11,24200,23250,24200,22735
2021-01-12,23250,23495,24195,23160
2021-01-13,23700,23745,23995,23500
2021-01-14,23625,22700,23925,22605
2021-01-15,22800,22650,22960,22300
2021-01-18,22640,23060,23565,22640
2021-01-19,23185,23050,23275,22885
2021-01-20,22960,23000,23120,22600
2021-01-21,22960,23010,23210,22960
2021-01-22,22915,22840,23080,22800
2021-01-25,22930,23260,23605,22600
2021-01-26,23400,23810,23980,23315
2021-01-27,23900,23690,23900,23620
2021-01-28,23550,23570,23850,23300
2021-01-29,23650,23790,23920,23600
2021-02-01,23495,23510,23680,23305
2021-02-02,23905,23790,24180,23655
2021-02-03,23750,23880,23960,23670
2021-02-04,23900,24015,24100,23860
2021-02-05,24120,24565,24565,24065
2021-02-08,24025,25075,25455,24025
2021-02-09,25170,24960,25320,24665
2021-02-10,24860,24960,24970,24800
2021-02-18,25450,26010,26115,25450
2021-02-19,25510,26400,26435,25510
2021-02-22,26500,27395,27500,26440
2021-02-23,27600,27045,27600,26300
2021-02-24,27000,27015,27705,26715
2021-02-25,27070,27010,27135,26820
2021-02-26,27100,27450,27500,26835
2021-03-01,27520,28130,28255,27500
2021-03-02,28080,27920,28400,27605
2021-03-03,27920,27930,28230,27610
2021-03-04,27890,27970,28100,27835
2021-03-05,27870,27480,27870,26740
2021-03-08,27600,27455,27715,27285
2021-03-09,27040,26885,27320,26815
2021-03-10,26900,27275,27405,26160
2021-03-11,27200,27390,27580,26930
2021-03-12,27600,27390,27765,27260
2021-03-15,27510,27260,27760,27075
2021-03-16,27305,27495,27650,27170
2021-03-17,27400,27655,27765,27400
2021-03-18,27655,27470,27700,27335
2021-03-19,27300,27375,27495,26800
2021-03-22,27335,27185,27450,26945
2021-03-23,27215,27160,27260,27010
2021-03-24,27000,27115,27300,26900
2021-03-25,27000,26685,27140,26680
2021-03-26,26525,26515,26680,26290
2021-03-29,26475,25775,26475,25405
2021-03-30,25635,25990,26360,25580
2021-03-31,25990,25885,26000,25700
2021-04-01,26040,26650,26750,25975
2021-04-02,26615,26635,26635,26350
2021-04-06,26300,26195,26430,26105
2021-04-07,26200,25900,26200,25625
2021-04-08,25705,26045,26385,25705
2021-04-09,25990,25855,26080,25650
2021-04-12,25900,26220,26510,25900
2021-04-13,26495,26550,26635,26240
2021-04-14,26455,26320,26690,26320
2021-04-15,26305,26255,26445,26205
2021-04-16,26300,26100,26300,25900
2021-04-19,26010,26210,26340,26000
2021-04-20,26190,26205,26360,26175
2021-04-21,26005,26325,26360,25905
2021-04-22,26305,26210,26400,26210
2021-04-23,26285,26540,26800,26210
2021-04-26,26465,26130,26465,26000
2021-04-27,26000,25995,26080,25800
2021-04-28,25860,26000,26080,25845
2021-04-29,25885,26020,26100,25820
2021-04-30,26080,25980,26300,25890
2021-05-06,25500,25495,26055,25385
2021-05-07,25410,25750,25860,25385
2021-05-10,25525,24055,25525,24020
2021-05-11,23800,23895,24215,23700
2021-05-12,24000,24035,24180,23905
2021-05-13,24000,23885,24000,23700
2021-05-14,23800,23600,23805,23200
2021-05-17,23700,23465,23700,23375
2021-05-18,23500,23200,23600,23100
2021-05-19,23100,22645,23300,22645
2021-05-20,22600,22120,22600,21960
2021-05-21,22000,22380,22625,22000
2021-05-24,22400,22370,22480,22110
2021-05-25,22215,22160,22635,22015
2021-05-26,22180,21565,22180,21500
2021-05-27,21500,20900,21500,20880
2021-05-28,21000,20660,21475,20650
2021-05-31,20665,20145,20675,20120
2021-06-01,20200,20095,20270,19960
2021-06-02,20090,20085,20190,19920
2021-06-03,19950,19790,20090,19200
2021-06-04,19695,19230,19695,19190
2021-06-07,19150,19605,19750,18810
2021-06-08,19615,19355,19920,19320
2021-06-09,19400,19695,19980,19200
2021-06-10,19715,19715,19850,19500
2021-06-11,19745,19650,19820,19510
2021-06-15,19525,19210,19550,19070
2021-06-16,19295,19120,19510,19000
2021-06-17,19075,18705,19200,18665
2021-06-18,18570,18020,18645,18000
2021-06-21,18000,17295,18000,17265
2021-06-22,17300,17835,18160,17255
2021-06-23,17900,18785,18850,17900
2021-06-24,18800,18370,18850,18290
2021-06-25,18440,19260,19325,18410
2021-06-28,19610,19105,19810,18830
2021-06-29,19050,19175,19300,18950
2021-06-30,19160,19090,19320,18960
2021-07-01,19290,18720,19290,18665
2021-07-02,18750,18545,18830,18500
2021-07-05,18660,18940,19140,18655
2021-07-06,18880,19130,19185,18810
2021-07-07,19075,18960,19180,18830
2021-07-08,18970,19055,19130,18875
2021-07-09,19100,19220,19230,18975
2021-07-12,19050,19025,19230,19000
2021-07-13,19025,18595,19130,18500
2021-07-14,18575,18600,18730,18340
2021-07-15,18550,18675,18750,18510
2021-07-16,18660,19005,19010,18630
2021-07-19,19100,19100,19200,18830
2021-07-20,19120,19420,19525,19020
2021-07-21,19500,19355,19580,19150
2021-07-22,19220,19215,19370,19180
2021-07-23,19190,19060,19190,18950
2021-07-26,19300,19245,19325,19100
2021-07-27,19235,19200,19275,19080
2021-07-28,19200,19105,19215,19050
2021-07-29,19205,19185,19230,19085
2021-07-30,19200,19070,19245,19005
2021-08-02,19010,18640,19050,18615
2021-08-03,18600,18780,18860,18405
2021-08-04,18750,18655,18775,18630
2021-08-05,18600,18515,18645,18440
2021-08-06,18480,18680,18715,18415
2021-08-09,18710,18625,18860,18550
2021-08-10,18590,18155,18735,17930
2021-08-11,18100,18310,18390,18005
2021-08-12,18100,18275,18305,18100
2021-08-13,18250,18140,18385,18020
2021-08-16,18140,18130,18350,18080
2021-08-17,18130,18030,18190,17860
2021-08-18,17995,17685,18100,17655
2021-08-19,15970,15595,16075,15505
2021-08-20,15620,15860,15995,15620
2021-08-23,15620,15565,15735,15515
2021-08-24,15500,15100,15580,15100
2021-08-25,15110,14650,15185,14610
2021-08-26,14650,14675,14960,14520
2021-08-27,14675,14360,14675,14350
2021-08-30,14265,14080,14265,13960
2021-08-31,14305,13820,14470,13810
2021-09-01,13820,13300,15140,12935
2021-09-02,15300,14905,15355,14865
2021-09-03,14995,15000,15195,14715
2021-09-06,14980,14960,15070,14785
2021-09-07,15000,14930,15055,14920
2021-09-08,14950,14705,15000,14695
2021-09-09,14600,14290,14600,14260
2021-09-10,14290,14475,14645,14205
2021-09-13,15060,15195,15345,14890
2021-09-14,15195,15315,15660,15160
2021-09-15,15300,14890,15380,14790
2021-09-16,13755,13835,14185,13345
2021-09-17,13895,13600,13955,13510
2021-09-22,13490,13300,13550,13200
2021-09-23,13260,13185,13360,13120
2021-09-24,14270,14575,14695,14210
2021-09-27,13490,14090,14115,13385
2021-09-28,14005,13825,14230,13730
2021-09-29,13775,13795,13900,13540
2021-09-30,13710,13880,14100,13705
2021-10-08,13850,14250,14315,13850
2021-10-11,14335,15295,15295,14335
2021-10-12,15350,15155,15670,14920
2021-10-13,15320,15090,15740,14825
2021-10-14,15030,14510,15030,14500
2021-10-15,14510,14760,14855,14510
2021-10-18,15080,15170,15550,15035
2021-10-19,15150,15200,15390,14940
2021-10-20,15150,15015,15405,14780
2021-10-21,15010,14660,15140,14615
2021-10-22,14700,14860,14860,14700
2021-10-25,15595,15390,15950,15215
2021-10-26,15270,15385,15420,15120
2021-10-27,15355,15465,15540,15185
2021-10-28,15480,15340,15610,15020
2021-10-29,15350,15050,15460,14960
2021-11-01,15050,14540,15100,14510
2021-11-02,14570,14875,14965,14400
2021-11-03,14960,14860,14980,14730
2021-11-04,14860,14970,14980,14680
2021-11-05,15080,14920,15080,14740
2021-11-08,15050,14605,15095,14550
2021-11-09,14610,14445,14660,14360
2021-11-10,15280,15280,15375,15000
2021-11-11,14430,14265,14455,14200
2021-11-12,14275,14355,14425,14240
2021-11-15,14550,14575,14800,14415
2021-11-16,14560,14400,14680,14350
2021-11-17,14350,14385,14450,14290
2021-11-18,14360,14500,14620,14280
2021-11-19,14600,14555,14600,14470
2021-11-22,14710,14375,14720,14360
2021-11-23,14405,14505,14600,14375
2021-11-24,14520,14725,14750,14520
2021-11-25,14750,14920,15000,14745
2021-11-26,14990,14850,15045,14735
2021-11-29,14600,14250,14600,13900
2021-11-30,14200,14300,14395,14190
2021-12-01,14300,14360,14430,14250
2021-12-02,14350,14050,14395,14000
2021-12-03,14000,14030,14205,13960
2021-12-06,14000,14015,14160,13925
2021-12-07,13950,14010,14140,13945
2021-12-08,14010,13830,14055,13760
2021-12-09,13830,14130,14190,13735
2021-12-10,14100,14260,14310,13915
2021-12-13,14510,14680,14890,14450
2021-12-14,14795,14565,14850,14555
2021-12-15,14565,14575,14680,14520
2021-12-16,15295,15305,15390,15250
2021-12-17,15330,15115,15375,15100
2021-12-20,14185,13950,14185,13840
2021-12-21,13945,14015,14180,13830
2021-12-22,15115,15085,15160,15050
2021-12-23,15100,15355,15365,15065
2021-12-24,15300,15410,15490,15300
2021-12-27,15410,15370,15620,15340
2021-12-28,15190,15410,15475,15190
2021-12-29,15300,15350,15445,15300
2021-12-30,15360,15395,15500,15280
2021-12-31,15395,15455,15480,15345
2022-01-04,13725,13800,13940,13700
2022-01-05,15210,15505,15680,15210
2022-01-06,15540,15410,15660,15350
2022-01-07,15420,15330,15575,15290
2022-01-10,15250,15005,15250,15000
2022-01-11,14975,14925,15085,14795
2022-01-12,14925,15040,15195,14925
2022-01-13,15050,14900,15095,14880
2022-01-14,14965,14945,15090,14880
2022-01-17,14975,14885,15050,14830
2022-01-18,14900,14890,14935,14860
2022-01-19,14890,14900,15025,14860
2022-01-20,14940,14910,14970,14880
2022-01-21,14950,14900,14995,14890
2022-01-24,14900,14515,14900,14425
2022-01-25,14495,14445,14575,14405
2022-01-26,14505,14400,14505,14355
2022-01-27,14405,14135,14470,14110
2022-01-28,14080,14420,14530,14020
2022-02-07,14500,14700,14780,14320
2022-02-08,13685,13705,13810,13520
2022-02-09,13525,13265,13620,13245
2022-02-10,13200,13125,13235,13060
2022-02-11,13140,12980,13205,12870
2022-02-14,12970,12620,12975,12605
2022-02-15,12570,12585,12680,12355
2022-02-16,12600,12680,12740,12550
2022-02-17,12780,12785,12915,12665
2022-02-18,12795,12500,12800,12470
2022-02-21,12500,12470,12660,12460
2022-02-22,12470,12365,12490,12330
2022-02-23,12405,12440,12590,12355
2022-02-24,12440,12365,12460,12300
2022-02-25,17230,17295,17495,17150
2022-02-28,12345,11705,12385,11705
2022-03-01,11730,11385,11850,11070
2022-03-02,17600,17565,17760,17470
2022-03-03,17660,17470,17660,17395
2022-03-04,17460,17465,17550,17405
2022-03-07,17455,17765,17880,17305
2022-03-08,17790,17580,17920,17410
2022-03-09,17645,17770,18160,17505
2022-03-10,17760,18000,18245,17615
2022-03-11,18000,17735,18090,17670
2022-03-14,17700,17460,17790,17460
2022-03-15,17460,16910,17575,16520
2022-03-16,16910,16760,17070,16620
2022-03-17,16680,16200,16750,16080
2022-03-18,16200,16390,16760,16125
2022-03-21,16425,16800,16915,16425
2022-03-22,16860,16925,17150,16760
2022-03-23,16925,16790,16980,16705
2022-03-24,16795,16885,17045,16780
2022-03-25,16945,16880,17180,16755
2022-03-28,16880,17100,17100,16760
