Date,Open,Close,High,Low
2018-10-08,3000,3057,3062,2980
2018-10-09,3058,3156,3156,3050
2018-10-10,3172,3166,3190,3144
2018-10-11,3163,3113,3166,3090
2018-10-12,3119,3191,3200,3104
2018-10-15,3192,3170,3220,3164
2018-10-16,3170,3095,3172,3061
2018-10-17,3115,3109,3128,3083
2018-10-18,3100,3108,3122,3073
2018-10-19,3089,3053,3115,3047
2018-10-22,3057,3009,3062,3002
2018-10-23,3003,2988,3021,2981
2018-10-24,2979,3001,3004,2958
2018-10-25,3003,2928,3010,2906
2018-10-26,2928,2926,2945,2910
2018-10-29,2926,2816,2942,2809
2018-10-30,2825,2818,2846,2808
2018-10-31,2810,2809,2828,2782
2018-11-01,2810,2764,2816,2755
2018-11-02,2769,2785,2793,2756
2018-11-05,2783,2800,2810,2780
2018-11-06,2800,2743,2805,2728
2018-11-07,2733,2704,2764,2678
2018-11-08,2715,2717,2729,2673
2018-11-09,2741,2692,2741,2680
2018-11-12,2683,2670,2701,2642
2018-11-13,2672,2669,2687,2647
2018-11-14,2670,2615,2697,2585
2018-11-15,2630,2650,2655,2627
2018-11-16,2651,2721,2734,2646
2018-11-19,2730,2694,2742,2685
2018-11-20,2693,2660,2700,2648
2018-11-21,2660,2587,2663,2544
2018-11-22,2595,2572,2609,2549
2018-11-23,2575,2489,2592,2488
2018-11-26,2463,2412,2463,2412
2018-11-27,2404,2422,2458,2401
2018-11-28,2427,2470,2486,2426
2018-11-29,2455,2457,2496,2443
2018-11-30,2472,2409,2483,2390
2018-12-03,2390,2397,2510,2362
2018-12-04,2393,2523,2542,2383
2018-12-05,2533,2565,2579,2482
2018-12-06,2573,2520,2588,2508
2018-12-07,2505,2549,2592,2486
2018-12-10,2560,2513,2603,2497
2018-12-11,2506,2428,2522,2428
2018-12-12,2395,2399,2423,2362
2018-12-13,2412,2420,2441,2405
2018-12-14,2410,2448,2459,2409
2018-12-17,2445,2451,2455,2418
2018-12-18,2450,2427,2463,2406
2018-12-19,2427,2416,2434,2387
2018-12-20,2420,2429,2432,2390
2018-12-21,2422,2390,2438,2371
2018-12-24,2388,2362,2396,2353
2018-12-25,2356,2276,2362,2258
2018-12-26,2246,2300,2308,2246
2018-12-27,2312,2307,2388,2298
2018-12-28,2408,2422,2434,2396
2019-01-02,2422,2424,2451,2415
2019-01-03,2393,2465,2477,2393
2019-01-04,2477,2508,2512,2463
2019-01-07,2517,2503,2520,2488
2019-01-08,2500,2486,2514,2470
2019-01-09,2494,2507,2532,2483
2019-01-10,2525,2517,2539,2496
2019-01-11,2525,2528,2534,2503
2019-01-14,2532,2525,2560,2520
2019-01-15,2525,2535,2541,2501
2019-01-16,2534,2548,2568,2530
2019-01-17,2539,2516,2554,2513
2019-01-18,2503,2549,2557,2489
2019-01-21,2547,2619,2639,2533
2019-01-22,2617,2566,2640,2565
2019-01-23,2563,2557,2571,2536
2019-01-24,2564,2545,2576,2538
2019-01-25,2541,2561,2607,2540
2019-01-28,2553,2518,2578,2511
2019-01-29,2510,2487,2520,2469
2019-01-30,2498,2529,2545,2484
2019-01-31,2532,2556,2562,2521
2019-02-01,2551,2563,2573,2530
2019-02-11,2557,2572,2586,2539
2019-02-12,2574,2593,2628,2573
2019-02-13,2614,2567,2619,2556
2019-02-14,2566,2610,2610,2537
2019-02-15,2607,2530,2610,2525
2019-02-18,2542,2496,2564,2487
2019-02-19,2494,2528,2529,2490
2019-02-20,2533,2538,2545,2516
2019-02-21,2531,2569,2591,2530
2019-02-22,2567,2583,2585,2557
2019-02-25,2591,2565,2599,2562
2019-02-26,2550,2595,2599,2522
2019-02-27,2601,2576,2610,2566
2019-02-28,2583,2578,2596,2571
2019-03-01,2582,2684,2687,2579
2019-03-04,2673,2712,2737,2650
2019-03-05,2715,2682,2718,2660
2019-03-06,2687,2688,2705,2656
2019-03-07,2686,2630,2699,2618
2019-03-08,2634,2616,2644,2601
2019-03-11,2601,2623,2632,2601
2019-03-12,2620,2660,2664,2606
2019-03-13,2665,2654,2667,2646
2019-03-14,2657,2625,2658,2612
2019-03-15,2624,2567,2630,2561
2019-03-18,2565,2533,2583,2531
2019-03-19,2532,2525,2557,2510
2019-03-20,2545,2564,2574,2538
2019-03-21,2557,2562,2573,2556
2019-03-22,2560,2569,2585,2539
2019-03-25,2558,2558,2577,2530
2019-03-26,2560,2546,2570,2545
2019-03-27,2554,2518,2559,2510
2019-03-28,2519,2465,2530,2459
2019-03-29,2460,2467,2508,2447
2019-04-01,2488,2508,2514,2470
2019-04-02,2511,2493,2513,2488
2019-04-03,2496,2505,2511,2489
2019-04-04,2500,2513,2530,2500
2019-04-08,2536,2580,2601,2525
2019-04-09,2580,2560,2598,2550
2019-04-10,2558,2566,2572,2535
2019-04-11,2560,2555,2578,2530
2019-04-12,2552,2530,2558,2507
2019-04-15,2488,2430,2490,2430
2019-04-16,2428,2383,2435,2375
2019-04-17,2381,2397,2405,2377
2019-04-18,2403,2337,2403,2336
2019-04-19,2353,2355,2362,2338
2019-04-22,2361,2373,2398,2355
2019-04-23,2373,2368,2380,2362
2019-04-24,2372,2356,2372,2330
2019-04-25,2366,2365,2376,2355
2019-04-26,2362,2290,2368,2283
2019-04-29,2296,2282,2314,2281
2019-04-30,2297,2245,2316,2245
2019-05-06,2244,2280,2291,2235
2019-05-07,2506,2528,2533,2505
2019-05-08,2524,2536,2543,2509
2019-05-09,2505,2494,2509,2481
2019-05-10,2490,2499,2528,2490
2019-05-13,2499,2467,2504,2456
2019-05-14,2467,2419,2483,2408
2019-05-15,2427,2444,2444,2420
2019-05-16,2444,2487,2489,2438
2019-05-17,2491,2492,2502,2478
2019-05-20,2494,2551,2590,2490
2019-05-21,2550,2574,2583,2541
2019-05-22,2575,2574,2589,2540
2019-05-23,2574,2504,2578,2498
2019-05-24,2519,2481,2536,2453
2019-05-27,2467,2466,2489,2445
