Date,Open,Close,High,Low
2020-10-12,5710,5832,5832,5710
2020-10-13,5900,6026,6026,5900
2020-10-14,6022,6030,6044,5944
2020-10-15,6022,6168,6172,6022
2020-10-16,6120,6324,6332,6120
2020-10-19,6326,6446,6494,6316
2020-10-20,6446,6414,6500,6362
2020-10-21,6394,6370,6430,6356
2020-10-22,6376,6162,6404,6142
2020-10-23,6164,6132,6206,6112
2020-10-26,6134,6144,6208,6126
2020-10-27,6114,6050,6176,6046
2020-10-28,6056,6094,6122,6050
2020-10-29,6080,6002,6094,6000
2020-10-30,5956,5974,6030,5956
2020-11-02,5992,6040,6084,5992
2020-11-03,6044,6042,6098,6038
2020-11-04,6072,6030,6078,6000
2020-11-05,6042,5970,6050,5954
2020-11-06,5974,5860,5992,5844
2020-11-09,5860,5898,5914,5838
2020-11-10,6000,5968,6088,5942
2020-11-11,5990,6034,6064,5974
2020-11-12,6046,6010,6070,5994
2020-11-13,6020,5944,6030,5930
2020-11-16,5904,5980,6002,5902
2020-11-17,6000,5980,6036,5960
2020-11-18,5968,6004,6032,5942
2020-11-19,6026,6000,6034,5976
2020-11-20,6002,6018,6050,5990
2020-11-23,6020,6054,6076,6004
2020-11-24,6058,6098,6108,6036
2020-11-25,6110,6108,6160,6070
2020-11-26,6120,6084,6140,6074
2020-11-27,6068,6130,6134,6064
2020-11-30,6150,6058,6154,6046
2020-12-01,6074,6056,6092,6052
2020-12-02,6082,5986,6084,5986
2020-12-03,5986,6034,6072,5952
2020-12-04,6038,6124,6136,6024
2020-12-07,6136,6264,6268,6116
2020-12-08,6248,6200,6296,6200
2020-12-09,6200,6198,6276,6160
2020-12-10,6204,6186,6242,6184
2020-12-11,6200,6246,6284,6186
2020-12-14,6250,6354,6374,6244
2020-12-15,6354,6304,6376,6228
2020-12-16,6316,6304,6334,6288
2020-12-17,6316,6360,6366,6310
2020-12-18,6366,6342,6408,6316
2020-12-21,6330,6304,6362,6250
2020-12-22,6274,6248,6332,6206
2020-12-23,6276,6256,6286,6178
2020-12-24,6294,6312,6320,6250
2020-12-25,6306,6344,6358,6292
2020-12-28,6350,6282,6354,6272
2020-12-29,6296,6234,6312,6210
2020-12-30,6232,6310,6320,6232
2020-12-31,6330,6446,6472,6308
2021-01-04,6478,6562,6580,6442
2021-01-05,6562,6624,6714,6560
2021-01-06,6664,6740,6778,6616
2021-01-07,6730,6866,6882,6702
2021-01-08,6854,6838,6922,6752
2021-01-11,6832,6630,6840,6606
2021-01-12,6638,6700,6718,6578
2021-01-13,6716,6782,6826,6688
2021-01-14,6770,6662,6790,6662
2021-01-15,6672,6650,6744,6626
2021-01-18,6662,6684,6706,6608
2021-01-19,6692,6702,6822,6666
2021-01-20,6722,6710,6756,6668
2021-01-21,6690,6672,6760,6670
2021-01-22,6676,6548,6718,6540
2021-01-25,6516,6574,6590,6516
2021-01-26,6584,6510,6616,6492
2021-01-27,6506,6578,6592,6496
2021-01-28,6560,6524,6596,6492
2021-01-29,6540,6674,6674,6538
2021-02-01,6694,6748,6776,6644
2021-02-02,6766,6756,6810,6720
2021-02-03,6790,6704,6826,6670
2021-02-04,6724,6786,6804,6698
2021-02-05,6796,6740,6796,6728
2021-02-08,6766,6900,6918,6748
2021-02-09,6916,6970,6990,6878
2021-02-10,6974,6992,6998,6912
2021-02-18,7180,7396,7412,7154
2021-02-19,7356,7382,7446,7284
2021-02-22,7382,7744,7782,7322
2021-02-23,7730,7758,7954,7678
2021-02-24,7758,7802,7844,7688
2021-02-25,7850,8244,8246,7850
2021-02-26,8238,8104,8340,8020
2021-03-01,8056,7836,8138,7760
2021-03-02,7946,7726,7950,7630
2021-03-03,7774,7696,7880,7634
2021-03-04,7736,7642,7736,7530
2021-03-05,7624,7702,7784,7548
2021-03-08,7742,7876,8004,7736
2021-03-09,7850,7572,7864,7572
2021-03-10,7612,7330,7644,7274
2021-03-11,7316,7508,7520,7312
2021-03-12,7516,7512,7624,7464
2021-03-15,7502,7458,7578,7408
2021-03-16,7402,7310,7486,7282
2021-03-17,7310,7332,7382,7260
2021-03-18,7302,7376,7396,7248
2021-03-19,7360,7148,7452,7112
2021-03-22,7134,7328,7374,7130
2021-03-23,7352,7318,7398,7240
2021-03-24,7218,7274,7346,7188
2021-03-25,7298,7154,7334,7146
2021-03-26,7070,7168,7192,6990
2021-03-29,7168,7038,7236,7016
2021-03-30,7078,7090,7146,7058
2021-03-31,7082,7082,7172,7044
2021-04-01,7020,7032,7072,6954
2021-04-02,6996,7298,7300,6996
2021-04-06,7206,7322,7358,7206
2021-04-07,7386,7270,7420,7216
2021-04-08,7282,7142,7300,7132
2021-04-09,7170,7092,7208,7076
2021-04-12,7080,6960,7118,6930
2021-04-13,6996,6948,7010,6896
2021-04-14,6962,7080,7086,6926
2021-04-15,7080,7178,7198,7044
2021-04-16,7162,7234,7278,7130
2021-04-19,7000,6924,7018,6864
2021-04-20,7274,7308,7368,7260
2021-04-21,7278,7080,7300,7036
2021-04-22,7046,7092,7160,7008
2021-04-23,7106,7214,7218,7046
2021-04-26,7186,7046,7252,7042
2021-04-27,7044,7106,7142,6950
2021-04-28,7106,7150,7160,7070
2021-04-29,7152,7286,7286,7146
2021-04-30,7302,7212,7376,7168
2021-05-06,7312,7382,7434,7238
2021-05-07,7392,7404,7480,7338
2021-05-10,7392,7396,7496,7324
2021-05-11,7402,7252,7414,7248
2021-05-12,7260,7416,7420,7220
2021-05-13,7400,7152,7476,7102
2021-05-14,7050,6832,7106,6808
2021-05-17,6898,6900,6980,6858
2021-05-18,6898,6964,7000,6860
2021-05-19,6960,6876,6990,6826
2021-05-20,6816,6842,6868,6660
2021-05-21,6806,6852,6948,6780
2021-05-24,6888,6884,6920,6768
2021-05-25,6892,6918,6972,6836
2021-05-26,6910,6850,6956,6794
2021-05-27,6830,6724,6860,6722
2021-05-28,6712,6802,6878,6694
2021-05-31,6804,6900,6918,6762
2021-06-01,6912,7032,7038,6906
2021-06-02,7060,6938,7100,6902
2021-06-03,6966,7028,7070,6930
2021-06-04,7208,7114,7208,7030
2021-06-07,7148,7042,7198,7030
2021-06-08,7060,6984,7088,6970
2021-06-09,7000,7024,7064,6958
2021-06-10,7016,6996,7056,6970
2021-06-11,7010,7102,7120,6974
2021-06-15,7108,7098,7158,7010
2021-06-16,7112,7212,7234,7084
2021-06-17,7238,7198,7238,7130
2021-06-18,7182,7034,7194,7032
2021-06-21,7028,7058,7122,7028
2021-06-22,7040,7204,7216,7016
2021-06-23,7204,7242,7254,7158
2021-06-24,7258,7388,7398,7258
2021-06-25,7368,7472,7546,7342
2021-06-28,7466,7504,7522,7378
2021-06-29,7460,7340,7472,7312
2021-06-30,7366,7358,7404,7332
2021-07-01,7374,7356,7402,7286
2021-07-02,7424,7386,7462,7340
2021-07-05,7372,7552,7596,7372
2021-07-06,7570,7606,7666,7534
2021-07-07,7584,7386,7604,7320
2021-07-08,7404,7302,7404,7248
2021-07-09,7296,7376,7404,7294
2021-07-12,7406,7378,7492,7372
2021-07-13,7376,7490,7492,7350
2021-07-14,7470,7482,7488,7406
2021-07-15,7496,7390,7516,7322
2021-07-16,7394,7416,7436,7362
2021-07-19,7428,7472,7480,7356
2021-07-20,7414,7296,7414,7248
2021-07-21,7272,7426,7428,7260
2021-07-22,7462,7548,7564,7424
2021-07-23,7548,7546,7566,7490
2021-07-26,7532,7504,7596,7474
2021-07-27,7558,7498,7592,7490
2021-07-28,7498,7452,7512,7444
2021-07-29,7466,7514,7522,7442
2021-07-30,7546,7592,7652,7514
2021-08-02,7648,7624,7708,7542
2021-08-03,7620,7556,7650,7532
2021-08-04,7476,7600,7640,7456
2021-08-05,7570,7402,7608,7382
2021-08-06,7422,7518,7532,7408
2021-08-09,7524,7418,7562,7398
2021-08-10,7374,7454,7468,7354
2021-08-11,7450,7418,7478,7392
2021-08-12,7412,7412,7486,7400
2021-08-13,7406,7364,7430,7360
2021-08-16,7368,7250,7396,7250
2021-08-17,7226,7190,7288,7188
2021-08-18,7200,7158,7244,7100
2021-08-19,7178,7066,7208,6994
2021-08-20,7048,7034,7068,6982
2021-08-23,6970,7012,7068,6958
2021-08-24,6922,6956,7002,6878
2021-08-25,6978,6854,6994,6852
2021-08-26,7038,6888,7050,6878
2021-08-27,6890,6968,6970,6806
2021-08-30,6996,6936,7032,6902
2021-08-31,6954,6912,6962,6878
2021-09-01,6892,6904,6932,6850
2021-09-02,6892,6898,6928,6840
2021-09-03,6930,7020,7034,6910
2021-09-06,7032,6978,7036,6964
2021-09-07,6994,6974,7030,6946
2021-09-08,6944,6722,6944,6696
2021-09-09,6750,6752,6806,6714
2021-09-10,6736,6796,6812,6698
2021-09-13,6822,6900,6934,6806
2021-09-14,6910,6968,6998,6906
2021-09-15,6978,7014,7046,6938
2021-09-16,7050,7020,7108,7004
2021-09-17,7002,6974,7050,6936
2021-09-22,6946,6874,6954,6794
2021-09-23,6868,7000,7000,6868
2021-09-24,7000,7154,7200,7000
2021-09-27,7144,7218,7334,7108
2021-09-28,7210,7396,7414,7194
