Date,Open,Close,High,Low
2018-10-08,6536,6512,6580,6474
2018-10-09,6522,6664,6664,6502
2018-10-10,6688,6660,6740,6632
2018-10-11,6604,6606,6700,6560
2018-10-12,6656,6680,6708,6624
2018-10-15,6740,6690,6766,6658
2018-10-16,6690,6676,6728,6646
2018-10-17,6686,6710,6736,6682
2018-10-18,6682,6656,6706,6622
2018-10-19,6666,6718,6728,6660
2018-10-22,6732,6712,6740,6692
2018-10-23,6700,6708,6726,6690
2018-10-24,6690,6690,6706,6618
2018-10-25,6712,6708,6712,6600
2018-10-26,6722,6716,6762,6660
2018-10-29,6702,6726,6756,6650
2018-10-30,6716,6624,6716,6622
2018-10-31,6602,6590,6622,6570
2018-11-01,6582,6540,6608,6540
2018-11-02,6548,6520,6562,6462
2018-11-05,6572,6520,6572,6460
2018-11-06,6520,6498,6550,6490
2018-11-07,6500,6480,6508,6460
2018-11-08,6496,6450,6540,6384
2018-11-09,6450,6396,6456,6382
2018-11-12,6360,6112,6376,6110
2018-11-13,6130,6088,6160,6052
2018-11-14,6086,6206,6220,6064
2018-11-15,6202,6190,6206,6118
2018-11-16,6248,6248,6296,6192
2018-11-19,6204,6274,6288,6162
2018-11-20,6266,6226,6292,6180
2018-11-21,6086,6180,6194,6048
2018-11-22,6170,6218,6320,6160
2018-11-23,6122,6180,6240,6122
2018-11-26,6180,5964,6192,5864
2018-11-27,5990,6004,6048,5802
2018-11-28,5972,6060,6084,5884
2018-11-29,6078,6108,6126,6010
2018-11-30,6088,6068,6112,6010
2018-12-03,6160,6076,6358,5988
2018-12-04,6056,6122,6140,6040
2018-12-05,6106,6192,6202,6084
2018-12-06,6192,6124,6216,6090
2018-12-07,6104,6140,6170,6082
2018-12-10,6108,6018,6116,6016
2018-12-11,5988,6024,6064,5982
2018-12-12,6052,5966,6098,5956
2018-12-13,5994,6004,6024,5970
2018-12-14,6014,5982,6094,5980
2018-12-17,6002,6022,6022,5900
2018-12-18,6016,6046,6072,6000
2018-12-19,6022,6022,6060,5998
2018-12-20,6018,6004,6038,5974
2018-12-21,6014,5926,6034,5918
2018-12-24,6026,6138,6160,6022
2018-12-25,6140,6132,6158,6090
2018-12-26,6136,6070,6156,6070
2018-12-27,6148,5898,6148,5840
2018-12-28,5888,5812,5896,5730
2019-01-02,5800,5760,5800,5580
2019-01-03,5780,5750,5800,5734
2019-01-04,5720,5776,5780,5700
2019-01-07,5752,5740,5780,5730
2019-01-08,5730,5760,5760,5730
2019-01-09,5750,5748,5770,5744
2019-01-10,5742,5736,5766,5708
2019-01-11,5748,5802,5806,5736
2019-01-14,5820,5774,5856,5774
2019-01-15,5800,5812,5834,5762
2019-01-16,5806,5802,5832,5794
2019-01-17,5806,5814,5840,5794
2019-01-18,5858,5884,5888,5818
2019-01-21,5920,5886,5924,5858
2019-01-22,5906,5868,5936,5848
2019-01-23,5872,5870,5894,5844
2019-01-24,5888,5900,5900,5856
2019-01-25,5920,5892,5970,5890
2019-01-28,5912,5926,5952,5910
2019-01-29,5880,5828,5888,5820
2019-01-30,5832,5896,5928,5828
2019-01-31,5884,5918,5922,5876
2019-02-01,5928,5928,5942,5866
2019-02-11,5998,6010,6052,5980
2019-02-12,6006,5984,6006,5958
2019-02-13,5958,5918,5974,5916
2019-02-14,5922,5922,5942,5898
2019-02-15,5898,5880,5928,5872
2019-02-18,5958,5862,5958,5858
2019-02-19,5876,5890,5898,5844
2019-02-20,5902,5970,5976,5860
2019-02-21,5986,5932,6006,5932
2019-02-22,5936,5966,5984,5928
2019-02-25,5980,5972,6010,5940
2019-02-26,5964,6006,6006,5962
2019-02-27,6038,5992,6040,5978
2019-02-28,5998,6008,6012,5962
2019-03-01,6008,6020,6038,5988
2019-03-04,6032,6060,6076,5992
2019-03-05,6030,6074,6086,6024
2019-03-06,6074,6154,6154,6060
2019-03-07,6148,6146,6196,6120
2019-03-08,6102,6150,6150,6066
2019-03-11,6140,6116,6176,6112
2019-03-12,6150,6124,6150,6086
2019-03-13,6136,6136,6148,6096
2019-03-14,6142,6178,6178,6080
2019-03-15,6140,6140,6200,6130
2019-03-18,6140,6052,6148,6010
2019-03-19,6052,6030,6070,6010
2019-03-20,6030,6070,6110,6030
2019-03-21,6080,6080,6100,6020
2019-03-22,6072,6046,6086,6042
2019-03-25,6026,6050,6050,5998
2019-03-26,6052,5984,6070,5984
2019-03-27,6002,5890,6002,5866
2019-03-28,5896,5892,5938,5880
2019-03-29,5906,5904,5930,5862
2019-04-01,5938,5974,5978,5908
2019-04-02,5966,5958,5982,5940
2019-04-03,5982,5946,6000,5934
2019-04-04,5948,5946,5954,5900
2019-04-08,5970,5988,6010,5948
2019-04-09,6008,6046,6084,5982
2019-04-10,6038,6040,6060,6016
2019-04-11,6040,5992,6054,5972
2019-04-12,5972,5982,6002,5930
2019-04-15,5980,6008,6026,5980
2019-04-16,6018,5872,6024,5864
2019-04-17,5858,5922,5932,5842
2019-04-18,5900,5898,5930,5866
2019-04-19,5908,5882,5928,5860
2019-04-22,5902,5854,5918,5842
2019-04-23,5760,5830,5866,5740
2019-04-24,5822,5792,5830,5786
2019-04-25,5800,5818,5848,5782
2019-04-26,5818,5834,5848,5802
2019-04-29,5838,5826,5858,5802
2019-04-30,5848,5858,5908,5830
2019-05-06,5880,5846,5880,5800
2019-05-07,5832,5836,5848,5814
2019-05-08,5914,5944,5952,5914
2019-05-09,5940,5988,5988,5928
2019-05-10,6000,5954,6040,5930
2019-05-13,5942,5922,5946,5896
2019-05-14,5818,5808,5858,5794
2019-05-15,5808,5790,5820,5790
2019-05-16,5930,5912,5938,5882
2019-05-17,5912,5922,5922,5884
2019-05-20,5934,5848,5934,5842
2019-05-21,5852,5814,5876,5814
2019-05-22,5806,5820,5864,5794
2019-05-23,5822,5826,5840,5800
2019-05-24,5806,5832,5858,5802
2019-05-27,5850,5782,5852,5782
2019-05-28,5786,5812,5816,5784
2019-05-29,5818,5846,5860,5808
2019-05-30,5846,5852,5884,5820
2019-05-31,5844,5832,5894,5832
2019-06-03,5818,5752,5884,5738
2019-06-04,5748,5808,5808,5742
2019-06-05,5806,5818,5844,5796
2019-06-06,5820,5816,5842,5780
2019-06-10,5850,5860,5868,5790
2019-06-11,5850,5920,5932,5850
