Date,Open,Close,High,Low
2013-11-19,3060,3039,3066,3022
2013-11-20,3041,3064,3070,3035
2013-11-21,3068,3056,3068,3046
2013-11-22,3058,3061,3064,3053
2013-11-25,3064,3093,3097,3061
2013-11-26,3098,3094,3107,3086
2013-11-27,3093,3110,3110,3082
2013-11-28,3106,3100,3128,3098
2013-11-29,3100,3093,3100,3091
2013-12-02,3092,3100,3103,3085
2013-12-03,3096,3097,3103,3093
2013-12-04,3099,3093,3099,3091
2013-12-05,3099,3090,3099,3089
2013-12-06,3089,3081,3093,3076
2013-12-09,3079,3077,3085,3076
2013-12-10,3076,3077,3080,3076
2013-12-11,3072,3063,3080,3006
2013-12-12,3060,3052,3068,3030
2013-12-13,3050,3094,3094,3049
2013-12-16,3083,3103,3120,3077
2013-12-17,3103,3093,3115,3090
2013-12-18,3093,3086,3093,3081
2013-12-19,3087,3078,3087,3072
2013-12-20,3078,3079,3100,3077
2013-12-23,3077,3092,3093,3074
2013-12-24,3096,3089,3096,3086
2013-12-25,3092,3082,3092,3080
2013-12-26,3076,3082,3090,3063
2013-12-27,3085,3083,3092,3080
2013-12-30,3067,3080,3085,3063
2013-12-31,3078,3079,3084,3078
2014-01-01,3082,3071,3083,3067
2014-01-02,3082,3071,3083,3071
2014-01-03,3079,3076,3080,3069
2014-01-06,3069,3072,3079,3063
2014-01-07,3072,3074,3075,3069
2014-01-08,3072,3087,3088,3072
2014-01-09,3088,3097,3117,3088
2014-01-10,3096,3100,3113,3088
2014-01-13,3098,3108,3109,3098
2014-01-14,3109,3110,3110,3104
2014-01-15,3117,3108,3117,3108
2014-01-16,3105,3110,3113,3097
2014-01-17,3106,3117,3117,3106
2014-01-20,3115,3118,3123,3112
2014-01-21,3114,3114,3122,3111
2014-01-22,3113,3111,3117,3106
2014-01-23,3111,3128,3191,3104
2014-01-24,3140,3131,3150,3127
2014-01-27,3133,3089,3134,3089
2014-01-28,3103,3092,3107,3086
2014-01-29,3089,3076,3101,3056
2014-01-30,3075,3055,3076,3055
2014-01-31,3031,3075,3088,3031
2014-02-03,3031,3075,3088,3031
2014-02-10,3055,3076,3092,3055
2014-02-11,3085,3087,3095,3070
2014-02-12,3087,3083,3087,3072
2014-02-13,3078,3092,3100,3078
2014-02-14,3098,3061,3100,3051
2014-02-17,3063,3082,3082,3058
2014-02-18,3050,3072,3091,3050
2014-02-19,3072,3079,3098,3072
2014-02-20,3085,3088,3107,3080
2014-02-21,3088,3100,3110,3088
2014-02-24,3100,3098,3118,3098
2014-02-25,3082,3105,3110,3082
2014-02-26,3103,3110,3119,3098
2014-02-27,3112,3111,3117,3099
2014-02-28,3110,3103,3110,3095
2014-03-03,3100,3104,3110,3099
2014-03-04,3105,3103,3109,3096
2014-03-05,3103,3096,3104,3096
2014-03-06,3095,3096,3105,3085
2014-03-07,3096,3088,3099,3088
2014-03-10,3093,3094,3094,3086
2014-03-11,3090,3101,3120,3090
2014-03-12,3116,3111,3116,3099
2014-03-13,3120,3116,3120,3104
2014-03-14,3114,3113,3115,3113
2014-03-17,3118,3115,3125,3115
2014-03-18,3116,3115,3116,3114
2014-03-19,3116,3120,3126,3115
2014-03-20,3120,3119,3124,3116
2014-03-21,3119,3119,3120,3119
2014-03-24,3116,3139,3151,3110
2014-03-25,3153,3157,3163,3139
2014-03-26,3164,3160,3188,3152
2014-03-27,3159,3150,3159,3139
2014-03-28,3156,3147,3156,3146
2014-03-31,3138,3140,3164,3135
2014-04-01,3140,3141,3142,3140
2014-04-02,3156,3152,3166,3145
2014-04-03,3164,3156,3166,3156
2014-04-04,3143,3150,3150,3142
2014-04-07,3134,3145,3146,3133
2014-04-09,3136,3136,3145,3136
2014-04-10,3139,3141,3142,3136
2014-04-11,3214,3149,3214,3141
2014-04-14,3166,3155,3176,3149
2014-04-15,3174,3174,3174,3156
2014-04-16,3177,3150,3177,3150
2014-04-17,3156,3158,3158,3155
2014-04-18,3155,3153,3158,3150
2014-04-21,3154,3154,3154,3154
2014-04-22,3150,3155,3155,3150
2014-04-23,3177,3172,3178,3163
2014-04-24,3241,3216,3241,3200
2014-04-25,3200,3249,3249,3200
2014-04-28,3250,3223,3250,3223
2014-04-29,3319,3176,3319,3176
2014-04-30,3100,3100,3100,3100
2014-05-01,3160,3203,3224,2982
2014-05-02,3160,3203,3224,3160
2014-05-05,3160,3203,3224,2982
