Date,Open,Close,High,Low
2018-11-21,2855,2855,2855,2855
2018-11-23,2743,2745,2745,2743
2018-11-29,2636,2856,2856,2636
2019-03-07,3172,3068,3172,3000
2019-03-08,3051,3040,3051,3040
2019-03-18,2993,2992,2993,2992
2019-03-19,2873,3055,3055,2873
2019-03-25,2946,2946,2946,2946
2019-06-12,3010,3011,3011,3010
2019-08-14,3191,2981,3191,2969
2019-08-16,3221,3221,3221,2996
2019-08-19,2963,2963,2963,2963
2019-08-23,3239,3264,3264,3239
2019-08-30,3441,3441,3441,3441
2020-02-12,3063,3119,3174,3063
2020-02-17,3109,3109,3109,2940
2020-02-18,3250,3135,3250,3135
2020-02-19,3104,3078,3104,3051
2020-02-20,3096,3005,3096,2964
2020-02-25,3016,3036,3036,3016
2020-02-26,3088,2944,3088,2944
2020-03-02,2900,2933,3001,2897
2020-03-03,2990,2981,2998,2931
2020-03-12,2964,2964,2964,2964
2020-03-13,2921,3018,3136,2921
2020-03-16,2890,2890,2890,2890
2020-03-24,2788,2799,2799,2788
2020-03-25,2861,2891,2891,2861
2020-03-26,2890,2890,2890,2890
2020-03-27,3014,3003,3014,3003
2020-03-30,3078,3044,3078,2967
2020-03-31,3089,2992,3089,2951
2020-04-01,2994,2946,2994,2937
2020-04-02,2925,2981,2981,2925
2020-04-07,2851,2980,2984,2851
2020-04-08,2969,2958,2969,2946
2020-04-09,2965,2960,2987,2960
2020-04-10,2954,2954,2954,2954
2020-04-13,2930,2957,2957,2930
2020-04-14,2952,2932,2952,2932
2020-04-15,2926,2926,2926,2926
2020-04-17,2926,2948,2996,2820
2020-04-20,2937,2937,2937,2937
2020-04-21,2924,2928,2965,2924
2020-04-22,2977,2930,2977,2929
2020-04-23,2928,2920,2928,2920
2020-04-24,2959,2968,2968,2929
2020-04-27,2925,2930,2930,2925
2020-04-28,2922,2921,2955,2921
2020-04-30,2884,2883,2884,2883
2020-05-06,2825,2825,2825,2825
2020-05-07,2802,2802,2802,2802
2020-05-13,2827,2837,2837,2827
2020-05-14,2788,2787,2788,2787
2020-05-15,2800,2800,2800,2800
2020-05-18,2810,2810,2810,2810
2020-05-20,2800,2800,2800,2800
2020-05-21,2802,2813,2816,2802
2020-05-22,2806,2811,2811,2805
2020-05-25,2826,2820,2826,2820
2020-05-26,2796,2796,2796,2796
2020-05-27,2808,2832,2836,2808
2020-06-03,2851,2821,2851,2810
2020-06-08,2802,2802,2808,2794
2020-06-09,2802,2797,2802,2776
2020-06-11,2801,2802,2802,2801
2020-06-12,2802,2803,2845,2802
2020-06-15,2799,2799,2799,2799
2020-06-16,2799,2804,2804,2799
2020-06-17,2802,2802,2802,2802
2020-06-18,2791,2793,2793,2786
2020-06-19,2788,2788,2788,2788
2020-06-22,2775,2790,2790,2775
2020-06-23,2794,2790,2830,2760
2020-06-24,2793,2762,2793,2762
2020-06-30,2711,2718,2748,2711
2020-07-01,2705,2707,2715,2704
2020-07-03,2753,2767,2811,2753
2020-07-06,2800,2785,2800,2773
2020-07-09,2773,2786,2786,2773
2020-07-13,2805,2791,2805,2787
2020-07-14,2796,2804,2804,2796
2020-07-17,2809,2813,2818,2809
2020-07-20,2829,2804,2829,2804
2020-07-21,2867,2889,2889,2860
2020-07-22,2826,2858,2858,2826
2020-07-23,2853,2853,2853,2853
2020-07-24,2861,2877,2887,2861
2020-07-27,2814,2814,2814,2814
2020-07-28,2846,2852,2869,2846
2020-08-03,2832,2825,2832,2817
2020-08-06,2837,2820,2837,2820
2020-08-07,2821,2821,2821,2821
2020-08-10,2849,2840,2849,2840
2020-08-11,2788,2788,2788,2788
2020-08-12,2820,2799,2828,2780
2020-08-13,2784,2797,2848,2784
2020-08-14,2768,2771,2788,2768
2020-08-17,2765,2770,2770,2762
2020-08-18,2767,2769,2787,2767
2020-08-19,2787,2786,2787,2786
2020-08-20,2771,2785,2785,2771
2020-08-21,2790,2776,2799,2775
2020-08-24,2752,2771,2778,2752
2020-08-25,2778,2787,2790,2777
2020-08-26,2772,2779,2780,2772
2020-08-27,2771,2774,2774,2771
2020-08-28,2764,2764,2764,2764
2020-08-31,2625,2771,2797,2625
2020-09-01,2774,2765,2778,2765
2020-09-02,2770,2778,2778,2770
2020-09-03,2777,2762,2777,2762
2020-09-04,2754,2755,2755,2754
2020-09-08,2768,2768,2768,2768
2020-09-10,2734,2748,2750,2726
2020-09-15,2789,2789,2789,2789
2020-09-17,2756,2796,2796,2756
2020-09-18,2796,2760,2796,2760
2020-09-21,2768,2738,2768,2738
2020-09-22,2789,2791,2791,2744
2020-09-25,2791,2791,2791,2768
2020-09-28,2763,2789,2790,2754
2020-09-29,2744,2739,2744,2711
2020-09-30,2686,2676,2689,2653
2020-10-09,2742,2710,2760,2710
2020-10-12,2714,2714,2714,2714
2020-10-13,2724,2724,2724,2724
2020-10-20,2865,2761,2865,2716
2020-10-21,2768,2768,2768,2768
2020-10-22,2831,2834,2834,2831
2020-10-23,2799,2799,2799,2799
2020-10-26,2808,2808,2808,2808
2020-10-27,2803,2858,2877,2803
2020-10-30,2833,2850,2850,2833
2021-01-04,2654,2654,2654,2479
2021-01-12,2920,2920,2920,2920
2021-01-28,2860,2860,2860,2860
2021-01-29,2881,2881,2881,2881
2021-02-01,2840,2821,2840,2821
2021-02-02,2954,2905,2954,2905
2021-02-03,2925,2926,2926,2925
2021-02-04,2910,2890,2910,2890
2021-02-25,2885,2885,2885,2885
2021-02-26,2846,2846,2846,2846
2021-03-03,2800,2880,2880,2800
2021-03-04,2884,2880,2884,2880
2021-04-13,2900,2900,2900,2900
2021-04-15,2791,2898,2947,2791
2021-04-30,2840,2802,2840,2802
2021-05-06,2821,2711,2822,2710
2021-09-28,2337,2800,2800,2337
2021-10-27,2597,2597,2597,2597
2021-10-29,2897,2897,2897,2897
2021-11-29,2820,2820,2820,2820
2021-12-01,2700,2700,2700,2700
