Date,Open,Close,High,Low
2019-04-30,8900,8840,9020,8720
2019-05-06,8820,8665,8900,8620
2019-05-07,8710,8615,8720,8545
2019-05-08,8620,8635,8710,8595
2019-05-09,8635,8620,8690,8580
2019-05-10,8655,8670,8750,8620
2019-05-13,8690,9115,9115,8670
2019-05-14,9125,9505,9575,9125
2019-05-15,9505,9660,9865,9385
2019-05-16,9680,9715,9890,9620
2019-05-17,9750,9755,9795,9625
2019-05-20,9790,9755,9915,9655
2019-05-21,9775,9840,9905,9700
2019-05-22,9835,10305,10305,9790
2019-05-23,10335,10350,10415,10255
2019-05-24,10280,10720,10730,10230
2019-05-27,10600,10560,10935,10480
2019-05-28,10605,10405,10690,10295
2019-05-29,10460,10550,10645,10395
2019-05-30,10555,10530,10745,10370
2019-05-31,10520,10485,10590,10340
2019-06-03,10435,10095,10560,10000
2019-06-04,10145,10150,10190,9955
2019-06-05,10175,10100,10210,10015
2019-06-06,10030,9750,10030,9625
2019-06-10,9655,9815,9890,9605
2019-06-11,9850,9960,9995,9810
2019-06-12,9915,9815,9925,9740
2019-06-13,9850,10305,10305,9850
2019-06-14,10340,10230,10550,10140
2019-06-17,10260,10440,10445,10130
2019-06-18,10390,10120,10450,10075
2019-06-19,10180,10225,10310,10110
2019-06-20,10285,10270,10370,10180
2019-06-21,10360,10475,10515,10285
2019-06-24,10485,10440,10580,10360
2019-06-25,10430,10395,10475,10310
2019-06-26,10410,10415,10445,10320
2019-06-27,10415,10505,10675,10365
2019-06-28,10535,10335,10610,10300
2019-07-01,10380,10285,10380,10185
2019-07-02,10270,10340,10365,10155
2019-07-03,10305,10330,10440,10230
2019-07-04,10365,10380,10430,10310
2019-07-05,10395,10315,10415,10220
2019-07-08,10325,10555,10565,10325
2019-07-09,10625,10490,10645,10425
2019-07-10,10510,10405,10510,10255
2019-07-11,10430,10415,10460,10285
2019-07-12,10430,10485,10535,10335
2019-07-15,10485,10470,10615,10405
2019-07-16,10420,10540,10545,10365
2019-07-17,10550,10470,10695,10430
2019-07-18,10435,10360,10480,10335
2019-07-19,10330,10345,10385,10220
2019-07-22,10380,10315,10380,10185
2019-07-23,10265,10215,10315,10170
2019-07-24,10150,10135,10215,9995
2019-07-25,10130,10100,10150,10065
2019-07-26,10080,10230,10235,10025
2019-07-29,10225,10205,10265,10150
2019-07-30,10230,10280,10325,10180
2019-07-31,10290,10275,10340,10240
2019-08-01,10235,10130,10285,10120
2019-08-02,10065,10185,10210,10055
2019-08-05,10225,10125,10270,10030
2019-08-06,10195,10660,10660,10165
2019-08-07,10750,10695,10825,10545
2019-08-08,10755,10780,10945,10635
2019-08-09,10805,10785,10870,10580
2019-08-12,10840,10730,11000,10705
2019-08-13,10770,10645,10770,10610
2019-08-14,10625,10570,10645,10505
2019-08-15,10550,10650,10660,10525
2019-08-16,10755,10745,10850,10695
2019-08-19,10840,10750,10840,10735
2019-08-20,10750,10635,10810,10600
2019-08-21,10635,10745,10750,10545
2019-08-22,10760,10715,10775,10655
2019-08-23,10700,10705,10750,10635
2019-08-26,10700,10595,10840,10565
2019-08-27,10555,10695,10700,10525
2019-08-28,10690,10630,10725,10595
2019-08-29,10655,10760,10820,10645
2019-08-30,10750,10730,10880,10700
2019-09-02,10735,10695,10760,10615
2019-09-03,10715,11220,11220,10690
2019-09-04,11310,11475,11555,11300
2019-09-05,11490,11215,11520,11105
2019-09-06,11170,10820,11255,10820
2019-09-09,10800,10725,10850,10665
2019-09-10,10695,10725,10815,10690
2019-09-11,10680,10430,10780,10335
2019-09-12,10450,10370,10480,10305
2019-09-16,10400,10420,10530,10230
2019-09-17,10425,10490,10505,10365
2019-09-18,10475,10505,10575,10400
2019-09-19,10510,10505,10520,10250
2019-09-20,10495,10425,10495,10355
2019-09-23,10400,10255,10415,10060
2019-09-24,10280,10290,10330,10190
2019-09-25,10305,10290,10320,10170
2019-09-26,10280,10335,10450,10250
2019-09-27,10275,10320,10340,10150
2019-09-30,10350,10250,10395,10155
2019-10-08,10255,10385,10545,10180
2019-10-09,10390,10385,10430,10320
2019-10-10,10405,10385,10450,10340
2019-10-11,10385,10400,10420,10260
2019-10-14,10415,10490,10525,10340
2019-10-15,10455,10500,10580,10400
2019-10-16,10505,10460,10525,10410
2019-10-17,10465,9930,10490,9930
2019-10-18,9925,10010,10070,9770
2019-10-21,10000,10000,10100,9895
2019-10-22,9985,10000,10030,9940
2019-10-23,10025,10485,10485,9955
2019-10-24,10600,10625,10670,10515
