Date,Open,Close,High,Low
2019-12-03,1478.00,1409.50,1480.00,1409.50
2019-12-04,1400.00,1371.00,1405.00,1350.00
2019-12-05,1372.50,1434.50,1434.50,1369.00
2019-12-06,1438.00,1452.00,1465.50,1430.00
2019-12-09,1456.00,1498.00,1508.00,1456.00
2019-12-10,1500.00,1535.50,1538.50,1474.00
2019-12-11,1540.00,1498.50,1545.00,1495.00
2019-12-12,1500.00,1534.50,1539.50,1497.00
2019-12-13,1538.00,1521.00,1548.50,1517.00
2019-12-16,1515.00,1478.00,1517.50,1472.00
2019-12-17,1478.00,1480.00,1503.00,1475.00
2019-12-18,1480.00,1462.50,1495.00,1462.50
2019-12-19,1464.00,1471.50,1478.50,1461.00
2019-12-20,1473.00,1504.50,1524.50,1472.50
2019-12-23,1500.00,1494.00,1520.00,1486.50
2019-12-24,1496.00,1484.00,1501.00,1477.00
2019-12-25,1485.00,1502.50,1512.00,1483.50
2019-12-26,1503.00,1496.50,1516.00,1491.00
2019-12-27,1498.00,1456.00,1509.00,1455.50
2019-12-30,1455.00,1439.50,1464.00,1426.00
2019-12-31,1439.00,1440.00,1454.00,1433.00
2020-01-02,1441.00,1458.00,1462.00,1431.00
2020-01-03,1459.00,1453.50,1468.00,1448.00
2020-01-06,1453.50,1437.00,1458.00,1435.00
2020-01-07,1436.00,1451.00,1454.50,1427.50
2020-01-08,1452.00,1466.00,1466.00,1449.50
2020-01-09,1467.00,1440.50,1472.50,1440.50
2020-01-10,1444.00,1450.50,1452.50,1433.00
2020-01-13,1456.00,1458.00,1466.00,1450.00
2020-01-14,1454.00,1448.50,1455.00,1438.00
2020-01-15,1450.00,1475.00,1483.00,1449.00
2020-01-16,1478.00,1476.00,1489.00,1469.00
2020-01-17,1473.00,1438.00,1473.00,1436.50
2020-01-20,1437.00,1437.00,1444.50,1430.00
2020-01-21,1437.00,1405.00,1444.00,1401.00
2020-01-22,1405.00,1401.00,1411.00,1394.50
2020-01-23,1402.00,1407.50,1418.50,1395.00
2020-02-03,1386.00,1365.00,1399.00,1352.00
2020-02-04,1365.00,1377.00,1389.00,1364.00
2020-02-05,1379.50,1380.50,1391.00,1378.00
2020-02-06,1383.00,1388.50,1388.50,1376.00
2020-02-07,1389.00,1385.00,1398.00,1383.00
2020-02-10,1384.00,1385.00,1387.00,1376.00
2020-02-11,1385.50,1403.00,1405.00,1382.00
2020-02-12,1403.00,1376.00,1403.00,1370.50
2020-02-13,1377.00,1365.00,1377.50,1360.50
2020-02-14,1364.00,1377.00,1392.50,1362.50
2020-02-17,1380.00,1382.00,1385.00,1373.00
2020-02-18,1381.50,1378.00,1387.00,1367.00
2020-02-19,1376.00,1377.00,1384.00,1364.00
2020-02-20,1378.00,1396.00,1404.00,1377.00
2020-02-21,1399.50,1412.50,1431.50,1393.00
2020-02-24,1416.00,1400.50,1429.00,1390.00
2020-02-25,1399.00,1404.50,1413.00,1373.00
2020-02-26,1403.00,1375.50,1407.50,1373.00
2020-02-27,1370.00,1362.50,1372.00,1358.00
2020-02-28,1352.00,1322.50,1354.00,1309.00
2020-03-02,1330.00,1332.50,1351.00,1329.00
2020-03-03,1339.00,1337.00,1350.50,1332.00
2020-03-04,1337.50,1341.50,1349.50,1332.50
2020-03-05,1342.00,1339.50,1350.00,1336.00
2020-03-06,1335.00,1333.00,1340.00,1328.00
2020-03-09,1322.50,1324.50,1332.00,1309.50
2020-03-10,1329.00,1334.50,1341.50,1322.50
2020-03-11,1334.00,1361.50,1369.00,1334.00
2020-03-12,1365.00,1341.50,1366.00,1319.50
2020-03-13,1335.00,1344.00,1357.00,1321.50
2020-03-16,1355.50,1336.00,1363.50,1334.50
2020-03-17,1331.00,1351.50,1351.50,1331.00
2020-03-18,1350.00,1339.50,1361.00,1337.50
2020-03-19,1343.00,1339.00,1355.00,1315.50
2020-03-20,1347.50,1337.00,1351.00,1333.00
2020-03-23,1331.00,1319.00,1338.00,1297.50
2020-03-24,1330.00,1349.50,1356.00,1320.00
2020-03-25,1350.00,1360.50,1366.00,1350.00
2020-03-26,1382.00,1356.00,1383.00,1346.00
2020-03-27,1348.00,1367.00,1375.00,1341.50
2020-03-30,1369.50,1362.50,1371.00,1353.00
2020-03-31,1362.50,1360.50,1374.00,1357.50
2020-04-01,1358.00,1336.00,1359.00,1328.50
2020-04-02,1336.00,1348.00,1351.00,1323.00
2020-04-03,1349.00,1358.00,1371.00,1340.00
2020-04-07,1361.00,1365.00,1366.50,1348.50
2020-04-08,1366.50,1358.00,1366.50,1356.50
2020-04-09,1356.50,1342.50,1356.50,1298.00
2020-04-10,1338.00,1330.00,1351.00,1327.50
2020-04-13,1326.00,1334.50,1355.50,1310.50
2020-04-14,1333.00,1337.50,1341.00,1325.00
2020-04-15,1336.00,1335.00,1343.00,1328.50
2020-04-16,1333.00,1333.00,1342.00,1332.00
2020-04-17,1333.00,1333.50,1341.00,1332.00
2020-04-20,1332.00,1389.00,1401.50,1321.00
2020-04-21,1385.00,1349.00,1430.00,1342.00
2020-04-22,1351.00,1326.00,1354.50,1314.50
2020-04-23,1325.00,1334.50,1359.50,1325.00
2020-04-24,1335.00,1318.50,1350.00,1318.00
2020-04-27,1319.00,1264.00,1324.00,1264.00
2020-04-28,1250.00,1224.00,1252.00,1224.00
2020-04-29,1239.00,1197.00,1266.00,1182.00
2020-04-30,1217.00,1150.00,1217.00,1148.50
2020-05-06,1104.50,1175.00,1180.00,1104.50
2020-05-07,1353.00,1355.00,1364.50,1343.00
2020-05-08,1355.00,1381.50,1416.50,1353.50
2020-05-11,1392.00,1368.00,1396.50,1367.50
2020-05-12,1369.50,1361.00,1381.50,1359.00
2020-05-13,1361.50,1355.00,1367.00,1350.00
2020-05-14,1359.00,1363.50,1380.00,1345.00
2020-05-15,1367.50,1368.00,1374.00,1361.00
2020-05-18,1368.00,1369.00,1376.50,1364.00
2020-05-19,1372.00,1374.00,1384.50,1368.00
2020-05-20,1377.50,1373.00,1381.00,1369.00
2020-05-21,1374.50,1372.00,1381.00,1370.00
2020-05-22,1371.00,1366.50,1372.00,1355.50
2020-05-25,1364.50,1368.50,1374.00,1362.00
2020-05-26,1368.00,1360.50,1371.50,1359.50
2020-05-27,1360.50,1359.50,1368.00,1357.50
2020-05-28,1351.00,1362.50,1363.00,1351.00
2020-05-29,1363.50,1362.50,1364.00,1355.00
2020-06-01,1358.00,1357.00,1362.00,1355.00
2020-06-02,1356.00,1356.00,1362.00,1356.00
2020-06-03,1357.50,1361.50,1361.50,1356.50
2020-06-04,1359.50,1349.50,1364.50,1312.00
2020-06-05,1349.50,1354.00,1355.50,1332.00
2020-06-08,1352.00,1347.50,1356.50,1347.00
2020-06-09,1351.50,1344.50,1357.50,1336.50
2020-06-10,1345.50,1341.00,1354.00,1325.50
2020-06-11,1341.00,1340.00,1350.00,1338.00
2020-06-12,1338.00,1336.00,1347.50,1331.00
2020-06-15,1338.50,1335.50,1340.00,1330.00
2020-06-16,1337.00,1339.00,1344.50,1333.00
2020-06-17,1342.50,1338.50,1350.00,1333.00
2020-06-18,1338.00,1344.00,1356.00,1338.00
2020-06-19,1346.50,1343.00,1350.00,1340.00
2020-06-22,1339.50,1335.00,1345.50,1335.00
2020-06-23,1335.00,1334.00,1339.50,1333.00
2020-06-24,1337.00,1335.00,1339.50,1333.00
2020-06-29,1335.50,1335.50,1337.50,1325.50
2020-06-30,1331.50,1338.50,1339.00,1331.50
2020-07-01,1338.00,1327.50,1345.50,1326.00
2020-07-02,1326.00,1327.50,1332.00,1325.50
2020-07-03,1326.00,1331.50,1331.50,1326.00
2020-07-06,1331.00,1340.50,1369.00,1328.50
2020-07-07,1346.00,1351.00,1368.50,1339.00
2020-07-08,1351.00,1347.00,1357.00,1346.00
2020-07-09,1352.00,1348.00,1364.50,1346.50
2020-07-10,1354.00,1343.50,1358.50,1343.00
2020-07-13,1345.50,1339.50,1353.50,1333.00
2020-07-14,1335.00,1332.00,1344.00,1330.00
2020-07-15,1342.00,1336.00,1351.50,1334.00
2020-07-16,1335.00,1327.50,1341.00,1312.00
2020-07-17,1327.00,1323.00,1333.00,1321.00
2020-07-20,1335.00,1319.00,1335.00,1317.00
2020-07-21,1319.50,1319.00,1328.00,1317.50
2020-07-22,1305.00,1315.50,1324.00,1303.50
2020-07-23,1322.50,1319.00,1330.00,1315.50
2020-07-24,1314.50,1320.00,1323.00,1314.50
2020-07-27,1319.50,1320.00,1337.00,1319.50
2020-07-28,1319.50,1320.00,1323.00,1319.50
2020-07-29,1322.00,1322.50,1326.00,1321.00
2020-07-30,1323.50,1323.50,1328.00,1321.00
2020-07-31,1314.00,1319.50,1326.00,1313.50
2020-08-03,1318.50,1317.00,1325.00,1316.00
2020-08-04,1319.00,1330.00,1379.00,1319.00
2020-08-05,1329.50,1326.00,1346.00,1322.00
2020-08-06,1327.00,1309.50,1332.50,1305.50
2020-08-07,1315.00,1315.00,1323.00,1304.00
2020-08-10,1301.50,1306.00,1322.50,1301.50
2020-08-11,1306.00,1257.50,1313.00,1242.00
2020-08-12,1257.00,1248.00,1263.50,1235.00
2020-08-13,1240.00,1250.50,1278.00,1236.50
2020-08-14,1239.00,1240.50,1252.00,1236.00
2020-08-17,1240.00,1230.00,1240.00,1221.00
2020-08-18,1240.50,1256.50,1288.50,1235.50
2020-08-19,1255.00,1241.50,1266.00,1225.50
2020-08-20,1280.00,1235.00,1280.00,1232.00
2020-08-21,1238.50,1231.50,1251.00,1201.00
2020-08-24,1233.50,1228.00,1235.00,1224.00
2020-08-25,1234.00,1221.00,1237.00,1219.50
2020-08-26,1235.00,1223.00,1235.00,1218.00
2020-08-27,1212.00,1208.00,1230.00,1205.00
2020-08-28,1203.50,1176.50,1203.50,1156.50
2020-08-31,1185.00,1120.00,1218.50,1114.50
2020-09-01,1102.50,1102.00,1102.50,1102.00
2020-09-02,1037.00,1110.00,1110.00,1037.00
2020-09-03,1330.00,1258.00,1345.00,1250.00
2020-09-04,1250.00,1275.00,1300.00,1250.00
2020-09-07,1278.00,1271.00,1278.50,1235.50
2020-09-08,1275.00,1254.00,1297.50,1254.00
2020-09-09,1255.00,1240.00,1262.00,1236.00
2020-09-10,1244.50,1224.00,1256.00,1222.00
2020-09-11,1224.00,1220.00,1231.50,1213.00
2020-09-14,1231.00,1222.00,1238.00,1201.00
2020-09-15,1224.00,1229.50,1247.00,1222.00
2020-09-16,1234.50,1209.00,1234.50,1205.00
2020-09-17,1219.00,1167.50,1219.00,1158.50
2020-09-18,1180.00,1160.50,1180.50,1157.50
2020-09-21,1159.00,1153.00,1173.00,1146.00
2020-09-22,1156.00,1137.00,1156.00,1131.00
2020-09-23,1135.00,1135.00,1148.50,1128.00
2020-09-24,1135.50,1162.00,1175.50,1133.00
2020-09-25,1165.00,1130.50,1180.00,1123.00
2020-09-28,1130.00,1123.00,1140.00,1118.50
2020-09-29,1122.50,1118.00,1123.00,1105.00
2020-09-30,1118.00,1168.00,1168.00,1111.00
2020-10-09,1198.50,1199.00,1199.00,1163.00
2020-10-12,1249.00,1245.00,1275.00,1228.50
2020-10-13,1244.50,1223.00,1244.50,1218.00
2020-10-14,1222.50,1200.00,1222.50,1185.00
2020-10-15,1200.00,1211.00,1217.00,1200.00
2020-10-16,1221.50,1267.50,1267.50,1207.50
2020-10-19,1289.00,1280.50,1348.00,1268.50
2020-10-20,1285.00,1246.00,1288.00,1246.00
2020-10-21,1241.00,1285.00,1288.50,1240.00
2020-10-22,1277.50,1274.00,1325.00,1270.00
2020-10-23,1281.00,1244.00,1305.50,1244.00
2020-10-26,1250.00,1215.00,1263.50,1215.00
2020-10-27,1228.50,1225.00,1235.00,1187.50
2020-10-28,1228.00,1219.50,1246.50,1203.00
2020-10-29,1217.00,1171.00,1217.00,1165.00
2020-10-30,1168.00,1200.00,1230.00,1152.50
2020-11-02,1262.00,1265.50,1266.00,1190.00
