Date,Open,Close,High,Low
2019-12-06,1580,1561,1585,1546
2019-12-09,1564,1572,1591,1556
2019-12-10,1572,1634,1634,1570
2019-12-11,1649,1649,1674,1637
2019-12-12,1642,1630,1654,1625
2019-12-13,1633,1630,1639,1623
2019-12-16,1634,1632,1659,1626
2019-12-17,1629,1623,1636,1578
2019-12-18,1623,1628,1650,1622
2019-12-19,1628,1626,1641,1623
2019-12-20,1626,1611,1630,1611
2019-12-23,1610,1601,1616,1596
2019-12-24,1603,1604,1614,1600
2019-12-25,1602,1603,1610,1599
2019-12-26,1602,1609,1617,1602
2019-12-27,1609,1608,1629,1607
2019-12-30,1609,1633,1636,1608
2019-12-31,1633,1633,1643,1629
2020-01-02,1633,1625,1641,1618
2020-01-03,1626,1629,1634,1620
2020-01-06,1629,1638,1646,1628
2020-01-07,1636,1627,1640,1624
2020-01-08,1626,1630,1638,1624
2020-01-09,1629,1632,1635,1621
2020-01-10,1633,1658,1675,1633
2020-01-13,1659,1653,1661,1646
2020-01-14,1657,1653,1660,1648
2020-01-15,1654,1665,1691,1652
2020-01-16,1667,1668,1679,1665
2020-01-17,1674,1677,1684,1667
2020-01-20,1678,1667,1680,1658
2020-01-21,1668,1655,1674,1655
2020-01-22,1657,1642,1657,1631
2020-01-23,1644,1615,1651,1591
2020-02-03,1517,1519,1546,1509
2020-02-04,1528,1561,1570,1528
2020-02-05,1558,1560,1569,1551
2020-02-06,1562,1574,1577,1561
2020-02-07,1574,1574,1609,1571
2020-02-10,1573,1568,1577,1562
2020-02-11,1569,1579,1581,1564
2020-02-12,1578,1578,1588,1572
2020-02-13,1579,1581,1587,1573
2020-02-14,1580,1578,1583,1572
2020-02-17,1578,1586,1588,1577
2020-02-18,1590,1583,1595,1581
2020-02-19,1583,1587,1590,1583
2020-02-20,1588,1586,1590,1565
2020-02-21,1580,1579,1588,1570
2020-02-24,1575,1587,1590,1567
2020-02-25,1585,1605,1637,1584
2020-02-26,1604,1581,1607,1577
2020-02-27,1582,1575,1585,1567
2020-02-28,1564,1565,1574,1542
2020-03-02,1564,1587,1592,1563
2020-03-03,1589,1571,1600,1568
2020-03-04,1578,1574,1580,1569
2020-03-05,1574,1556,1575,1550
2020-03-06,1555,1553,1558,1544
2020-03-09,1506,1527,1538,1501
2020-03-10,1530,1539,1549,1529
2020-03-11,1538,1542,1600,1534
2020-03-12,1542,1522,1542,1521
2020-03-13,1518,1518,1528,1512
2020-03-16,1523,1505,1527,1505
2020-03-17,1498,1486,1504,1485
2020-03-18,1483,1466,1498,1465
2020-03-19,1470,1441,1470,1417
2020-03-20,1449,1450,1461,1438
2020-03-23,1428,1427,1437,1414
2020-03-24,1436,1424,1436,1409
2020-03-25,1430,1419,1436,1416
2020-03-26,1415,1396,1415,1390
2020-03-27,1397,1383,1398,1373
2020-03-30,1378,1339,1378,1336
2020-03-31,1341,1365,1385,1338
2020-04-01,1358,1371,1376,1358
2020-04-02,1375,1385,1395,1366
2020-04-03,1390,1371,1390,1358
2020-04-07,1385,1372,1394,1365
2020-04-08,1375,1371,1385,1366
2020-04-09,1381,1384,1387,1372
2020-04-10,1380,1360,1382,1354
2020-04-13,1360,1335,1371,1333
2020-04-14,1338,1347,1350,1322
2020-04-15,1342,1388,1388,1339
2020-04-16,1410,1355,1429,1353
2020-04-17,1352,1356,1369,1345
2020-04-20,1465,1494,1518,1465
2020-04-21,1488,1475,1496,1466
2020-04-22,1470,1467,1474,1448
2020-04-23,1470,1481,1498,1464
2020-04-24,1478,1479,1487,1467
2020-04-27,1473,1477,1491,1473
2020-04-28,1473,1451,1476,1450
2020-04-29,1460,1443,1473,1438
2020-04-30,1445,1447,1455,1435
2020-05-06,1454,1455,1468,1444
2020-05-07,1459,1455,1462,1450
2020-05-08,1460,1439,1460,1436
2020-05-11,1442,1415,1442,1398
2020-05-12,1413,1427,1430,1408
2020-05-13,1427,1432,1447,1417
2020-05-14,1430,1426,1436,1419
2020-05-15,1430,1435,1443,1426
2020-05-18,1433,1448,1456,1430
2020-05-19,1452,1441,1461,1438
2020-05-20,1445,1450,1453,1439
2020-05-21,1455,1450,1457,1445
2020-05-22,1453,1422,1453,1419
2020-05-25,1423,1441,1443,1408
2020-05-26,1437,1464,1474,1437
2020-05-27,1462,1459,1478,1442
2020-05-28,1461,1462,1469,1453
2020-05-29,1463,1476,1487,1462
2020-06-01,1478,1476,1485,1470
2020-06-02,1472,1471,1477,1456
2020-06-03,1475,1485,1486,1467
2020-06-04,1486,1466,1490,1462
2020-06-05,1468,1470,1472,1464
2020-06-08,1473,1465,1478,1461
2020-06-09,1465,1436,1466,1433
2020-06-10,1436,1432,1445,1431
2020-06-11,1434,1431,1437,1423
2020-06-12,1425,1436,1444,1422
2020-06-15,1438,1445,1455,1432
2020-06-16,1443,1448,1452,1436
2020-06-17,1450,1439,1453,1435
2020-06-18,1440,1432,1442,1429
2020-06-19,1432,1440,1440,1428
2020-06-22,1441,1436,1445,1431
2020-06-23,1436,1427,1438,1425
2020-06-24,1427,1401,1429,1396
2020-06-29,1396,1394,1407,1381
2020-06-30,1399,1393,1405,1387
2020-07-01,1391,1368,1394,1358
2020-07-02,1361,1370,1372,1358
2020-07-03,1371,1375,1380,1368
2020-07-06,1375,1381,1383,1371
2020-07-07,1384,1369,1384,1366
2020-07-08,1369,1391,1392,1363
2020-07-09,1392,1394,1398,1386
2020-07-10,1398,1389,1399,1381
2020-07-13,1389,1397,1416,1387
2020-07-14,1395,1388,1403,1373
2020-07-15,1388,1381,1395,1376
2020-07-16,1381,1373,1384,1371
2020-07-17,1373,1356,1380,1341
2020-07-20,1356,1306,1357,1306
2020-07-21,1305,1303,1317,1288
2020-07-22,1306,1316,1340,1306
2020-07-23,1315,1324,1332,1313
2020-07-24,1329,1320,1332,1315
2020-07-27,1320,1324,1336,1305
2020-07-28,1325,1325,1332,1317
2020-07-29,1325,1327,1335,1323
2020-07-30,1326,1317,1329,1311
2020-07-31,1318,1327,1338,1317
2020-08-03,1330,1376,1381,1320
2020-08-04,1380,1414,1414,1370
2020-08-05,1464,1406,1466,1376
2020-08-06,1405,1417,1437,1393
2020-08-07,1417,1472,1472,1407
2020-08-10,1477,1440,1504,1433
2020-08-11,1445,1439,1491,1428
2020-08-12,1443,1411,1443,1404
2020-08-13,1416,1404,1426,1392
2020-08-14,1407,1374,1416,1368
2020-08-17,1384,1378,1384,1339
2020-08-18,1383,1387,1397,1362
2020-08-19,1390,1409,1410,1382
2020-08-20,1578,1592,1597,1568
2020-08-21,1596,1603,1643,1593
2020-08-24,1610,1650,1652,1603
2020-08-25,1657,1684,1692,1646
2020-08-26,1683,1675,1687,1665
2020-08-27,1675,1665,1697,1656
2020-08-28,1666,1683,1694,1654
2020-08-31,1687,1742,1742,1677
2020-09-01,1742,1758,1783,1737
2020-09-02,1758,1796,1797,1751
2020-09-03,1796,1785,1822,1766
2020-09-04,1784,1765,1793,1717
2020-09-07,1768,1787,1799,1760
2020-09-08,1787,1762,1793,1755
2020-09-09,1742,1727,1757,1716
2020-09-10,1735,1739,1763,1727
2020-09-11,1743,1777,1779,1733
2020-09-14,1780,1729,1784,1722
2020-09-15,1724,1667,1736,1663
2020-09-16,1668,1680,1686,1655
2020-09-17,1685,1675,1694,1670
2020-09-18,1674,1709,1723,1660
2020-09-21,1701,1682,1713,1672
2020-09-22,1680,1730,1736,1663
2020-09-23,1734,1751,1756,1703
2020-09-24,1751,1742,1762,1722
2020-09-25,1745,1724,1746,1714
2020-09-28,1726,1708,1754,1702
2020-09-29,1708,1706,1719,1692
2020-09-30,1708,1717,1727,1689
2020-10-09,1728,1691,1736,1662
2020-10-12,1690,1725,1733,1684
2020-10-13,1727,1730,1749,1719
2020-10-14,1730,1707,1737,1691
2020-10-15,1705,1673,1717,1671
2020-10-16,1664,1680,1689,1653
2020-10-19,1682,1621,1690,1618
2020-10-20,1622,1637,1638,1607
2020-10-21,1638,1640,1640,1624
2020-10-22,1638,1627,1652,1617
2020-10-23,1627,1605,1638,1603
2020-10-26,1613,1616,1624,1589
2020-10-27,1616,1617,1625,1603
2020-10-28,1618,1610,1623,1583
2020-10-29,1600,1583,1610,1575
2020-10-30,1576,1568,1591,1561
2020-11-02,1570,1606,1608,1564
2020-11-03,1606,1578,1607,1576
2020-11-04,1582,1574,1586,1569
2020-11-05,1575,1553,1582,1548
2020-11-06,1556,1552,1582,1550
2020-11-09,1551,1522,1558,1518
2020-11-10,1531,1532,1538,1519
2020-11-11,1535,1522,1553,1508
2020-11-12,1524,1523,1528,1512
2020-11-13,1521,1534,1546,1516
2020-11-16,1537,1543,1561,1532
2020-11-17,1547,1543,1556,1530
2020-11-18,1546,1530,1551,1513
2020-11-19,1540,1549,1554,1531
2020-11-20,1548,1523,1549,1520
2020-11-23,1523,1515,1528,1495
2020-11-24,1513,1494,1519,1487
2020-11-25,1495,1487,1504,1484
2020-11-26,1488,1491,1497,1483
2020-11-27,1492,1520,1526,1475
2020-11-30,1518,1477,1518,1477
2020-12-01,1479,1446,1484,1442
2020-12-02,1450,1441,1461,1436
2020-12-03,1441,1445,1451,1431
2020-12-04,1444,1445,1472,1436
2020-12-07,1449,1415,1458,1404
2020-12-08,1417,1420,1431,1415
2020-12-09,1418,1375,1433,1373
2020-12-10,1379,1338,1384,1333
2020-12-11,1348,1330,1368,1321
2020-12-14,1333,1388,1396,1317
2020-12-15,1385,1385,1398,1368
2020-12-16,1385,1385,1406,1369
2020-12-17,1386,1419,1431,1380
2020-12-18,1425,1416,1438,1389
2020-12-21,1575,1666,1671,1560
2020-12-22,1662,1618,1662,1598
2020-12-23,1621,1644,1648,1588
2020-12-24,1648,1657,1676,1632
2020-12-25,1658,1650,1673,1637
2020-12-28,1649,1619,1682,1613
2020-12-29,1618,1593,1637,1573
2020-12-30,1593,1600,1607,1586
2020-12-31,1602,1611,1625,1582
2021-01-04,1611,1609,1636,1588
2021-01-05,1608,1599,1627,1592
2021-01-06,1604,1650,1650,1585
2021-01-07,1650,1637,1682,1632
2021-01-08,1636,1608,1652,1603
2021-01-11,1605,1548,1608,1548
2021-01-12,1544,1529,1549,1504
2021-01-13,1531,1503,1538,1489
2021-01-14,1500,1522,1530,1499
2021-01-15,1523,1547,1553,1507
2021-01-18,1547,1556,1560,1516
2021-01-19,1556,1547,1562,1533
2021-01-20,1548,1583,1584,1543
2021-01-21,1586,1570,1586,1563
2021-01-22,1570,1552,1593,1541
2021-01-25,1551,1578,1578,1535
2021-01-26,1575,1576,1588,1567
2021-01-27,1576,1559,1593,1545
2021-01-28,1556,1603,1607,1553
2021-01-29,1603,1618,1626,1597
2021-02-01,1618,1596,1629,1593
2021-02-02,1596,1614,1628,1596
2021-02-03,1613,1637,1640,1597
2021-02-04,1639,1633,1643,1619
2021-02-05,1634,1627,1639,1616
2021-02-08,1628,1645,1653,1611
2021-02-09,1645,1618,1647,1605
2021-02-10,1618,1598,1630,1590
2021-02-18,1614,1668,1668,1611
2021-02-19,1668,1666,1674,1648
2021-02-22,1665,1745,1745,1656
2021-02-23,1757,1763,1804,1746
2021-02-24,1762,1781,1797,1756
2021-02-25,1787,1847,1867,1768
2021-02-26,1847,1836,1876,1806
2021-03-01,1829,1908,1931,1815
2021-03-02,1908,1907,1941,1855
2021-03-03,1916,1905,1986,1897
2021-03-04,1905,1848,1905,1848
2021-03-05,1840,1841,1864,1784
2021-03-08,1860,1917,1917,1859
2021-03-09,1926,1942,1974,1906
2021-03-10,1950,1963,1968,1914
2021-03-11,1975,1892,1983,1842
2021-03-12,1888,1879,1918,1862
2021-03-15,1880,1941,1942,1864
2021-03-16,1939,1920,1959,1911
2021-03-17,1920,1997,1999,1905
2021-03-18,2000,1996,2010,1968
2021-03-19,1996,1944,1997,1933
2021-03-22,1952,1924,2002,1921
2021-03-23,1924,1923,1943,1906
2021-03-24,1909,1920,1931,1869
2021-03-25,1918,1887,1926,1878
2021-03-26,1874,1903,1913,1854
2021-03-29,1910,1868,1926,1851
2021-03-30,1869,1883,1892,1846
2021-03-31,1878,1875,1909,1865
2021-04-01,1877,1904,1926,1855
2021-04-02,1910,1913,1955,1895
2021-04-06,1919,1884,1933,1876
2021-04-07,1885,1852,1895,1835
2021-04-08,1848,1842,1857,1818
2021-04-09,1967,1913,1972,1909
2021-04-12,1910,1891,1916,1853
2021-04-13,1895,1907,1926,1873
2021-04-14,1908,1912,1936,1882
2021-04-15,1917,1873,1924,1866
2021-04-16,1872,1904,1916,1859
2021-04-19,1904,1968,1981,1896
2021-04-20,1968,1976,1985,1956
2021-04-21,1976,1935,1981,1929
2021-04-22,1935,1933,1967,1909
2021-04-23,1936,1923,1948,1916
2021-04-26,1919,1947,1958,1910
2021-04-27,1945,2001,2004,1932
2021-04-28,2001,2005,2012,1987
2021-04-29,2005,2045,2058,2005
2021-04-30,2053,2087,2088,2025
2021-05-06,2095,2190,2200,2087
2021-05-07,2190,2162,2192,2143
2021-05-10,2159,2172,2227,2077
2021-05-11,2175,2152,2205,2121
2021-05-12,2150,2249,2278,2136
2021-05-13,2236,2211,2329,2158
2021-05-14,2215,2201,2296,2123
2021-05-17,2216,2238,2301,2206
2021-05-18,2230,2229,2250,2187
2021-05-19,2227,2131,2235,2098
2021-05-20,2095,2081,2115,2028
2021-05-21,2081,2087,2122,2062
2021-05-24,2096,2101,2114,2036
2021-05-25,2109,2138,2154,2076
2021-05-26,2125,2135,2155,2109
2021-05-27,2110,2129,2150,2090
2021-05-28,2129,2176,2198,2119
2021-05-31,2173,2181,2211,2161
2021-06-01,2181,2289,2296,2162
2021-06-02,2288,2288,2320,2260
2021-06-03,2288,2265,2309,2234
2021-06-04,2248,2245,2276,2216
2021-06-07,2258,2235,2275,2232
2021-06-08,2233,2244,2265,2189
2021-06-09,2245,2197,2255,2197
2021-06-10,2193,2142,2195,2139
2021-06-11,2142,2175,2182,2134
2021-06-15,2170,2168,2190,2130
2021-06-16,2167,2174,2185,2146
2021-06-17,2175,2222,2225,2166
2021-06-18,2215,2185,2227,2163
2021-06-21,2185,2189,2224,2183
2021-06-22,2185,2212,2215,2155
2021-06-23,2212,2175,2218,2171
2021-06-24,2176,2238,2248,2174
2021-06-25,2240,2283,2296,2230
2021-06-28,2288,2229,2290,2222
2021-06-29,2229,2195,2238,2194
2021-06-30,2195,2232,2235,2191
2021-07-01,2234,2187,2244,2182
2021-07-02,2200,2266,2275,2194
2021-07-05,2269,2269,2283,2250
2021-07-06,2269,2319,2336,2263
