Date,Open,Close,High,Low
2019-12-06,1566,1584,1606,1552
2019-12-09,1585,1587,1605,1580
2019-12-10,1584,1654,1654,1584
2019-12-11,1670,1664,1689,1653
2019-12-12,1666,1642,1668,1635
2019-12-13,1644,1640,1648,1634
2019-12-16,1644,1651,1666,1638
2019-12-17,1647,1643,1658,1630
2019-12-18,1640,1651,1670,1640
2019-12-19,1648,1652,1661,1648
2019-12-20,1650,1644,1654,1642
2019-12-23,1642,1638,1645,1636
2019-12-24,1636,1644,1649,1636
2019-12-25,1643,1645,1647,1641
2019-12-26,1644,1647,1654,1641
2019-12-27,1650,1653,1669,1650
2019-12-30,1655,1683,1683,1651
2019-12-31,1681,1691,1698,1680
2020-01-02,1691,1680,1702,1678
2020-01-03,1680,1689,1690,1677
2020-01-06,1693,1689,1702,1687
2020-01-07,1687,1682,1690,1676
2020-01-08,1682,1684,1690,1680
2020-01-09,1688,1679,1688,1674
2020-01-10,1677,1699,1714,1677
2020-01-13,1697,1691,1699,1686
2020-01-14,1685,1694,1700,1685
2020-01-15,1697,1694,1723,1690
2020-01-16,1697,1693,1705,1693
2020-01-17,1699,1706,1712,1697
2020-01-20,1700,1695,1700,1684
2020-01-21,1696,1686,1700,1684
2020-01-22,1681,1674,1681,1663
2020-01-23,1669,1648,1673,1634
2020-02-03,1542,1564,1590,1542
2020-02-04,1551,1598,1598,1551
2020-02-05,1588,1603,1606,1588
2020-02-06,1602,1619,1619,1600
2020-02-07,1614,1615,1643,1613
2020-02-10,1609,1618,1623,1606
2020-02-11,1617,1624,1626,1614
2020-02-12,1620,1621,1628,1616
2020-02-13,1615,1626,1627,1615
2020-02-14,1626,1626,1626,1621
2020-02-17,1630,1638,1639,1625
2020-02-18,1640,1641,1641,1635
2020-02-19,1637,1644,1645,1637
2020-02-20,1650,1643,1650,1630
2020-02-21,1635,1638,1642,1633
2020-02-24,1630,1643,1647,1630
2020-02-25,1640,1664,1677,1637
2020-02-26,1662,1647,1666,1646
2020-02-27,1652,1646,1653,1636
2020-02-28,1638,1630,1646,1610
2020-03-02,1627,1646,1655,1621
2020-03-03,1641,1643,1658,1640
2020-03-04,1642,1643,1651,1641
2020-03-05,1639,1636,1645,1634
2020-03-06,1633,1630,1636,1625
2020-03-09,1577,1605,1630,1577
2020-03-10,1610,1626,1631,1610
2020-03-11,1630,1626,1669,1624
2020-03-12,1625,1620,1629,1616
2020-03-13,1615,1606,1620,1598
2020-03-16,1610,1600,1615,1598
2020-03-17,1593,1567,1597,1566
2020-03-18,1563,1555,1575,1554
2020-03-19,1555,1517,1555,1502
2020-03-20,1522,1517,1533,1505
2020-03-23,1510,1489,1510,1479
2020-03-24,1499,1500,1509,1483
2020-03-25,1512,1499,1513,1496
2020-03-26,1496,1486,1500,1485
2020-03-27,1491,1477,1492,1476
2020-03-30,1470,1432,1470,1431
2020-03-31,1438,1454,1460,1438
2020-04-01,1450,1449,1458,1438
2020-04-02,1453,1467,1469,1441
2020-04-03,1468,1445,1469,1432
2020-04-07,1453,1462,1465,1453
2020-04-08,1462,1481,1484,1458
2020-04-09,1481,1486,1491,1470
2020-04-10,1485,1476,1490,1471
2020-04-13,1479,1422,1489,1420
2020-04-14,1422,1447,1449,1404
2020-04-15,1450,1486,1486,1445
2020-04-16,1520,1455,1559,1446
2020-04-17,1455,1472,1485,1450
2020-04-20,1351,1343,1366,1325
2020-04-21,1335,1312,1345,1310
2020-04-22,1315,1308,1317,1305
2020-04-23,1319,1320,1341,1311
2020-04-24,1323,1308,1328,1307
2020-04-27,1308,1305,1320,1295
2020-04-28,1296,1269,1297,1266
2020-04-29,1263,1229,1275,1229
2020-04-30,1240,1200,1240,1180
2020-05-06,1118,1201,1288,1118
2020-05-07,1516,1501,1524,1500
2020-05-08,1508,1500,1508,1497
2020-05-11,1498,1503,1509,1494
2020-05-12,1505,1508,1510,1495
2020-05-13,1506,1517,1524,1503
2020-05-14,1518,1519,1523,1507
2020-05-15,1515,1522,1527,1512
2020-05-18,1521,1535,1541,1516
2020-05-19,1538,1532,1544,1527
2020-05-20,1532,1535,1538,1522
2020-05-21,1537,1534,1538,1528
2020-05-22,1534,1506,1537,1506
2020-05-25,1508,1525,1525,1498
2020-05-26,1525,1533,1549,1522
2020-05-27,1530,1535,1546,1515
2020-05-28,1537,1543,1545,1534
2020-05-29,1545,1554,1558,1543
2020-06-01,1554,1550,1560,1548
2020-06-02,1550,1549,1551,1535
2020-06-03,1546,1558,1560,1543
2020-06-04,1558,1548,1563,1546
2020-06-05,1553,1557,1558,1549
2020-06-08,1559,1556,1562,1548
2020-06-09,1555,1527,1559,1525
2020-06-10,1528,1529,1538,1526
2020-06-11,1529,1522,1540,1521
