Date,Open,Close,High,Low
2018-03-21,3278,3278,3278,3278
2018-03-23,3401,3401,3401,3401
2018-07-02,3466,3466,3466,3466
2018-10-17,4001,4087,4180,4001
2018-10-18,4070,4036,4098,4009
2018-10-19,4040,3985,4057,3976
2018-10-22,4065,4010,4065,4004
2018-10-23,4042,4018,4042,4013
2018-10-24,4027,4022,4053,4013
2018-10-25,4002,3949,4015,3805
2018-10-26,3950,3950,3989,3944
2018-10-29,3937,3888,3975,3885
2018-10-30,3891,3863,3931,3850
2018-10-31,3836,3873,3895,3828
2018-11-01,3869,3795,3875,3786
2018-11-02,3822,3822,3829,3793
2018-11-05,3826,3845,3850,3791
2018-11-06,3844,3810,3844,3795
2018-11-07,3751,3706,3767,3706
2018-11-08,3705,3676,3705,3626
2018-11-09,3679,3604,3682,3602
2018-11-12,3550,3574,3596,3538
2018-11-13,3581,3607,3688,3561
2018-11-14,3570,3639,3667,3569
2018-11-15,3644,3615,3654,3593
2018-11-16,3651,3635,3665,3621
2018-11-19,3618,3658,3763,3600
2018-11-20,3660,3599,3679,3595
2018-11-21,3510,3663,3663,3470
2018-11-22,3643,3586,3645,3581
2018-11-23,3590,3499,3629,3495
2018-11-26,3488,3382,3488,3349
2018-11-27,3428,3379,3469,3343
2018-11-28,3378,3411,3457,3360
2018-11-29,3416,3438,3476,3416
2018-11-30,3437,3410,3447,3360
2018-12-03,3530,3470,3608,3445
2018-12-04,3469,3528,3543,3425
2018-12-05,3504,3587,3589,3483
2018-12-06,3559,3511,3573,3511
2018-12-07,3470,3502,3521,3470
2018-12-10,3490,3438,3490,3400
2018-12-11,3417,3451,3458,3400
2018-12-12,3485,3433,3493,3428
2018-12-13,3490,3513,3535,3463
2018-12-14,3532,3522,3548,3500
2018-12-17,3546,3538,3550,3511
2018-12-18,3537,3528,3539,3505
2018-12-19,3533,3548,3561,3526
2018-12-20,3555,3598,3600,3547
2018-12-21,3620,3619,3650,3565
2018-12-24,3588,3581,3605,3556
2018-12-25,3540,3523,3558,3489
2018-12-26,3535,3530,3547,3510
2018-12-27,3555,3506,3590,3500
2018-12-28,3504,3521,3535,3495
2019-01-02,3515,3506,3545,3492
2019-01-03,3527,3567,3569,3527
2019-01-04,3572,3586,3615,3555
2019-01-07,3605,3640,3648,3594
2019-01-08,3631,3623,3639,3610
2019-01-09,3638,3652,3698,3631
2019-01-10,3670,3672,3688,3644
2019-01-11,3672,3716,3720,3652
2019-01-14,3692,3732,3746,3692
2019-01-15,3721,3675,3721,3662
2019-01-16,3674,3710,3715,3661
2019-01-17,3725,3711,3739,3711
2019-01-18,3740,3785,3832,3740
2019-01-21,3819,3768,3826,3765
2019-01-22,3799,3726,3843,3722
2019-01-23,3725,3730,3758,3718
2019-01-24,3742,3808,3814,3742
2019-01-25,3840,3846,3895,3840
2019-01-28,3865,3802,3894,3801
2019-01-29,3782,3785,3819,3773
2019-01-30,3801,3823,3903,3801
2019-01-31,3848,3821,3860,3809
2019-02-01,3861,3882,3905,3835
2019-02-11,3933,3959,4035,3933
2019-02-12,3950,3906,3956,3884
2019-02-13,3870,3833,3883,3827
2019-02-14,3817,3807,3837,3792
2019-02-15,3767,3724,3767,3703
2019-02-18,3780,3772,3800,3745
2019-02-19,3822,3785,3822,3774
2019-02-20,3769,3788,3807,3710
2019-02-21,3820,3817,3824,3788
2019-02-22,3821,3869,3869,3818
2019-02-25,3881,3804,3895,3804
2019-02-26,3818,3860,3865,3795
2019-02-27,3852,3843,3872,3834
2019-02-28,3860,3875,3885,3834
2019-03-01,3899,3929,3938,3876
2019-03-04,3951,3932,3957,3908
2019-03-05,3891,3924,3949,3874
2019-03-06,3906,3877,3934,3877
2019-03-07,3881,3946,3956,3854
2019-03-08,3902,3895,3919,3875
2019-03-11,3865,3805,3883,3778
2019-03-12,3851,3919,3935,3851
2019-03-13,3914,3918,3939,3897
2019-03-14,3938,3919,3938,3892
2019-03-15,3888,3881,3898,3853
2019-03-18,3889,3892,3917,3865
2019-03-19,3932,3890,4058,3887
2019-03-20,3871,3934,4000,3848
2019-03-21,3934,3912,3963,3906
2019-03-22,3920,3892,3920,3871
2019-03-25,3881,3825,3884,3811
2019-03-26,3844,3828,3858,3812
2019-03-27,3834,3848,3854,3823
2019-03-28,3854,3827,3867,3815
2019-03-29,3827,3926,3935,3827
2019-04-01,3927,3968,3980,3926
2019-04-02,3959,3991,3997,3950
2019-04-03,4013,4020,4030,3986
2019-04-04,4023,4028,4029,3987
2019-04-08,4045,4146,4146,4045
2019-04-09,4162,4148,4188,4129
2019-04-10,4169,4202,4213,4121
2019-04-11,4205,4212,4212,4158
2019-04-12,4178,4219,4230,4170
2019-04-15,4231,4276,4290,4231
2019-04-16,4275,4243,4275,4230
2019-04-17,4223,4279,4468,4220
2019-04-18,4258,4231,4258,4213
2019-04-19,4227,4266,4279,4224
2019-04-22,4306,4269,4350,4253
2019-04-23,4277,4245,4290,4245
2019-04-24,4221,4239,4266,4205
2019-04-25,4255,4235,4276,4231
2019-04-26,4240,4281,4296,4240
2019-04-29,4295,4336,4350,4294
2019-04-30,4362,4332,4396,4275
2019-05-06,4262,4356,4356,4262
2019-05-07,4380,4380,4380,4380
2019-05-08,4488,4488,4488,4488
2019-05-09,4268,4756,4756,4268
2019-05-10,4843,4843,4843,4843
2019-05-13,4145,4051,4145,3973
2019-05-14,4163,3965,4163,3965
2019-05-15,3958,4017,4057,3948
2019-05-16,3985,4100,4104,3985
2019-05-17,4041,4097,4103,4030
2019-05-20,4030,4074,4076,4027
2019-05-21,4118,4228,4228,4054
2019-05-22,4192,4277,4346,4128
2019-05-23,4255,4289,4327,4250
2019-05-24,4279,4276,4300,4242
2019-05-27,4274,4244,4300,4244
2019-05-28,4257,4297,4300,4229
2019-05-29,4291,4265,4349,4208
2019-05-30,4262,4237,4262,4215
2019-05-31,4217,4168,4237,4160
2019-06-03,4204,4112,4204,4106
2019-06-04,4112,4130,4143,4080
2019-06-05,4157,4159,4288,4135
2019-06-06,4121,4175,4239,4116
2019-06-10,4161,4200,4200,4110
2019-06-11,4219,4187,4274,4164
2019-06-12,4168,4161,4180,4116
2019-06-13,4182,4174,4182,4150
2019-06-14,4156,4185,4200,4156
2019-06-17,4140,4146,4184,4140
2019-06-18,4143,4151,4177,4136
2019-06-19,4208,4151,4219,4151
2019-06-20,4178,4171,4248,4150
2019-06-21,4187,4181,4197,4139
2019-06-24,4226,4225,4287,4165
2019-06-25,4244,4256,4265,4216
2019-06-26,4282,4344,4344,4226
2019-06-27,4359,4436,4448,4353
2019-06-28,4448,4673,4673,4145
2019-07-01,4814,4814,4814,4814
2019-07-08,4525,4525,4525,4525
2019-07-10,4299,4239,4299,4189
2019-07-12,4137,4145,4488,4004
2019-07-15,4190,4194,4280,4067
2019-07-16,4265,4271,4288,4213
2019-07-17,4271,4288,4288,4217
2019-07-18,4278,4265,4278,4225
2019-07-19,4255,4255,4256,4240
2019-07-22,4260,4187,4268,4103
2019-07-23,4168,4106,4197,4052
2019-07-24,4098,4052,4125,4052
2019-07-25,4101,4127,4127,4057
2019-07-26,4129,4080,4129,4063
2019-07-29,4074,4029,4075,4029
2019-07-30,4037,4108,4111,4037
2019-07-31,4079,4115,4118,4079
2019-08-01,4125,4079,4144,4079
2019-08-02,4001,4069,4069,4001
2019-08-05,4055,4044,4055,4026
2019-08-06,4001,3995,4049,3990
2019-08-07,4036,4036,4036,4036
2019-08-08,4049,4044,4049,4035
2019-08-09,3990,3880,4007,3851
2019-08-12,4069,3965,4069,3859
2019-08-13,4021,3987,4021,3950
2019-08-14,4016,4016,4016,4016
2019-08-15,3940,3940,3940,3940
2019-08-19,3996,4009,4042,3960
2019-08-20,3994,3985,4020,3960
2019-08-21,3950,3954,3968,3914
2019-08-22,3957,3957,3957,3957
2019-08-26,3849,3957,4059,3849
2019-08-27,3987,3979,4028,3945
2019-08-28,3938,3937,3938,3937
2019-08-29,3910,3957,3966,3910
2019-08-30,3894,3894,3894,3894
2019-09-02,3894,3966,3984,3894
2019-09-03,3919,3965,3977,3919
2019-09-04,3938,3938,3938,3938
2019-09-05,3975,3990,3990,3949
2019-09-06,3937,3973,4058,3937
2019-09-09,4022,4068,4087,3997
2019-09-11,4040,4083,4083,4037
2019-09-12,4052,4056,4087,4052
2019-09-16,4088,4088,4088,4088
2019-09-17,4125,4125,4125,4125
2019-09-19,4085,4166,4166,4001
2019-09-20,4070,4070,4070,4070
2019-09-25,4078,4064,4078,4010
2019-09-27,4063,4062,4063,4062
2019-10-08,4001,3955,4001,3955
2019-10-09,3900,3823,3939,3823
2019-10-10,3938,3900,3938,3900
2019-10-11,3938,3880,3938,3880
2019-10-14,3855,3875,3926,3855
2019-10-15,3780,3786,3853,3780
2019-10-16,3740,3728,3804,3700
2019-10-17,3627,3741,3762,3627
2019-10-18,3775,3697,3776,3649
2019-10-21,3729,3706,3729,3668
2019-10-22,3629,3711,3725,3619
2019-10-23,3672,3737,3749,3672
2019-10-24,3640,3726,3794,3640
2019-10-25,3718,3747,3747,3718
2019-10-28,3734,3727,3760,3637
2019-10-29,3668,3692,3727,3668
2019-10-30,3692,3660,3696,3652
2019-10-31,3688,3662,3688,3650
2019-11-01,3632,3660,3689,3577
2019-11-04,3643,3684,3722,3610
2019-11-05,3680,3845,3854,3652
2019-11-06,3832,3931,3982,3803
2019-11-07,4050,3913,4140,3907
2019-11-08,3910,3951,3956,3884
2019-11-11,3922,3937,3966,3875
2019-11-12,3950,3935,3980,3913
2019-11-13,3933,3826,3950,3802
2019-11-14,3831,3941,4029,3830
2019-11-15,3962,3944,4007,3881
2019-11-18,3946,3930,3982,3923
2019-11-19,3906,3979,3985,3906
2019-11-20,3982,4095,4152,3971
2019-11-21,4082,4012,4118,4006
2019-11-22,4032,4098,4104,4023
2019-11-25,4115,4115,4189,4097
2019-11-26,4108,3985,4108,3985
2019-11-27,3989,3972,4018,3920
2019-11-28,3950,3995,4026,3930
2019-11-29,4008,4001,4019,3962
2019-12-02,3970,4058,4058,3970
2019-12-03,4047,3996,4047,3985
2019-12-04,4015,4029,4045,3980
2019-12-05,4039,4015,4126,4015
2019-12-06,4036,4037,4058,4034
2019-12-09,4056,4076,4109,4056
2019-12-10,4081,4108,4125,4065
2019-12-11,4140,4198,4204,4129
2019-12-12,4163,4196,4221,4157
2019-12-13,4215,4179,4215,4178
2019-12-16,4191,4177,4191,4159
2019-12-17,4164,4203,4245,4152
2019-12-18,4180,4176,4268,4152
2019-12-19,4162,4185,4208,4162
2019-12-20,4224,4191,4224,4191
2019-12-23,4229,4238,4245,4229
2019-12-24,4168,4192,4239,4168
2019-12-26,4167,4179,4207,4152
2019-12-27,4155,4214,4214,4155
2019-12-30,4289,4189,4289,4189
2019-12-31,4239,4381,4481,3989
2020-01-02,4381,4381,4381,4381
2020-01-03,3957,3957,3957,3957
2020-01-06,3839,4066,4068,3839
2020-01-08,3886,3980,3997,3885
2020-01-09,4029,3987,4030,3967
2020-01-10,4019,4006,4019,3970
2020-01-13,3979,4018,4018,3979
2020-01-14,4001,4001,4001,4001
2020-01-15,3969,3951,3969,3951
2020-02-05,3722,3880,3880,3722
2020-02-06,3729,3788,3788,3729
2020-02-07,3859,3769,3859,3745
2020-02-10,3667,3729,3735,3667
2020-02-11,3739,3799,3840,3686
2020-02-12,3779,3835,3841,3779
2020-02-13,3910,3819,3910,3785
2020-02-14,3755,3785,3787,3748
2020-02-17,3788,3787,3813,3787
2020-02-18,3811,3812,3815,3811
2020-02-19,3800,3799,3800,3799
2020-02-20,3818,3853,3866,3818
2020-02-24,3854,3839,3854,3819
2020-02-25,3769,3754,3797,3746
2020-02-26,3728,3750,3775,3728
2020-02-27,3733,3780,3780,3731
2020-02-28,3714,3666,3880,3610
2020-03-02,3730,3700,3732,3700
2020-03-03,3702,3703,3742,3677
2020-03-04,3694,3778,3783,3691
2020-03-05,3832,3759,3832,3756
2020-03-06,3717,3735,3764,3717
2020-03-09,3651,3704,3767,3651
2020-03-10,3713,3749,3779,3713
2020-03-11,3752,3847,3865,3752
2020-03-12,3862,3832,3862,3761
2020-03-13,3770,3838,3838,3770
2020-03-16,3897,3867,3898,3842
2020-03-17,3906,3904,3906,3863
2020-03-18,3910,3900,3913,3893
2020-03-19,3854,3844,3892,3743
2020-03-20,3865,3858,3895,3836
2020-03-23,3791,3816,3859,3791
2020-03-24,3878,3827,3879,3809
2020-03-25,3871,3857,3892,3836
2020-03-26,3863,3957,3971,3863
2020-03-27,4010,3973,4017,3911
2020-03-30,4050,3962,4050,3924
2020-03-31,3879,3863,3929,3681
2020-04-01,3852,3761,3887,3736
2020-04-02,3757,3796,3815,3677
2020-04-03,3765,3795,3869,3765
2020-04-07,3836,3809,3843,3774
2020-04-08,3787,3813,3829,3787
2020-04-09,3814,3908,3917,3787
2020-04-10,3925,3960,4015,3866
2020-04-13,3961,4038,4055,3916
2020-04-14,3980,4081,4155,3980
