Date,Open,Close,High,Low
2018-10-11,103.65,103.65,103.65,103.65
2018-10-12,95.45,95.45,95.45,95.45
2018-10-15,96.00,96.00,96.00,96.00
2018-12-06,139.35,139.35,139.35,139.35
2019-01-30,133.00,133.00,133.00,133.00
2019-03-15,157.55,157.55,157.55,157.55
2019-09-10,159.00,159.00,159.00,159.00
2020-03-25,141.95,141.95,141.95,141.95
2020-03-30,146.35,148.95,148.95,146.35
2020-04-15,172.10,172.10,172.10,172.10
2020-04-16,166.75,170.55,171.05,166.75
2020-04-17,169.05,172.90,172.90,168.75
2020-04-20,178.60,176.05,178.60,174.50
2020-04-21,183.00,174.50,183.00,174.50
2020-04-22,172.70,176.20,176.20,172.70
2020-04-23,178.50,178.50,178.50,178.50
2020-04-24,177.40,177.40,177.40,177.40
2020-04-27,175.10,175.10,175.10,175.10
2020-04-29,182.00,181.50,183.75,181.50
2020-04-30,177.65,181.60,181.60,173.30
2020-05-06,182.65,185.90,185.90,182.65
2020-05-18,195.05,195.05,195.05,195.05
2020-07-14,191.35,191.35,191.35,191.35
2020-10-16,90.05,109.90,109.90,90.05
2020-10-19,208.00,210.00,210.00,208.00
2020-11-10,83.35,83.35,83.35,83.35
2020-11-25,229.00,249.00,249.00,229.00
2021-04-28,237.50,237.50,237.50,237.50
2021-04-30,200.65,220.00,220.00,200.55
2022-03-10,451.65,369.55,451.65,369.55
