Date,Open,Close,High,Low
2021-02-01,9866,10504,10630,9866
2021-02-02,10504,10414,10754,10352
2021-02-03,10330,10304,10396,10124
2021-02-04,10348,10302,10416,10232
2021-02-05,10340,10288,10400,10266
2021-02-08,10290,10346,10466,10284
2021-02-09,10380,10376,10444,10354
2021-02-10,10398,10354,10424,10290
2021-02-18,10398,10400,10498,10380
2021-02-19,10416,10368,10422,10216
2021-02-22,10408,10650,10732,10404
2021-02-23,10700,10702,10966,10520
2021-02-24,10750,10710,10798,10564
2021-02-25,10732,10862,10920,10732
2021-02-26,10764,10816,10860,10654
2021-03-01,10898,11128,11288,10896
2021-03-02,11050,10922,11210,10830
2021-03-03,10960,10902,11018,10788
2021-03-04,10920,10936,11022,10840
2021-03-05,10910,10786,10940,10602
2021-03-08,11250,11060,11300,10950
2021-03-09,11000,10812,11064,10796
2021-03-10,10856,10898,10980,10772
2021-03-11,10818,10844,10880,10720
2021-03-12,10956,10852,10956,10804
2021-03-15,10864,10868,10890,10800
2021-03-16,10880,10774,10940,10766
2021-03-17,10738,10702,10762,10630
2021-03-18,10662,10596,10702,10560
2021-03-19,10558,10468,10560,10410
2021-03-22,10510,10480,10600,10454
2021-03-23,10630,10570,10638,10506
2021-03-24,10504,10544,10556,10458
2021-03-25,10552,10642,10684,10536
2021-03-26,10550,10510,10582,10462
2021-03-29,10460,10356,10514,10334
2021-03-30,10374,10422,10430,10350
2021-03-31,10378,10400,10426,10310
2021-04-01,10496,10516,10574,10454
2021-04-02,10482,10510,10534,10468
2021-04-06,10482,10508,10530,10350
2021-04-07,10548,10588,10750,10534
2021-04-08,10532,10576,10606,10524
2021-04-09,10622,10432,10630,10426
2021-04-12,10370,10376,10446,10360
2021-04-13,10372,10340,10390,10268
2021-04-14,10390,10344,10416,10322
2021-04-15,10362,10364,10398,10310
2021-04-16,10380,10434,10446,10380
2021-04-19,10450,10374,10628,10250
2021-04-20,10372,10408,10418,10352
2021-04-21,10422,10350,10430,10326
2021-04-22,10366,10494,10520,10358
2021-04-23,10530,10486,10580,10468
2021-04-26,10520,10466,10578,10450
2021-04-27,10514,10514,10548,10476
2021-04-28,10450,10390,10468,10382
2021-04-29,10450,10412,10458,10368
2021-04-30,10376,10418,10446,10334
2021-05-06,10438,10538,10568,10436
2021-05-07,10560,10572,10646,10550
2021-05-10,10600,10578,10650,10540
2021-05-11,10550,10304,10562,10300
2021-05-12,10350,10292,10374,10082
2021-05-13,10252,10264,10520,10228
2021-05-14,10230,10184,10244,10128
2021-05-17,10244,10238,10288,10158
2021-05-18,10224,10210,10260,10186
2021-05-19,10170,10140,10182,10122
2021-05-20,10000,10196,10266,9902
2021-05-21,10162,10346,10458,10162
2021-05-24,10328,10238,10360,10200
2021-05-25,10250,10280,10300,10230
2021-05-26,10206,10056,10252,10050
2021-05-27,10030,10040,10108,9998
2021-05-28,10122,10062,10158,10050
2021-05-31,10062,10024,10078,9960
2021-06-01,10042,10012,10052,9982
2021-06-02,10026,10050,10118,10006
2021-06-03,10094,10066,10120,10030
2021-06-04,10036,9984,10066,9980
2021-06-07,10010,9398,10018,9348
2021-06-08,9380,9218,9428,9152
2021-06-09,9228,9212,9308,9208
2021-06-10,9200,9270,9306,9186
2021-06-11,9260,9348,9400,9058
2021-06-15,9200,9248,9296,9200
2021-06-16,9248,9226,9300,9172
2021-06-17,9216,9132,9240,9124
2021-06-18,9052,8994,9080,8866
2021-06-21,9018,8852,9024,8850
2021-06-22,8896,8968,8988,8880
2021-06-23,8970,9072,9098,8966
2021-06-24,9088,9002,9126,8996
2021-06-25,9020,9048,9076,9008
2021-06-28,8970,9114,9168,8950
2021-06-29,9130,9096,9184,9090
2021-06-30,9108,9122,9162,9082
2021-07-01,9162,9164,9238,9134
2021-07-02,9148,9082,9192,9068
2021-07-05,9082,9062,9136,8960
2021-07-06,9092,9072,9122,9062
2021-07-07,8986,9026,9076,8976
2021-07-08,9012,9018,9036,8960
2021-07-09,9020,9002,9084,8990
2021-07-12,9036,8972,9050,8942
2021-07-13,8998,8926,9028,8922
2021-07-14,8904,8956,9014,8866
2021-07-15,8950,8976,9020,8930
2021-07-16,8978,9058,9100,8976
2021-07-19,9150,9510,9642,9150
2021-07-20,9420,9442,9614,9334
2021-07-21,10000,9488,10000,9478
2021-07-22,9488,9270,9620,9250
2021-07-23,9316,9304,9380,9230
2021-07-26,9304,9324,9516,9258
2021-07-27,9352,9172,9422,9168
2021-07-28,9200,9226,9278,9124
2021-07-29,9270,9242,9296,9212
2021-07-30,9252,9076,9284,9068
2021-08-02,9056,9042,9084,8980
2021-08-03,9048,9050,9124,9030
2021-08-04,9082,9138,9186,9068
2021-08-05,9130,9078,9180,9076
2021-08-06,9092,9064,9146,9052
2021-08-09,9064,9132,9150,9052
2021-08-10,9144,9104,9246,9082
2021-08-11,9138,9116,9158,9102
2021-08-12,9120,9102,9156,9072
2021-08-13,9140,9146,9198,9106
2021-08-16,9180,9200,9284,9162
2021-08-17,9224,9326,9340,9210
2021-08-18,9310,9250,9350,9234
2021-08-19,9220,9080,9258,9026
2021-08-20,9062,8922,9078,8916
2021-08-23,8960,9046,9068,8958
2021-08-24,9072,8892,9094,8862
2021-08-25,8840,8732,8896,8728
2021-08-26,8728,8668,8790,8658
2021-08-27,8668,8744,8772,8610
2021-08-30,8760,8628,8826,8618
2021-08-31,8656,8656,8694,8628
2021-09-01,8644,8452,8666,8438
