Date,Open,Close,High,Low
2021-02-01,10112,10590,10660,10050
2021-02-02,10598,10450,10798,10396
2021-02-03,10398,10310,10404,10168
2021-02-04,10302,10314,10414,10252
2021-02-05,10334,10292,10400,10274
2021-02-08,10300,10350,10458,10298
2021-02-09,10390,10370,10438,10354
2021-02-10,10376,10340,10410,10290
2021-02-18,10396,10370,10466,10360
2021-02-19,10368,10332,10370,10182
2021-02-22,10398,10628,10656,10380
2021-02-23,10658,10488,10814,10392
2021-02-24,10524,10448,10570,10360
2021-02-25,10458,10540,10592,10458
2021-02-26,10468,10476,10538,10380
2021-03-01,10520,10660,10782,10506
2021-03-02,10660,10514,10702,10470
2021-03-03,10598,10488,10598,10452
2021-03-04,10500,10500,10562,10462
2021-03-05,10490,10394,10490,10302
2021-03-08,10602,10574,10798,10480
2021-03-09,10608,10400,10608,10400
2021-03-10,10438,10470,10510,10396
2021-03-11,10440,10420,10462,10370
2021-03-12,10518,10414,10518,10410
2021-03-15,10448,10404,10448,10358
2021-03-16,10594,10594,10596,10594
2021-03-17,10340,10328,10364,10320
2021-03-18,10302,10284,10336,10228
2021-03-19,10258,10268,10290,10228
2021-03-22,10300,10286,10308,10258
2021-03-23,10330,10272,10360,10228
2021-03-24,10250,10228,10270,10200
2021-03-25,10236,10278,10300,10234
2021-03-26,10224,10238,10266,10200
2021-03-29,10212,10164,10240,10150
2021-03-30,10160,10186,10190,10160
2021-03-31,10140,10228,10230,10126
2021-04-01,10340,10280,10340,10262
2021-04-02,10256,10308,10318,10242
2021-04-07,10322,10306,10400,10286
2021-04-08,10304,10310,10320,10270
2021-04-09,10320,10234,10328,10200
2021-04-12,10180,10186,10220,10160
2021-04-13,10152,10210,10210,10090
2021-04-14,10170,10184,10188,10160
2021-04-15,10196,10250,10312,10160
2021-04-16,10288,10276,10304,10256
2021-04-19,10300,10234,10448,10122
2021-04-20,10220,10254,10264,10214
2021-04-21,10240,10216,10246,10160
2021-04-22,10216,10270,10300,10216
2021-04-23,10280,10254,10334,10250
2021-04-26,10296,10258,10348,10252
2021-04-27,10272,10308,10330,10272
2021-04-28,10278,10220,10278,10210
2021-04-29,10254,10254,10270,10218
2021-04-30,10226,10228,10250,10180
2021-05-06,10298,10340,10348,10258
2021-05-07,10350,10394,10420,10342
2021-05-10,10404,10358,10420,10324
2021-05-11,10316,10250,10334,10240
2021-05-12,10320,10218,10320,10120
2021-05-13,10198,10234,10408,10178
2021-05-14,10230,10106,10230,10046
2021-05-17,10140,10142,10174,10124
