Date,Open,Close,High,Low
2019-09-26,8100,8056,8160,7983
2019-09-27,8020,7940,8068,7901
2019-09-30,7905,7976,7999,7905
2019-10-08,7950,7968,7998,7920
2019-10-09,7971,7952,8018,7940
2019-10-10,7950,7843,7968,7835
2019-10-11,7832,7826,7880,7794
2019-10-14,7828,7770,7850,7756
2019-10-15,7760,7649,7760,7592
2019-10-16,7675,7526,7676,7490
2019-10-17,7510,7478,7518,7425
2019-10-18,7490,7546,7574,7467
2019-10-21,7560,7494,7585,7466
2019-10-22,7503,7469,7509,7409
2019-10-23,7502,7447,7515,7442
2019-10-24,7430,7509,7544,7400
2019-10-25,7520,7456,7530,7455
2019-10-28,7450,7430,7502,7411
2019-10-29,7430,7383,7456,7370
2019-10-30,7370,7336,7399,7325
2019-10-31,7320,7325,7354,7316
2019-11-01,7316,7248,7350,7244
2019-11-04,7251,7312,7321,7250
2019-11-05,7313,7331,7372,7305
2019-11-06,7356,7330,7362,7324
2019-11-07,7327,7258,7336,7228
2019-11-08,7293,7087,7294,7070
2019-11-11,7088,6963,7097,6953
2019-11-12,6958,6951,6982,6905
2019-11-13,6950,6964,7068,6941
2019-11-14,6976,6940,6982,6872
2019-11-15,6940,6949,6992,6925
2019-11-18,6950,7004,7019,6935
2019-11-19,6997,6954,7020,6911
2019-11-20,6947,6930,6950,6888
2019-11-21,6932,6974,6992,6912
2019-11-22,6976,6986,7046,6962
2019-11-25,6986,7086,7087,6986
2019-11-26,7085,7150,7156,7036
2019-11-27,7153,7141,7235,7126
2019-11-28,7160,7152,7194,7106
2019-11-29,7164,7125,7164,7070
2019-12-02,7114,7056,7144,7010
2019-12-03,7055,7167,7191,7053
2019-12-04,7170,7176,7264,7156
2019-12-05,7200,7302,7324,7200
2019-12-06,7330,7327,7343,7281
2019-12-09,7326,7276,7494,7268
2019-12-10,7270,7376,7381,7266
2019-12-11,7396,7268,7443,7246
2019-12-12,7270,7326,7331,7220
2019-12-13,7333,7323,7388,7261
2019-12-16,7330,7346,7383,7302
2019-12-17,7330,7430,7447,7330
2019-12-18,7450,7364,7480,7343
2019-12-19,7376,7434,7442,7344
2019-12-20,7430,7404,7466,7394
2019-12-23,7420,7350,7424,7315
2019-12-24,7356,7359,7380,7323
2019-12-25,7370,7351,7392,7346
2019-12-26,7348,7366,7375,7320
2019-12-27,7367,7408,7419,7352
2019-12-30,7408,7375,7426,7373
2019-12-31,7382,7276,7397,7237
2020-01-02,7288,7291,7336,7261
2020-01-03,7294,7321,7345,7271
2020-01-06,7330,7387,7410,7316
2020-01-07,7390,7318,7390,7281
2020-01-08,7308,7374,7438,7303
2020-01-09,7344,7305,7385,7266
2020-01-10,7311,7428,7428,7259
2020-01-13,7438,7541,7566,7422
2020-01-14,7541,7541,7587,7478
2020-01-15,7551,7531,7576,7480
2020-01-16,7530,7467,7550,7389
2020-01-17,7459,7459,7498,7440
2020-01-20,7470,7515,7530,7456
2020-01-21,7510,7434,7538,7421
2020-01-22,7420,7394,7438,7310
2020-01-23,7395,7282,7410,7266
2020-02-03,6890,6890,6930,6890
2020-02-04,6700,6865,6876,6497
2020-02-05,6810,6945,7013,6810
2020-02-06,6980,6991,7022,6925
2020-02-07,6973,6971,6985,6943
2020-02-10,6950,6966,6989,6923
2020-02-11,6943,6938,6980,6913
2020-02-12,6920,6868,6948,6816
2020-02-13,6890,6879,6898,6831
2020-02-14,6883,6886,6915,6841
2020-02-17,6899,6956,6990,6870
