Date,Open,Close,High,Low
2019-09-26,8100,8125,8216,8051
2019-09-27,8100,7982,8128,7947
2019-09-30,7982,7986,8011,7953
2019-10-08,7950,7972,8012,7938
2019-10-09,7962,7979,8020,7962
2019-10-10,7987,7869,7987,7861
2019-10-11,7920,7865,7920,7830
2019-10-14,7851,7820,7880,7804
2019-10-15,7797,7676,7797,7566
2019-10-16,7717,7569,7717,7522
2019-10-17,7530,7498,7545,7455
2019-10-18,7518,7587,7593,7499
2019-10-21,7573,7530,7607,7487
2019-10-22,7510,7491,7536,7446
2019-10-23,7408,7390,7426,7382
2019-10-24,7368,7431,7458,7368
2019-10-25,7554,7501,7554,7501
2019-10-28,7447,7424,7470,7400
2019-10-29,7429,7383,7429,7366
2019-10-30,7409,7361,7430,7360
2019-10-31,7366,7329,7366,7328
2019-11-01,7321,7260,7349,7260
2019-11-04,7345,7315,7346,7265
2019-11-05,7265,7364,7517,7265
2019-11-06,7360,7334,7360,7332
2019-11-07,7349,7265,7358,7262
2019-11-08,7296,7135,7296,7119
2019-11-11,7066,6974,7105,6969
2019-11-12,6968,6980,6980,6918
2019-11-13,6980,6951,7226,6949
2019-11-14,7040,6999,7049,6968
2019-11-15,6949,6946,7002,6933
2019-11-18,7048,7042,7070,7014
2019-11-19,7047,6996,7066,6953
2019-11-20,6980,6992,7002,6950
2019-11-21,6992,7022,7030,6980
2019-11-22,7046,7030,7077,7024
2019-11-25,7035,7100,7100,7035
2019-11-26,7111,7143,7164,7070
2019-11-27,7143,7164,7239,7143
2019-11-28,7158,7156,7209,7117
2019-11-29,7130,7116,7144,7100
2019-12-02,7142,7070,7153,7040
2019-12-03,7103,7166,7182,7071
2019-12-04,7175,7178,7246,7171
2019-12-05,7212,7270,7317,7192
2019-12-06,7271,7300,7308,7271
2019-12-09,7319,7276,7450,7268
2019-12-10,7356,7357,7357,7270
2019-12-11,7305,7264,7412,7241
2019-12-12,7264,7306,7314,7200
2019-12-13,7312,7305,7353,7260
2019-12-16,7326,7330,7360,7304
2019-12-17,7342,7405,7410,7339
2019-12-18,7432,7350,7448,7332
2019-12-19,7460,7425,7460,7333
2019-12-20,7500,7391,7500,7386
2019-12-23,7320,7330,7395,7316
2019-12-24,7302,7368,7368,7302
2019-12-25,7368,7373,7373,7351
2019-12-26,7345,7358,7375,7321
2019-12-27,7365,7400,7409,7341
2019-12-30,7400,7371,7411,7370
2019-12-31,7365,7259,7365,7236
2020-01-02,7265,7281,7332,7262
2020-01-03,7278,7321,7346,7270
2020-01-06,7335,7387,7395,7318
2020-01-07,7360,7321,7369,7285
2020-01-08,7310,7394,7436,7308
2020-01-09,7360,7342,7392,7296
2020-01-10,7333,7420,7420,7308
2020-01-13,7449,7520,7550,7432
2020-01-14,7556,7510,7560,7463
2020-01-15,7538,7515,7550,7467
2020-01-16,7525,7431,7525,7400
2020-01-17,7440,7447,7477,7426
2020-01-20,7455,7481,7494,7447
2020-01-21,7498,7410,7498,7408
2020-01-22,7399,7371,7420,7300
2020-01-23,7381,7281,7381,7270
2020-02-03,6910,6880,6999,6880
2020-02-04,6423,6912,6916,6423
2020-02-05,6887,6947,6950,6870
2020-02-06,6986,7110,7118,6974
2020-02-07,7087,7117,7117,7072
2020-02-10,7089,7098,7138,7089
2020-02-11,7087,7071,7120,7055
2020-02-12,6902,6846,6902,6808
2020-02-13,6954,7008,7028,6954
2020-02-14,6870,6910,6910,6870
2020-02-17,6948,6991,7004,6948
2020-02-18,7024,7013,7024,6990
2020-02-19,7084,7118,7149,7064
2020-02-20,7127,7130,7178,7084
2020-02-21,7152,7150,7168,7124
2020-02-24,7089,7147,7147,7061
2020-02-25,7082,7128,7129,7082
2020-02-26,7087,7040,7161,7036
2020-02-27,7027,6971,7027,6946
2020-02-28,6906,6810,6940,6810
2020-03-02,6730,6890,6911,6730
2020-03-03,6927,6854,6979,6851
2020-03-04,6851,6903,6919,6851
2020-03-05,6927,6900,6927,6880
2020-03-06,6867,6890,6910,6846
2020-03-09,6603,6603,6603,6603
2020-03-10,6145,6466,6522,6145
2020-03-11,6550,6400,6550,6390
2020-03-12,6358,6340,6392,6232
2020-03-13,6309,6302,6309,6156
2020-03-16,6086,6145,6285,6086
2020-03-17,6097,5950,6097,5950
2020-03-18,5942,5762,5942,5762
2020-03-19,5417,5417,5499,5417
2020-03-20,5650,5393,5650,5220
2020-03-23,4882,5060,5180,4868
2020-03-24,5110,5014,5134,4811
2020-03-25,4988,4831,4988,4778
2020-03-26,4824,4896,4988,4758
2020-03-27,4956,4930,4970,4820
2020-03-30,4818,4629,4851,4623
2020-03-31,4632,4715,4887,4632
2020-04-01,4702,4710,4774,4671
2020-04-02,4700,4962,5068,4682
2020-04-03,5028,5176,5197,4902
2020-04-07,5250,5219,5285,5136
2020-04-08,5134,5239,5309,5060
2020-04-09,5298,5575,5627,5251
2020-04-10,5460,5494,5618,5393
2020-04-13,5551,5544,5815,5505
2020-04-14,5568,5400,5605,5304
2020-04-15,5120,5222,5293,5071
2020-04-16,5200,5182,5270,5145
2020-04-17,5238,5280,5383,5209
2020-04-20,5201,5240,5250,5134
2020-04-21,5101,4925,5246,4818
2020-04-22,4740,4567,4740,4567
2020-04-23,4600,5005,5024,4600
2020-04-24,5120,5051,5280,4982
2020-04-27,4989,5119,5188,4989
2020-04-28,5050,5112,5135,5012
2020-04-29,5174,5181,5218,5130
2020-04-30,5322,5301,5322,5215
2020-05-06,5700,5499,5700,5421
