Date,Open,Close,High,Low
2017-12-25,8118,8095,8157,8060
2017-12-26,8105,8090,8144,8079
2017-12-27,8094,8086,8109,8067
2017-12-28,8092,8104,8145,8088
2017-12-29,8106,8088,8122,8078
2018-01-02,8088,8101,8106,8086
2018-01-03,8103,8094,8122,8088
2018-01-04,8098,8092,8114,8076
2018-01-05,8098,8099,8111,8082
2018-01-08,8103,8084,8103,8080
2018-01-09,8086,7966,8090,7933
2018-01-10,7956,7938,7980,7933
2018-01-11,7931,7865,7953,7854
2018-01-12,7821,7787,7855,7784
2018-01-15,7763,7777,7795,7758
2018-01-16,7764,7723,7815,7711
2018-01-17,7736,7670,7744,7658
2018-01-18,7668,7671,7708,7666
2018-01-19,7670,7657,7701,7641
2018-01-22,7682,7697,7708,7667
2018-01-23,7714,7699,7740,7681
2018-01-24,7706,7677,7708,7664
2018-01-25,7687,7661,7701,7657
2018-01-26,7668,7683,7699,7660
2018-01-29,7691,7560,7697,7554
2018-01-30,7551,7512,7568,7510
2018-01-31,7510,7487,7543,7461
2018-02-01,7492,7434,7515,7434
2018-02-02,7448,7372,7462,7367
2018-02-05,7360,7334,7382,7321
2018-02-06,7329,7278,7372,7275
2018-02-07,7278,6956,7293,6956
2018-02-08,6890,6754,6890,6662
2018-02-09,6762,6745,6828,6697
2018-02-12,6751,6803,6941,6731
2018-02-13,6805,6765,6848,6740
2018-02-14,6796,6621,6821,6553
2018-02-22,6591,6481,6623,6480
2018-02-23,6480,6846,6846,6471
2018-02-26,6955,6956,7064,6883
2018-02-27,6945,7083,7150,6889
2018-02-28,7082,7098,7124,7036
2018-03-01,7090,7131,7188,7050
2018-03-02,7115,7016,7168,6976
2018-03-05,7005,7026,7052,6944
2018-03-06,7030,7218,7310,7018
2018-03-07,7216,7185,7238,7149
2018-03-08,7182,7132,7200,7083
2018-03-09,7132,7212,7249,7114
2018-03-12,7251,7030,7313,7004
2018-03-13,7029,7042,7085,6982
2018-03-14,7036,7023,7068,6993
2018-03-15,7004,6923,7004,6892
2018-03-16,6918,7048,7052,6906
2018-03-19,7045,7030,7082,6976
2018-03-20,7015,7000,7029,6945
2018-03-21,7012,7075,7145,7006
2018-03-22,7394,7217,7394,7198
2018-03-23,7190,7345,7368,7145
2018-03-26,7370,7399,7421,7307
2018-03-27,7412,7303,7420,7261
2018-03-28,7306,7332,7357,7253
2018-03-29,7336,7224,7339,7190
2018-03-30,7240,7270,7293,7174
2018-04-02,7302,7419,7445,7237
2018-04-03,7406,7401,7437,7356
2018-04-04,7400,7194,7420,7176
2018-04-09,7264,7319,7346,7200
2018-04-10,7323,7313,7373,7266
2018-04-11,7319,7324,7399,7279
2018-04-12,7050,7083,7086,6978
2018-04-13,7100,7163,7168,7004
2018-04-16,7144,7153,7207,7110
2018-04-17,7130,7116,7132,7027
2018-04-18,7121,7164,7199,7092
2018-04-19,7170,7156,7179,7078
2018-04-20,7130,7174,7207,7094
2018-04-23,7235,7502,7502,7220
2018-04-24,7502,7528,7557,7471
2018-04-25,7500,7495,7512,7426
2018-04-26,7483,7758,7830,7458
2018-04-27,7758,7773,7920,7666
2018-05-02,7890,7937,7987,7792
2018-05-03,7928,7944,7955,7844
2018-05-04,7930,7832,7944,7692
2018-05-07,7840,7861,7920,7806
2018-05-08,7861,8066,8088,7813
2018-05-09,8070,8095,8148,8012
2018-05-10,8095,8081,8138,8026
2018-05-11,8072,8142,8156,8048
2018-05-14,8174,8486,8486,8160
2018-05-15,8528,8994,8998,8522
2018-05-16,8975,8902,9235,8880
2018-05-17,8891,9048,9115,8796
2018-05-18,9074,9149,9278,9051
2018-05-21,9079,9137,9187,8910
2018-05-22,9145,9408,9439,9145
2018-05-23,9439,9238,9535,9006
2018-05-24,9262,9140,9300,9084
2018-05-25,9122,9219,9226,9051
2018-05-28,9256,9086,9315,9083
2018-05-29,9105,9294,9310,9041
2018-05-30,9275,9275,9385,9206
2018-05-31,9320,9307,9544,9266
2018-06-01,9307,9399,9407,9275
2018-06-04,9399,9347,9422,9241
2018-06-05,9352,9140,9370,8972
2018-06-06,9120,9135,9196,9083
2018-06-07,9155,9123,9186,9053
2018-06-08,9091,8657,9091,8657
2018-06-11,8580,8734,8768,8580
2018-06-12,8744,9135,9135,8731
2018-06-13,9144,9593,9599,9137
2018-06-14,9600,9611,9666,9456
2018-06-15,9675,9941,9952,9484
2018-06-19,10006,10012,10206,9788
2018-06-20,9999,9650,9999,9602
2018-06-21,9550,9196,9660,9196
2018-06-22,9210,9579,9600,9180
