Date,Open,Close,High,Low
2018-10-08,11976,11914,11985,11754
2018-10-09,11880,11907,12058,11859
2018-10-10,11966,12009,12035,11724
2018-10-11,11873,11936,11983,11868
2018-10-12,11853,11955,11966,11688
2018-10-15,11941,11588,11946,11556
2018-10-16,11565,11537,11685,11348
2018-10-17,11578,11699,11706,11430
2018-10-18,11530,11654,11777,11525
2018-10-19,11595,11251,11623,11245
2018-10-22,11200,11297,11335,11160
2018-10-23,11260,11177,11372,11100
2018-10-24,11176,11272,11328,11134
2018-10-25,11239,11228,11340,11160
2018-10-26,11212,11763,11800,11193
2018-10-29,11778,11802,11863,11662
2018-10-30,11750,11935,11975,11690
2018-10-31,11899,11874,11947,11829
2018-11-01,11861,11674,11918,11641
2018-11-02,11650,11786,11800,11589
2018-11-05,11812,11740,11843,11680
2018-11-06,11810,12185,12188,11810
2018-11-07,12151,12180,12199,12065
2018-11-08,11497,11549,11656,11416
2018-11-09,11531,11559,11590,11481
2018-11-12,11480,11423,11483,11342
2018-11-13,11375,11313,11398,11188
2018-11-14,11293,11402,11519,11268
2018-11-15,11467,11580,11585,11390
2018-11-16,11600,11862,11918,11598
2018-11-19,11800,11788,11847,11724
2018-11-20,11789,11814,11838,11700
2018-11-21,11746,11945,11949,11620
2018-11-22,11945,11875,12088,11849
2018-11-23,11802,11918,11947,11780
2018-11-26,11958,11773,11970,11681
2018-11-27,11828,11550,11869,11509
2018-11-28,11550,11272,11583,11263
2018-11-29,11322,11088,11390,11050
2018-11-30,11050,11298,11298,11050
2018-12-03,11331,11192,11808,11172
2018-12-04,11210,11393,11430,11084
2018-12-05,11334,11488,11500,11305
2018-12-06,11477,11430,11538,11363
2018-12-07,11410,11608,11650,11363
2018-12-10,11550,11562,11590,11486
2018-12-11,11469,11500,11591,11422
2018-12-12,11510,11504,11548,11455
2018-12-13,11500,11382,11500,11333
2018-12-14,11361,11344,11391,11311
2018-12-17,11578,11722,11778,11565
2018-12-18,12099,12033,12099,12000
2018-12-19,12021,11565,12021,11553
2018-12-20,11530,11505,11611,11451
2018-12-21,11504,11560,11588,11323
2018-12-24,11558,11568,11638,11497
2018-12-25,11423,11556,11562,11247
2018-12-26,11570,11529,11648,11493
2018-12-27,11627,11371,11710,11342
2018-12-28,11367,11472,11579,11329
2019-01-02,11496,10910,11496,10901
2019-01-03,10912,10770,11032,10740
2019-01-04,10761,10869,10900,10707
2019-01-07,10837,10678,10880,10628
2019-01-08,10714,10745,10815,10681
2019-01-09,7912,7816,7969,7813
2019-01-10,7833,7865,7868,7800
2019-01-11,7872,7891,7958,7858
2019-01-14,7890,7901,7966,7873
2019-01-15,7928,7890,7935,7880
2019-01-16,7902,7831,7909,7828
2019-01-17,7830,7833,7855,7817
2019-01-18,7849,7823,7872,7820
2019-01-21,7837,7849,7881,7794
2019-01-22,7854,7844,7895,7820
2019-01-23,7831,7846,7879,7828
2019-01-24,7843,7865,7873,7837
2019-01-25,7888,7907,7927,7858
2019-01-28,7921,7872,7928,7865
2019-01-29,7868,7833,7868,7823
2019-01-30,7844,7839,7850,7830
2019-01-31,10766,10759,10820,10681
2019-02-01,7856,7845,7858,7829
2019-02-11,7863,7901,7938,7843
2019-02-12,7895,7928,7929,7895
2019-02-13,11226,11217,11333,11170
2019-02-14,11206,11240,11267,11200
2019-02-15,7986,8279,8357,7975
2019-02-18,8302,8263,8450,8225
2019-02-19,8281,8316,8326,8263
2019-02-20,8292,8330,8342,8278
2019-02-21,8344,8380,8428,8344
2019-02-22,8372,8468,8481,8336
2019-02-25,8481,8450,8508,8420
2019-02-26,8435,8425,8466,8322
2019-02-27,8398,8335,8414,8324
2019-02-28,8321,8374,8388,8315
2019-03-01,8386,8389,8410,8361
2019-03-04,8389,8331,8399,8320
2019-03-05,8331,8343,8355,8290
2019-03-06,8326,8373,8394,8326
2019-03-07,8389,8354,8396,8354
2019-03-08,8340,8318,8358,8309
2019-03-11,8310,8086,8316,8064
2019-03-12,8050,8091,8124,8038
2019-03-13,8108,8067,8111,8062
2019-03-14,8080,8033,8120,8013
2019-03-15,8048,7916,8059,7902
2019-03-18,7925,7944,7998,7909
2019-03-19,7936,7981,7991,7936
2019-03-20,7988,8033,8111,7988
2019-03-21,8040,8035,8060,8013
2019-03-22,8040,8044,8080,8035
2019-03-25,8034,7952,8037,7951
2019-03-26,7964,7872,7978,7835
2019-03-27,7870,7834,7899,7810
2019-03-28,7834,7825,7850,7800
2019-03-29,7842,7883,7914,7829
2019-04-01,7906,7882,7938,7865
2019-04-02,7880,7955,8000,7874
2019-04-03,7966,7929,7998,7910
2019-04-04,7930,7867,7955,7818
2019-04-08,7867,7876,7897,7839
2019-04-09,7885,7956,7990,7885
2019-04-10,7996,7960,7996,7915
2019-04-11,7970,7904,7993,7899
2019-04-12,7880,7684,7880,7678
2019-04-15,11891,11879,12006,11840
2019-04-16,11855,11983,11985,11855
2019-04-17,11979,11935,12000,11921
2019-04-18,11921,11951,11980,11900
2019-04-19,11961,12273,12293,11940
2019-04-22,12330,12499,12500,12246
2019-04-23,12460,12381,12504,12351
2019-04-24,8067,7999,8164,7983
2019-04-25,8023,8035,8099,7992
2019-04-26,8033,7920,8089,7848
2019-04-29,7985,7961,8030,7918
2019-04-30,7969,7930,7990,7868
2019-05-06,7950,7984,8053,7906
2019-05-07,8002,8038,8058,7970
2019-05-08,8025,8168,8225,8025
2019-05-09,8169,8352,8367,8169
2019-05-10,8364,8396,8444,8329
2019-05-13,8449,8616,8641,8400
2019-05-14,8600,8374,8654,8356
2019-05-15,8418,8974,8974,8321
2019-05-16,9020,9005,9214,8891
2019-05-17,9052,9100,9148,8983
2019-05-20,9110,9443,9445,9110
2019-05-21,9488,9456,9508,9368
2019-05-22,9416,9561,9757,9344
2019-05-23,9582,9533,9645,9450
2019-05-24,9521,9886,9920,9494
2019-05-27,9701,9498,9942,9450
2019-05-28,9506,9302,9568,9210
2019-05-29,9340,9354,9458,9286
2019-05-30,9510,9453,9573,9284
2019-05-31,9431,9419,9473,9345
2019-06-03,9400,9150,9493,9087
2019-06-04,9224,9232,9259,9043
2019-06-05,9259,9182,9294,9137
2019-06-06,9150,8729,9150,8661
2019-06-10,8561,8685,8788,8554
2019-06-11,8761,8816,8850,8720
2019-06-12,8777,8734,8800,8640
2019-06-13,8759,8989,9051,8748
2019-06-14,8986,8850,9070,8828
2019-06-17,8861,8839,8908,8774
2019-06-18,8828,8619,8856,8606
2019-06-19,8638,8666,8736,8579
2019-06-20,8685,8586,8730,8501
2019-06-21,8659,8810,8843,8564
2019-06-24,8810,8799,8877,8738
2019-06-25,8797,8782,8819,8700
2019-06-26,8787,8778,8826,8746
2019-06-27,8762,8921,9003,8760
2019-06-28,8953,8745,8993,8740
2019-07-01,8761,8720,8827,8684
2019-07-02,8702,8750,8796,8672
2019-07-03,8750,8710,8796,8634
2019-07-04,8745,8875,8894,8711
2019-07-05,8891,8918,8938,8835
2019-07-08,8950,9265,9300,8950
2019-07-09,9262,9290,9363,9133
2019-07-10,9310,9165,9340,9150
2019-07-11,9198,8936,9209,8816
2019-07-12,8956,8895,9001,8780
2019-07-15,8845,8911,9008,8843
2019-07-16,8936,8948,8953,8865
2019-07-17,8950,8862,9044,8810
2019-07-18,8862,8720,8886,8681
2019-07-19,8684,8845,9297,8668
2019-07-22,8893,8732,8900,8691
2019-07-23,8730,8595,8761,8587
2019-07-24,8545,8538,8608,8518
2019-07-25,8533,8585,8596,8476
2019-07-26,8578,8656,8690,8562
2019-07-29,8667,8652,8708,8622
2019-07-30,8646,8720,8757,8630
2019-07-31,8718,8714,8760,8695
2019-08-01,8675,8648,8750,8644
2019-08-02,8580,8693,8705,8552
2019-08-05,8714,8519,8752,8480
2019-08-06,8526,8672,8684,8490
2019-08-07,8656,8586,8696,8537
2019-08-08,8600,8561,8630,8520
2019-08-09,8573,8469,8603,8305
2019-08-12,8522,8500,8729,8434
2019-08-13,8493,8419,8509,8383
2019-08-14,8437,8479,8510,8360
2019-08-15,8426,8523,8544,8419
2019-08-16,8543,8504,8577,8502
2019-08-19,8506,8543,8561,8497
2019-08-20,8530,8554,8624,8530
2019-08-21,8531,8525,8548,8448
2019-08-22,8539,8452,8539,8439
2019-08-23,8431,8465,8489,8402
2019-08-26,8456,8408,8494,8370
2019-08-27,8411,8479,8488,8390
2019-08-28,8502,8489,8560,8457
2019-08-29,8490,8529,8542,8477
2019-08-30,8535,8603,8675,8521
2019-09-02,8593,8495,8624,8492
2019-09-03,8500,8463,8573,8440
2019-09-04,8440,8384,8498,8383
2019-09-05,8350,8078,8380,8073
2019-09-06,8060,8075,8131,8022
2019-09-09,8020,7995,8038,7931
2019-09-10,7980,8028,8093,7980
2019-09-11,8012,8059,8120,7986
2019-09-12,8054,7898,8085,7876
2019-09-16,7870,7957,8061,7870
2019-09-17,7960,7957,7990,7915
2019-09-18,7957,8011,8058,7940
2019-09-19,8411,8387,8435,8350
2019-09-20,8408,8305,8444,8226
2019-09-23,8258,7864,8274,7864
2019-09-24,7860,7615,7894,7580
2019-09-25,7618,7599,7649,7447
2019-09-26,7620,7786,7848,7620
2019-09-27,7750,7881,7935,7721
2019-09-30,7949,8396,8396,7851
2019-10-08,8530,8669,8669,8336
2019-10-09,7830,7680,7835,7650
2019-10-10,7694,7709,7763,7678
2019-10-11,7696,7625,7744,7593
2019-10-14,7624,7720,7753,7604
2019-10-15,7704,7645,7764,7587
2019-10-16,7660,7625,7682,7608
2019-10-17,7637,7572,7697,7548
2019-10-18,7598,7638,7678,7542
2019-10-21,7677,7815,7838,7657
2019-10-22,7810,7918,7919,7760
2019-10-23,7948,8028,8170,7899
2019-10-24,8007,8025,8078,7975
2019-10-25,8020,7894,8075,7880
2019-10-28,7900,7926,7930,7813
2019-10-29,7956,7976,8061,7903
2019-10-30,7963,7967,8027,7958
2019-10-31,7972,7935,7985,7880
2019-11-01,7919,7897,7927,7808
2019-11-04,8350,8510,8571,8329
2019-11-05,7958,8066,8082,7941
2019-11-06,8058,8129,8197,8040
2019-11-07,8114,8185,8193,8079
2019-11-08,8195,8165,8207,8087
2019-11-11,8131,8095,8249,8049
2019-11-12,8090,8151,8158,8040
2019-11-13,8159,8142,8185,8116
2019-11-14,8132,7994,8180,7987
2019-11-15,7925,7947,7956,7840
2019-11-18,7959,7705,7959,7668
2019-11-19,7702,7720,7755,7647
2019-11-20,7737,7843,7857,7708
2019-11-21,7846,7841,7908,7813
2019-11-22,7830,7852,7859,7757
2019-11-25,7859,7843,7950,7811
2019-11-26,7828,7857,7878,7802
2019-11-27,7839,7760,7880,7750
2019-11-28,7743,7775,7785,7726
2019-11-29,7778,7808,7853,7742
2019-12-02,7802,7892,7940,7802
2019-12-03,7900,7909,7912,7851
2019-12-04,7910,8047,8088,7909
