Date,Open,Close,High,Low
2007-06-11,10030,8590,10150,8582
2007-06-12,8560,8418,8638,8418
2007-06-13,8366,8316,8400,8232
2007-06-14,8350,8152,8420,8100
2007-06-15,8230,8216,8268,8162
2007-06-18,8250,8262,8296,8208
2007-06-19,8398,8398,8418,8320
2007-06-20,8352,8302,8358,8268
2007-06-21,8166,8242,8254,8166
2007-06-22,8242,8236,8278,8222
2007-06-25,8188,8212,8218,8170
2007-06-26,8176,8226,8236,8170
2007-06-27,8230,8174,8248,8154
2007-06-28,8182,8066,8198,7992
2007-06-29,8056,8108,8116,8056
2007-07-02,8160,8228,8242,8112
2007-07-03,8350,8424,8536,8226
2007-07-04,8420,8376,8420,8370
2007-07-05,8322,8412,8420,8300
2007-07-06,8418,8398,8470,8388
2007-07-09,8390,8482,8486,8380
2007-07-10,8478,8454,8518,8440
2007-07-11,8482,8400,8488,8386
2007-07-12,8450,8486,8500,8422
2007-07-13,8480,8546,8562,8474
2007-07-16,8560,8522,8594,8504
2007-07-17,8440,8466,8472,8410
2007-07-18,8350,8472,8482,8350
2007-07-19,8450,8520,8526,8450
2007-07-20,8520,8492,8550,8484
2007-07-23,8500,8520,8548,8492
2007-07-24,8470,8510,8540,8470
2007-07-25,8502,8512,8520,8490
2007-07-26,8520,8536,8540,8512
2007-07-27,8548,8550,8550,8524
2007-07-30,8540,8670,8724,8538
2007-07-31,8690,8856,8898,8690
2007-08-01,8900,8838,8918,8816
2007-08-02,8904,8800,8904,8772
2007-08-03,8804,8824,8868,8790
2007-08-06,8816,8790,8844,8782
2007-08-07,8750,8782,8828,8750
2007-08-08,8754,8776,8808,8752
2007-08-09,8798,8820,8870,8798
2007-08-10,8898,8830,8898,8786
2007-08-13,8710,8830,8830,8708
2007-08-14,8800,8870,8870,8800
2007-08-15,9000,8954,9000,8930
2007-08-16,8910,8896,8926,8874
2007-08-17,8862,8774,8878,8752
2007-08-20,8504,8524,8700,8482
2007-08-21,8628,8788,8796,8616
2007-08-22,8896,8812,8896,8750
2007-08-23,8774,8744,8796,8698
2007-08-24,8798,8784,8822,8770
2007-08-27,8780,8810,8834,8780
2007-08-28,8780,8770,8848,8770
2007-08-29,8808,8786,8810,8768
2007-08-30,8750,8652,8750,8630
2007-08-31,8680,8746,8802,8680
2007-09-03,8770,8834,8876,8770
2007-09-04,8820,8794,8836,8788
2007-09-05,8830,8766,8880,8754
2007-09-06,8826,8792,8838,8768
2007-09-07,8770,8774,8792,8752
2007-09-10,8746,8768,8780,8746
2007-09-11,8772,8956,8980,8772
2007-09-12,8990,8918,8990,8914
2007-09-13,8960,8916,8960,8892
2007-09-14,8940,8930,8980,8902
2007-09-17,8940,8978,9040,8910
2007-09-18,9040,9086,9086,8986
