Date,Open,Close,High,Low
2012-12-31,5320,5269,5320,5155
2013-01-01,5274,5273,5386,5233
2013-01-07,5273,5346,5357,5256
2013-01-08,5333,5440,5530,5333
2013-01-09,5460,5413,5465,5380
2013-01-10,5422,5440,5497,5422
2013-01-11,5460,5447,5478,5425
2013-01-14,5460,5432,5520,5426
2013-01-15,5447,5465,5485,5404
2013-01-16,5483,5432,5551,5427
2013-01-17,5431,5444,5465,5411
2013-01-18,5462,5417,5465,5410
2013-01-21,5424,5434,5478,5420
2013-01-22,5444,5430,5465,5416
2013-01-23,5423,5428,5443,5405
2013-01-24,5440,5470,5510,5417
2013-01-25,5470,5351,5479,5318
2013-01-28,5368,5380,5388,5348
2013-01-29,5385,5388,5412,5366
2013-01-30,5382,5381,5396,5356
2013-01-31,5384,5405,5418,5369
2013-02-01,5427,5426,5427,5401
2013-02-04,5426,5418,5439,5390
2013-02-05,5420,5434,5470,5416
2013-02-06,5431,5413,5457,5407
2013-02-07,5421,5402,5427,5401
2013-02-08,5404,5396,5444,5383
2013-02-11,5399,5402,5419,5393
2013-02-19,5360,5383,5399,5360
2013-02-20,5411,5424,5471,5407
2013-02-21,5447,5424,5450,5416
2013-02-22,5420,5421,5462,5380
2013-02-25,5430,5441,5518,5387
2013-02-26,5391,5379,5417,5260
2013-02-27,5370,5364,5398,5356
2013-02-28,5380,5330,5387,5286
2013-03-01,5350,5305,5354,5295
2013-03-04,5310,5302,5317,5284
2013-03-05,5300,5310,5319,5288
2013-03-06,5315,5309,5348,5305
2013-03-07,5306,5292,5317,5286
2013-03-08,5295,5274,5300,5270
2013-03-11,5280,5306,5335,5276
2013-03-12,5315,5280,5315,5280
2013-03-13,5272,5308,5318,5272
2013-03-14,5310,5293,5325,5268
2013-03-15,5290,5306,5311,5275
2013-03-18,5317,5301,5320,5299
2013-03-19,5291,5292,5306,5276
2013-03-20,5299,5286,5299,5284
2013-03-21,5282,5290,5292,5282
2013-03-22,5297,5304,5315,5292
2013-03-25,5306,5285,5308,5281
2013-03-26,5286,5286,5307,5283
2013-03-27,5283,5289,5298,5283
2013-03-28,5297,5290,5299,5286
2013-03-29,5293,5289,5296,5278
2013-04-01,5268,5262,5281,5253
2013-04-02,5260,5253,5270,5248
2013-04-03,5260,5264,5275,5213
2013-04-04,5263,5263,5330,5242
2013-04-09,5252,5249,5280,5245
2013-04-10,5258,5233,5265,5226
2013-04-11,5240,5258,5260,5232
2013-04-12,5257,5260,5265,5250
2013-04-15,5263,5277,5280,5251
2013-04-16,5275,5259,5275,5250
2013-04-17,5245,5260,5264,5226
2013-04-18,5266,5263,5270,5256
2013-04-19,5263,5267,5269,5231
2013-04-22,5269,5253,5280,5253
2013-04-23,5280,5256,5281,5251
2013-04-24,5265,5263,5267,5257
2013-04-25,5267,5249,5280,5241
2013-04-26,5243,5230,5250,5214
2013-04-29,5241,5228,5242,5206
2013-05-03,5220,5237,5252,5215
2013-05-06,5242,5245,5265,5242
2013-05-07,5247,5270,5271,5241
2013-05-08,5268,5246,5275,5242
2013-05-09,5253,5255,5260,5247
2013-05-10,5256,5246,5256,5246
2013-05-13,5255,5255,5259,5243
2013-05-14,5250,5232,5257,5231
2013-05-15,5238,5240,5251,5236
2013-05-16,5241,5240,5252,5239
2013-05-17,5241,5234,5242,5222
2013-05-20,5238,5230,5243,5230
2013-05-21,5235,5224,5242,5223
2013-05-22,5223,5228,5240,5220
2013-05-23,5228,5226,5237,5216
2013-05-24,5231,5219,5231,5210
2013-05-27,5220,5219,5222,5208
2013-05-28,5215,5206,5219,5204
2013-05-29,5200,5200,5210,5190
2013-05-30,5207,5197,5222,5195
2013-05-31,5204,5182,5206,5170
2013-06-03,5188,5184,5191,5182
2013-06-04,5184,5186,5192,5170
2013-06-05,5186,5130,5186,5100
2013-06-06,5121,5154,5161,5121
2013-06-07,5155,5130,5176,5130
2013-06-10,5131,5121,5142,5111
2013-06-14,5121,5133,5139,5120
2013-06-17,5125,5135,5138,5120
2013-06-18,5135,5143,5150,5131
2013-06-19,5145,5165,5168,5139
2013-06-20,5160,5180,5180,5155
2013-06-21,5177,5182,5200,5168
2013-06-24,5170,5209,5218,5152
2013-06-25,5200,5198,5217,5196
2013-06-26,5198,5218,5218,5194
2013-06-27,5216,5210,5225,5201
2013-06-28,5204,5180,5213,5112
2013-07-01,5180,5182,5187,5176
2013-07-02,5180,5186,5193,5179
2013-07-03,5186,5185,5201,5181
2013-07-04,5195,5200,5202,5176
2013-07-05,5201,5182,5203,5181
2013-07-08,5173,5184,5189,5173
2013-07-09,5185,5167,5185,5102
2013-07-10,5180,5170,5180,5160
2013-07-11,5166,5177,5177,5166
2013-07-12,5179,5183,5185,5162
2013-07-15,5164,5185,5194,5164
2013-07-16,5179,5172,5188,5162
2013-07-18,5167,5150,5184,5130
2013-07-19,5139,5152,5165,5138
2013-07-22,5143,5146,5159,5137
2013-07-23,5138,5150,5152,5137
2013-07-24,5150,5150,5156,5130
2013-07-25,5146,5155,5178,5146
2013-07-26,5158,5165,5174,5150
2013-07-29,5163,5148,5180,5127
2013-07-30,5146,5150,5155,5140
2013-07-31,5155,5121,5155,5121
2013-08-01,5121,5140,5140,5121
2013-08-02,5127,5121,5140,5120
2013-08-05,5120,5131,5144,5117
2013-08-06,5131,5146,5146,5120
2013-08-07,5140,5150,5150,5115
2013-08-08,5154,5168,5168,5148
2013-08-09,5174,5182,5185,5169
2013-08-12,5185,5209,5220,5185
2013-08-13,5202,5217,5220,5200
2013-08-14,5314,5241,5314,5225
2013-08-15,5230,5225,5250,5225
2013-08-16,5224,5173,5224,5173
2013-08-19,5170,5150,5196,5144
2013-08-20,5150,5146,5164,5086
2013-08-21,5112,5101,5130,5101
2013-08-22,5070,5150,5150,4969
2013-08-23,5122,5135,5135,5122
2013-08-26,5100,5105,5106,5100
2013-08-27,5000,5104,5177,5000
2013-08-28,5150,5050,5150,5000
2013-08-29,5144,5105,5144,5017
2013-08-30,5132,5120,5140,5015
2013-09-02,5100,5133,5157,5100
2013-09-04,5142,5142,5142,5142
2013-09-05,5110,5110,5110,5110
2013-09-09,5160,5160,5160,5160
2013-09-10,5125,5159,5159,5000
2013-09-11,5158,5085,5158,5085
2013-09-17,5150,5139,5150,5085
2013-09-18,5103,5103,5103,5103
2013-09-19,5104,5160,5160,5104
2013-09-20,5104,5160,5160,5104
2013-09-23,5104,5160,5160,5104
2013-09-24,5106,5150,5150,5106
2013-09-26,5110,5115,5145,5110
2013-09-27,5159,5159,5165,5113
2013-09-30,5124,5159,5159,5120
2013-10-01,5198,5133,5233,5121
2013-10-09,5133,5133,5133,5133
2013-10-10,5189,5147,5190,5133
2013-10-11,5147,5183,5183,5147
2013-10-14,5148,5148,5148,5148
2013-10-15,5149,5149,5149,5149
2013-10-16,5002,5045,5045,5002
2013-10-18,5049,4950,5049,4950
2013-10-21,4901,5049,5050,4892
2013-10-22,5050,4955,5050,4955
2013-10-23,4993,5037,5037,4993
2013-10-31,4964,5023,5040,4964
2013-11-05,5212,4981,5212,4981
2013-11-08,5024,5025,5025,5024
2013-11-14,5098,5065,5098,5060
2013-11-18,5052,5052,5052,5052
2013-11-20,5001,5052,5052,5001
2013-11-21,5000,5060,5060,5000
2013-11-22,5090,5022,5110,5020
2013-11-26,5098,5077,5098,5015
2013-11-27,5067,5028,5067,5025
2013-11-29,5058,4990,5058,4957
2013-12-02,5023,4985,5023,4972
2013-12-03,4985,4990,4990,4985
2013-12-05,5023,4989,5023,4989
2013-12-06,5019,5004,5019,5004
2013-12-11,4977,4983,5011,4977
2013-12-12,4965,4966,4966,4965
2013-12-13,5046,4984,5046,4984
2013-12-16,5009,5009,5009,5009
2013-12-18,4952,4979,4979,4952
2013-12-19,4968,4969,4970,4935
2013-12-20,4968,4968,4968,4968
