Date,Open,Close,High,Low
2009-03-30,3550,3561,3663,3513
2009-03-31,3550,3544,3580,3528
2009-04-01,3538,3549,3566,3531
2009-04-02,3560,3547,3561,3543
2009-04-03,3545,3473,3548,3456
2009-04-06,3481,3448,3481,3436
2009-04-08,3410,3491,3518,3410
2009-04-09,3480,3463,3491,3456
2009-04-10,3476,3468,3486,3460
2009-04-13,3483,3484,3499,3470
2009-04-14,3485,3469,3493,3464
2009-04-15,3475,3560,3600,3469
2009-04-16,3570,3562,3590,3550
2009-04-17,3582,3596,3628,3570
2009-04-20,3594,3620,3648,3581
2009-04-21,3620,3623,3648,3608
2009-04-22,3580,3524,3590,3486
2009-04-23,3550,3526,3566,3508
2009-04-24,3529,3513,3531,3488
2009-04-27,3513,3501,3522,3497
2009-04-28,3510,3499,3520,3492
2009-04-29,3496,3507,3515,3496
2009-04-30,3507,3520,3520,3503
2009-05-01,3536,3553,3575,3523
2009-05-05,3573,3636,3660,3571
2009-05-06,3636,3577,3644,3570
2009-05-07,3578,3594,3598,3573
2009-05-08,3628,3593,3630,3591
2009-05-11,3599,3614,3616,3589
2009-05-12,3615,3639,3678,3606
2009-05-13,3645,3645,3660,3630
2009-05-14,3655,3639,3657,3634
2009-05-15,3616,3594,3620,3590
2009-05-18,3600,3604,3618,3596
2009-05-19,3595,3608,3612,3581
2009-05-20,3630,3618,3630,3611
2009-05-21,3616,3618,3644,3612
2009-05-22,3620,3624,3642,3618
2009-05-25,3619,3618,3627,3608
2009-05-26,3629,3609,3629,3600
2009-05-27,3609,3601,3620,3596
2009-05-28,3628,3610,3628,3606
2009-06-02,3630,3647,3657,3622
2009-06-03,3660,3655,3682,3652
2009-06-04,3659,3670,3672,3656
2009-06-05,3650,3700,3712,3645
2009-06-08,3721,3756,3778,3720
2009-06-09,3755,3788,3793,3747
2009-06-10,3797,3779,3807,3768
2009-06-11,3792,3808,3813,3774
2009-06-12,3810,3878,3940,3807
2009-06-15,3888,3864,3928,3835
2009-06-16,3855,3849,3877,3823
2009-06-17,3829,3865,3882,3828
2009-06-18,3861,3852,3878,3841
2009-06-19,3852,3842,3865,3830
2009-06-22,3852,3907,3920,3846
2009-06-23,3908,3919,3936,3900
2009-06-24,3898,3881,3900,3835
2009-06-25,3888,3870,3897,3858
2009-06-26,3862,3866,3888,3858
2009-06-29,3870,3854,3887,3846
2009-06-30,3846,3829,3853,3823
2009-07-01,3832,3826,3840,3817
2009-07-02,3826,3839,3845,3820
2009-07-03,3856,3867,3878,3845
2009-07-06,3867,3859,3883,3858
2009-07-07,3858,3866,3874,3855
2009-07-08,3876,3870,3880,3864
2009-07-09,3861,3850,3870,3837
2009-07-10,3841,3865,3868,3841
2009-07-13,3874,3882,3892,3865
2009-07-14,3891,3886,3913,3881
2009-07-15,3902,3901,3908,3890
2009-07-16,3907,3973,3975,3907
2009-07-17,3989,4001,4028,3967
2009-07-20,4035,4007,4043,3999
2009-07-21,4016,4029,4031,4006
2009-07-22,4038,4034,4045,4014
2009-07-23,4044,4072,4088,4036
2009-07-24,4088,4122,4124,4076
2009-07-27,4125,4184,4198,4120
2009-07-28,4198,4236,4258,4178
2009-07-29,4235,4331,4336,4218
2009-07-30,4333,4392,4416,4304
2009-07-31,4410,4444,4449,4361
2009-08-03,4482,4627,4627,4455
2009-08-04,4777,4857,4857,4730
2009-08-05,4970,4848,4982,4828
2009-08-06,4872,4883,4938,4820
2009-08-07,4890,4899,4913,4839
2009-08-10,4885,4754,4904,4690
2009-08-11,4752,4698,4795,4650
2009-08-12,4618,4658,4675,4603
2009-08-13,4645,4591,4662,4564
2009-08-14,4621,4617,4679,4602
2009-08-17,4620,4512,4640,4461
2009-08-18,4443,4436,4537,4365
2009-08-19,4475,4416,4499,4392
2009-08-20,4400,4219,4414,4219
2009-08-21,4240,4282,4317,4131
2009-08-24,4270,4334,4426,4245
2009-08-25,4451,4323,4462,4306
2009-08-26,4280,4240,4280,4181
2009-08-27,4210,4269,4296,4202
2009-08-28,4250,4271,4312,4223
2009-08-31,4288,4272,4333,4250
2009-09-01,4261,4133,4271,4115
2009-09-02,4121,4086,4135,4066
2009-09-03,4036,4050,4086,4020
2009-09-04,4060,4047,4084,4016
2009-09-07,4055,4033,4059,4020
2009-09-08,4018,3919,4018,3908
2009-09-09,3898,3944,3959,3880
2009-09-10,3960,4042,4048,3955
2009-09-11,4060,4007,4078,4003
2009-09-14,4000,3972,4025,3957
2009-09-15,3927,3973,3975,3900
2009-09-16,3993,3967,3996,3951
2009-09-17,3985,4036,4040,3966
2009-09-18,4050,3990,4065,3990
2009-09-21,3981,3973,3997,3937
2009-09-22,3970,3989,4007,3961
2009-09-23,3977,3956,3989,3953
2009-09-24,3958,3891,3964,3890
2009-09-25,3881,3854,3882,3813
2009-09-28,3830,3825,3847,3811
2009-09-29,3812,3659,3815,3637
2009-09-30,3667,3694,3709,3627
2009-10-01,3699,3690,3725,3670
2009-10-12,3738,3642,3740,3640
2009-10-13,3580,3637,3641,3580
2009-10-14,3627,3609,3646,3608
2009-10-15,3655,3678,3693,3652
2009-10-16,3679,3756,3758,3678
2009-10-19,3761,3829,3829,3760
2009-10-20,3830,3865,3961,3830
2009-10-21,3880,3842,3899,3810
2009-10-22,3838,3887,3894,3826
2009-10-23,3920,3855,3940,3854
2009-10-26,3860,3891,3912,3855
2009-10-27,3898,4001,4005,3898
2009-10-28,3988,3971,4014,3952
2009-10-29,3968,3866,3968,3858
2009-10-30,3820,3835,3854,3787
2009-11-02,3879,3875,3895,3845
2009-11-03,3843,3910,3916,3828
2009-11-04,3910,3881,3940,3876
2009-11-05,3886,3889,3903,3866
2009-11-06,4010,4015,4025,4008
2009-11-09,4020,4020,4026,4006
2009-11-10,4020,4057,4075,4018
2009-11-11,4067,4051,4091,4050
2009-11-12,4060,4034,4065,4028
2009-11-13,4074,4048,4085,4033
2009-11-16,4031,4069,4071,4007
2009-11-17,4071,4057,4085,4051
2009-11-18,4075,4039,4079,4033
2009-11-19,4046,4045,4053,4029
2009-11-20,4038,4115,4137,4035
2009-11-23,4130,4109,4156,4086
2009-11-24,4122,4186,4193,4117
2009-11-25,4170,4118,4198,4092
2009-11-26,4129,4129,4140,4103
2009-11-27,4546,4483,4563,4470
2009-11-30,4458,4345,4461,4321
2009-12-01,4379,4364,4416,4348
2009-12-02,4383,4343,4384,4323
2009-12-03,4355,4343,4366,4328
2009-12-04,4383,4385,4395,4366
2009-12-07,4368,4374,4381,4336
2009-12-08,4354,4373,4395,4354
2009-12-09,4380,4318,4385,4288
2009-12-10,4284,4267,4290,4246
2009-12-11,4267,4335,4337,4250
2009-12-14,4350,4396,4401,4350
2009-12-15,4400,4430,4433,4331
2009-12-16,4430,4394,4438,4384
2009-12-17,4387,4393,4419,4370
2009-12-18,4415,4386,4431,4375
2009-12-21,4350,4379,4389,4349
2009-12-22,4389,4416,4418,4372
2009-12-23,4411,4406,4438,4403
2009-12-24,4410,4407,4427,4393
2009-12-25,4428,4462,4478,4413
2009-12-28,4461,4459,4478,4442
2009-12-29,4465,4526,4538,4463
2009-12-30,4525,4499,4547,4488
2009-12-31,4497,4488,4515,4477
2010-01-01,4495,4512,4518,4486
2010-01-05,4523,4578,4610,4523
2010-01-06,4592,4590,4606,4572
2010-01-07,4587,4622,4635,4582
2010-01-08,4641,4489,4650,4389
2010-01-11,4505,4462,4510,4412
2010-01-12,4495,4516,4518,4475
2010-01-13,4505,4510,4528,4480
2010-01-14,4420,4418,4460,4354
2010-01-15,4450,4433,4464,4430
2010-01-18,4419,4367,4436,4355
2010-01-19,4339,4395,4399,4310
2010-01-20,4405,4382,4418,4361
2010-01-21,4392,4364,4394,4341
2010-01-22,4337,4352,4366,4326
2010-01-25,4319,4288,4335,4257
2010-01-26,4280,4278,4295,4265
2010-01-27,4286,4265,4290,4258
2010-01-28,4275,4316,4327,4265
2010-01-29,4260,4293,4319,4255
2010-02-01,4281,4300,4315,4276
2010-02-02,4317,4295,4334,4276
2010-02-03,4316,4159,4323,4126
2010-02-04,4175,4180,4188,4136
2010-02-05,4150,4115,4158,4093
2010-02-08,4090,4109,4110,4066
2010-02-09,4120,4129,4139,4103
2010-02-10,4123,4157,4166,4115
2010-02-11,4172,4198,4219,4156
2010-02-12,4210,4229,4236,4190
2010-02-15,4246,4293,4299,4233
2010-02-23,4330,4243,4376,4229
2010-02-24,4240,4283,4297,4220
2010-02-25,4261,4253,4281,4233
2010-02-26,4258,4209,4263,4191
2010-03-01,4208,4214,4219,4175
2010-03-02,4633,4609,4656,4590
2010-03-03,4602,4555,4608,4551
2010-03-04,4573,4543,4573,4533
2010-03-05,4550,4541,4558,4535
2010-03-08,4540,4568,4572,4535
2010-03-09,4578,4626,4628,4572
2010-03-10,4615,4636,4648,4596
2010-03-11,4642,4649,4664,4619
2010-03-12,4657,4652,4673,4603
2010-03-15,4669,4658,4678,4647
2010-03-16,4661,4660,4675,4634
2010-03-17,4650,4780,4794,4646
2010-03-18,4799,4763,4828,4741
2010-03-19,4756,4733,4772,4730
2010-03-22,4736,4757,4767,4721
2010-03-23,4751,4768,4812,4751
2010-03-24,4777,4742,4788,4738
2010-03-25,4750,4778,4785,4731
2010-03-26,4790,4796,4814,4771
2010-03-29,4801,4793,4848,4787
2010-03-30,4812,4810,4825,4782
2010-03-31,4815,4761,4829,4755
2010-04-01,4766,4755,4775,4744
2010-04-02,4765,4753,4766,4725
2010-04-05,4763,4786,4788,4758
2010-04-07,4799,4824,4832,4794
2010-04-08,4839,4846,4854,4829
2010-04-09,4843,4810,4846,4801
2010-04-12,4816,4848,4850,4805
2010-04-13,4865,4872,4885,4853
2010-04-14,4865,4881,4898,4863
2010-04-15,4890,4854,4896,4852
2010-04-16,4852,4819,4863,4812
2010-04-19,4817,4838,4843,4804
2010-04-20,4802,4752,4817,4733
2010-04-21,4770,4772,4777,4744
2010-04-22,4765,4759,4772,4733
2010-04-23,4750,4734,4767,4728
2010-04-26,4732,4740,4746,4723
2010-04-27,4758,4734,4763,4724
2010-04-28,4721,4678,4726,4667
2010-04-29,4621,4588,4649,4585
2010-04-30,4594,4583,4619,4577
2010-05-03,4596,4635,4638,4590
2010-05-05,4616,4665,4676,4609
2010-05-06,4620,4653,4662,4613
2010-05-07,4656,4637,4679,4631
2010-05-10,4610,4545,4618,4537
2010-05-11,4572,4534,4580,4489
2010-05-12,4530,4479,4548,4475
2010-05-13,4471,4406,4474,4395
2010-05-14,4412,4400,4427,4372
2010-05-17,4389,4367,4421,4363
2010-05-18,4320,4186,4329,4178
2010-05-19,4200,4209,4244,4138
2010-05-20,4152,4223,4250,4148
2010-05-21,4248,4251,4297,4229
2010-05-24,4228,4228,4244,4162
2010-05-25,4278,4318,4321,4258
2010-05-26,4293,4264,4313,4260
2010-05-27,4300,4272,4301,4252
2010-05-28,4260,4270,4284,4225
2010-05-31,4293,4256,4313,4250
2010-06-01,4237,4215,4257,4215
2010-06-02,4201,4178,4213,4173
2010-06-03,4173,4185,4204,4148
2010-06-04,4203,4200,4215,4182
2010-06-07,4170,4180,4183,4162
2010-06-08,4059,4021,4082,4007
2010-06-09,4035,4061,4063,4031
2010-06-10,4068,4103,4110,4043
2010-06-11,4089,4082,4100,4068
2010-06-14,4098,4111,4125,4092
2010-06-18,4130,4112,4147,4111
2010-06-21,4111,4088,4123,4086
2010-06-22,4106,4163,4174,4088
2010-06-23,4130,4138,4157,4128
2010-06-24,4099,4080,4117,4059
2010-06-25,4087,4101,4109,4081
2010-06-28,4100,4084,4101,4074
2010-06-29,4102,4039,4108,4028
2010-06-30,4022,3994,4036,3980
2010-07-01,3975,3985,3989,3958
2010-07-02,3975,3960,3985,3952
2010-07-05,3955,3975,3981,3921
2010-07-06,3970,3989,3998,3954
2010-07-07,3972,3964,3995,3957
2010-07-08,3964,3965,3978,3955
2010-07-09,3985,3935,4000,3933
2010-07-12,3933,3950,3958,3912
2010-07-13,3950,3943,3955,3932
2010-07-14,3939,3917,3942,3906
2010-07-15,4072,4060,4082,4046
2010-07-16,4056,4063,4079,4040
2010-07-19,4071,4070,4078,4056
2010-07-20,4058,4120,4124,4057
2010-07-21,4132,4168,4173,4117
2010-07-22,4190,4177,4198,4166
2010-07-23,4183,4173,4191,4163
2010-07-26,4190,4223,4234,4187
2010-07-27,4222,4215,4235,4203
2010-07-28,4215,4155,4217,4152
2010-07-29,4154,4220,4223,4145
2010-07-30,4218,4216,4242,4196
2010-08-02,4219,4285,4287,4215
2010-08-03,4310,4327,4353,4305
2010-08-04,4341,4298,4347,4295
2010-08-05,4296,4324,4326,4274
2010-08-06,4330,4302,4347,4286
2010-08-09,4291,4317,4324,4285
2010-08-10,4320,4379,4380,4320
2010-08-11,4378,4357,4385,4353
2010-08-12,4351,4361,4407,4350
2010-08-13,4342,4301,4343,4298
2010-08-16,4320,4334,4334,4295
2010-08-17,4325,4361,4372,4318
2010-08-18,4370,4367,4385,4344
2010-08-19,4387,4361,4392,4361
2010-08-20,4365,4365,4378,4341
2010-08-23,4351,4311,4354,4308
2010-08-24,4316,4261,4318,4254
2010-08-25,4249,4238,4278,4234
2010-08-26,4219,4225,4245,4212
2010-08-27,4240,4257,4260,4236
2010-08-30,4263,4268,4272,4246
2010-08-31,4295,4333,4334,4284
2010-09-01,4310,4312,4344,4306
