Date,Open,Close,High,Low
2002-03-18,1061,1085,1091,1061
2002-03-19,1086,1087,1089,1083
2002-03-20,1083,1096,1106,1081
2002-03-21,1095,1085,1096,1080
2002-03-22,1085,1095,1097,1083
2002-03-25,1096,1089,1097,1087
2002-03-26,1090,1089,1093,1088
2002-03-27,1091,1102,1102,1087
2002-03-28,1105,1104,1120,1103
2002-03-29,1104,1100,1109,1099
2002-04-01,1106,1100,1109,1095
2002-04-02,1113,1108,1113,1106
2002-04-03,1099,1099,1102,1097
2002-04-04,1116,1114,1118,1109
2002-04-05,1096,1101,1102,1096
2002-04-08,1125,1110,1125,1108
2002-04-09,1100,1100,1100,1096
2002-04-10,1098,1092,1099,1090
2002-04-11,1100,1098,1104,1098
2002-04-12,1097,1089,1097,1085
2002-04-15,1086,1064,1090,1059
2002-04-16,1050,1053,1060,1048
2002-04-17,1057,1054,1057,1051
2002-04-18,1063,1059,1064,1059
2002-04-19,1065,1061,1065,1055
2002-04-22,1075,1075,1079,1075
2002-04-23,1075,1076,1077,1075
2002-04-24,1061,1051,1061,1051
2002-04-25,1057,1089,1090,1052
2002-04-26,1088,1092,1095,1078
2002-04-29,1088,1086,1088,1081
2002-04-30,1079,1086,1088,1079
2002-05-01,1085,1078,1087,1078
2002-05-09,1090,1085,1090,1083
2002-05-10,1091,1085,1096,1085
2002-05-13,1159,1096,1159,1081
2002-05-14,1083,1095,1097,1083
2002-05-15,1105,1112,1118,1100
2002-05-16,1111,1109,1113,1105
2002-05-17,1095,1091,1095,1090
2002-05-20,1103,1108,1111,1100
2002-05-21,1106,1105,1107,1105
2002-05-22,1090,1092,1096,1090
2002-05-23,1099,1108,1115,1090
2002-05-24,1106,1118,1124,1101
2002-05-27,1116,1115,1117,1110
2002-05-28,1115,1114,1117,1112
2002-05-29,1130,1131,1134,1130
2002-05-30,1119,1133,1144,1119
2002-05-31,1130,1137,1146,1130
2002-06-03,1146,1141,1152,1140
2002-06-04,1150,1135,1152,1131
2002-06-05,1142,1141,1146,1130
2002-06-06,1130,1138,1144,1128
2002-06-07,1138,1141,1145,1137
2002-06-10,1135,1128,1135,1123
2002-06-11,1127,1120,1128,1119
2002-06-12,1117,1114,1120,1109
2002-06-13,1115,1114,1117,1113
2002-06-14,1108,1109,1112,1103
2002-06-17,1112,1107,1112,1100
2002-06-18,1110,1111,1118,1105
2002-06-19,1112,1107,1113,1102
2002-06-20,1108,1102,1108,1091
2002-06-21,1103,1099,1106,1099
2002-06-24,1096,1087,1098,1084
2002-06-25,1087,1095,1098,1086
2002-06-26,1096,1093,1099,1091
2002-06-27,1092,1091,1095,1085
2002-06-28,1095,1092,1096,1088
2002-07-01,1099,1101,1107,1097
2002-07-02,1119,1124,1124,1112
2002-07-03,1134,1116,1134,1115
2002-07-04,1112,1102,1113,1102
2002-07-05,1106,1101,1107,1097
2002-07-08,1099,1105,1107,1099
2002-07-09,1109,1103,1110,1102
2002-07-10,1105,1115,1116,1102
2002-07-11,1116,1111,1118,1108
2002-07-12,1110,1116,1117,1106
2002-07-15,1113,1112,1123,1111
2002-07-16,1112,1115,1118,1110
2002-07-17,1122,1120,1122,1115
2002-07-18,1119,1116,1120,1116
2002-07-19,1110,1110,1113,1101
2002-07-22,1113,1111,1114,1109
2002-07-23,1115,1127,1133,1113
2002-07-24,1134,1135,1155,1134
2002-07-25,1125,1127,1130,1120
2002-07-26,1130,1134,1140,1127
2002-07-29,1124,1135,1135,1124
2002-07-30,1135,1120,1135,1114
2002-07-31,1120,1125,1126,1116
2002-08-01,1127,1124,1129,1121
2002-08-02,1128,1142,1145,1128
2002-08-05,1140,1141,1145,1136
2002-08-06,1142,1129,1142,1127
2002-08-07,1131,1125,1141,1124
2002-08-08,1120,1125,1127,1120
2002-08-09,1124,1125,1129,1121
2002-08-12,1120,1121,1125,1112
2002-08-13,1123,1137,1138,1114
2002-08-14,1154,1146,1155,1143
2002-08-15,1148,1162,1180,1148
2002-08-16,1171,1208,1225,1168
2002-08-19,1206,1220,1249,1204
2002-08-20,1218,1210,1226,1209
2002-08-21,1205,1212,1212,1200
2002-08-22,1201,1214,1214,1196
2002-08-23,1219,1217,1223,1211
2002-08-26,1211,1185,1216,1176
2002-08-27,1194,1194,1196,1184
2002-08-28,1189,1198,1199,1177
2002-08-29,1202,1211,1221,1197
2002-08-30,1208,1204,1211,1201
2002-09-02,1199,1195,1201,1193
2002-09-03,1201,1191,1203,1180
2002-09-04,1191,1208,1211,1190
2002-09-05,1203,1197,1208,1197
2002-09-06,1203,1206,1209,1201
2002-09-09,1213,1221,1222,1209
2002-09-10,1223,1232,1238,1220
2002-09-11,1241,1234,1249,1233
2002-09-12,1242,1235,1244,1233
2002-09-13,1250,1275,1287,1250
2002-09-16,1253,1229,1253,1228
2002-09-17,1216,1241,1243,1215
2002-09-18,1246,1249,1251,1236
2002-09-19,1253,1243,1270,1241
2002-09-20,1246,1257,1260,1246
2002-09-23,1245,1246,1250,1239
2002-09-24,1246,1241,1254,1238
2002-09-25,1231,1225,1233,1221
2002-09-26,1233,1230,1236,1218
2002-09-27,1225,1231,1231,1220
2002-09-30,1236,1233,1237,1230
2002-10-09,1203,1210,1214,1196
2002-10-10,1203,1208,1211,1199
2002-10-11,1195,1198,1199,1188
2002-10-14,1198,1207,1207,1197
2002-10-15,1210,1204,1210,1200
2002-10-16,1207,1218,1221,1207
2002-10-17,1236,1242,1244,1235
2002-10-18,1238,1224,1238,1223
2002-10-21,1230,1232,1238,1230
2002-10-22,1230,1243,1247,1228
2002-10-23,1250,1241,1251,1233
2002-10-24,1239,1241,1246,1236
2002-10-25,1246,1239,1249,1235
2002-10-28,1243,1239,1244,1233
2002-10-29,1240,1231,1246,1230
2002-10-30,1224,1230,1233,1224
2002-10-31,1242,1258,1266,1239
2002-11-01,1250,1257,1263,1250
2002-11-04,1270,1269,1276,1263
2002-11-05,1271,1294,1294,1268
2002-11-06,1302,1303,1317,1300
2002-11-07,1301,1307,1308,1296
2002-11-08,1311,1300,1315,1297
2002-11-11,1290,1288,1295,1287
2002-11-12,1276,1275,1282,1274
2002-11-13,1290,1303,1306,1288
2002-11-14,1294,1282,1296,1279
2002-11-15,1291,1287,1297,1282
2002-11-18,1293,1293,1294,1277
2002-11-19,1286,1294,1296,1286
2002-11-20,1295,1313,1317,1295
2002-11-21,1325,1322,1328,1320
2002-11-22,1325,1313,1329,1308
2002-11-25,1320,1318,1324,1313
2002-11-26,1320,1305,1323,1299
2002-11-27,1306,1320,1321,1305
2002-11-28,1320,1330,1332,1316
2002-11-29,1333,1326,1338,1310
2002-12-02,1331,1376,1385,1329
2002-12-03,1323,1378,1378,1317
2002-12-04,1364,1356,1394,1335
2002-12-05,1333,1343,1355,1326
2002-12-06,1346,1373,1375,1346
2002-12-09,1366,1353,1371,1344
2002-12-10,1355,1349,1363,1345
2002-12-11,1352,1360,1364,1352
2002-12-12,1366,1354,1367,1354
2002-12-13,1357,1364,1376,1348
2002-12-16,1375,1394,1397,1375
2002-12-17,1386,1392,1398,1384
2002-12-18,1376,1366,1380,1361
2002-12-19,1359,1365,1370,1359
2002-12-20,1350,1358,1362,1344
2002-12-23,1368,1376,1391,1366
2002-12-24,1377,1415,1416,1377
2002-12-25,1405,1419,1424,1403
2002-12-26,1434,1420,1445,1418
2002-12-27,1420,1408,1426,1406
2002-12-30,1400,1424,1434,1398
2002-12-31,1435,1446,1447,1433
2003-01-01,1433,1449,1458,1433
2003-01-03,1396,1448,1448,1396
2003-01-06,1470,1450,1476,1448
2003-01-07,1385,1468,1474,1385
2003-01-08,1471,1422,1493,1387
2003-01-09,1458,1497,1497,1454
2003-01-10,1486,1472,1488,1447
2003-01-13,1455,1490,1497,1455
2003-01-14,1459,1459,1464,1459
2003-01-15,1461,1461,1485,1461
2003-01-16,1460,1438,1475,1420
2003-01-17,1455,1430,1459,1426
2003-01-20,1424,1429,1438,1418
2003-01-21,1448,1456,1463,1448
2003-01-22,1456,1446,1467,1443
2003-01-23,1445,1447,1454,1438
2003-01-24,1465,1462,1475,1459
2003-01-27,1467,1450,1468,1449
2003-01-28,1456,1445,1458,1438
2003-01-29,1448,1453,1455,1448
2003-01-30,1465,1476,1476,1460
2003-02-11,1437,1496,1498,1437
2003-02-12,1475,1482,1493,1473
2003-02-13,1534,1518,1539,1517
2003-02-14,1449,1522,1525,1447
2003-02-17,1450,1452,1468,1438
2003-02-18,1439,1451,1495,1428
2003-02-19,1455,1431,1467,1430
2003-02-20,1442,1443,1467,1439
2003-02-21,1455,1413,1511,1410
2003-02-24,1425,1421,1425,1405
2003-02-25,1442,1445,1456,1425
2003-02-26,1444,1461,1472,1432
2003-02-27,1443,1434,1449,1431
2003-02-28,1435,1453,1455,1428
2003-03-03,1457,1438,1463,1437
2003-03-04,1447,1405,1474,1405
2003-03-05,1453,1398,1453,1398
2003-03-06,1335,1332,1380,1332
2003-03-07,1314,1318,1350,1290
2003-03-10,1295,1373,1381,1275
2003-03-11,1379,1395,1395,1350
2003-03-12,1413,1442,1442,1395
2003-03-13,1466,1451,1491,1435
2003-03-14,1480,1500,1510,1476
2003-03-17,1503,1469,1511,1453
2003-03-18,1496,1523,1524,1491
2003-03-19,1495,1476,1503,1463
2003-03-20,1495,1483,1496,1471
2003-03-21,1476,1463,1485,1440
2003-03-24,1473,1487,1493,1456
2003-03-25,1487,1477,1491,1476
2003-03-26,1460,1488,1495,1460
2003-03-27,1489,1480,1492,1478
2003-03-28,1473,1481,1484,1463
2003-03-31,1503,1481,1505,1473
2003-04-01,1455,1464,1478,1450
2003-04-02,1453,1471,1474,1453
2003-04-03,1470,1469,1472,1463
2003-04-04,1487,1472,1489,1469
2003-04-07,1471,1459,1477,1457
2003-04-08,1402,1462,1471,1397
2003-04-09,1470,1447,1475,1446
2003-04-10,1454,1471,1491,1438
2003-04-11,1478,1469,1490,1469
2003-04-14,1465,1457,1473,1456
2003-04-15,1459,1476,1482,1459
2003-04-16,1490,1485,1520,1477
2003-04-17,1495,1475,1505,1473
2003-04-18,1477,1466,1483,1461
2003-04-21,1505,1489,1505,1485
2003-04-22,1495,1419,1495,1419
2003-04-23,1425,1443,1462,1395
2003-04-24,1425,1434,1452,1420
2003-04-25,1424,1434,1436,1410
2003-04-28,1440,1445,1450,1436
2003-04-29,1441,1460,1465,1440
2003-04-30,1460,1447,1467,1442
2003-05-01,1472,1465,1475,1459
2003-05-13,1492,1498,1505,1482
2003-05-14,1495,1471,1500,1441
2003-05-15,1480,1467,1485,1457
2003-05-16,1484,1483,1489,1474
2003-05-19,1483,1477,1485,1470
2003-05-20,1499,1491,1505,1478
2003-05-21,1497,1518,1518,1497
2003-05-22,1490,1514,1520,1487
2003-05-23,1510,1511,1514,1497
2003-05-26,1500,1486,1501,1478
2003-05-27,1502,1506,1511,1501
2003-05-28,1488,1475,1489,1468
2003-05-29,1490,1466,1491,1440
2003-05-30,1455,1449,1457,1415
2003-06-02,1429,1456,1466,1423
2003-06-03,1453,1441,1460,1426
2003-06-04,1428,1424,1429,1394
2003-06-05,1420,1429,1434,1417
2003-06-06,1437,1451,1453,1431
2003-06-09,1453,1451,1456,1436
2003-06-10,1465,1469,1477,1457
2003-06-11,1462,1481,1482,1462
2003-06-12,1495,1506,1506,1483
2003-06-13,1500,1495,1517,1491
2003-06-16,1494,1513,1520,1491
2003-06-17,1470,1461,1477,1460
2003-06-18,1484,1497,1499,1476
2003-06-19,1473,1451,1475,1438
2003-06-20,1463,1447,1464,1443
2003-06-23,1455,1438,1460,1436
2003-06-24,1431,1454,1455,1431
2003-06-25,1454,1447,1466,1443
2003-06-26,1444,1441,1447,1432
2003-06-27,1434,1445,1447,1433
2003-06-30,1424,1448,1448,1422
2003-07-01,1448,1439,1456,1435
2003-07-02,1433,1438,1444,1429
2003-07-03,1444,1440,1448,1438
2003-07-04,1441,1434,1441,1431
2003-07-07,1427,1429,1430,1418
2003-07-08,1428,1423,1432,1420
2003-07-09,1422,1453,1457,1419
2003-07-10,1450,1446,1454,1440
2003-07-11,1450,1428,1452,1427
2003-07-14,1415,1403,1425,1377
2003-07-15,1381,1386,1399,1379
2003-07-16,1376,1363,1379,1328
2003-07-17,1347,1355,1360,1345
2003-07-18,1355,1355,1367,1350
2003-07-21,1337,1359,1360,1337
2003-07-22,1348,1342,1356,1328
2003-07-23,1355,1353,1356,1342
2003-07-24,1350,1337,1360,1337
2003-07-25,1326,1345,1345,1321
2003-07-28,1340,1345,1350,1328
2003-07-29,1351,1383,1384,1351
2003-07-30,1390,1371,1395,1366
2003-07-31,1327,1323,1331,1319
2003-08-01,1329,1339,1342,1325
2003-08-04,1371,1367,1384,1358
2003-08-05,1340,1352,1352,1339
2003-08-06,1351,1354,1363,1349
2003-08-07,1382,1380,1385,1373
2003-08-08,1380,1388,1389,1373
2003-08-11,1394,1412,1414,1387
2003-08-12,1421,1410,1424,1403
2003-08-13,1421,1400,1430,1396
2003-08-14,1394,1402,1405,1379
2003-08-15,1399,1442,1443,1399
2003-08-18,1448,1443,1450,1435
2003-08-19,1445,1483,1491,1441
